Gene	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
gene_1	393	449	374
gene_2	12	8	10
gene_3	1173	1259	1075
gene_4	10	10	6
gene_5	989	1054	1095
gene_6	71	102	121
gene_7	603	652	657
gene_8	9	21	25
gene_9	66	95	94
gene_10	404	471	450
gene_11	4901	6056	5412
gene_12	4	0	0
gene_13	2	4	2
gene_14	21	17	16
gene_15	632	593	572
gene_16	557	511	446
gene_17	0	0	2
gene_18	0	0	0
gene_19	18	11	18
gene_20	22340	24893	22529
gene_21	84	106	70
gene_22	1053	1084	975
gene_23	1163	1220	1238
gene_24	14	14	25
gene_25	0	0	0
gene_26	0	0	1
gene_27	125	183	96
gene_28	0	0	0
gene_29	2577	2770	2474
gene_30	11596	12438	11354
gene_31	6379	7048	6336
gene_32	9298	10371	9721
gene_33	1317	1479	1246
gene_34	357	368	345
gene_35	158	185	212
gene_36	242	233	234
gene_37	5	5	3
gene_38	1028	1057	938
gene_39	45	24	15
gene_40	1664	2041	1806
gene_41	0	0	0
gene_42	4	0	0
gene_43	3	4	0
gene_44	12	11	10
gene_45	2810	3441	2992
gene_46	2192	2349	2163
gene_47	1020	1031	1019
gene_48	0	0	0
gene_49	1	2	0
gene_50	22	20	19
gene_51	621	597	595
gene_52	3731	4242	3642
gene_53	59	45	103
gene_54	1236	1345	1200
gene_55	4287	4628	4456
gene_56	21	9	7
gene_58	181	121	146
gene_59	225	346	311
gene_61	1693	1677	1635
gene_62	14	16	10
gene_63	828	710	790
gene_64	1422	1634	1682
gene_65	4	6	4
gene_66	77	59	61
gene_67	2025	1874	1878
gene_68	429	411	395
gene_69	342	368	314
gene_70	326	375	411
gene_71	291	309	353
gene_72	0	0	0
gene_73	0	0	0
gene_74	2234	2623	2440
gene_75	3087	3434	3041
gene_76	1103	1251	1066
gene_77	4793	4408	4005
gene_78	2046	2223	2068
gene_80	2505	2591	2431
gene_81	3413	3783	3896
gene_82	2475	2815	2527
gene_84	44706	44415	43018
gene_85	2422	2444	2400
gene_86	855	907	835
gene_87	116	130	118
gene_88	3058	3067	2929
gene_89	1026	1212	1104
gene_90	1958	2014	1826
gene_91	21	21	51
gene_93	10705	11788	10897
gene_94	6	13	10
gene_95	553	509	500
gene_96	27	46	37
gene_97	9	18	0
gene_98	29	13	31
gene_99	2237	2559	2408
gene_100	1586	1679	1572
gene_101	63	57	48
gene_102	58	45	44
gene_103	2	0	2
gene_104	1861	2120	2102
gene_105	3230	3452	2879
gene_106	1393	1543	1492
gene_107	7222	8753	8164
gene_108	1841	2086	1996
gene_109	1768	1756	1648
gene_110	1578	1633	1529
gene_111	9	0	3
gene_112	1512	1668	1651
gene_113	292	293	203
gene_114	877	1027	827
gene_115	4780	4938	4939
gene_116	3811	4147	4024
gene_117	1508	1579	1277
gene_118	1406	1776	1564
gene_119	1716	1962	1904
gene_120	803	823	713
gene_121	4252	4796	4226
gene_122	52	33	42
gene_123	593	585	655
gene_124	3131	3778	3094
gene_125	23	18	21
gene_127	551	566	512
gene_128	556	763	546
gene_129	9	0	7
gene_130	113	71	61
gene_131	2300	2882	2635
gene_132	1301	1395	1527
gene_133	1085	1142	1200
gene_134	672	765	728
gene_135	7924	9994	8793
gene_136	817	778	882
gene_137	5466	6160	5640
gene_138	1420	1494	1490
gene_139	0	0	0
gene_140	4	1	0
gene_141	1949	2154	1945
gene_142	1742	1797	1775
gene_143	1665	1792	1640
gene_144	1273	1069	1166
gene_145	2194	2254	2170
gene_146	2	16	17
gene_147	1089	1134	1048
gene_148	776	706	702
gene_149	1138	1106	988
gene_150	1294	1707	1344
gene_151	584	598	584
gene_152	511	614	506
gene_153	458	512	554
gene_154	1743	1960	2015
gene_156	757	944	831
gene_157	5028	5726	4924
gene_158	1187	1170	1088
gene_159	134	214	170
gene_160	844	983	867
gene_161	3697	4126	3872
gene_162	3895	2847	3174
gene_163	3292	3711	3217
gene_164	7297	7638	7283
gene_165	649	729	696
gene_166	368	384	430
gene_167	4765	5048	5036
gene_168	1269	1158	1129
gene_169	1	2	10
gene_170	8020	9044	8254
gene_171	4247	4493	4082
gene_172	17417	17429	16710
gene_173	288	304	319
gene_174	448	478	388
gene_175	1499	1681	1490
gene_176	65	72	86
gene_177	1434	1580	1553
gene_178	2072	2273	1937
gene_179	3096	3526	3216
gene_180	415	556	405
gene_181	9633	10715	9466
gene_182	1058	1229	1280
gene_183	217	285	266
gene_184	1951	2270	1818
gene_185	4350	5109	4653
gene_186	45	33	65
gene_187	577	507	520
gene_188	472	507	457
gene_189	313	354	358
gene_190	1137	1223	1143
gene_191	2133	2283	2096
gene_192	2402	2482	2366
gene_193	650	660	754
gene_194	7	2	6
gene_195	302	347	309
gene_196	1205	1313	1148
gene_197	1475	1825	1404
gene_198	94	81	102
gene_199	3324	3975	3290
gene_200	6505	7312	6719
gene_201	1536	1575	1591
gene_202	1015	1084	1005
gene_203	2425	2598	2379
gene_204	1626	1799	1584
gene_205	14	30	16
gene_206	1188	1521	1314
gene_207	14260	15372	14035
gene_209	7	9	1
gene_210	0	0	0
gene_211	1168	1317	1092
gene_212	2393	2484	2176
gene_213	4654	5226	4907
gene_214	965	1102	1107
gene_215	399	439	388
gene_216	232	263	222
gene_217	619	688	653
gene_218	124	122	91
gene_219	2031	2359	2182
gene_220	570	649	583
gene_221	1606	1777	1574
gene_222	3393	3659	3094
gene_223	832	991	808
gene_224	4726	5430	4966
gene_225	1280	1429	1216
gene_226	3286	3540	3482
gene_227	3438	4125	3694
gene_228	2497	2694	2495
gene_229	445	608	488
gene_230	3823	3897	3737
gene_231	34451	35900	33954
gene_232	1269	1432	1397
gene_233	1026	1203	1073
gene_234	91181	102298	89735
gene_235	2513	2826	2663
gene_236	888	1025	930
gene_237	4016	4755	4159
gene_238	865	927	924
gene_239	6759	7206	6681
gene_240	2682	2883	2676
gene_241	1092	1171	1129
gene_242	137	128	110
