Gene	ATS_wo_1	ATS_wo_2	ATS_wo_3
gene_1	411	523	435
gene_2	5	14	36
gene_3	1105	1531	1358
gene_4	12	6	0
gene_5	1253	1364	1244
gene_6	141	181	171
gene_7	635	806	564
gene_8	25	22	22
gene_9	126	164	126
gene_10	518	502	500
gene_11	5781	7319	6371
gene_12	0	0	0
gene_13	0	0	0
gene_14	10	19	22
gene_15	537	719	663
gene_16	658	685	533
gene_17	0	0	0
gene_18	0	0	0
gene_19	17	19	27
gene_20	24504	29158	25953
gene_21	234	221	195
gene_22	2070	2604	2638
gene_23	2252	2460	2453
gene_24	24	14	34
gene_25	0	0	0
gene_26	0	0	2
gene_27	213	264	214
gene_28	0	0	0
gene_29	3145	3573	3105
gene_30	12902	14911	13213
gene_31	4459	5414	4960
gene_32	12155	14169	13686
gene_33	1442	1782	1652
gene_34	422	543	537
gene_35	222	272	272
gene_36	264	342	314
gene_37	24	30	14
gene_38	737	918	871
gene_39	46	36	61
gene_40	1902	2109	1925
gene_41	0	0	0
gene_42	0	0	2
gene_43	4	2	0
gene_44	16	37	11
gene_45	2776	3276	2920
gene_46	1915	2568	2174
gene_47	1351	1407	1375
gene_48	0	0	0
gene_49	0	0	0
gene_50	9	21	23
gene_51	670	714	729
gene_52	3283	3710	3339
gene_53	125	100	74
gene_54	1348	1578	1325
gene_55	3620	4571	3897
gene_56	12	26	18
gene_58	191	159	217
gene_59	542	668	553
gene_61	1976	2138	2029
gene_62	8	14	10
gene_63	824	1002	917
gene_64	4396	5573	4744
gene_65	0	3	2
gene_66	87	87	120
gene_67	3011	3381	3504
gene_68	589	594	574
gene_69	307	325	363
gene_70	595	736	715
gene_71	496	430	496
gene_72	0	0	0
gene_73	0	0	0
gene_74	2797	3244	2983
gene_75	2725	3223	2857
gene_76	403	444	436
gene_77	4682	4046	4573
gene_78	2556	2351	2402
gene_80	2832	2869	3010
gene_81	3984	4546	4457
gene_82	1948	2430	2224
gene_84	33167	32403	32976
gene_85	2600	2430	2820
gene_86	1172	1157	1143
gene_87	404	485	488
gene_88	2656	3019	2810
gene_89	1104	1483	1335
gene_90	1382	1514	1515
gene_91	55	16	11
gene_93	11160	11451	11892
gene_94	18	21	33
gene_95	473	547	446
gene_96	41	65	54
gene_97	15	26	24
gene_98	46	55	43
gene_99	2605	3188	2771
gene_100	1655	2145	1989
gene_101	43	60	41
gene_102	38	61	40
gene_103	0	0	0
gene_104	2205	2664	2329
gene_105	4478	5444	4951
gene_106	1601	2009	1705
gene_107	9263	10405	9454
gene_108	3151	3264	3082
gene_109	2337	2718	2447
gene_110	1715	1944	1903
gene_111	3	2	6
gene_112	1294	1516	1532
gene_113	334	356	296
gene_114	973	1172	953
gene_115	4695	5474	5136
gene_116	4998	5254	5212
gene_117	1563	1733	1619
gene_118	1626	1901	1627
gene_119	1534	1852	1898
gene_120	844	1093	983
gene_121	5543	5626	5572
gene_122	65	63	102
gene_123	688	795	706
gene_124	3456	3470	3503
gene_125	20	20	23
gene_127	824	845	654
gene_128	838	1119	1074
gene_129	7	2	3
gene_130	54	100	43
gene_131	1892	2336	2077
gene_132	1732	1902	1907
gene_133	1195	1360	1209
gene_134	712	797	743
gene_135	10574	12667	11338
gene_136	1354	1515	1370
gene_137	10923	10265	11388
gene_138	1806	1534	1714
gene_139	0	0	0
gene_140	0	0	0
gene_141	2104	2756	2611
gene_142	2069	2402	2640
gene_143	1647	1721	1581
gene_144	2408	1941	2478
gene_145	2493	2716	2962
gene_146	15	8	9
gene_147	976	1067	961
gene_148	671	889	705
gene_149	926	1198	945
gene_150	1417	1666	1444
gene_151	758	948	765
gene_152	645	755	714
gene_153	868	961	939
gene_154	2309	2363	2831
gene_156	1015	1253	1362
gene_157	6777	7010	7328
gene_158	1724	1826	1962
gene_159	421	455	497
gene_160	1113	1390	1279
gene_161	3843	3944	3996
gene_162	3945	3004	3325
gene_163	3363	3473	3559
gene_164	7137	8791	7559
gene_165	707	875	815
gene_166	418	468	424
gene_167	6110	5750	6488
gene_168	1510	1407	1501
gene_169	0	0	5
gene_170	10029	12192	11566
gene_171	3447	4135	3786
gene_172	14372	13631	14354
gene_173	486	621	595
gene_174	562	789	707
gene_175	1422	1776	1557
gene_176	170	158	171
gene_177	1385	1595	1456
gene_178	2632	2813	2835
gene_179	3772	4092	4001
gene_180	651	660	605
gene_181	8016	9619	8607
gene_182	1039	1196	1066
gene_183	296	305	320
gene_184	1683	2015	1717
gene_185	4438	4978	4574
gene_186	71	86	95
gene_187	520	605	510
gene_188	496	581	617
gene_189	293	413	322
gene_190	1220	1349	1347
gene_191	2455	2766	2431
gene_192	2548	2494	2403
gene_193	1114	1179	980
gene_194	10	10	14
gene_195	409	584	550
gene_196	1129	1487	1335
gene_197	1644	1915	1784
gene_198	166	255	201
gene_199	2404	2818	2611
gene_200	5665	7173	6566
gene_201	2541	2643	2528
gene_202	1482	1743	1663
gene_203	2842	3048	2878
gene_204	1567	1741	1703
gene_205	20	55	70
gene_206	1773	2263	2304
gene_207	20458	24672	21909
gene_209	11	15	6
gene_210	0	0	0
gene_211	1480	1566	1775
gene_212	3069	3206	3435
gene_213	4775	5732	5148
gene_214	1105	1268	1140
gene_215	380	419	423
gene_216	308	358	327
gene_217	758	833	691
gene_218	142	112	148
gene_219	3842	4282	4153
gene_220	626	808	780
gene_221	1978	2349	2042
gene_222	3776	4128	4065
gene_223	983	1177	1067
gene_224	4720	5610	4876
gene_225	1598	1598	1962
gene_226	3724	3896	3759
gene_227	5117	5751	5520
gene_228	2869	3145	3146
gene_229	503	627	513
gene_230	3676	3581	3770
gene_231	56089	58143	59422
gene_232	1963	2292	2196
gene_233	1539	1808	1475
gene_234	93205	106336	101496
gene_235	3821	4860	4351
gene_236	1155	1215	1167
gene_237	4597	5238	4899
gene_238	836	1023	995
