Gene	Par_wo_1	Par_wo_2	Par_wo_3	Par_Ac_1	Par_Ac_2	Par_Ac_3	ATS_wo_1	ATS_wo_2	ATS_wo_3	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
gene_1	203	192	233	346	351	287	411	523	435	393	449	374
gene_2	15	14	17	1	10	3	5	14	36	12	8	10
gene_3	1028	994	1201	1131	1109	832	1105	1531	1358	1173	1259	1075
gene_4	6	2	7	2	6	4	12	6	0	10	10	6
gene_5	1021	909	1164	1195	1183	913	1253	1364	1244	989	1054	1095
gene_6	81	58	82	101	107	92	141	181	171	71	102	121
gene_7	398	308	320	540	544	444	635	806	564	603	652	657
gene_8	13	11	7	11	4	9	25	22	22	9	21	25
gene_9	70	29	45	35	67	63	126	164	126	66	95	94
gene_10	321	329	319	312	267	245	518	502	500	404	471	450
gene_11	4640	4283	4985	4605	5017	4131	5781	7319	6371	4901	6056	5412
gene_12	0	0	0	0	2	0	0	0	0	4	0	0
gene_13	0	0	0	1	0	0	0	0	0	2	4	2
gene_14	7	10	32	21	45	25	10	19	22	21	17	16
gene_15	751	673	784	703	755	689	537	719	663	632	593	572
gene_16	854	773	886	646	613	491	658	685	533	557	511	446
gene_17	0	0	2	0	0	0	0	0	0	0	0	2
gene_18	0	0	2	0	0	0	0	0	0	0	0	0
gene_19	20	20	19	37	24	22	17	19	27	18	11	18
gene_20	14042	12699	14065	18587	18616	16310	24504	29158	25953	22340	24893	22529
gene_21	392	358	387	80	80	65	234	221	195	84	106	70
gene_22	8368	7660	8302	1755	1578	1502	2070	2604	2638	1053	1084	975
gene_23	982	834	973	754	806	593	2252	2460	2453	1163	1220	1238
gene_24	18	16	13	8	18	8	24	14	34	14	14	25
gene_25	0	0	2	0	0	0	0	0	0	0	0	0
gene_26	4	2	2	0	1	0	0	0	2	0	0	1
gene_27	55	55	80	78	91	68	213	264	214	125	183	96
gene_28	0	1	4	4	0	0	0	0	0	0	0	0
gene_29	4250	4097	4693	3497	3483	2923	3145	3573	3105	2577	2770	2474
gene_30	18964	18504	20042	14762	15347	12662	12902	14911	13213	11596	12438	11354
gene_31	9166	8296	9262	8992	9211	7748	4459	5414	4960	6379	7048	6336
gene_32	18235	13583	14955	41379	41028	38183	12155	14169	13686	9298	10371	9721
gene_33	2309	2056	2313	2875	2665	2384	1442	1782	1652	1317	1479	1246
gene_34	377	286	314	622	799	575	422	543	537	357	368	345
gene_35	182	87	136	204	160	189	222	272	272	158	185	212
gene_36	160	127	121	134	169	128	264	342	314	242	233	234
gene_37	1	3	11	2	2	7	24	30	14	5	5	3
gene_38	615	522	570	1359	1399	1158	737	918	871	1028	1057	938
gene_39	22	17	18	36	45	22	46	36	61	45	24	15
gene_40	1473	1305	1509	1528	1663	1317	1902	2109	1925	1664	2041	1806
gene_41	0	0	0	0	0	0	0	0	0	0	0	0
gene_42	0	0	2	0	0	0	0	0	2	4	0	0
gene_43	0	0	3	2	0	2	4	2	0	3	4	0
gene_44	33	16	32	32	14	47	16	37	11	12	11	10
gene_45	1916	1628	1798	3053	3062	2484	2776	3276	2920	2810	3441	2992
gene_46	1344	1259	1432	1520	1704	1370	1915	2568	2174	2192	2349	2163
gene_47	2811	2438	2742	1699	1860	1635	1351	1407	1375	1020	1031	1019
gene_48	0	0	0	0	0	0	0	0	0	0	0	0
gene_49	1	1	0	0	2	2	0	0	0	1	2	0
gene_50	12	14	20	58	82	86	9	21	23	22	20	19
gene_51	756	576	661	939	997	871	670	714	729	621	597	595
gene_52	2423	2096	2618	5409	5590	5273	3283	3710	3339	3731	4242	3642
gene_53	176	122	151	84	83	63	125	100	74	59	45	103
gene_54	1310	1097	1242	1464	1340	1186	1348	1578	1325	1236	1345	1200
gene_55	2325	1946	2180	3524	3815	3019	3620	4571	3897	4287	4628	4456
gene_56	30	12	25	25	21	12	12	26	18	21	9	7
gene_58	250	174	223	148	118	109	191	159	217	181	121	146
gene_59	330	279	228	251	247	199	542	668	553	225	346	311
gene_61	1542	1305	1426	1973	1964	1773	1976	2138	2029	1693	1677	1635
gene_62	6	8	2	5	16	5	8	14	10	14	16	10
gene_63	391	409	427	672	623	572	824	1002	917	828	710	790
gene_64	546	369	462	167	116	105	4396	5573	4744	1422	1634	1682
gene_65	0	0	2	0	0	2	0	3	2	4	6	4
gene_66	123	75	73	35	38	33	87	87	120	77	59	61
gene_67	3845	3361	3961	1840	1985	1679	3011	3381	3504	2025	1874	1878
gene_68	377	327	338	423	389	346	589	594	574	429	411	395
gene_69	138	133	165	223	158	116	307	325	363	342	368	314
gene_70	611	491	676	480	481	407	595	736	715	326	375	411
gene_71	328	233	249	191	216	165	496	430	496	291	309	353
gene_72	0	0	0	0	0	0	0	0	0	0	0	0
gene_73	0	0	0	6	0	0	0	0	0	0	0	0
gene_74	1826	1829	2029	2351	2521	2067	2797	3244	2983	2234	2623	2440
gene_75	3220	2811	2952	3106	2899	2840	2725	3223	2857	3087	3434	3041
gene_76	983	833	885	5246	5503	4561	403	444	436	1103	1251	1066
gene_77	6783	6248	6214	8338	7809	7429	4682	4046	4573	4793	4408	4005
gene_78	2491	2126	1985	2345	2244	2071	2556	2351	2402	2046	2223	2068
