Gene	Par_Ac_1	Par_Ac_2	Par_Ac_3
gene_1	346	351	287
gene_2	1	10	3
gene_3	1131	1109	832
gene_4	2	6	4
gene_5	1195	1183	913
gene_6	101	107	92
gene_7	540	544	444
gene_8	11	4	9
gene_9	35	67	63
gene_10	312	267	245
gene_11	4605	5017	4131
gene_12	0	2	0
gene_13	1	0	0
gene_14	21	45	25
gene_15	703	755	689
gene_16	646	613	491
gene_17	0	0	0
gene_18	0	0	0
gene_19	37	24	22
gene_20	18587	18616	16310
gene_21	80	80	65
gene_22	1755	1578	1502
gene_23	754	806	593
gene_24	8	18	8
gene_25	0	0	0
gene_26	0	1	0
gene_27	78	91	68
gene_28	4	0	0
gene_29	3497	3483	2923
gene_30	14762	15347	12662
gene_31	8992	9211	7748
gene_32	41379	41028	38183
gene_33	2875	2665	2384
gene_34	622	799	575
gene_35	204	160	189
gene_36	134	169	128
gene_37	2	2	7
gene_38	1359	1399	1158
gene_39	36	45	22
gene_40	1528	1663	1317
gene_41	0	0	0
gene_42	0	0	0
gene_43	2	0	2
gene_44	32	14	47
gene_45	3053	3062	2484
gene_46	1520	1704	1370
gene_47	1699	1860	1635
gene_48	0	0	0
gene_49	0	2	2
gene_50	58	82	86
gene_51	939	997	871
gene_52	5409	5590	5273
gene_53	84	83	63
gene_54	1464	1340	1186
gene_55	3524	3815	3019
gene_56	25	21	12
gene_58	148	118	109
gene_59	251	247	199
gene_61	1973	1964	1773
gene_62	5	16	5
gene_63	672	623	572
gene_64	167	116	105
gene_65	0	0	2
gene_66	35	38	33
gene_67	1840	1985	1679
gene_68	423	389	346
gene_69	223	158	116
gene_70	480	481	407
gene_71	191	216	165
gene_72	0	0	0
gene_73	6	0	0
gene_74	2351	2521	2067
gene_75	3106	2899	2840
gene_76	5246	5503	4561
gene_77	8338	7809	7429
gene_78	2345	2244	2071
gene_80	4592	4419	4562
gene_81	3659	3775	3541
gene_82	3190	3477	2899
gene_84	71112	64386	69404
gene_85	2077	1921	1928
gene_86	551	472	545
gene_87	273	328	302
gene_88	3350	3606	2915
gene_89	890	921	754
gene_90	2467	2545	2242
gene_91	45	48	47
gene_93	18099	16502	15482
gene_94	9	11	21
gene_95	377	408	350
gene_96	29	29	42
gene_97	1	0	0
gene_98	34	42	27
gene_99	2474	2434	2279
gene_100	1516	1505	1197
gene_101	46	65	60
gene_102	35	56	53
gene_103	3	0	2
gene_104	1636	1927	1447
gene_105	2317	2570	1991
gene_106	1289	1356	1007
gene_107	6995	7427	6332
gene_108	1437	1235	1205
gene_109	1325	1210	1096
gene_110	1737	1812	1575
gene_111	4	8	3
gene_112	2359	2380	2102
gene_113	302	325	247
gene_114	631	565	452
gene_115	3489	3817	2955
gene_116	4515	4448	3931
gene_117	2039	1920	1804
gene_118	1685	1897	1579
gene_119	1425	1560	1205
gene_120	601	681	557
gene_121	2713	2555	2505
gene_122	28	55	30
gene_123	470	584	454
gene_124	3689	3363	3138
gene_125	19	24	5
gene_127	665	697	644
gene_128	1070	1091	921
gene_129	2	11	0
gene_130	43	58	72
gene_131	2290	2432	1975
gene_132	1235	1184	1005
gene_133	1145	1034	895
gene_134	475	414	363
gene_135	9554	10076	8228
gene_136	1113	1155	1067
gene_137	7738	7785	7216
gene_138	1518	1477	1400
gene_139	0	0	0
gene_140	1	0	0
gene_141	1861	2014	1594
gene_142	1500	1470	1351
gene_143	1384	1429	1119
gene_144	3410	3127	3936
gene_145	2984	2677	2349
gene_146	3	2	1
gene_147	284	374	216
gene_148	265	243	169
gene_149	662	693	647
gene_150	1414	1563	1363
gene_151	901	967	847
gene_152	556	587	436
gene_153	834	716	681
gene_154	2583	2357	2311
gene_156	1599	1642	1346
gene_157	3232	3166	2873
gene_158	1227	1416	1121
gene_159	390	435	303
gene_160	1134	1195	1099
gene_161	12071	10931	10738
gene_162	11726	10164	13015
gene_163	4626	4528	4004
gene_164	5862	6418	5174
gene_165	232	270	283
gene_166	487	538	391
gene_167	6168	6149	5774
gene_168	1314	1327	1242
gene_169	6	1	0
gene_170	10220	11002	8959
gene_171	2964	3246	2700
gene_172	18368	16244	16818
gene_173	82	117	104
gene_174	799	877	698
gene_175	1759	2011	1544
gene_176	150	152	108
gene_177	1562	1700	1379
gene_178	2348	2487	2006
gene_179	3423	3272	2925
gene_180	618	623	552
gene_181	6346	5982	5427
gene_182	1133	1128	1107
gene_183	211	182	190
gene_184	1976	1997	1824
gene_185	4522	4590	3829
gene_186	92	121	149
gene_187	404	459	391
gene_188	440	503	429
gene_189	208	245	207
gene_190	1081	1152	875
gene_191	3174	3146	2794
gene_192	3030	2574	2857
gene_193	378	444	360
gene_194	8	5	4
gene_195	407	493	328
