Gene	Par_wo_1	Par_wo_2	Par_wo_3
gene_1	203	192	233
gene_2	15	14	17
gene_3	1028	994	1201
gene_4	6	2	7
gene_5	1021	909	1164
gene_6	81	58	82
gene_7	398	308	320
gene_8	13	11	7
gene_9	70	29	45
gene_10	321	329	319
gene_11	4640	4283	4985
gene_12	0	0	0
gene_13	0	0	0
gene_14	7	10	32
gene_15	751	673	784
gene_16	854	773	886
gene_17	0	0	2
gene_18	0	0	2
gene_19	20	20	19
gene_20	14042	12699	14065
gene_21	392	358	387
gene_22	8368	7660	8302
gene_23	982	834	973
gene_24	18	16	13
gene_25	0	0	2
gene_26	4	2	2
gene_27	55	55	80
gene_28	0	1	4
gene_29	4250	4097	4693
gene_30	18964	18504	20042
gene_31	9166	8296	9262
gene_32	18235	13583	14955
gene_33	2309	2056	2313
gene_34	377	286	314
gene_35	182	87	136
gene_36	160	127	121
gene_37	1	3	11
gene_38	615	522	570
gene_39	22	17	18
gene_40	1473	1305	1509
gene_41	0	0	0
gene_42	0	0	2
gene_43	0	0	3
gene_44	33	16	32
gene_45	1916	1628	1798
gene_46	1344	1259	1432
gene_47	2811	2438	2742
gene_48	0	0	0
gene_49	1	1	0
gene_50	12	14	20
gene_51	756	576	661
gene_52	2423	2096	2618
gene_53	176	122	151
gene_54	1310	1097	1242
gene_55	2325	1946	2180
gene_56	30	12	25
gene_58	250	174	223
gene_59	330	279	228
gene_61	1542	1305	1426
gene_62	6	8	2
gene_63	391	409	427
gene_64	546	369	462
gene_65	0	0	2
gene_66	123	75	73
gene_67	3845	3361	3961
gene_68	377	327	338
gene_69	138	133	165
gene_70	611	491	676
gene_71	328	233	249
gene_72	0	0	0
gene_73	0	0	0
gene_74	1826	1829	2029
gene_75	3220	2811	2952
gene_76	983	833	885
gene_77	6783	6248	6214
gene_78	2491	2126	1985
gene_80	5665	5187	5126
gene_81	6468	5788	6204
gene_82	3636	3448	3668
gene_84	48658	47427	49406
gene_85	1641	1469	1413
gene_86	495	520	581
gene_87	1081	1100	1225
gene_88	2795	2509	2991
gene_89	1031	985	999
gene_90	1408	1313	1553
gene_91	28	19	20
gene_93	11295	9737	10637
gene_94	39	6	24
gene_95	464	307	397
gene_96	64	40	48
gene_97	0	0	0
gene_98	16	22	15
gene_99	2202	1842	2029
gene_100	1410	1264	1435
gene_101	37	23	24
