Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene_2278,1280.94273567397,-5.90458357160455,0.163138717748146,-36.1936372499879,7.66601089806173E-287,3.8872572184633E-284
gene_1958,856.537705103731,-5.06633146247665,0.536780015830119,-9.43837570897954,3.7860264856164E-21,5.04191648347138E-20
gene_697,461.772632444153,-5.0052923287363,0.195447879570634,-25.6093457740861,1.2004424529066E-144,2.55268279018075E-142
gene_2263,2751.96925283409,-3.61268303538985,0.082523857468499,-43.7774377763287,0,0
gene_3736,341.497056356584,-3.59722088718607,0.171623993305184,-20.9598950467808,1.52422819492258E-97,1.73236418291891E-95
gene_7019,2290.33927974574,-3.41752525013229,0.087803241394816,-38.9225408520518,0,0
gene_5881,1229.28617885666,-3.00136658939622,0.220863573559326,-13.5892331226364,4.63915669796711E-42,1.41580189597218E-40
gene_6098,438.73562459603,-2.92251671078736,0.161936815393054,-18.0472655565927,8.28943790640697E-73,5.57591578357497E-71
gene_4071,2000.37138151641,-2.87845806052417,0.078555020203283,-36.6425729771996,6.00861717032228E-294,3.30073369889704E-291
gene_3135,396.136087674354,-2.8151056482837,0.159339815048834,-17.6673083712375,7.48857238643009E-70,4.65704426144784E-68
gene_5379,210.333395679278,-2.74205371627413,0.181924627929966,-15.0724712067556,2.45746389627954E-51,1.02529126609334E-49
gene_3663,9485.17111829837,-2.71904817212395,0.055134222128414,-49.3168864483296,0,0
gene_3196,477.768923931097,-2.50793940907478,0.138629756365721,-18.0909169490174,3.75782352946081E-73,2.58037215689642E-71
gene_3365,894.897855548607,-2.50125198329875,0.094787336968359,-26.3880394079822,1.87962847635924E-153,4.58907811709633E-151
gene_2577,452.964760530438,-2.49754388287968,0.133863339377738,-18.6574150509727,1.09921529724853E-77,8.62622290412181E-76
gene_1682,1258.59478273069,-2.49086816023783,0.098196785422679,-25.3660865731615,5.97244605868243E-142,1.12486755482385E-139
gene_5292,1082.41081548849,-2.48112037075561,0.090663266075685,-27.3663246224154,6.90498253157504E-165,2.06898385673376E-162
gene_3492,237.286206603229,-2.40251793295946,0.175890058608069,-13.6592025266926,1.77921530739951E-42,5.48064827400821E-41
gene_3505,582.269720299297,-2.35606797939223,0.111643926425867,-21.1034138158576,7.39961339745313E-99,8.55758798526509E-97
gene_5301,375.055637330187,-2.35074343385754,0.169701107122483,-13.852257499775,1.23275964639594E-43,3.944830868467E-42
gene_5483,819.003743331674,-2.34446041607705,0.217584507230937,-10.7749418647198,4.52067606522544E-27,8.20944810522483E-26
gene_2083,150.78198463856,-2.31548258708618,0.208078675157954,-11.1279187323184,9.17527968321297E-29,1.79476093981424E-27
gene_5820,1671.79726055787,-2.26814620817474,0.094993268344914,-23.8769151508638,5.32138322643654E-126,7.79523516192659E-124
gene_4901,375.491895709937,-2.22831304241735,0.160510967642735,-13.8826216995784,8.07359818317962E-44,2.60888035409412E-42
gene_3164,875.457534439645,-2.20988671804831,0.107597640945601,-20.5384309416744,9.76671380297112E-94,1.05544553097026E-91
gene_2713,263.469961805771,-2.20869045644096,0.165878106023631,-13.315141517991,1.89013966490616E-40,5.61252282480244E-39
gene_1916,1545.48611320091,-2.1815999251542,0.072518778689259,-30.0832413974081,8.02743844189553E-199,2.93982634494307E-196
gene_7023,10491.7233364566,-2.17443462226582,0.053155205995846,-40.9072748666564,0,0
gene_7661,78.5696262231972,-2.17053648676755,0.310047084803537,-7.0006672958816,2.54746239457671E-12,1.85147432249721E-11
gene_7662,2980.90040343127,-2.15342382799817,0.059681979574318,-36.08164211974,4.401565473576E-285,2.07250854298664E-282
gene_3396,438.927489150243,-2.148568289231,0.154545839296007,-13.9024660839673,6.11959725232971E-44,1.98721108804716E-42
gene_4029,871.263127277633,-2.14263965564652,0.103618691265128,-20.6781192609756,5.45254840153152E-95,5.9905331771493E-93
gene_6954,521.804605514189,-2.12979283190251,0.117878810322706,-18.0676478331598,5.73053079172096E-73,3.89439783288913E-71
gene_6062,486.679645874858,-2.10732780126797,0.119568082966676,-17.6245010288849,1.59772052130864E-69,9.75201266339499E-68
gene_5911,165.535853665088,-2.10127070105559,0.211657172453308,-9.92770845750164,3.15420872957223E-23,4.72557816939549E-22
gene_1702,476.224832475379,-2.08819892155873,0.142836983218541,-14.6194555114888,2.11081651447462E-48,7.7734650633613E-47
gene_6158,20567.6698853834,-2.08389512976706,0.118848230119586,-17.534086352571,7.87044486387202E-69,4.75981399473801E-67
