log2FoldChange,padj,Gene_id
-5.90458357160455,3.8872572184633e-284,gene_2278
-5.06633146247665,5.04191648347138e-20,gene_1958
-5.0052923287363,2.55268279018075e-142,gene_697
-3.61268303538985,0.0,gene_2263
-3.59722088718607,1.73236418291891e-95,gene_3736
-3.41752525013229,0.0,gene_7019
-3.00136658939622,1.41580189597218e-40,gene_5881
-2.92251671078736,5.57591578357497e-71,gene_6098
-2.87845806052417,3.30073369889704e-291,gene_4071
-2.8151056482837,4.65704426144784e-68,gene_3135
-2.74205371627413,1.02529126609334e-49,gene_5379
-2.71904817212395,0.0,gene_3663
-2.50793940907478,2.58037215689642e-71,gene_3196
-2.50125198329875,4.58907811709633e-151,gene_3365
-2.49754388287968,8.62622290412181e-76,gene_2577
-2.49086816023783,1.12486755482385e-139,gene_1682
-2.48112037075561,2.06898385673376e-162,gene_5292
-2.40251793295946,5.48064827400821e-41,gene_3492
-2.35606797939223,8.55758798526509e-97,gene_3505
-2.35074343385754,3.944830868467e-42,gene_5301
-2.34446041607705,8.20944810522483e-26,gene_5483
-2.31548258708618,1.79476093981424e-27,gene_2083
-2.26814620817474,7.79523516192659e-124,gene_5820
-2.22831304241735,2.60888035409412e-42,gene_4901
-2.20988671804831,1.05544553097026e-91,gene_3164
-2.20869045644096,5.61252282480244e-39,gene_2713
-2.1815999251542,2.93982634494307e-196,gene_1916
-2.17443462226582,0.0,gene_7023
-2.17053648676755,1.85147432249721e-11,gene_7661
-2.15342382799817,2.07250854298664e-282,gene_7662
-2.148568289231,1.98721108804716e-42,gene_3396
-2.14263965564652,5.9905331771493e-93,gene_4029
-2.12979283190251,3.89439783288913e-71,gene_6954
-2.10732780126797,9.75201266339499e-68,gene_6062
-2.10127070105559,4.72557816939549e-22,gene_5911
-2.08819892155873,7.7734650633613e-47,gene_1702
-2.08389512976706,4.75981399473801e-67,gene_6158
-2.07013943004497,7.75059056636314e-10,gene_6804
-2.05093199543297,1.81663230240706e-24,gene_4319
-2.0366451432632,0.0,gene_1491
-2.03082275049135,8.29963846142895e-20,gene_3567
-2.0299658919263,7.57678212037017e-69,gene_6227
-2.02537551849586,8.42256977683504e-19,gene_2082
-2.02295725195291,2.30199199272306e-43,gene_2666
-2.01807998824854,1.13484290765898e-124,gene_2824
-2.00831357180109,6.70430905743624e-76,gene_6008
-1.99568529499838,1.97287379647961e-13,gene_380
-1.95546352196903,3.40943848319817e-51,gene_6919
-1.93801945146621,1.28697239677521e-50,gene_657
-1.92909666554138,2.46411589284702e-20,gene_2533
-1.91852043263191,3.53545480758567e-31,gene_5420
-1.89311014170264,9.33910385376025e-152,gene_7641
-1.88943291716183,2.87062242430319e-64,gene_7412
-1.88557904612052,8.22175491145536e-135,gene_7024
-1.8663700007901,5.70627649972686e-91,gene_2790
-1.83432823466056,7.01258991642648e-07,gene_2631
-1.83269929374171,3.75366813733715e-41,gene_5039
-1.81245326794088,1.13827207305913e-90,gene_4819
-1.81133707106929,1.28544424717527e-161,gene_3134
-1.81086232599218,1.26140332676943e-24,gene_1225
-1.78832006578127,2.3903148588831e-23,gene_5202
-1.78223593677758,9.07087355207647e-25,gene_5503
-1.77218982600425,1.05005334798256e-59,gene_3808
-1.76594810287325,1.01031594104005e-12,gene_739
-1.76398677242692,1.56753183125397e-14,gene_3566
-1.76348248931574,5.27427551694206e-68,gene_3451
-1.76333401158644,0.0,gene_307
-1.74705396645436,3.94765392199698e-59,gene_7072
-1.74212281776448,4.41079928221e-76,gene_3741
-1.73947210925888,2.08272552770743e-20,gene_6503
-1.72298915832623,2.56860227871932e-200,gene_6380
-1.71918293799663,2.16637338801982e-18,gene_5142
-1.71051043753945,9.56044399980223e-39,gene_6523
-1.69843166707352,1.86801985762298e-25,gene_4269
-1.69643119115306,1.18591625428583e-46,gene_2012
-1.68896465992771,1.30862367698828e-19,gene_5879
-1.68831481003121,6.53802494141574e-26,gene_2501
-1.68829084815967,1.28120426401e-53,gene_3263
-1.67952364265043,1.79643552618523e-131,gene_4978
-1.67570350952663,2.39105686605889e-30,gene_908
-1.67417987526651,0.0,gene_1960
-1.67371927776743,2.40938523679798e-29,gene_87
-1.66391129875088,1.83060943225767e-78,gene_1988
-1.65664051623082,7.61420758458895e-60,gene_644
-1.6490455271093,6.76528646857394e-51,gene_4672
-1.63792701463242,1.34242139958237e-19,gene_7455
-1.6205183410467,7.23838286325983e-49,gene_2999
-1.6091823091379,1.98395575312089e-16,gene_5511
-1.60865719352348,4.14656478102433e-35,gene_1932
-1.60836067901151,3.22614432368873e-41,gene_6837
-1.58731915835365,6.00897472393414e-05,gene_3875
-1.57547552999946,3.54819191862794e-34,gene_1372
-1.57437749575775,1.11695963816891e-162,gene_3716
-1.57424949681999,1.30877686123001e-65,gene_1823
-1.57067114216163,1.86395613378467e-19,gene_5210
-1.55762615592948,7.49797980994019e-26,gene_3289
-1.55262369866087,4.38498646551997e-55,gene_7345
-1.54745119552328,7.00200382188794e-20,gene_5084
-1.54257016019516,3.09130121601042e-22,gene_6682
-1.54064765936188,1.41049073101499e-30,gene_3131
-1.53884642937888,4.91670540663811e-137,gene_7417
-1.53101426746392,1.16189253716348e-30,gene_5375
-1.52163529565079,1.80895052401409e-11,gene_3842
-1.52051204937669,1.64672843077819e-56,gene_3969
-1.50461158102425,1.21627628335019e-44,gene_7339
-1.49928014548411,1.57677795366516e-26,gene_2517
-1.49771832978574,2.42825324844924e-50,gene_5476
-1.49458791668707,4.57345747059275e-80,gene_4223
-1.48885845838367,7.86723084583174e-31,gene_7056
-1.48796932842435,5.66375654856314e-35,gene_6611
-1.48465147147227,5.74824788287341e-07,gene_2016
-1.48254148360635,1.56254771346313e-30,gene_3244
-1.48249710008538,6.99738549387513e-58,gene_5119
-1.48132931003544,3.95844288878747e-23,gene_928
-1.48002382229798,1.48559614489571e-64,gene_4863
-1.47863335254607,1.89893839479023e-12,gene_5828
-1.46631370896874,0.0,gene_7022
-1.46305753814783,4.06114519487404e-56,gene_7084
-1.45991289827314,1.18970197211985e-20,gene_404
-1.45880922363401,1.85115244035319e-16,gene_2440
-1.45772653071106,1.19255855430108e-13,gene_7489
-1.45686007855274,3.79125906404244e-220,gene_2201
-1.44453195663617,1.71426358065932e-82,gene_2536
-1.43930433198998,1.10453158665134e-25,gene_7216
-1.43408569327827,2.51492557685023e-129,gene_5170
-1.43399944292684,4.56101343776845e-11,gene_5380
-1.39452776538759,9.69519562679468e-11,gene_7665
-1.3890858262015,0.000253863514729,gene_2961
-1.38619243299839,8.28654001038475e-86,gene_64
-1.3750753824068,7.96765039183502e-28,gene_2747
-1.37390036018038,1.45647019886989e-21,gene_1018
-1.3700108653526,2.05184012159658e-50,gene_2192
-1.36921071697495,4.2362437618927e-32,gene_5824
-1.36456847058413,1.99014665836585e-36,gene_4577
-1.35676146048005,2.40970877604429e-74,gene_3225
-1.3504057512107,5.86408542515215e-34,gene_3048
-1.34840138895202,2.19815665137315e-23,gene_6355
-1.34472371056649,1.12576623143335e-172,gene_6841
-1.33793701207685,3.33325396024993e-44,gene_1061
-1.33769427589804,8.821390871702e-51,gene_572
-1.33765064255035,9.52290421205302e-141,gene_324
-1.33675713764767,7.51484611315695e-84,gene_5620
-1.326515447918,2.98314198720945e-121,gene_5492
-1.32320408527997,2.31240945914614e-143,gene_6988
-1.322538442405,1.37606204903205e-36,gene_1867
-1.31515892479977,5.19366742537153e-17,gene_4987
-1.30856265356778,1.9246488282531e-118,gene_6196
-1.30143227809343,6.12733137081409e-21,gene_3608
-1.2963011357896,1.83815425859386e-19,gene_6310
-1.28608637294958,1.14418066414616e-140,gene_7919
-1.28137124476103,3.23808719171483e-27,gene_458
-1.28000179020598,4.16762642083126e-09,gene_2978
-1.2798743627915,1.33797757870272e-35,gene_5378
-1.27629853289227,1.34095216494571e-68,gene_1446
-1.27289936572124,2.33530069714312e-116,gene_2200
-1.2679700684065,6.40366948219658e-57,gene_2678
-1.26668921698619,1.0685433338012e-17,gene_3862
-1.26577253719993,4.99884377820219e-22,gene_2715
-1.26489910032704,6.09669305209576e-158,gene_4910
-1.25030744222858,1.67825040702674e-10,gene_2332
-1.24967890677067,1.65635601617726e-51,gene_5361
-1.24670803245968,8.85912574606158e-70,gene_5747
-1.24566731267169,3.14822083846175e-12,gene_2739
-1.24510427462689,1.77781016825895e-44,gene_4301
-1.23613890066306,1.4552122115056e-126,gene_7054
-1.23305625374833,2.10978637923565e-15,gene_5174
-1.22992652304929,2.60215500079547e-12,gene_540
-1.22943558379793,7.87739997725911e-05,gene_2954
-1.22872891588613,2.17504223149162e-08,gene_4849
-1.22801394037233,1.74603708533226e-88,gene_2532
-1.22759410610031,1.32169769524222e-50,gene_5475
-1.22722162086951,7.59540026995297e-16,gene_2617
-1.22191823621823,2.51877577660966e-15,gene_7514
-1.22130088800201,1.36057543478754e-70,gene_1851
-1.22040639238215,6.30803499630648e-18,gene_2087
-1.2185483705865,1.70249823043413e-42,gene_5905
-1.21821600508709,1.59973006580577e-18,gene_645
