log2FoldChange,padj,Gene_id
1.00295221347684,1.39001111846703e-18,gene_6965
1.00496337230728,5.30315468743161e-24,gene_2102
1.0165292313145,8.48349096467372e-91,gene_6447
1.0446816513498,2.56498899950968e-81,gene_3886
1.05396995570694,0.009991635822528,gene_1193
1.06353550176383,0.001760268928968,gene_615
1.06368422098303,9.11679141911141e-19,gene_2640
1.0661721266861,4.81372100298327e-105,gene_6522
1.06659070414373,6.57117067576436e-11,gene_3838
1.06890212517725,9.28333220786996e-36,gene_1357
1.09520551727409,6.15963451558133e-22,gene_913
1.09521190698518,1.7178393147877e-174,gene_6437
1.09997934691565,1.91750223224144e-42,gene_590
1.11686943634421,3.4257934169579e-157,gene_2795
1.1173347786291,8.85038035294667e-12,gene_4056
1.12927002680129,2.75964073225226e-37,gene_2475
1.15605903865425,3.02291716307421e-47,gene_5760
1.17147207789355,7.88374146681382e-15,gene_7926
1.17608594467385,1.48344867022882e-26,gene_1902
1.18221251866808,7.19233059852436e-13,gene_4482
1.18635232583113,1.58417652113857e-72,gene_1654
1.20297580133077,3.3310115734092e-25,gene_2644
1.21208031329079,7.03106272060528e-08,gene_4317
1.22588291222541,3.08357275322528e-19,gene_5864
1.25317502154205,2.72612971088846e-05,gene_4483
1.25839272919512,1.94517704049123e-06,gene_1870
1.26568029914267,8.44968916018574e-19,gene_3635
1.26712879827757,1.30683598131697e-23,gene_3317
1.27276776183431,1.59307635916262e-56,gene_806
1.29486440937902,0.001304361614269,gene_5033
1.2986368285178,5.63311383725055e-72,gene_7322
1.29889708522904,9.36007008761442e-64,gene_7927
1.3076640728411,2.17577240470312e-95,gene_7326
1.31205901293939,8.44650843741116e-20,gene_379
1.31755875236274,1.62402815792945e-65,gene_7324
1.32170358699403,5.01486669422056e-10,gene_6660
1.34430155774231,2.96093663765987e-81,gene_2642
1.35546336767076,1.34554154071591e-29,gene_7152
1.37164944692523,8.79714971868206e-48,gene_2946
1.40847187836871,5.28104238112882e-09,gene_4063
1.41069938018926,4.10972159236808e-124,gene_1789
1.41371531734442,8.16656062810237e-09,gene_246
1.41558925840479,1.51997759758554e-39,gene_1989
1.44782328131722,1.61237900562451e-111,gene_508
1.46751318587175,4.76182372201785e-13,gene_5231
1.52335250056278,7.84651834809702e-97,gene_4975
1.65726086472289,1.95697249714115e-75,gene_76
1.66821285493772,1.74149044506995e-74,gene_6961
1.78669671721812,4.75487937739795e-121,gene_3584
1.82881368568551,0.0,gene_7214
1.92348811177495,5.86408542515215e-34,gene_1177
2.09216787163202,2.28063368363566e-08,gene_7325
2.42740934676327,1.97921732154357e-29,gene_4442
2.71226091530462,0.0,gene_2156
2.71802746852683,0.0,gene_6960
4.78811514465658,1.19644731688024e-63,gene_2144
