Protein_ID,log2FoldChange,padj,Gene_id
59445,1.92348811177495,5.86408542515215E-34,gene_1177
479960,1.05396995570694,0.009991635822528,gene_1193
480494,1.06890212517725,9.28333220786996E-36,gene_1357
159427,1.18635232583113,1.58417652113857E-72,gene_1654
481923,1.41069938018926,4.10972159236808E-124,gene_1789
171095,1.25839272919512,1.94517704049123E-06,gene_1870
482329,1.17608594467385,1.48344867022882E-26,gene_1902
508744,1.41558925840479,1.51997759758554E-39,gene_1989
180336,1.00496337230728,5.30315468743161E-24,gene_2102
522523,4.78811514465658,1.19644731688024E-63,gene_2144
471301,2.71226091530462,0,gene_2156
11946,1.41371531734442,8.16656062810237E-09,gene_246
198172,1.12927002680129,2.75964073225226E-37,gene_2475
539094,1.06368422098303,9.11679141911141E-19,gene_2640
484708,1.34430155774231,2.96093663765987E-81,gene_2642
484710,1.20297580133077,3.3310115734092E-25,gene_2644
471802,1.11686943634421,3.4257934169579E-157,gene_2795
220860,1.37164944692523,8.79714971868206E-48,gene_2946
452077,1.26712879827757,1.30683598131697E-23,gene_3317
526018,1.78669671721812,4.75487937739795E-121,gene_3584
488166,1.26568029914267,8.44968916018574E-19,gene_3635
18512,1.31205901293939,8.44650843741116E-20,gene_379
540109,1.06659070414373,6.57117067576436E-11,gene_3838
488999,1.0446816513498,2.56498899950968E-81,gene_3886
453006,1.1173347786291,8.85038035294667E-12,gene_4056
426274,1.40847187836871,5.28104238112882E-09,gene_4063
490577,1.21208031329079,7.03106272060528E-08,gene_4317
491066,2.42740934676327,1.97921732154357E-29,gene_4442
298123,1.18221251866808,7.19233059852436E-13,gene_4482
510988,1.25317502154205,2.72612971088846E-05,gene_4483
492900,1.52335250056278,7.84651834809702E-97,gene_4975
493090,1.29486440937902,0.001304361614269,gene_5033
515251,1.44782328131722,1.61237900562451E-111,gene_508
493734,1.46751318587175,4.76182372201785E-13,gene_5231
361796,1.15605903865425,3.02291716307421E-47,gene_5760
496059,1.22588291222541,3.08357275322528E-19,gene_5864
477925,1.09997934691565,1.91750223224144E-42,gene_590
470092,1.06353550176383,0.001760268928968,gene_615
497866,1.09521190698518,1.7178393147877E-174,gene_6437
497892,1.0165292313145,8.48349096467372E-91,gene_6447
443002,1.0661721266861,4.81372100298327E-105,gene_6522
75285,1.32170358699403,5.01486669422056E-10,gene_6660
499819,2.71802746852683,0,gene_6960
90526,1.66821285493772,1.74149044506995E-74,gene_6961
513201,1.00295221347684,1.39001111846703E-18,gene_6965
443644,1.35546336767076,1.34554154071591E-29,gene_7152
500585,1.82881368568551,0,gene_7214
500950,1.2986368285178,5.63311383725055E-72,gene_7322
421953,1.31755875236274,1.62402815792945E-65,gene_7324
500964,2.09216787163202,2.28063368363566E-08,gene_7325
106166,1.3076640728411,2.17577240470312E-95,gene_7326
2738,1.65726086472289,1.95697249714115E-75,gene_76
506965,1.17147207789355,7.88374146681382E-15,gene_7926
503648,1.29889708522904,9.36007008761442E-64,gene_7927
507690,1.27276776183431,1.59307635916262E-56,gene_806
470327,1.09520551727409,6.15963451558133E-22,gene_913
