log2FoldChange,padj,Gene_id
-5.0617063409223,0.0,gene_4345
-3.93558100541332,0.0,gene_5483
-2.8783715974089,2.31653254961252e-224,gene_6467
-2.82941799745913,8.4667180593157e-43,gene_826
-2.79599224318687,9.34371269586293e-51,gene_3649
-2.69124981173493,0.0,gene_6842
-2.63734564767702,6.8693127119694e-251,gene_7345
-2.4847536072757,7.96141045476219e-75,gene_2770
-2.47210887892884,6.46470147951424e-59,gene_4901
-2.3984854469601,4.35558801140714e-20,gene_3647
-2.361355076234,4.50424003087272e-241,gene_4900
-2.27582866205324,3.48546037021392e-76,gene_3608
-2.26161994078711,0.0,gene_778
-2.16653684724867,8.8419674134969e-11,gene_5984
-2.15096685171638,1.74167460845076e-295,gene_76
-2.10449160369768,2.492904321714e-51,gene_649
-2.07405672650031,6.35581458005e-110,gene_5820
-2.02846322194712,0.0,gene_32
-2.01845097481355,1.46184974085984e-41,gene_739
-1.99529071063371,1.43638782951136e-160,gene_4005
-1.96299373346333,2.51212662270681e-191,gene_1584
-1.95292206993644,7.40793730531026e-235,gene_7625
-1.93576006810594,1.29539062637949e-73,gene_4728
-1.92900940965016,7.80163302578166e-63,gene_3365
-1.90682050992876,6.84927713514527e-28,gene_5084
-1.89711137212749,5.86678182298336e-82,gene_3635
-1.88885316061629,1.50006046125385e-24,gene_5202
-1.88861676519853,2.64736705155603e-07,gene_50
-1.88102138552826,2.93363837049185e-45,gene_2319
-1.86933796465857,1.062881922714e-107,gene_2392
-1.85680745734497,5.55850889802997e-14,gene_2083
-1.84893219791741,9.26424792284268e-40,gene_2617
-1.83501081990795,7.43099785029221e-06,gene_2219
-1.83336352146309,1.07566949775124e-55,gene_2144
-1.83111731324236,3.32368192118076e-55,gene_5292
-1.83068292261465,2.45383866750879e-35,gene_5903
-1.81264625406692,2.99527570101055e-48,gene_7377
-1.81230327479297,9.8041996405874e-14,gene_162
-1.79933572347935,1.66148783224139e-33,gene_1702
-1.79810006988508,4.24848901997522e-41,gene_3244
-1.77242286071943,6.0244250519876e-54,gene_2522
-1.76795172999029,5.57996011946321e-34,gene_3650
-1.76687517253067,3.12132049847086e-13,gene_2082
-1.7642377406552,1.08378362815493e-06,gene_3636
-1.7578107837248,4.19119825518974e-21,gene_2713
-1.74543297194784,3.39554705368151e-23,gene_5420
-1.70812616038321,7.90658610753897e-44,gene_904
-1.70638827777846,3.18133511660828e-72,gene_4262
-1.68891827181867,4.21666755652053e-45,gene_7216
-1.67269635971457,1.44036358116164e-173,gene_1768
-1.67000025083577,1.44689335489469e-52,gene_6503
-1.65666707939434,8.63063053400072e-57,gene_3407
-1.6539176648042,7.13797211027615e-37,gene_6355
-1.65241746575664,2.12672809067541e-32,gene_5270
-1.64700580562695,0.000116542599349,gene_752
-1.63523773768391,1.30278156882688e-45,gene_3451
-1.63282385293626,4.11256328232596e-60,gene_7120
-1.62859275913901,1.90615025453241e-77,gene_1988
-1.62335806285275,7.29588084853988e-21,gene_4225
-1.609457297926,4.93278251378838e-30,gene_6062
-1.59584065266568,2.03281004760734e-18,gene_5301
-1.57913015262047,1.27684491765886e-39,gene_4672
-1.57709617812195,1.81551981648001e-14,gene_144
-1.57595086416136,5.7623545918333e-24,gene_441
-1.57382338890358,1.19189559187558e-34,gene_1879
-1.55090326853359,7.98432822600387e-52,gene_5276
-1.53624864144314,3.45532473520574e-51,gene_2924
-1.53130138145176,1.36583406765779e-36,gene_1682
-1.52858201668308,4.58226018668181e-26,gene_7514
-1.52252292877412,2.15245761768451e-33,gene_4679
-1.5210140142318,4.14999014095904e-151,gene_161
-1.52070334965305,1.23482912843741e-14,gene_3135
-1.52046343039914,3.14976761556236e-43,gene_6832
-1.51556000839429,1.10172356479764e-08,gene_3567
-1.5138143119453,2.57184741323897e-139,gene_5170
-1.51220306602197,3.30509723675471e-34,gene_3741
-1.51015081845663,1.54365368741646e-79,gene_5562
-1.50981791905497,1.79325682740639e-28,gene_6954
-1.50456669370234,2.24666455647765e-43,gene_7590
-1.50363318649972,6.12318126818847e-20,gene_2501
-1.50324934310177,1.02871038661864e-30,gene_2987
-1.49867137503138,1.15669471938257e-40,gene_2012
-1.49008303685532,4.57946171058163e-58,gene_6023
-1.48848267300439,1.56845638379326e-25,gene_5856
-1.48389641726469,0.002549001884724,gene_501
-1.48071121445003,2.5850815795232e-42,gene_7430
-1.4777007648682,8.05969145386227e-24,gene_6266
-1.4771481462565,6.46660414143725e-78,gene_2536
-1.46876571448848,2.76150604153632e-07,gene_2016
-1.46594225872834,1.91702674588423e-75,gene_2104
-1.46314319087924,8.08541798189822e-36,gene_2005
-1.45963118953977,2.69723473427786e-29,gene_4317
-1.45768415754005,2.28764751677514e-76,gene_2437
-1.44644487127539,1.87231519249733e-47,gene_701
-1.44231680953314,5.28509291620887e-62,gene_2887
-1.44152388165563,5.220288816315e-12,gene_3693
-1.44116146015526,4.95736576528443e-90,gene_5129
-1.4394735125297,1.21419568867483e-80,gene_4024
-1.43437659850363,9.13206739328265e-58,gene_1085
-1.43378826782704,9.13396399157827e-33,gene_6621
-1.4318171927922,4.78624924867237e-34,gene_2608
-1.4267289971198,1.95131997363097e-30,gene_4804
-1.42506568453842,0.00141417265709,gene_2143
-1.42462410312734,5.88901901231098e-23,gene_3505
-1.42390566571492,1.24409798166451e-28,gene_4894
-1.4219701343945,4.61108878432068e-08,gene_5911
-1.41991460691528,2.61389091343676e-34,gene_7072
-1.41638075068204,3.643321585514e-08,gene_3566
-1.414387919697,1.96650500764384e-16,gene_2577
-1.40985555050585,4.78434727559587e-11,gene_3492
-1.40871025923221,8.02573593090596e-36,gene_3808
-1.40710556483899,6.34158307239269e-137,gene_3716
-1.40267699846289,4.80455581815158e-24,gene_657
-1.39674019923564,9.69889123559592e-97,gene_7662
-1.39379061588244,1.12771747419518e-25,gene_3881
-1.39351792162875,2.40762766005434e-58,gene_3520
-1.39074451572139,3.60157743281055e-86,gene_2475
-1.38831187467409,3.37593029613903e-61,gene_1916
-1.38571111737487,9.93528173230785e-15,gene_5323
-1.38428011633054,1.77155651935485e-31,gene_3555
-1.38342739445283,3.57994669459967e-90,gene_1446
-1.38312951364443,6.93442581217685e-37,gene_2766
-1.38148408279516,2.34521763964644e-67,gene_5747
-1.3814114961693,1.10775455574674e-12,gene_5706
-1.38109330748375,8.80207173256874e-58,gene_4928
-1.38030632495784,4.04747972446456e-21,gene_3199
-1.37515879318076,1.5126705876597e-60,gene_3317
-1.36739245517341,3.78748226282378e-09,gene_4319
-1.3669980062492,1.50809577664128e-40,gene_4301
-1.36362569048321,4.47598871838167e-44,gene_1800
-1.35248627248485,3.2842075705697e-26,gene_2747
-1.34830453356418,2.8199836686823e-73,gene_1642
-1.34782406450729,4.30243466153365e-21,gene_6523
-1.34497789489867,1.51230400496871e-27,gene_3788
-1.34038751679681,8.71592989642285e-15,gene_3196
-1.33855102953349,1.64645320669891e-105,gene_1939
-1.33751111442066,2.5579226498441e-05,gene_186
-1.33623147966675,3.81141947825914e-10,gene_6098
-1.33470826883062,2.34761970683383e-88,gene_4891
-1.33080245547905,1.46188106540406e-56,gene_540
-1.32657931941737,2.65010528691255e-25,gene_5748
-1.32519297878238,1.02803878132907e-11,gene_4483
-1.32297337101082,9.63350371576938e-18,gene_1932
-1.322536568134,3.4995373792515e-40,gene_6635
-1.31941006926665,1.47585859875902e-24,gene_2685
-1.31832167698626,1.14917204908506e-164,gene_7444
-1.31508653766075,4.1435337397146e-30,gene_6611
