Protein_ID,log2FoldChange,padj,Gene_id
479447,-1.17128443014462,1.77721215997447E-19,gene_1043
52801,-1.00484022043615,9.09122559805023E-10,gene_1070
53482,-1.43437659850363,9.13206739328265E-58,gene_1085
449456,-1.20116747605689,5.5612396605559E-38,gene_1094
55409,-1.01787576385811,2.87540181563057E-40,gene_1112
479717,-1.25801731301566,4.13893548982685E-19,gene_1116
479867,-1.16752468951671,2.50724350311207E-31,gene_1161
479871,-1.04421171710546,1.54923049546449E-18,gene_1162
61042,-1.24353334741032,2.88467454297002E-60,gene_1224
480067,-1.11856410252536,1.09597053015435E-24,gene_1226
508083,-1.12464631950231,1.81611331181528E-46,gene_1254
470600,-1.18436677754349,2.44652422328933E-08,gene_1270
480189,-1.23314223668643,4.1933797024028E-77,gene_1271
480348,-1.10117814592127,8.36837493278042E-08,gene_1305
508138,-1.08418804729274,3.08655270958516E-11,gene_1320
146636,-1.04441028511268,6.39983059838306E-14,gene_1361
480527,-1.08946922528894,1.55246818664455E-17,gene_1372
150750,-1.08433972177299,5.93618428431347E-46,gene_1434
459091,-1.57709617812195,1.81551981648001E-14,gene_144
480781,-1.38342739445283,3.57994669459967E-90,gene_1446
480866,-1.21245670413731,1.43631774132394E-46,gene_1474
480884,-1.04262222929214,1.16752988438835E-55,gene_1479
538108,-1.11028229252314,1.02026253025396E-27,gene_1505
481237,-1.14568753216884,1.0045620784495E-44,gene_1575
481267,-1.96299373346333,2.51212662270681E-191,gene_1584
476343,-1.10987850985028,1.49540386653929E-11,gene_159
476350,-1.5210140142318,4.14999014095904E-151,gene_161
476354,-1.81230327479297,9.8041996405874E-14,gene_162
481394,-1.11151510386154,3.34506778658533E-28,gene_1629
481432,-1.34830453356418,2.8199836686823E-73,gene_1642
481470,-1.18279059836588,2.42715342717747E-101,gene_1655
481551,-1.53130138145176,1.36583406765779E-36,gene_1682
481584,-1.0872822978376,2.47101106666304E-26,gene_1693
481615,-1.79933572347935,1.66148783224139E-33,gene_1702
162293,-1.08536703392223,1.96899333561807E-08,gene_1706
162623,-1.08019677992327,6.58431489057723E-29,gene_1715
470991,-1.67269635971457,1.44036358116164E-173,gene_1768
508539,-1.18193556010385,4.59565613725004E-61,gene_1770
481971,-1.36362569048321,4.47598871838167E-44,gene_1800
168653,-1.10481132921073,5.0830584971759E-28,gene_1823
482143,-1.13185710077347,5.21282240182691E-56,gene_1851
476438,-1.33751111442066,2.5579226498441E-05,gene_186
482207,-1.04407915781662,1.49236516964249E-25,gene_1868
538438,-1.57382338890358,1.19189559187558E-34,gene_1879
482331,-1.04462511488257,0.000114634890553,gene_1905
461134,-1.08256974401939,2.75537173316306E-14,gene_1908
461149,-1.38831187467409,3.37593029613903E-61,gene_1916
482424,-1.32297337101082,9.63350371576938E-18,gene_1932
461177,-1.33855102953349,1.64645320669891E-105,gene_1939
538502,-1.00653329638973,1.83269422590899E-15,gene_1952
450436,-1.62859275913901,1.90615025453241E-77,gene_1988
508744,-1.03785824546962,3.76887119014305E-39,gene_1989
