Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene_2263,15848.4580520374,-6.00149058059784,0.067439236930568,-88.991080767664,0,0
gene_307,89683.221880082,-5.24218490365181,0.071373538607901,-73.4471767254021,0,0
gene_2278,650.928937167985,-4.85316189439828,0.160397177767809,-30.2571526627714,4.20110154620087E-201,3.21091168176492E-199
gene_6158,1667.59519113253,-4.46527132320005,0.102023483083009,-43.7670934991211,0,0
gene_1491,122147.86808498,-4.28075751142549,0.058316209742044,-73.4059626021816,0,0
gene_3736,227.834760347152,-4.20382506090689,0.220938693860617,-19.0271110390421,1.01707474159595E-80,1.79710545067478E-79
gene_7019,6239.27100156637,-4.08861719939223,0.079233191487112,-51.6023288050602,0,0
gene_1958,265.196779258667,-3.97881702368581,0.196238965055421,-20.2753669362357,2.12203445466628E-91,4.40004178880803E-90
gene_7024,8957.60982700699,-3.79778814035055,0.06361024788932,-59.7040298751642,0,0
gene_5881,3857.89979986261,-3.7490630364959,0.210781632429332,-17.7864787993462,8.99583138190963E-71,1.31985713556455E-69
gene_3394,5820.64356944631,-3.61097473203681,0.082633861305716,-43.6984872179393,0,0
gene_3663,21408.2808906918,-3.38661656410545,0.050878943005912,-66.562242924582,0,0
gene_5108,6497.82039305627,-3.35437076307614,0.063136289928599,-53.1290445933645,0,0
gene_1682,5863.53114753487,-3.34346446738087,0.069024913582952,-48.4385172516411,0,0
gene_306,2183.43246848099,-3.31093729419885,0.0783151926576,-42.2770752627083,0,0
gene_2666,968.464781071306,-3.29183149626517,0.105941162541649,-31.0722614070902,5.70980745092185E-212,5.07169788850126E-210
gene_4071,3697.97401322836,-3.27332330364965,0.07603890365424,-43.0480076163897,0,0
gene_4185,128074.277113188,-3.25482383557089,0.049939199539499,-65.175731000585,0,0
gene_3196,1799.57552390213,-3.23274875558179,0.095404232329158,-33.8847520351963,1.11742012309625E-251,1.46896049382233E-249
gene_3393,576.522838744842,-3.16548462131725,0.133739775155208,-23.6689841720133,7.52636124571231E-124,2.52401900347281E-122
gene_5506,1087.34026993885,-3.14958283348769,0.096693224847862,-32.572942297077,9.91281255834108E-233,1.12339511975821E-230
gene_3135,1284.68871354069,-3.0892173862878,0.096231113533474,-32.1020642166135,4.12591505410376E-226,4.30470470644826E-224
gene_3164,3141.98682038435,-3.0623709044714,0.072705304085445,-42.1203231730168,0,0
gene_4882,512.933666297097,-3.03601632089177,0.12895891408544,-23.5425084215605,1.49800582356804E-122,4.87729072906696E-121
gene_3505,2241.22345215651,-3.02885369866944,0.086846201075389,-34.8760643662485,1.7147877801488E-266,2.45028262585175E-264
gene_3134,7977.86845729741,-3.01966230541357,0.073079861801409,-41.320033056704,0,0
gene_6098,1079.78671512413,-2.95541381741678,0.106929506251302,-27.638898944049,3.79470960665944E-168,2.24708344545698E-166
gene_2790,1904.27340077934,-2.92501982489221,0.094643264619455,-30.9057367859533,1.00022392984097E-209,8.42881011646753E-208
gene_4019,3331.18415735657,-2.91572298583338,0.076664755386271,-38.0321175113999,0,0
gene_6657,1958.52704645543,-2.90765463889826,0.07690987013309,-37.8060011526046,0,0
gene_6227,1876.53097477411,-2.82658081448085,0.079229714728431,-35.6757666510512,9.39361978946018E-279,1.54360657190304E-276
gene_1290,83.2044828878529,-2.81444150208816,0.283872678902272,-9.9144500730804,3.6023473116973E-23,1.68888936375081E-22
gene_4978,1912.52439387983,-2.80722563091149,0.079579906583414,-35.27555825878,1.39215982114245E-272,2.12806197776031E-270
gene_2678,2857.71033055312,-2.77397180119901,0.086232539318104,-32.1685041764348,4.86828833825908E-227,5.24578020448802E-225
gene_3008,168.869043872379,-2.77306345466072,0.225189514414749,-12.3143542534283,7.5819610748168E-35,5.04926343918651E-34
gene_7022,76573.1751801045,-2.76752837388398,0.053513113546393,-51.7168258483915,0,0
gene_3365,3823.04848529618,-2.76723940153127,0.077753847161347,-35.5897425343983,2.01888860527561E-277,3.23662312255526E-275
gene_1916,5374.86754994026,-2.74071613453926,0.062402913679905,-43.9196821577553,0,0
gene_324,3715.63019005657,-2.72626650864143,0.078551725258582,-34.7066407474426,6.25547886534529E-264,8.74835374083289E-262
gene_1291,347.918412186695,-2.70952421870446,0.315039978968887,-8.60057262437812,7.93193363968547E-18,2.992916177592E-17
gene_2577,1306.9080048992,-2.70126414366966,0.106796226177183,-25.2936291886201,3.75376161474536E-141,1.4953621268922E-139
gene_5911,596.48716584494,-2.68535307064599,0.119873302715219,-22.401594098275,3.79745044560173E-111,1.05765431266696E-109
gene_2954,62.8829151322819,-2.6673276388514,0.322200210736032,-8.27847887733585,1.24758622468907E-16,4.45189156073902E-16
gene_3876,466.989042640747,-2.6523934928255,0.139836497195303,-18.967819889832,3.14689455491841E-80,5.48661483010046E-79
gene_6062,1939.6157052528,-2.64345721535521,0.085105033593471,-31.0611147629933,8.07548294454476E-212,7.07735325259903E-210
gene_5820,8343.11353195884,-2.63327100553987,0.068954804731121,-38.1883614319251,0,0
gene_5557,6343.30698876799,-2.62718678026977,0.075244658003002,-34.9152597672111,4.3623180381211E-267,6.37189254768222E-265
gene_3568,1565.13370244673,-2.62250446760048,0.08569019442968,-30.6044873051677,1.0667532028604E-205,8.44791421976074E-204
gene_7470,5775.91406359423,-2.606743214425,0.063597580040858,-40.9880881120052,0,0
gene_928,1338.62256130033,-2.60256311022453,0.099873762483213,-26.0585267393123,1.07698695453839E-149,4.88209327736611E-148
gene_5379,96.1079929766613,-2.59773776299345,0.258020651276483,-10.0679451437003,7.65608919399704E-24,3.69211109846974E-23
gene_2824,2752.52693739018,-2.59282741901636,0.065624296874973,-39.5101744702304,0,0
gene_7661,55.6662172191114,-2.5863614211035,0.347696043713058,-7.43857017607578,1.01780902663671E-13,3.14087264417046E-13
gene_1061,1299.8108614817,-2.5534938324402,0.088615521691986,-28.8154240214909,1.37472438724488E-182,9.03606339736057E-181
gene_6605,368.073585040121,-2.5529022955868,0.136491240387143,-18.7037811975755,4.61156037977634E-78,7.69334679600758E-77
gene_2999,1014.50626196981,-2.5481327467975,0.112671398837005,-22.6156129514619,3.04275503214337E-113,8.69566470707754E-112
gene_3263,1668.85994995592,-2.54267634110917,0.091831262441311,-27.6885700306493,9.58610218382412E-169,5.72813178675236E-167
gene_4319,641.050172686175,-2.53933625659528,0.13269577100146,-19.1365273921755,1.25351251619396E-81,2.25735281340901E-80
gene_7412,845.656912512686,-2.52609052238141,0.097587035019865,-25.8855136019575,9.69611047953043E-148,4.24883561213023E-146
