log2FoldChange,padj,Gene_id
1.00280770741924,2.10667170948345e-35,gene_5763
1.0092777964386,3.43962697925462e-49,gene_6776
1.00990899468939,1.9562352232709e-20,gene_5674
1.01121701685489,6.41342304966398e-13,gene_274
1.01355161780959,1.26197557011142e-38,gene_4609
1.01402716020223,7.62463959178553e-16,gene_3207
1.01526928859487,2.42721437689635e-41,gene_488
1.01699823759973,1.05714596812207e-28,gene_3183
1.01725945993299,3.31755414864698e-06,gene_6897
1.01750200468589,1.97048757757654e-30,gene_6300
1.01969940919099,3.48295702741638e-18,gene_497
1.01996731612816,2.35551956635518e-35,gene_3748
1.02043019083179,2.61858691509089e-30,gene_7380
1.02071530040589,1.27887515872669e-27,gene_6343
1.02089005190332,1.82438767151655e-11,gene_3691
1.02125890391569,9.65203740992952e-30,gene_3022
1.02167197281977,7.58753861658794e-66,gene_5861
1.02190230427609,9.25000854363658e-08,gene_5572
1.02272936034878,7.52147475613835e-46,gene_4094
1.02352358898232,0.019694906624393,gene_1193
1.02422585053915,1.01932231495688e-20,gene_5818
1.02544605994378,2.75222373923345e-05,gene_1057
1.02551343750019,1.86350599795279e-36,gene_7598
1.02651127471162,1.54366066434425e-28,gene_1561
1.02811979352014,1.74519396382274e-21,gene_4513
1.02975726945978,7.58044432224959e-24,gene_6157
1.0301763650633,0.020805918626675,gene_7133
1.0310479676323,2.26090077643955e-31,gene_1743
1.03268671499045,5.66976941773519e-30,gene_6136
1.03546439092024,2.41986101642386e-15,gene_5007
1.03888641050356,6.18163207403315e-25,gene_1053
1.0394775429478,7.43790564167894e-103,gene_5489
1.03986244825627,0.020767937697479,gene_98
1.04073235476797,2.16587458315019e-21,gene_6861
1.04099998073753,8.96512219606849e-23,gene_1689
1.04228294266629,1.89038723204817e-50,gene_172
1.04416086315874,7.49637242800049e-50,gene_6599
1.04714081265767,5.75160781830764e-44,gene_6662
1.04786399204777,2.36693430090793e-53,gene_3864
1.04801454768442,1.06768257567369e-12,gene_484
1.04926470788462,2.43122125084262e-21,gene_6419
1.04935700479102,4.01240257005088e-104,gene_6781
1.05314148779247,2.38876726671482e-20,gene_1182
1.05346608882204,1.1020199409291e-38,gene_2519
1.0557528589356,3.1296779701254e-50,gene_3930
1.05822831947728,2.37935693131546e-54,gene_6193
1.05836454904146,0.003559726623995,gene_1054
1.05963672699232,6.62358133454408e-69,gene_824
1.06214216273458,5.53388143019487e-17,gene_114
1.06361109944365,1.81623169097649e-14,gene_1528
1.06547457360386,0.000943308419541,gene_6660
1.06895336195678,5.71343433954404e-36,gene_5062
1.0703415597864,7.59149456852024e-15,gene_6619
1.07103447281322,9.00993033455206e-35,gene_2649
1.07246347283216,4.2618256409591e-11,gene_6486
1.07300274701952,6.41090863776572e-10,gene_7579
1.07363505564173,1.99918757476444e-82,gene_5841
1.07379808766235,1.30586901602479e-26,gene_2843
1.07571427049953,1.21402485864746e-25,gene_480
1.07843323094989,3.62402847361852e-50,gene_7326
1.07953322633095,1.26748793242019e-20,gene_912
1.08054193277623,1.31131084668476e-16,gene_3834
1.08084345844342,7.83056908343868e-41,gene_5960
1.0816235354155,1.68904598151828e-29,gene_3836
1.08415968566114,2.65814934505874e-14,gene_4491
1.08631000383317,2.23732554778247e-05,gene_4704
1.08753573990236,1.43560259919021e-12,gene_2472
1.08858925198353,7.78978581580622e-20,gene_1357
1.09186443119718,2.40551619050733e-12,gene_5982
1.09474825378288,3.6549405973444e-52,gene_2567
1.09488263308339,1.33144778423357e-18,gene_7298
1.09700656046329,5.45301331332811e-37,gene_472
1.09783782141697,1.45096870737261e-26,gene_7168
1.09838986366877,7.38774425131735e-17,gene_7553
1.1006308117236,1.40969381100482e-29,gene_4384
1.10201100588657,1.14782570471643e-30,gene_6828
1.10235408210592,1.69722219309028e-45,gene_5815
1.10246933769361,1.11617234133699e-21,gene_2640
1.10412710676454,1.40190734113801e-29,gene_436
1.10421976207049,0.00354766308433,gene_2597
1.10422075088672,3.03772245645943e-13,gene_7899
1.11362535499521,2.02609235197023e-22,gene_6982
1.11378018892496,9.83547335939519e-37,gene_1169
1.11635189152852,1.83322981861397e-33,gene_1566
1.1167370041546,8.04210913150562e-76,gene_3298
1.11755034245536,9.53946477578404e-57,gene_4842
1.11880005934666,5.60601743756338e-14,gene_3582
1.12028057376426,2.1795261013825e-58,gene_1524
1.12097110357396,1.37637372150646e-61,gene_5551
1.12203977992164,3.74132580537397e-15,gene_433
1.12333816123459,4.61345295637916e-40,gene_6995
1.12440515839105,5.96354760322271e-115,gene_7185
1.12461536448456,1.69129314534628e-05,gene_1344
1.1289999558719,5.61021921189261e-20,gene_34
1.12977410027369,8.57725668843932e-08,gene_2179
1.13011803720653,6.78814378932475e-13,gene_7297
1.13071660936353,6.2435690399434e-74,gene_2494
1.1329608297705,2.24457900834471e-60,gene_6375
1.13595053938868,1.62276981035501e-15,gene_7653
1.13620314916944,0.001548861509629,gene_101
1.13655661241823,3.04238747788237e-14,gene_1831
1.1391654584601,1.08116428996588e-20,gene_5730
1.13934580619326,1.81518781003501e-29,gene_6736
1.14030805031969,1.76162147591173e-29,gene_7350
1.14178445293529,2.5375214557897e-71,gene_7568
1.14261244542135,4.94084565318328e-27,gene_1628
1.14323838803227,1.3668532525601e-37,gene_1220
1.15186397206626,6.20223755756828e-65,gene_4566
1.15213618186576,7.09878346097481e-21,gene_7352
1.15289256346325,3.37325771511548e-49,gene_4778
1.15387029457224,1.41668524010208e-62,gene_5437
1.15494576650887,5.72386491775293e-55,gene_508
1.15657315739572,1.90983062349343e-33,gene_5184
1.15672679022951,1.02522776510668e-41,gene_825
1.1571494280524,8.37936275596655e-64,gene_6061
1.15784663617613,5.86826214859718e-64,gene_4453
1.16092750160272,1.42505401056326e-17,gene_441
1.16337862601261,3.37312669636352e-35,gene_2176
1.16348242987575,2.98276347648431e-69,gene_3602
1.16362625021448,1.19682942774731e-38,gene_842
1.17112851824699,0.002201213728225,gene_91
1.17144186666933,3.85373899190146e-18,gene_4452
1.17605998339119,1.51575620687779e-87,gene_4059
1.17859063647438,2.3047026548277e-35,gene_1546
1.17966261279406,1.06116256564833e-36,gene_7313
1.18068901771651,1.68151659083191e-48,gene_3921
1.18077379123513,7.71824209883333e-06,gene_4123
1.18195372538751,3.86214741922391e-80,gene_5036
1.18221279547858,1.01616254828078e-66,gene_6142
1.18330539368416,1.42070411510795e-19,gene_6749
1.184142776091,2.28659812293544e-34,gene_2820
1.18489103393551,1.52622594614028e-19,gene_294
1.18843126949289,1.07230341826079e-42,gene_3927
1.18849411510072,2.02121958317305e-51,gene_6723
1.19086752344875,3.08467145581963e-44,gene_5752
1.19383105316832,5.36197348445453e-30,gene_1698
1.1977838320873,4.00485087000469e-11,gene_246
1.19809084865526,5.69561218200136e-31,gene_2026
1.19867399294249,1.06840322682567e-52,gene_5145
1.20098889911161,4.43895486969104e-82,gene_346
1.20116148603391,2.10667170948345e-35,gene_7435
1.20254471236733,3.51031020016784e-48,gene_281
1.20376816637846,9.22775183253585e-43,gene_3114
1.21095264583631,9.41543798620536e-20,gene_3700
1.21465799366172,4.6283322966551e-51,gene_5483
1.21656961505871,7.55121000314088e-57,gene_7256
1.21912515220787,1.28373807643006e-08,gene_3265
1.22109059015685,1.00253505919897e-33,gene_2088
1.22549764148424,6.64142065727374e-36,gene_1331
1.22649950302087,1.75574224933725e-32,gene_2081
1.22689732650857,1.88057351366656e-38,gene_6249
1.22882911428176,0.010222054299558,gene_501
1.2294999859038,5.24625797614783e-20,gene_7926
1.2313143830989,1.25792558155335e-42,gene_6153
1.23158340599281,1.73104166280889e-60,gene_331
1.24290413713447,1.54886098809766e-52,gene_6056
1.25003987474622,3.33862216518119e-13,gene_2957
1.25011512151571,4.7515360821038e-67,gene_1551
1.25302945782928,1.2792705173598e-21,gene_1274
1.25343502379457,2.36790711194231e-60,gene_1365
