goAcc,Protein_ID
GO:0006950,2738
GO:0016021,2738
GO:0003824,3913
GO:0004741,3913
GO:0019909,3913
GO:0008152,22001
GO:0016491,22001
GO:0003700,47686
GO:0005634,47686
GO:0006355,47686
GO:0008270,47686
GO:0003677,47686
GO:0006350,47686
GO:0004719,47686
GO:0007165,59001
GO:0008152,62614
GO:0016491,62614
GO:0008678,62614
GO:0016831,75285
GO:0004611,75285
GO:0008488,75285
GO:0008694,75285
GO:0018790,75285
GO:0018791,75285
GO:0018792,75285
GO:0018793,75285
GO:0018794,75285
GO:0018795,75285
GO:0043727,75285
GO:0043728,75285
GO:0003676,78781
GO:0005622,78781
GO:0008270,78781
GO:0046872,104406
GO:0003677,104438
GO:0005634,104438
GO:0006350,104438
GO:0008270,104438
GO:0043365,106166
GO:0003700,122830
GO:0005634,122830
GO:0006355,122830
GO:0008270,122830
GO:0003677,122830
GO:0006350,122830
GO:0004852,155751
GO:0033014,155751
GO:0003700,171095
GO:0005634,171095
GO:0006355,171095
GO:0008270,171095
GO:0031072,184257
GO:0004856,198172
GO:0005351,220860
GO:0008643,220860
GO:0016020,220860
GO:0005215,220860
GO:0006810,220860
GO:0016021,220860
GO:0005634,263012
GO:0008270,263012
GO:0005975,347270
GO:0016853,347270
GO:0003824,347270
GO:0030246,347270
GO:0004034,347270
GO:0000062,352310
GO:0005515,361796
GO:0008270,361796
GO:0003700,367265
GO:0005634,367265
GO:0006355,367265
GO:0043565,367265
GO:0005515,381996
GO:0000166,433947
GO:0017111,433947
GO:0005524,433947
GO:0005351,434085
GO:0008643,434085
GO:0016020,434085
GO:0005215,434085
GO:0006810,434085
GO:0016021,434085
GO:0005515,435180
GO:0006118,438704
GO:0016491,438704
GO:0004553,438719
GO:0005975,438719
GO:0004338,438719
GO:0005515,438812
GO:0000226,440016
GO:0000922,440016
GO:0005815,440016
GO:0003830,440973
GO:0006487,440973
GO:0016020,440973
GO:0003684,441099
GO:0004519,441099
GO:0005634,441099
GO:0006281,441099
GO:0003677,441099
GO:0004672,444598
GO:0005524,444598
GO:0006468,444598
GO:0004674,444598
GO:0004682,444598
GO:0005351,449198
GO:0008643,449198
GO:0016020,449198
GO:0005215,449198
GO:0006810,449198
GO:0016021,449198
GO:0005215,449598
GO:0006810,449598
GO:0016020,449598
GO:0003677,455308
GO:0005524,455308
GO:0006270,455308
GO:0008094,455308
GO:0003676,455754
GO:0005215,462292
GO:0006857,462292
GO:0016020,462292
GO:0016020,464301
GO:0005484,464301
GO:0006886,464301
GO:0005515,464301
GO:0016192,464301
GO:0007165,464534
GO:0005488,465353
GO:0046872,466258
GO:0004620,466258
GO:0016298,466258
GO:0018731,466258
GO:0018732,466258
GO:0018733,466258
GO:0018734,466258
GO:0008270,472168
GO:0003824,473472
GO:0008152,473472
GO:0009058,473472
GO:0016742,473472
GO:0004553,475966
GO:0005975,475966
GO:0016762,475966
GO:0003700,476299
GO:0005634,476299
GO:0006355,476299
GO:0008270,476299
GO:0003677,476299
GO:0006350,476299
GO:0003847,477598
GO:0008247,477598
GO:0016042,477598
GO:0003700,477602
GO:0005634,477602
GO:0006355,477602
GO:0008270,477602
GO:0008271,478716
GO:0008272,478716
GO:0016020,478716
GO:0005215,478716
GO:0006810,478716
GO:0016021,478716
GO:0005097,478761
GO:0005622,478761
GO:0032313,478761
GO:0008469,480053
GO:0003700,480348
GO:0005634,480348
GO:0006355,480348
GO:0008270,480348
GO:0003677,480348
GO:0006350,480348
GO:0000808,480514
GO:0005634,480514
GO:0006260,480514
GO:0003723,481068
GO:0004525,481068
GO:0006396,481068
GO:0004932,481568
GO:0007186,481568
GO:0016021,481568
GO:0003677,482731
GO:0003887,482731
GO:0005634,482731
GO:0006260,482731
GO:0006464,482852
GO:0006512,482852
GO:0015031,482852
GO:0004672,483662
GO:0005524,483662
GO:0006468,483662
GO:0004674,483662
GO:0005488,483662
GO:0004682,483662
GO:0000062,484221
GO:0006464,484274
GO:0004721,484274
GO:0004723,484274
GO:0004724,484274
GO:0005963,484274
GO:0008420,484274
GO:0008597,484274
GO:0017018,484274
GO:0017020,484274
GO:0017023,484274
GO:0005634,485571
GO:0004402,485571
GO:0009058,485787
GO:0016769,485787
GO:0030170,485787
GO:0000907,487254
GO:0010302,487254
GO:0018602,487254
GO:0019798,487254
GO:0043734,487254
GO:0004497,488057
GO:0006118,488057
GO:0006725,488057
GO:0009540,488057
GO:0003677,488079
GO:0005524,488079
GO:0006270,488079
GO:0008094,488079
GO:0003700,488371
GO:0005634,488371
GO:0006355,488371
GO:0008270,488371
GO:0005351,488377
GO:0008643,488377
GO:0016020,488377
GO:0005215,488377
GO:0006810,488377
GO:0016021,488377
GO:0016021,488514
GO:0042765,488514
GO:0005097,488685
GO:0005622,488685
GO:0032313,488685
GO:0003700,488996
GO:0005634,488996
GO:0006355,488996
GO:0008270,488996
GO:0043565,488996
GO:0016740,489760
GO:0003700,490815
GO:0005634,490815
GO:0006355,490815
GO:0008270,490815
GO:0003677,490815
GO:0006350,490815
GO:0003700,490904
GO:0005634,490904
GO:0006355,490904
GO:0008270,490904
GO:0016787,490920
GO:0016021,491112
GO:0004322,491325
GO:0004323,491325
GO:0005515,492265
GO:0004672,493564
GO:0005524,493564
GO:0006468,493564
GO:0004674,493564
GO:0004682,493564
GO:0005515,495912
GO:0006461,495912
GO:0006886,495912
GO:0016192,495912
GO:0030117,495912
GO:0006810,495912
GO:0004772,496051
GO:0003700,496318
GO:0005634,496318
GO:0006355,496318
GO:0008270,496318
GO:0003677,496318
GO:0006350,496318
GO:0008670,496711
GO:0000166,496925
GO:0017111,496925
GO:0005524,496925
GO:0004032,496972
GO:0005351,497892
GO:0008643,497892
GO:0016020,497892
GO:0005215,497892
GO:0006810,497892
GO:0016021,497892
GO:0004553,497895
GO:0005975,497895
GO:0008422,497895
GO:0006865,498149
GO:0016021,498149
GO:0006810,498149
GO:0016020,498149
GO:0005634,498200
GO:0006974,498200
GO:0007049,498200
GO:0048478,498200
GO:0016787,498817
GO:0000810,498817
GO:0004787,498817
GO:0008413,498817
GO:0008758,498817
GO:0008796,498817
GO:0008828,498817
GO:0016462,498817
GO:0019176,498817
GO:0019177,498817
GO:0043141,498817
GO:0003896,498865
GO:0005658,498865
GO:0006269,498865
GO:0003720,498865
GO:0003724,498865
GO:0003887,498865
GO:0004779,498865
GO:0008192,498865
GO:0008193,498865
GO:0008905,498865
GO:0033677,498865
GO:0043338,498865
GO:0043814,498865
GO:0006810,498934
GO:0008519,498934
GO:0016020,498934
GO:0004725,499185
GO:0016311,499185
GO:0016791,499185
GO:0003700,499433
GO:0005634,499433
GO:0006355,499433
GO:0008270,499433
GO:0008270,499571
GO:0005524,499748
GO:0006298,499748
GO:0030983,499748
GO:0005515,499928
GO:0007154,499928
GO:0035091,499928
GO:0003779,500310
GO:0005622,500310
GO:0008083,500310
GO:0004672,501816
GO:0005524,501816
GO:0006468,501816
GO:0004674,501816
GO:0004675,501816
GO:0004676,501816
GO:0004677,501816
GO:0004679,501816
GO:0004680,501816
GO:0004681,501816
GO:0004690,501816
GO:0004694,501816
GO:0004695,501816
GO:0004696,501816
GO:0004698,501816
GO:0004700,501816
GO:0004702,501816
GO:0004704,501816
GO:0004705,501816
GO:0004706,501816
GO:0004708,501816
GO:0004710,501816
GO:0004711,501816
GO:0004718,501816
GO:0008338,501816
GO:0008339,501816
GO:0008349,501816
GO:0008545,501816
GO:0016908,501816
GO:0016909,501816
GO:0019199,501816
GO:0019912,501816
GO:0034211,501816
GO:0016289,501844
GO:0016291,501844
GO:0008080,502086
GO:0008152,502086
GO:0004497,504990
GO:0005506,504990
GO:0006118,504990
GO:0020037,504990
GO:0018585,504990
GO:0018586,504990
