log2FoldChange,padj,Gene_id
-4.30061555412774,3.23239301190191e-51,gene_3651
-4.0537100171311,7.72964338628764e-152,gene_4900
-3.85485461573384,2.40539040026876e-34,gene_2144
-3.36265977066185,0.0,gene_6467
-2.88728424839189,9.15936336629346e-75,gene_144
-2.81058568926757,2.20063382649561e-213,gene_5506
-2.77546908586998,0.0,gene_306
-2.76774635074408,1.27626842427142e-242,gene_2608
-2.70396467837078,2.33290408854423e-237,gene_4804
-2.70378616107624,0.0,gene_2263
-2.63363109410803,9.74318599390821e-292,gene_2392
-2.59312808947793,0.0,gene_307
-2.59003442698549,2.32988448086594e-41,gene_7377
-2.5838221681281,5.44138367205701e-72,gene_6605
-2.55677034345684,0.0,gene_2156
-2.51465903631326,0.0,gene_1491
-2.47014718412821,0.0,gene_778
-2.46418350512997,7.29378406848782e-108,gene_2605
-2.46295556350384,9.66030904743531e-238,gene_5820
-2.45833807551653,0.0,gene_6503
-2.44370785759669,4.65176643822616e-268,gene_4728
-2.43660425564588,1.59669728149066e-203,gene_739
-2.43364887627816,2.23776262153701e-19,gene_4565
-2.42751852258063,6.59805757275547e-13,gene_977
-2.4080731869137,0.0,gene_1682
-2.40229422758636,2.56006189456825e-62,gene_7241
-2.33530287037177,2.55884070291813e-74,gene_2770
-2.32602688473334,1.29029940953708e-190,gene_2887
-2.30132949152989,3.03185120992634e-219,gene_3394
-2.29693294139616,2.00445320255616e-186,gene_7428
-2.28599213745279,4.93390602969592e-193,gene_4610
-2.27394642869632,3.02889632529036e-37,gene_3649
-2.26820272964181,7.63189727932724e-235,gene_2495
-2.26156217517591,2.77060088502962e-150,gene_2617
-2.2612974691045,1.71384689202395e-132,gene_5202
-2.25433759337745,2.80231690559979e-190,gene_1932
-2.24885845481967,5.59084247177343e-268,gene_5562
-2.24814348783976,3.84685199062253e-194,gene_3048
-2.2183681291936,1.13497952607318e-246,gene_3365
-2.2106404912445,1.48086430529666e-205,gene_3451
-2.21024229464256,2.9850105286583e-17,gene_5984
-2.17726788418446,1.08253595226887e-223,gene_161
-2.17286794051862,1.6811566540627e-127,gene_2501
-2.1687319185447,1.31769011471667e-181,gene_6062
-2.16798056863948,2.71152712216371e-172,gene_3244
-2.1509322437757,3.77744198290751e-91,gene_2332
-2.15014022218727,1.3180866363689e-218,gene_5905
-2.13353709114425,5.99224449474261e-125,gene_4901
-2.12995575342004,0.0,gene_7214
-2.1226437484234,5.54894653260475e-189,gene_3505
