Protein_ID,log2FoldChange,padj,Gene_id
537757,1.32593590697473,7.70141154600348E-08,gene_1057
479744,2.27105193616093,2.51636604087502E-158,gene_1124
479762,1.02221660215583,3.40323242356858E-48,gene_1131
507068,1.7187371702373,1.00907546104871E-55,gene_114
479958,1.07025691600133,4.27369043332828E-17,gene_1192
516938,1.12239945224546,2.0411076898646E-19,gene_1288
143686,1.2367363667165,5.67960559458027E-18,gene_1298
480369,1.73781876827822,1.17099574214061E-238,gene_1311
521105,1.07305895098274,6.69111108829558E-06,gene_1441
521150,2.47943335527243,0,gene_1455
538066,3.02637792476662,0,gene_1456
507099,2.0949686291958,4.0603536760112E-81,gene_147
508262,1.24727358735852,2.87142594287433E-17,gene_1472
476298,1.19593597200949,1.6000616403355E-24,gene_148
476299,1.64714787646341,1.28561932057369E-51,gene_149
481039,1.59027335560719,1.61817894386511E-41,gene_1520
481054,1.14050901440135,8.65116473391521E-93,gene_1525
481070,1.03336908226375,1.49312146770428E-38,gene_1529
521346,4.67793880562301,0,gene_1546
508337,1.03350155328568,1.48198346294845E-44,gene_1551
508353,1.23962049834893,2.16346709019127E-28,gene_1568
481228,1.39373500620046,4.35892984517146E-43,gene_1573
481387,1.58459824291571,5.25225872689069E-56,gene_1628
507122,1.52981234277149,1.82227946979326E-31,gene_173
508509,6.51359174005267,0,gene_1738
508510,1.67386842402547,4.27530118851931E-121,gene_1739
538315,1.02461619566472,5.49708168615103E-31,gene_1743
481785,1.16949418304858,1.94346034512432E-38,gene_1755
481987,1.27605060730709,1.07411581066336E-54,gene_1803
476429,1.05711827169212,1.12313344804021E-86,gene_181
168488,1.20042648438616,1.38313465393841E-07,gene_1818
476430,1.2867710289104,2.11060721664642E-37,gene_182
482078,1.10301447715187,1.53565684092711E-19,gene_1831
170590,1.02684524284193,1.84338711962025E-77,gene_1852
507138,1.29625925291951,2.68691663915248E-15,gene_189
482366,1.12617885310315,3.22279793972888E-43,gene_1915
482371,1.12048055430023,5.19674323868874E-42,gene_1918
508697,1.39908376330328,8.80859342906612E-72,gene_1942
173947,1.56325452653342,1.04357728303347E-14,gene_1943
174669,1.64997855224076,1.66098865521808E-93,gene_1958
482620,1.04341767920034,1.27398674758393E-50,gene_2001
534431,1.01519285581919,5.13110710682636E-51,gene_2058
508856,1.15777269135634,2.38722843864437E-76,gene_2119
483020,1.03142252560279,1.77866807370822E-93,gene_2129
9431,1.11229513385072,1.65136128517839E-26,gene_214
514651,1.11133605062998,3.66202112711513E-21,gene_217
483180,1.14148045022783,1.88169558478416E-38,gene_2176
471319,1.39016162094241,6.54758697266855E-19,gene_2180
185580,1.10180741508708,1.70154365928896E-22,gene_2197
483320,1.75484301580487,2.2278258693948E-24,gene_2209
461501,1.29751255569692,3.9710751472267E-13,gene_2214
504469,1.17714254103116,2.32433542967059E-19,gene_2215
483415,1.32650130304827,6.52961316814817E-53,gene_2238
189945,1.13290612330271,1.10532667558986E-14,gene_2292
475898,1.20621813936171,2.99669750949887E-65,gene_23
483710,1.15126770665992,4.11702946721082E-07,gene_2330
483774,1.59171823682355,7.65538962667614E-64,gene_2356
483853,1.16012782836754,1.09290605913057E-27,gene_2384
194376,1.23307986796501,2.78146950806646E-18,gene_2401
509117,1.19824956077135,2.31116732463292E-85,gene_2420
471532,1.87575173978657,4.4534467377732E-31,gene_2440
484083,1.40726029948904,8.18370278133142E-127,gene_2446
509145,1.8675432973327,1.2713531910888E-174,gene_2449
534591,1.40113177114465,3.77451938003238E-109,gene_2452
484231,1.1118848817375,1.37846424183706E-37,gene_2498
484245,1.17520126225109,8.99840277268911E-76,gene_2505
484274,1.14219685948958,1.75940215730822E-24,gene_2515
471601,1.1611912057812,3.76280718937523E-34,gene_2531
200583,1.8013591452066,1.41328415726919E-18,gene_2533
484519,1.30660539679186,1.40256347097174E-47,gene_2588
539083,1.87814786962108,1.57001172803115E-31,gene_2626
484724,1.36223496624655,1.78425750544043E-143,gene_2652
484877,1.27548369285044,9.1353910036627E-38,gene_2695
458921,1.7043550142966,2.28575182920686E-16,gene_27
524065,1.40869706393692,6.18553083388817E-23,gene_2743
537100,1.27002323638604,4.76615259955887E-23,gene_277
476825,1.00528130902988,2.52907322294974E-31,gene_278
