goAcc,Protein_ID
GO:0004553,9431
GO:0005975,9431
GO:0004564,9431
GO:0008152,22001
GO:0016491,22001
GO:0003677,39328
GO:0006306,39328
GO:0003886,39328
GO:0051718,39328
GO:0051719,39328
GO:0051720,39328
GO:0008152,71299
GO:0016491,71299
GO:0047560,71299
GO:0004057,71418
GO:0016598,71418
GO:0042176,71418
GO:0016021,84518
GO:0016192,84518
GO:0005215,87007
GO:0006810,87007
GO:0016020,87007
GO:0003677,104438
GO:0005634,104438
GO:0006350,104438
GO:0008270,104438
GO:0003700,106248
GO:0005634,106248
GO:0006355,106248
GO:0008270,106248
GO:0045127,106272
GO:0008864,121006
GO:0005351,143686
GO:0008643,143686
GO:0016020,143686
GO:0005215,143686
GO:0006810,143686
GO:0016021,143686
GO:0008824,173947
GO:0009439,173947
GO:0003677,173947
GO:0006044,194376
GO:0008448,194376
GO:0016810,194376
GO:0005634,200583
GO:0030528,200583
GO:0045449,200583
GO:0005975,217983
GO:0016810,217983
GO:0003824,217983
GO:0005351,220860
GO:0008643,220860
GO:0016020,220860
GO:0005215,220860
GO:0006810,220860
GO:0016021,220860
GO:0016884,256397
GO:0004040,256397
GO:0003960,257278
GO:0003700,257990
GO:0005634,257990
GO:0006355,257990
GO:0008270,257990
GO:0006464,258385
GO:0004221,258385
GO:0006511,258385
GO:0003700,289661
GO:0005634,289661
GO:0006355,289661
GO:0008270,289661
GO:0043565,289661
GO:0006865,291975
GO:0015171,291975
GO:0016020,291975
GO:0004089,297583
GO:0008270,297583
GO:0015976,297583
GO:0003700,317186
GO:0005634,317186
GO:0006355,317186
GO:0008270,317186
GO:0003908,320651
GO:0006281,320651
GO:0003824,320651
GO:0005737,342744
GO:0016491,342744
GO:0017000,342744
GO:0005351,342882
GO:0008643,342882
GO:0016020,342882
GO:0005215,342882
GO:0006810,342882
GO:0016021,342882
GO:0015205,370809
GO:0015931,370809
GO:0016020,370809
GO:0016787,372139
GO:0008152,380009
GO:0016787,380009
GO:0005515,381996
GO:0018786,382679
GO:0005975,392893
GO:0016810,392893
GO:0003824,392893
GO:0045431,421953
GO:0042742,431716
GO:0050832,431716
GO:0006118,438704
GO:0016491,438704
GO:0045543,439128
GO:0005215,439189
GO:0006810,439189
GO:0016020,439189
GO:0003830,440973
GO:0006487,440973
GO:0016020,440973
GO:0003684,441099
GO:0004519,441099
GO:0005634,441099
GO:0006281,441099
GO:0003677,441099
GO:0003824,443173
GO:0005975,443173
GO:0043169,443173
GO:0004558,443173
GO:0003824,443318
GO:0044237,443318
GO:0050662,443318
GO:0043892,443318
GO:0009058,443935
GO:0016769,443935
GO:0030170,443935
GO:0043365,453006
GO:0000166,458898
GO:0017111,458898
GO:0005524,458898
GO:0006118,458921
GO:0016491,458921
GO:0000907,458921
GO:0010302,458921
GO:0018602,458921
GO:0019798,458921
GO:0043734,458921
GO:0003922,461501
GO:0005351,462501
GO:0008643,462501
GO:0016020,462501
GO:0005215,462501
GO:0006810,462501
GO:0016021,462501
GO:0008152,463365
GO:0016491,463365
GO:0004029,463365
GO:0008152,465452
GO:0016491,465452
GO:0010181,475898
GO:0016491,475898
GO:0003959,475898
GO:0003824,476298
GO:0044237,476298
GO:0050662,476298
GO:0043892,476298
GO:0003700,476299
GO:0005634,476299
GO:0006355,476299
GO:0008270,476299
GO:0003677,476299
GO:0006350,476299
GO:0016787,476825
GO:0042781,476825
GO:0004555,477505
GO:0005991,477505
GO:0003824,477505
GO:0003700,477602
GO:0005634,477602
GO:0006355,477602
GO:0008270,477602
GO:0000009,477690
GO:0000026,477690
GO:0000030,477690
GO:0000033,477690
GO:0001962,477690
GO:0003980,477690
GO:0004376,477690
GO:0004576,477690
GO:0004583,477690
GO:0008375,477690
GO:0008376,477690
GO:0008378,477690
GO:0008417,477690
GO:0008755,477690
GO:0008921,477690
GO:0016253,477690
GO:0016759,477690
GO:0018715,477690
GO:0018716,477690
GO:0018717,477690
GO:0018718,477690
GO:0019112,477690
GO:0019187,477690
GO:0031278,477690
GO:0033556,477690
GO:0042281,477690
GO:0042283,477690
GO:0045140,477690
GO:0046527,477690
GO:0046920,477690
GO:0046921,477690
GO:0016020,477698
GO:0008270,477764
GO:0016491,477764
GO:0046526,477764
GO:0003700,478016
GO:0005634,478016
GO:0006355,478016
GO:0008270,478016
GO:0003677,478016
GO:0006350,478016
GO:0003922,478019
GO:0004356,478026
GO:0006807,478026
GO:0008270,478367
GO:0016491,478367
GO:0033709,478367
GO:0016787,478477
GO:0008152,479744
GO:0016491,479744
GO:0004316,479744
GO:0004316,479762
GO:0016491,479958
GO:0050660,479958
GO:0005351,480369
GO:0008643,480369
GO:0016020,480369
GO:0005215,480369
GO:0006810,480369
GO:0016021,480369
GO:0009058,481039
GO:0016769,481039
GO:0030170,481039
GO:0016847,481039
GO:0005515,481070
GO:0007154,481070
GO:0035091,481070
GO:0005515,481228
GO:0006915,481228
GO:0004655,483020
GO:0003824,483320
GO:0030596,483320
GO:0016491,483415
GO:0006118,483415
GO:0008152,483415
GO:0016192,483710
GO:0006807,483774
GO:0016810,483774
GO:0003824,483853
GO:0008152,483853
GO:0006464,484274
GO:0004721,484274
GO:0004723,484274
GO:0004724,484274
GO:0005963,484274
GO:0008420,484274
GO:0008597,484274
GO:0017018,484274
GO:0017020,484274
GO:0017023,484274
GO:0018784,484877
GO:0008270,485414
GO:0016491,485414
GO:0008106,485414
GO:0005351,485736
GO:0008643,485736
GO:0016020,485736
GO:0005215,485736
GO:0006810,485736
GO:0016021,485736
GO:0009058,485787
GO:0016769,485787
GO:0030170,485787
GO:0015205,485812
GO:0015931,485812
GO:0016020,485812
GO:0004067,485857
GO:0006528,485857
GO:0006520,485857
GO:0004553,485861
GO:0005975,485861
GO:0004338,485861
GO:0003960,485881
GO:0005515,486383
GO:0008270,486383
GO:0000907,487254
GO:0010302,487254
GO:0018602,487254
GO:0019798,487254
GO:0043734,487254
GO:0005524,487560
GO:0008152,487560
GO:0016301,487560
GO:0005507,488363
GO:0008131,488363
GO:0009308,488363
GO:0048038,488363
GO:0005215,488415
GO:0006810,488415
GO:0016021,488415
GO:0016020,488415
GO:0003993,488436
GO:0016158,488436
GO:0003700,488459
GO:0005634,488459
GO:0006355,488459
GO:0008270,488459
GO:0004035,488479
GO:0008483,488999
GO:0030170,488999
GO:0004587,488999
GO:0004616,489498
GO:0006098,489498
GO:0016491,489498
GO:0003824,489665
GO:0008152,489665
GO:0004490,489665
GO:0003700,490176
GO:0005634,490176
GO:0045449,490176
GO:0005515,490176
GO:0003677,490176
GO:0006355,490176
GO:0005524,490434
GO:0003700,490815
GO:0005634,490815
GO:0006355,490815
GO:0008270,490815
GO:0003677,490815
GO:0006350,490815
GO:0016620,490825
GO:0008152,490825
GO:0016491,490825
GO:0003700,490904
GO:0005634,490904
GO:0006355,490904
GO:0008270,490904
GO:0016787,490920
GO:0003700,490981
GO:0005634,490981
GO:0006355,490981
GO:0008270,490981
GO:0005215,491098
GO:0006810,491098
GO:0016021,491098
GO:0004519,491854
GO:0006289,491854
GO:0003923,491854
GO:0043859,491854
GO:0051336,491854
GO:0008152,492162
GO:0016491,492162
GO:0004030,492162
GO:0005515,492272
GO:0004845,492276
GO:0016884,493021
GO:0004040,493021
GO:0003824,493065
GO:0044237,493065
GO:0050662,493065
GO:0008743,493065
GO:0004497,496344
GO:0006118,496344
GO:0006725,496344
GO:0018658,496344
GO:0003960,496348
GO:0004032,496972
GO:0004364,497103
GO:0006118,497270
GO:0006725,497270
GO:0008198,497270
GO:0016491,497270
GO:0008669,497270
GO:0018542,497270
GO:0018555,497270
GO:0018556,497270
GO:0018557,497270
GO:0018558,497270
GO:0018559,497270
GO:0018560,497270
GO:0018561,497270
GO:0018562,497270
GO:0018563,497270
GO:0018564,497270
GO:0018565,497270
GO:0018566,497270
GO:0018567,497270
GO:0018568,497270
GO:0018569,497270
GO:0018570,497270
GO:0018571,497270
GO:0018572,497270
GO:0018573,497270
GO:0018574,497270
GO:0018575,497270
GO:0019114,497270
GO:0019117,497270
GO:0047074,497270
GO:0006950,497810
GO:0005351,497892
GO:0008643,497892
GO:0016020,497892
GO:0005215,497892
GO:0006810,497892
GO:0016021,497892
GO:0004553,497895
GO:0005975,497895
GO:0008422,497895
GO:0003700,497900
GO:0005634,497900
GO:0006355,497900
GO:0008270,497900
GO:0003677,497900
GO:0006350,497900
GO:0004553,497909
GO:0005975,497909
GO:0004567,497909
GO:0004341,499063
GO:0008800,499480
GO:0030655,499480
GO:0046677,499480
GO:0008270,499571
GO:0005524,499748
GO:0006298,499748
GO:0030983,499748
GO:0008152,500582
GO:0008415,500582
GO:0005515,500582
GO:0043754,500582
GO:0004301,500850
GO:0005792,500850
GO:0009636,500850
GO:0016020,500850
GO:0033961,500850
GO:0016289,501844
GO:0016291,501844
GO:0008080,502086
GO:0008152,502086
GO:0003867,504469
GO:0009448,504469
GO:0008483,504469
GO:0030170,504469
GO:0006865,504739
GO:0015171,504739
GO:0016020,504739
GO:0016021,504739
GO:0005351,507099
GO:0008643,507099
GO:0016020,507099
GO:0005215,507099
GO:0006810,507099
GO:0016021,507099
GO:0019787,507138
GO:0043687,507138
GO:0051246,507138
GO:0004842,507138
GO:0051438,507138
GO:0051440,507138
GO:0051443,507138
GO:0051444,507138
GO:0031072,508353
GO:0006808,508509
GO:0016564,508509
GO:0016491,508856
GO:0050660,508856
GO:0016656,508856
GO:0004221,509593
GO:0005622,509593
GO:0006511,509593
GO:0047172,510274
GO:0004659,510283
GO:0016021,510283
GO:0008152,510689
GO:0016491,510689
GO:0003700,511452
GO:0005634,511452
GO:0006355,511452
GO:0008270,511452
GO:0003677,511452
GO:0006350,511452
GO:0004672,512731
GO:0005524,512731
GO:0006468,512731
GO:0004674,512731
GO:0003824,513172
GO:0005622,513172
GO:0016070,513172
GO:0016874,513684
GO:0004485,513684
GO:0006457,513738
GO:0016272,513738
GO:0051082,513738
GO:0008152,513743
GO:0016787,513743
GO:0004620,513743
GO:0016298,513743
GO:0018731,513743
GO:0018732,513743
GO:0018733,513743
GO:0018734,513743
GO:0009027,513814
GO:0051287,513814
GO:0047046,513814
GO:0005215,514651
GO:0006810,514651
GO:0016021,514651
GO:0006118,521346
GO:0016491,521346
GO:0004672,529435
GO:0005524,529435
GO:0006468,529435
GO:0004674,529435
GO:0004682,529435
GO:0005509,535319
GO:0005506,535319
GO:0006118,535319
GO:0016021,535319
GO:0016491,535319
GO:0050660,535319
GO:0006885,537100
GO:0015299,537100
GO:0016021,537100
GO:0005622,538066
GO:0005515,538315
GO:0006808,539083
GO:0016564,539083
GO:0003715,540781
GO:0006353,540781
GO:0006808,545899
GO:0016564,545899
