log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
-1.70931391797276,-1.17128443014462,6.55932376574661e-42,1.77721215997447e-19,gene_1043
-1.4833702463156,-1.43437659850363,5.39032540841124e-94,9.13206739328265e-58,gene_1085
-1.46457579642037,-1.25801731301566,3.55377101389346e-37,4.13893548982685e-19,gene_1116
-2.05240949066557,-1.24353334741032,1.34599316051685e-226,2.88467454297002e-60,gene_1224
-1.4369840814018,-1.11856410252536,7.13518652942633e-103,1.09597053015435e-24,gene_1226
-1.285450677297,-1.12464631950231,3.13178853932225e-69,1.81611331181528e-46,gene_1254
-1.65079775340788,-1.23314223668643,2.9518765289155e-163,4.1933797024028e-77,gene_1271
-1.16547393621045,-1.08946922528894,1.41067389333885e-33,1.55246818664455e-17,gene_1372
-2.88728424839189,-1.57709617812195,9.15936336629346e-75,1.81551981648001e-14,gene_144
-1.77747729316778,-1.38342739445283,1.67464567286392e-158,3.57994669459967e-90,gene_1446
-1.7906529842892,-1.21245670413731,9.32821448677111e-153,1.43631774132394e-46,gene_1474
-1.25945884160808,-1.14568753216884,1.44868989810887e-44,1.0045620784495e-44,gene_1575
-1.47120444847264,-1.10987850985028,6.2767901212582e-51,1.49540386653929e-11,gene_159
-2.17726788418446,-1.5210140142318,1.08253595226887e-223,4.14999014095904e-151,gene_161
-2.09378097023636,-1.81230327479297,2.2961475440996e-26,9.8041996405874e-14,gene_162
-1.15550935863582,-1.11151510386154,3.34295087672041e-45,3.34506778658533e-28,gene_1629
-1.67000786649933,-1.34830453356418,2.94863897102037e-143,2.8199836686823e-73,gene_1642
-2.4080731869137,-1.53130138145176,0.0,1.36583406765779e-36,gene_1682
-1.76227020390697,-1.0872822978376,6.79856794011657e-112,2.47101106666304e-26,gene_1693
-1.95895784598975,-1.79933572347935,1.15077052702933e-127,1.66148783224139e-33,gene_1702
-1.97780200000175,-1.08019677992327,2.38286317331652e-154,6.58431489057723e-29,gene_1715
-1.44807723263427,-1.18193556010385,4.28748493051721e-86,4.59565613725004e-61,gene_1770
-1.50578814154538,-1.36362569048321,8.39095838807044e-76,4.47598871838167e-44,gene_1800
-1.75810700343147,-1.10481132921073,3.43933545747225e-162,5.0830584971759e-28,gene_1823
-1.47586708273043,-1.13185710077347,1.60192085424678e-121,5.21282240182691e-56,gene_1851
-1.5712485285337,-1.57382338890358,3.54561100669687e-66,1.19189559187558e-34,gene_1879
-1.22684454722731,-1.04462511488257,1.00597100024216e-40,0.000114634890553,gene_1905
-1.84792147695534,-1.08256974401939,1.71350557849109e-93,2.75537173316306e-14,gene_1908
-1.97133935862254,-1.38831187467409,6.32543326942494e-243,3.37593029613903e-61,gene_1916
-2.25433759337745,-1.32297337101082,2.80231690559979e-190,9.63350371576938e-18,gene_1932
-1.3964295676323,-1.33855102953349,4.94653925697456e-139,1.64645320669891e-105,gene_1939
-1.70575900244705,-1.62859275913901,1.85781286172771e-123,1.90615025453241e-77,gene_1988
-1.09944719656529,-1.46314319087924,5.33099716098338e-27,8.08541798189822e-36,gene_2005
-1.11816784837751,-1.49867137503138,6.8875499300546e-38,1.15669471938257e-40,gene_2012
-2.02517830235988,-1.46876571448848,9.30776283141369e-42,2.76150604153632e-07,gene_2016
-1.75197973572991,-1.76687517253067,3.26755061379185e-64,3.12132049847086e-13,gene_2082
-1.35203310163762,-1.85680745734497,7.97695677969579e-32,5.55850889802997e-14,gene_2083
-1.3882199208995,-1.18090925778169,6.38561404448506e-51,1.65246099937066e-14,gene_2087
-2.02639462779127,-1.46594225872834,1.26473490317195e-173,1.91702674588423e-75,gene_2104
-3.85485461573384,-1.83336352146309,2.40539040026876e-34,1.07566949775124e-55,gene_2144
-1.60442367532594,-1.02987881353905,1.38309287567402e-65,7.30402457876195e-25,gene_2146
-1.52307748396699,-1.14618832394758,5.05379766391601e-143,7.46769290356917e-92,gene_2229
-1.39836386746866,-1.88102138552826,4.00223170199711e-28,2.93363837049185e-45,gene_2319
-1.33194890346153,-1.18225705119854,5.31032466251694e-74,3.62556172804081e-34,gene_2323
-2.1509322437757,-1.22216948071343,3.77744198290751e-91,6.57335964616971e-09,gene_2332
-1.16317466046314,-1.01905571042185,2.43090054326849e-65,4.15417417326646e-35,gene_2368
-2.63363109410803,-1.86933796465857,9.74318599390821e-292,1.062881922714e-107,gene_2392
-1.94008188322755,-1.45768415754005,2.39947952768702e-182,2.28764751677514e-76,gene_2437
-1.73976248283751,-1.17956588481159,8.96988177864989e-64,5.06619386175725e-21,gene_2441
-2.26820272964181,-1.05007372617176,7.63189727932724e-235,4.07792885768872e-46,gene_2495
-2.17286794051862,-1.50363318649972,1.6811566540627e-127,6.12318126818847e-20,gene_2501
-2.02197503103496,-1.77242286071943,1.14027769857942e-128,6.0244250519876e-54,gene_2522
-1.76360148032275,-1.4771481462565,7.81834830942391e-225,6.46660414143725e-78,gene_2536
-1.22299343469578,-1.19465608378046,1.68938640535375e-81,1.83767317172894e-80,gene_2563
-1.64444733735829,-1.414387919697,2.32495945020673e-67,1.96650500764384e-16,gene_2577
-2.46418350512997,-1.30964834889094,7.29378406848782e-108,1.06752765239923e-16,gene_2605
-2.76774635074408,-1.4318171927922,1.27626842427142e-242,4.78624924867237e-34,gene_2608
-2.26156217517591,-1.84893219791741,2.77060088502962e-150,9.26424792284268e-40,gene_2617
-1.24536542767844,-1.046788028198,4.69667191135078e-54,9.69474202427588e-30,gene_2680
-1.31482631348642,-1.06791134042643,1.03218950671698e-129,5.80377438365232e-86,gene_2681
-1.48689903269029,-1.31941006926665,4.29847555393307e-40,1.47585859875902e-24,gene_2685
-1.83188908472426,-1.036120418188,4.33554067653364e-127,5.52026664163192e-30,gene_2688
-1.57278135388472,-1.01079533790017,1.55055950758353e-115,2.12556140727421e-70,gene_2690
-1.73673452096501,-1.7578107837248,7.70720720730839e-79,4.19119825518974e-21,gene_2713
-1.83307403325655,-1.27779198790443,1.02175154928393e-47,1.08444157444351e-12,gene_2739
-1.70583270427449,-1.35248627248485,8.95055639800183e-79,3.2842075705697e-26,gene_2747
-2.33530287037177,-2.4847536072757,2.55884070291813e-74,7.96141045476219e-75,gene_2770
-1.86904875147786,-1.05045189092575,2.19048995513679e-179,1.42625492994022e-49,gene_279
-1.04087247255539,-1.13303278971822,3.83076240169712e-28,7.45148020561721e-17,gene_2845
-1.61264020439095,-1.22477047021871,1.5836601618573e-43,1.95286570063723e-19,gene_2869
-2.32602688473334,-1.44231680953314,1.29029940953708e-190,5.28509291620887e-62,gene_2887
-1.04545060206478,-1.53624864144314,1.64580840486514e-22,3.45532473520574e-51,gene_2924
-1.8440996933071,-1.1565397495416,2.92784922051962e-89,2.70287689551711e-24,gene_2984
-1.52731114927752,-1.50324934310177,1.24914812213439e-75,1.02871038661864e-30,gene_2987
-1.07087241419286,-1.08286361074791,7.96797726463634e-61,2.00090338881031e-61,gene_3003
-2.24814348783976,-1.19804611478364,3.84685199062253e-194,6.77831183117583e-28,gene_3048
-1.09035562198818,-1.20978624604058,2.80219353333603e-34,2.09628923676961e-16,gene_3131
-1.81425451222207,-1.52070334965305,4.82017053739523e-82,1.23482912843741e-14,gene_3135
-1.59038200646521,-1.25588314407101,1.95751664117618e-136,2.37037453337812e-74,gene_3147
-2.05035173194986,-1.17411042978906,2.12547878171263e-161,6.42619243797418e-22,gene_3164
-1.15774651005712,-1.08482675012092,5.90285297315896e-68,8.52964732638948e-36,gene_3165
-2.08793914807141,-1.34038751679681,9.73910322882563e-122,8.71592989642285e-15,gene_3196
-1.86424442710148,-1.38030632495784,9.60818853761277e-87,4.04747972446456e-21,gene_3199
-2.16798056863948,-1.79810006988508,2.71152712216371e-172,4.24848901997522e-41,gene_3244
-1.57805476852454,-1.23911645554798,2.06146610629131e-164,4.4060611834638e-67,gene_3292
-1.38901333468956,-1.00651928595927,9.81496161129691e-54,2.56595228162895e-11,gene_3358
-2.2183681291936,-1.92900940965016,1.13497952607318e-246,7.80163302578166e-63,gene_3365
-1.08385305414302,-1.07565322717334,2.14253682511756e-32,1.65811767696189e-61,gene_3404
-1.44084166600629,-1.65666707939434,1.4913481203076e-70,8.63063053400072e-57,gene_3407
-1.16305275900435,-1.08705518856532,8.15283362946048e-25,5.9596382469769e-15,gene_3429
-2.2106404912445,-1.63523773768391,1.48086430529666e-205,1.30278156882688e-45,gene_3451
-1.44645316220075,-1.40985555050585,8.38435691885093e-45,4.78434727559587e-11,gene_3492
-2.1226437484234,-1.42462410312734,5.54894653260475e-189,5.88901901231098e-23,gene_3505
-1.96886773271586,-1.39351792162875,1.98160957582241e-192,2.40762766005434e-58,gene_3520
-1.135804831335,-1.03314618836632,6.46410000766752e-49,9.55035839125685e-35,gene_3539
-1.93168427514563,-1.38428011633054,2.90879660139887e-96,1.77155651935485e-31,gene_3555
-2.08876764815409,-1.41638075068204,2.29559021989738e-84,3.643321585514e-08,gene_3566
-1.83398320681042,-1.51556000839429,7.05985246408087e-51,1.10172356479764e-08,gene_3567
-1.44615304352103,-1.09311752840344,2.17621849701904e-29,1.81024169626552e-16,gene_3605
-1.82293562124824,-2.27582866205324,1.79908967691636e-85,3.48546037021392e-76,gene_3608
-1.2680581677557,-2.3984854469601,2.05489975585802e-22,4.35558801140714e-20,gene_3647
-2.27394642869632,-2.79599224318687,3.02889632529036e-37,9.34371269586293e-51,gene_3649
-1.19826396653305,-1.76795172999029,3.29462329038325e-28,5.57996011946321e-34,gene_3650
-1.11307091239643,-1.12206757584515,4.66584357833907e-78,9.27403044660652e-95,gene_3672
-1.92750931991408,-1.51220306602197,5.22143775961073e-197,3.30509723675471e-34,gene_3741
-1.24290977956683,-1.03726941521698,2.15298534567354e-57,9.11282488408539e-27,gene_377
-1.18528936094175,-1.40871025923221,3.24738222995594e-49,8.02573593090596e-36,gene_3808
-1.26605216635584,-1.01654568777929,1.78578021135818e-79,3.88961170679483e-14,gene_3841
-1.51697533728246,-1.39379061588244,2.40865927913819e-36,1.12771747419518e-25,gene_3881
-1.29641033305832,-1.99529071063371,2.36751546849411e-59,1.43638782951136e-160,gene_4005
-2.05442987730858,-1.27061110875654,1.8900512724935e-86,7.38476838610156e-16,gene_404
-1.34881672185789,-1.05951844423926,5.03754287044808e-168,3.34101434705039e-98,gene_4154
-1.76051580918243,-1.26226962867143,0.0,6.80288231703822e-101,gene_416
-1.17353688801753,-1.12868131146853,4.71803530529665e-72,2.7140641483873e-52,gene_4206
-1.87523226274847,-1.62335806285275,2.65635327286408e-68,7.29588084853988e-21,gene_4225
-1.66158026910568,-1.70638827777846,2.43245251920586e-120,3.18133511660828e-72,gene_4262
-1.15376416978748,-1.05906815160638,4.71575509055262e-39,2.43762054217291e-20,gene_4275
-1.10249399320287,-1.02178887659368,9.18304384492173e-59,1.9621040625407e-30,gene_4289
-2.06754914340419,-1.3669980062492,7.33151486325305e-223,1.50809577664128e-40,gene_4301
-1.38994674244195,-1.45963118953977,1.02472216082861e-10,2.69723473427786e-29,gene_4317
-1.87784690259457,-1.36739245517341,2.29664840391891e-51,3.78748226282378e-09,gene_4319
-1.3618688752796,-1.1590638244294,5.04659154648722e-68,3.97012281714443e-79,gene_4397
-1.34297066935934,-1.25261071733373,1.62915035867162e-54,1.0563181094018e-56,gene_4480
-1.18843783435113,-1.32519297878238,4.4748021445041e-05,1.02803878132907e-11,gene_4483
-1.09748643942321,-1.0742787423434,1.61778941120511e-51,3.48905383597733e-34,gene_4540
-1.34588260421815,-1.03045683307177,3.00398829528369e-43,7.7176558821045e-16,gene_4542
-1.7695478107542,-1.08356972284994,3.08736549595092e-14,0.006197171048379,gene_4571
-1.43741033858784,-1.27970546447019,1.93647377160439e-71,3.58374847427093e-29,gene_4577
-1.26309623036035,-1.07536824789384,9.93232129062391e-58,7.83123609208646e-17,gene_458
-1.33301438845639,-1.18445590135501,4.54438616779506e-37,5.9216943523625e-10,gene_4585
-2.28599213745279,-1.17873840370012,4.93390602969592e-193,1.50412470771765e-18,gene_4610
-1.94830189676557,-1.57913015262047,9.1412899620516e-159,1.27684491765886e-39,gene_4672
-1.60115486828867,-1.52252292877412,4.23772836054015e-55,2.15245761768451e-33,gene_4679
-1.31922730944982,-1.29134510223261,1.91270657206272e-24,1.48899377415274e-16,gene_4690
-2.44370785759669,-1.93576006810594,4.65176643822616e-268,1.29539062637949e-73,gene_4728
-1.87297317485218,-1.18486577761685,6.67118477565412e-129,7.51117841728065e-35,gene_4732
-2.70396467837078,-1.4267289971198,2.33290408854423e-237,1.95131997363097e-30,gene_4804
-1.58140135523761,-1.00096182166548,5.7061760250234e-89,3.49098669914793e-22,gene_4819
-1.32615932565906,-1.01723136150129,1.47531762685647e-66,8.89955815375731e-15,gene_4846
-1.51910994843985,-1.33470826883062,7.02275484680528e-143,2.34761970683383e-88,gene_4891
-1.40635746381759,-1.42390566571492,1.05545252095054e-57,1.24409798166451e-28,gene_4894
-4.0537100171311,-2.361355076234,7.72964338628764e-152,4.50424003087272e-241,gene_4900
-2.13353709114425,-2.47210887892884,5.99224449474261e-125,6.46470147951424e-59,gene_4901
-1.08532866424533,-1.00510506973195,6.25130442267879e-59,8.54458203541989e-51,gene_496
-1.55770301765524,-1.31437622524313,1.64960581769759e-74,2.00880439678309e-16,gene_5039
-1.02295507549912,-1.21063519867064,3.99227183982993e-23,8.60691612189188e-33,gene_5080
-1.62823277297526,-1.07564447602874,1.22482163643617e-152,5.11804824125966e-51,gene_5120
-1.16524084517933,-1.44116146015526,8.16715155771383e-80,4.95736576528443e-90,gene_5129
-2.02884636533984,-1.02466676343461,1.90948045919313e-62,2.92872742813883e-08,gene_517
-1.50875418819674,-1.5138143119453,1.10873823715415e-191,2.57184741323897e-139,gene_5170
-1.43820047767424,-1.12155362611414,6.44907913678695e-60,2.32049265654742e-24,gene_5176
-2.2612974691045,-1.88885316061629,1.71384689202395e-132,1.50006046125385e-24,gene_5202
-1.39958130711483,-1.09118274192971,3.18865076407062e-50,1.10925031489702e-14,gene_5261
-1.95382134581119,-1.65241746575664,1.41203582691976e-103,2.12672809067541e-32,gene_5270
-1.79360515679194,-1.55090326853359,6.11987715045262e-95,7.98432822600387e-52,gene_5276
-1.2329739051786,-1.83111731324236,7.28346222561678e-66,3.32368192118076e-55,gene_5292
-1.55339022869661,-1.59584065266568,5.39954011894714e-51,2.03281004760734e-18,gene_5301
-1.25835248737426,-1.38571111737487,1.78043218856605e-22,9.93528173230785e-15,gene_5323
-1.44216252672198,-1.30693669166786,1.2174605127319e-66,5.42219758842471e-20,gene_5375
-1.29080746833992,-1.30032586023619,2.1393821082114e-112,4.55168398516671e-97,gene_5382
-1.7476893797965,-1.33080245547905,6.85772029314212e-24,1.46188106540406e-56,gene_540
-1.70947534482761,-1.74543297194784,8.96189388005392e-81,3.39554705368151e-23,gene_5420
-1.78818096816705,-1.17297449100858,4.19384488385069e-155,2.52313039987053e-40,gene_5453
-1.15099044703904,-1.13471931361862,8.80122221114603e-76,4.21666755652053e-45,gene_5475
-1.49858638170464,-1.18640605203203,1.45562658694153e-33,7.39946220186905e-08,gene_5511
-2.0687457445592,-1.1641082294655,1.49564103114206e-189,1.26555027946992e-50,gene_5561
-2.24885845481967,-1.51015081845663,5.59084247177343e-268,1.54365368741646e-79,gene_5562
-1.26041290557628,-1.13571251980816,1.0857013268649e-35,1.64405904709802e-29,gene_5720
-1.21766827279016,-1.12406244145265,1.13456244388124e-60,4.29593125092649e-36,gene_5742
-1.83659028879714,-1.38148408279516,2.06174086486333e-229,2.34521763964644e-67,gene_5747
-1.3856942087961,-1.32657931941737,3.29458471183407e-81,2.65010528691255e-25,gene_5748
-2.46295556350384,-2.07405672650031,9.66030904743531e-238,6.35581458005e-110,gene_5820
-1.40789056067716,-1.48848267300439,2.07615192072078e-36,1.56845638379326e-25,gene_5856
-1.25661290621785,-1.25629196129107,3.51309861142875e-37,5.80651463633471e-09,gene_5879
-1.80348529352401,-1.03092445338653,1.05237558156836e-140,0.001278349203987,gene_5881
-2.06597959970219,-1.83068292261465,2.89332042429129e-134,2.45383866750879e-35,gene_5903
-2.03184034694649,-1.4219701343945,2.63011952468488e-87,4.61108878432068e-08,gene_5911
-1.04381080610746,-1.05109789125089,5.66351321038742e-46,3.07094267629485e-31,gene_5963
-2.21024229464256,-2.16653684724867,2.9850105286583e-17,8.8419674134969e-11,gene_5984
-1.69355506318703,-1.17096816216357,3.16838899286554e-110,4.25057811722964e-23,gene_6008
-1.65057791736619,-1.49008303685532,5.26310078389791e-98,4.57946171058163e-58,gene_6023
-2.1687319185447,-1.609457297926,1.31769011471667e-181,4.93278251378838e-30,gene_6062
-1.38949115293499,-1.33623147966675,5.59326796924742e-44,3.81141947825914e-10,gene_6098
-1.57598436831421,-1.11955738464282,4.02864382114882e-115,5.7540360275677e-55,gene_6103
-1.4374600463783,-1.29319021914906,3.14725043369842e-184,1.71717675366297e-77,gene_6196
-1.95199902470852,-1.13095980812615,2.74359392832499e-157,2.10013108448727e-16,gene_6227
-1.26100687806688,-1.4777007648682,1.44229787606132e-36,8.05969145386227e-24,gene_6266
-1.29438743050814,-1.6539176648042,3.63656798560541e-50,7.13797211027615e-37,gene_6355
-1.97383843553719,-1.08252349211662,1.29814951958927e-127,3.64328198677468e-23,gene_6366
-1.95954637609304,-1.18986251899973,5.46104358748482e-189,1.39796809018469e-25,gene_6439
-3.36265977066185,-2.8783715974089,0.0,2.31653254961252e-224,gene_6467
-1.46886108763462,-1.16322854891895,9.95226580142172e-97,1.32106077076074e-38,gene_6468
-1.8857512320972,-2.10449160369768,3.90620930972811e-71,2.492904321714e-51,gene_649
-2.45833807551653,-1.67000025083577,0.0,1.44689335489469e-52,gene_6503
-1.68153692971632,-1.34782406450729,8.27637084221666e-99,4.30243466153365e-21,gene_6523
-1.97489937981907,-1.40267699846289,5.38506934594468e-102,4.80455581815158e-24,gene_657
-1.96942261768441,-1.11111861561995,1.68953850290611e-227,6.52377939707714e-71,gene_658
-1.73033129661727,-1.31508653766075,4.20242912426144e-83,4.1435337397146e-30,gene_6611
-1.99032200066187,-1.43378826782704,2.70377071455275e-125,9.13396399157827e-33,gene_6621
-1.35916268965615,-1.11135123682337,2.22300939069099e-97,3.30198045202195e-67,gene_6683
-1.50260312330706,-1.08964348197377,1.43384819425744e-43,1.28098482170786e-13,gene_6715
-1.7310389747293,-1.29894586369254,5.41234538420809e-82,1.30881562436834e-22,gene_6796
-1.77927656765227,-1.52046343039914,2.06330528669177e-81,3.14976761556236e-43,gene_6832
-1.65358337095252,-1.31025480015096,3.23676414762996e-101,1.38600898206832e-22,gene_6837
-1.29323596296568,-1.07869242269352,4.31674460385112e-80,1.09804374045169e-50,gene_6843
-1.69810542354941,-1.50981791905497,1.58485193057301e-90,1.79325682740639e-28,gene_6954
-1.64167220922182,-1.44644487127539,1.36317776569863e-92,1.87231519249733e-47,gene_701
-2.09333649777328,-1.18298281325465,1.03561907827626e-268,3.39079732237041e-98,gene_7030
-1.74583580294321,-1.05038937475738,7.87520216752305e-158,4.70518420541626e-28,gene_7034
-1.34225725451559,-1.63282385293626,2.59010286681712e-56,4.11256328232596e-60,gene_7120
-1.52740985624803,-1.27426752652227,4.11336698582939e-163,2.08084850394681e-80,gene_7159
-1.35205553290866,-1.17493375674665,2.58183201698809e-47,2.37250199037697e-22,gene_7171
-2.05775305912913,-1.68891827181867,1.84379795648746e-108,4.21666755652053e-45,gene_7216
-1.25179182331415,-1.04763887038792,1.60524013980687e-58,1.74890306793706e-38,gene_7233
-1.07261515477426,-2.63734564767702,1.52287986872632e-31,6.8693127119694e-251,gene_7345
-1.42947383044661,-1.21024740497892,4.44409567152301e-63,4.68070907419664e-19,gene_7346
-2.59003442698549,-1.81264625406692,2.32988448086594e-41,2.99527570101055e-48,gene_7377
-2.43660425564588,-2.01845097481355,1.59669728149066e-203,1.46184974085984e-41,gene_739
-1.26493224554739,-1.48071121445003,1.56743320417097e-27,2.5850815795232e-42,gene_7430
