Protein_ID,log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
479447,-1.70931391797276,-1.17128443014462,6.55932376574661E-42,1.77721215997447E-19,gene_1043
53482,-1.4833702463156,-1.43437659850363,5.39032540841124E-94,9.13206739328265E-58,gene_1085
479717,-1.46457579642037,-1.25801731301566,3.55377101389346E-37,4.13893548982685E-19,gene_1116
61042,-2.05240949066557,-1.24353334741032,1.34599316051685E-226,2.88467454297002E-60,gene_1224
480067,-1.4369840814018,-1.11856410252536,7.13518652942633E-103,1.09597053015435E-24,gene_1226
508083,-1.285450677297,-1.12464631950231,3.13178853932225E-69,1.81611331181528E-46,gene_1254
480189,-1.65079775340788,-1.23314223668643,2.9518765289155E-163,4.1933797024028E-77,gene_1271
480527,-1.16547393621045,-1.08946922528894,1.41067389333885E-33,1.55246818664455E-17,gene_1372
459091,-2.88728424839189,-1.57709617812195,9.15936336629346E-75,1.81551981648001E-14,gene_144
480781,-1.77747729316778,-1.38342739445283,1.67464567286392E-158,3.57994669459967E-90,gene_1446
480866,-1.7906529842892,-1.21245670413731,9.32821448677111E-153,1.43631774132394E-46,gene_1474
481237,-1.25945884160808,-1.14568753216884,1.44868989810887E-44,1.0045620784495E-44,gene_1575
476343,-1.47120444847264,-1.10987850985028,6.2767901212582E-51,1.49540386653929E-11,gene_159
476350,-2.17726788418446,-1.5210140142318,1.08253595226887E-223,4.14999014095904E-151,gene_161
476354,-2.09378097023636,-1.81230327479297,2.2961475440996E-26,9.8041996405874E-14,gene_162
481394,-1.15550935863582,-1.11151510386154,3.34295087672041E-45,3.34506778658533E-28,gene_1629
481432,-1.67000786649933,-1.34830453356418,2.94863897102037E-143,2.8199836686823E-73,gene_1642
481551,-2.4080731869137,-1.53130138145176,0,1.36583406765779E-36,gene_1682
481584,-1.76227020390697,-1.0872822978376,6.79856794011657E-112,2.47101106666304E-26,gene_1693
481615,-1.95895784598975,-1.79933572347935,1.15077052702933E-127,1.66148783224139E-33,gene_1702
162623,-1.97780200000175,-1.08019677992327,2.38286317331652E-154,6.58431489057723E-29,gene_1715
508539,-1.44807723263427,-1.18193556010385,4.28748493051721E-86,4.59565613725004E-61,gene_1770
481971,-1.50578814154538,-1.36362569048321,8.39095838807044E-76,4.47598871838167E-44,gene_1800
168653,-1.75810700343147,-1.10481132921073,3.43933545747225E-162,5.0830584971759E-28,gene_1823
482143,-1.47586708273043,-1.13185710077347,1.60192085424678E-121,5.21282240182691E-56,gene_1851
538438,-1.5712485285337,-1.57382338890358,3.54561100669687E-66,1.19189559187558E-34,gene_1879
482331,-1.22684454722731,-1.04462511488257,1.00597100024216E-40,0.000114634890553,gene_1905
461134,-1.84792147695534,-1.08256974401939,1.71350557849109E-93,2.75537173316306E-14,gene_1908
461149,-1.97133935862254,-1.38831187467409,6.32543326942494E-243,3.37593029613903E-61,gene_1916
482424,-2.25433759337745,-1.32297337101082,2.80231690559979E-190,9.63350371576938E-18,gene_1932
461177,-1.3964295676323,-1.33855102953349,4.94653925697456E-139,1.64645320669891E-105,gene_1939
450436,-1.70575900244705,-1.62859275913901,1.85781286172771E-123,1.90615025453241E-77,gene_1988
482639,-1.09944719656529,-1.46314319087924,5.33099716098338E-27,8.08541798189822E-36,gene_2005
461263,-1.11816784837751,-1.49867137503138,6.8875499300546E-38,1.15669471938257E-40,gene_2012
482667,-2.02517830235988,-1.46876571448848,9.30776283141369E-42,2.76150604153632E-07,gene_2016
435300,-1.75197973572991,-1.76687517253067,3.26755061379185E-64,3.12132049847086E-13,gene_2082
179384,-1.35203310163762,-1.85680745734497,7.97695677969579E-32,5.55850889802997E-14,gene_2083
482862,-1.3882199208995,-1.18090925778169,6.38561404448506E-51,1.65246099937066E-14,gene_2087
180594,-2.02639462779127,-1.46594225872834,1.26473490317195E-173,1.91702674588423E-75,gene_2104
522523,-3.85485461573384,-1.83336352146309,2.40539040026876E-34,1.07566949775124E-55,gene_2144
534468,-1.60442367532594,-1.02987881353905,1.38309287567402E-65,7.30402457876195E-25,gene_2146
522936,-1.52307748396699,-1.14618832394758,5.05379766391601E-143,7.46769290356917E-92,gene_2229
483682,-1.39836386746866,-1.88102138552826,4.00223170199711E-28,2.93363837049185E-45,gene_2319
483691,-1.33194890346153,-1.18225705119854,5.31032466251694E-74,3.62556172804081E-34,gene_2323
538818,-2.1509322437757,-1.22216948071343,3.77744198290751E-91,6.57335964616971E-09,gene_2332
483803,-1.16317466046314,-1.01905571042185,2.43090054326849E-65,4.15417417326646E-35,gene_2368
545106,-2.63363109410803,-1.86933796465857,9.74318599390821E-292,1.062881922714E-107,gene_2392
484040,-1.94008188322755,-1.45768415754005,2.39947952768702E-182,2.28764751677514E-76,gene_2437
484052,-1.73976248283751,-1.17956588481159,8.96988177864989E-64,5.06619386175725E-21,gene_2441
198829,-2.26820272964181,-1.05007372617176,7.63189727932724E-235,4.07792885768872E-46,gene_2495
484239,-2.17286794051862,-1.50363318649972,1.6811566540627E-127,6.12318126818847E-20,gene_2501
436112,-2.02197503103496,-1.77242286071943,1.14027769857942E-128,6.0244250519876E-54,gene_2522
484352,-1.76360148032275,-1.4771481462565,7.81834830942391E-225,6.46660414143725E-78,gene_2536
484425,-1.22299343469578,-1.19465608378046,1.68938640535375E-81,1.83767317172894E-80,gene_2563
484474,-1.64444733735829,-1.414387919697,2.32495945020673E-67,1.96650500764384E-16,gene_2577
509293,-2.46418350512997,-1.30964834889094,7.29378406848782E-108,1.06752765239923E-16,gene_2605
484575,-2.76774635074408,-1.4318171927922,1.27626842427142E-242,4.78624924867237E-34,gene_2608
539074,-2.26156217517591,-1.84893219791741,2.77060088502962E-150,9.26424792284268E-40,gene_2617
484822,-1.24536542767844,-1.046788028198,4.69667191135078E-54,9.69474202427588E-30,gene_2680
484825,-1.31482631348642,-1.06791134042643,1.03218950671698E-129,5.80377438365232E-86,gene_2681
534674,-1.48689903269029,-1.31941006926665,4.29847555393307E-40,1.47585859875902E-24,gene_2685
545315,-1.83188908472426,-1.036120418188,4.33554067653364E-127,5.52026664163192E-30,gene_2688
484855,-1.57278135388472,-1.01079533790017,1.55055950758353E-115,2.12556140727421E-70,gene_2690
534687,-1.73673452096501,-1.7578107837248,7.70720720730839E-79,4.19119825518974E-21,gene_2713
210209,-1.83307403325655,-1.27779198790443,1.02175154928393E-47,1.08444157444351E-12,gene_2739
485018,-1.70583270427449,-1.35248627248485,8.95055639800183E-79,3.2842075705697E-26,gene_2747
451424,-2.33530287037177,-2.4847536072757,2.55884070291813E-74,7.96141045476219E-75,gene_2770
537102,-1.86904875147786,-1.05045189092575,2.19048995513679E-179,1.42625492994022E-49,gene_279
215730,-1.04087247255539,-1.13303278971822,3.83076240169712E-28,7.45148020561721E-17,gene_2845
485479,-1.61264020439095,-1.22477047021871,1.5836601618573E-43,1.95286570063723E-19,gene_2869
451569,-2.32602688473334,-1.44231680953314,1.29029940953708E-190,5.28509291620887E-62,gene_2887
436373,-1.04545060206478,-1.53624864144314,1.64580840486514E-22,3.45532473520574E-51,gene_2924
485890,-1.8440996933071,-1.1565397495416,2.92784922051962E-89,2.70287689551711E-24,gene_2984
485898,-1.52731114927752,-1.50324934310177,1.24914812213439E-75,1.02871038661864E-30,gene_2987
485973,-1.07087241419286,-1.08286361074791,7.96797726463634E-61,2.00090338881031E-61,gene_3003
451770,-2.24814348783976,-1.19804611478364,3.84685199062253E-194,6.77831183117583E-28,gene_3048
504802,-1.09035562198818,-1.20978624604058,2.80219353333603E-34,2.09628923676961E-16,gene_3131
451850,-1.81425451222207,-1.52070334965305,4.82017053739523E-82,1.23482912843741E-14,gene_3135
534821,-1.59038200646521,-1.25588314407101,1.95751664117618E-136,2.37037453337812E-74,gene_3147
486541,-2.05035173194986,-1.17411042978906,2.12547878171263E-161,6.42619243797418E-22,gene_3164
486543,-1.15774651005712,-1.08482675012092,5.90285297315896E-68,8.52964732638948E-36,gene_3165
233019,-2.08793914807141,-1.34038751679681,9.73910322882563E-122,8.71592989642285E-15,gene_3196
486663,-1.86424442710148,-1.38030632495784,9.60818853761277E-87,4.04747972446456E-21,gene_3199
486913,-2.16798056863948,-1.79810006988508,2.71152712216371E-172,4.24848901997522E-41,gene_3244
452061,-1.57805476852454,-1.23911645554798,2.06146610629131E-164,4.4060611834638E-67,gene_3292
487303,-1.38901333468956,-1.00651928595927,9.81496161129691E-54,2.56595228162895E-11,gene_3358
487323,-2.2183681291936,-1.92900940965016,1.13497952607318E-246,7.80163302578166E-63,gene_3365
244382,-1.08385305414302,-1.07565322717334,2.14253682511756E-32,1.65811767696189E-61,gene_3404
539738,-1.44084166600629,-1.65666707939434,1.4913481203076E-70,8.63063053400072E-57,gene_3407
487510,-1.16305275900435,-1.08705518856532,8.15283362946048E-25,5.9596382469769E-15,gene_3429
452245,-2.2106404912445,-1.63523773768391,1.48086430529666E-205,1.30278156882688E-45,gene_3451
247650,-1.44645316220075,-1.40985555050585,8.38435691885093E-45,4.78434727559587E-11,gene_3492
487747,-2.1226437484234,-1.42462410312734,5.54894653260475E-189,5.88901901231098E-23,gene_3505
452328,-1.96886773271586,-1.39351792162875,1.98160957582241E-192,2.40762766005434E-58,gene_3520
463143,-1.135804831335,-1.03314618836632,6.46410000766752E-49,9.55035839125685E-35,gene_3539
