log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
-2.10236010981586,-1.37390036018038,1.42308212233435e-95,1.45647019886989e-21,gene_1018
-2.5534938324402,-1.33793701207685,9.03606339736057e-181,3.33325396024993e-44,gene_1061
-1.35278394079464,-1.13325219899691,1.04227895415335e-41,3.26438085387749e-22,gene_1062
-1.10254009065998,-1.07776015318608,7.05888132437515e-60,1.26364709012021e-28,gene_1085
-2.19284747326243,-1.81086232599218,1.74254118955544e-33,1.26140332676943e-24,gene_1225
-2.18683790763066,-1.16625528642448,1.10907447674448e-25,3.27470550930319e-18,gene_1293
-1.62741764798344,-1.57547552999946,4.32664472533936e-78,3.54819191862794e-34,gene_1372
-1.6461375882073,-1.27629853289227,7.21055568202331e-151,1.34095216494571e-68,gene_1446
-4.28075751142549,-2.0366451432632,0.0,0.0,gene_1491
-1.50375442946081,-1.16760667857616,1.0437050632841e-47,1.62091938430331e-13,gene_159
-3.34346446738087,-2.49086816023783,0.0,1.12486755482385e-139,gene_1682
-2.22429435582355,-2.08819892155873,6.00499427950398e-179,7.7734650633613e-47,gene_1702
-1.63150115054294,-1.04170124247282,5.45201433449645e-187,6.16150605211509e-56,gene_1719
-2.20372514457654,-1.57424949681999,1.98106019292091e-224,1.30877686123001e-65,gene_1823
-1.54125650494442,-1.22130088800201,1.16388391933011e-119,1.36057543478754e-70,gene_1851
-1.98174043013606,-1.322538442405,7.16394721797692e-130,1.37606204903205e-36,gene_1867
-1.06500166447741,-1.09090028312183,2.51523551144059e-31,1.11560945413833e-15,gene_1879
-1.91782929804283,-1.17615151591475,8.71594789322909e-77,2.11398914856192e-20,gene_1908
-2.74071613453926,-2.1815999251542,0.0,2.93982634494307e-196,gene_1916
-2.51777402875082,-1.60865719352348,1.83839847165544e-155,4.14656478102433e-35,gene_1932
-3.97881702368581,-5.06633146247665,4.40004178880803e-90,5.04191648347138e-20,gene_1958
-2.52468317953305,-1.67417987526651,6.70139863419934e-283,0.0,gene_1960
-1.71684549381475,-1.66391129875088,8.71140840946707e-131,1.83060943225767e-78,gene_1988
-1.2918185900095,-1.69643119115306,2.37891561800373e-62,1.18591625428583e-46,gene_2012
-2.01431279763793,-1.48465147147227,4.61276660447085e-46,5.74824788287341e-07,gene_2016
-1.98611610886095,-2.02537551849586,1.94877144455895e-73,8.42256977683504e-19,gene_2082
-1.78866186624932,-2.31548258708618,8.35136572220032e-40,1.79476093981424e-27,gene_2083
-1.40197658527135,-1.22040639238215,1.9442505077479e-41,6.30803499630648e-18,gene_2087
-2.23952702892045,-1.08653918973446,3.51614329218076e-42,3.92567537286051e-07,gene_21
-2.0365311336468,-1.19570010881877,1.41312773430232e-110,4.8122577939394e-17,gene_2111
-1.33933070972979,-1.02167583358779,3.63582670911634e-84,1.26098507852363e-38,gene_2127
-2.1357133544447,-1.3700108653526,6.85298801489867e-163,2.05184012159658e-50,gene_2192
-1.13997284580981,-1.45686007855274,1.00814552323213e-47,3.79125906404244e-220,gene_2201
-1.68566805339815,-1.04036621652508,6.13229155353995e-88,1.51117434762102e-36,gene_2204
-1.91017595406619,-1.19897449923301,1.97436442624447e-256,6.50175883072694e-140,gene_2227
-6.00149058059784,-3.61268303538985,0.0,0.0,gene_2263
-4.85316189439828,-5.90458357160455,3.21091168176492e-199,3.8872572184633e-284,gene_2278
-2.15287408006667,-1.25030744222858,2.41169680012938e-70,1.67825040702674e-10,gene_2332
-1.27788290695375,-1.08021114762327,2.00549061826291e-90,1.28184821699298e-74,gene_2340
-1.19270454179353,-1.45880922363401,2.86328350126316e-05,1.85115244035319e-16,gene_2440
-1.68116024377057,-1.14504905923313,8.62419534259971e-56,4.79905473641501e-21,gene_2441
-2.33184950096419,-1.68831481003121,3.51295756433254e-146,6.53802494141574e-26,gene_2501
-1.97226930390736,-1.49928014548411,1.39751741363249e-91,1.57677795366516e-26,gene_2517
-1.24384075514492,-1.01845967339696,4.1536076353877e-51,1.21070445154172e-15,gene_2522
-1.65693325507385,-1.22801394037233,7.26744328363793e-137,1.74603708533226e-88,gene_2532
-1.70729007442341,-1.44453195663617,1.19219204599453e-173,1.71426358065932e-82,gene_2536
-1.56167415945558,-1.01279534821873,3.90819616781806e-90,1.94287989739323e-26,gene_2547
-1.41686255746157,-1.07280477589258,3.87253573894849e-53,2.42060786519767e-50,gene_2555
-1.1733632263503,-1.16907631163512,2.17622677573116e-100,1.58686777823029e-60,gene_2563
-2.70126414366966,-2.49754388287968,1.4953621268922e-139,8.62622290412181e-76,gene_2577
-1.0517880148569,-1.11307539452897,3.04200537610895e-17,5.2711197590258e-12,gene_2582
-2.21330957127664,-1.0827377716317,8.73492015684399e-118,2.25588160667296e-09,gene_2605
-1.61543027812236,-1.22722162086951,2.64977690010047e-78,7.59540026995297e-16,gene_2617
-1.50028209047551,-1.09025337548287,1.81101644791917e-120,1.02689354301639e-124,gene_2652
-3.29183149626517,-2.02295725195291,5.07169788850126e-210,2.30199199272306e-43,gene_2666
-2.77397180119901,-1.2679700684065,5.24578020448802e-225,6.40366948219658e-57,gene_2678
-2.16520878258556,-2.20869045644096,1.12504993933028e-106,5.61252282480244e-39,gene_2713
-2.30186331711561,-1.26577253719993,2.76199520188701e-173,4.99884377820219e-22,gene_2715
-1.77733796327755,-1.24566731267169,1.41588612840202e-43,3.14822083846175e-12,gene_2739
-2.04459101960869,-1.0972766336976,1.33537817750617e-24,2.24561724271437e-15,gene_2745
-1.70477196607365,-1.3750753824068,1.25228472506282e-76,7.96765039183502e-28,gene_2747
-2.92501982489221,-1.8663700007901,8.42881011646753e-208,5.70627649972686e-91,gene_2790
-1.50632053006836,-1.01939488926536,1.83830864937429e-103,4.83530913832657e-26,gene_2815
-2.59282741901636,-2.01807998824854,0.0,1.13484290765898e-124,gene_2824
-1.50148226018894,-1.13826466652682,3.46636203502461e-42,5.594814490484e-15,gene_2869
-2.6673276388514,-1.22943558379793,4.45189156073902e-16,7.87739997725911e-05,gene_2954
-2.5481327467975,-1.6205183410467,8.69566470707754e-112,7.23838286325983e-49,gene_2999
-2.37603525041025,-1.3504057512107,1.59949692783685e-247,5.86408542515215e-34,gene_3048
-5.24218490365181,-1.76333401158644,0.0,0.0,gene_307
-1.24937438357712,-1.04378173866967,4.85424143599915e-75,1.3311126857827e-39,gene_311
-1.39785881521795,-1.54064765936188,7.99680527731112e-47,1.41049073101499e-30,gene_3131
-3.01966230541357,-1.81133707106929,0.0,1.28544424717527e-161,gene_3134
-3.0892173862878,-2.8151056482837,4.30470470644826e-224,4.65704426144784e-68,gene_3135
-3.0623709044714,-2.20988671804831,0.0,1.05544553097026e-91,gene_3164
-1.25192536683199,-1.20273844753874,9.7060175376572e-83,2.59122881304914e-43,gene_3165
-3.23274875558179,-2.50793940907478,1.46896049382233e-249,2.58037215689642e-71,gene_3196
-1.88827218897326,-1.35676146048005,1.1486703130405e-159,2.40970877604429e-74,gene_3225
-2.72626650864143,-1.33765064255035,8.74835374083289e-262,9.52290421205302e-141,gene_324
-1.82889951233729,-1.48254148360635,4.84358507961334e-95,1.56254771346313e-30,gene_3244
-2.54267634110917,-1.68829084815967,5.72813178675236e-167,1.28120426401e-53,gene_3263
