#proteinId,ecNum
18376,3.2.1.59
53482,6.3.4.2
200539,4.2.1.3
200539,4.2.1.3
200539,4.2.1.3
315259,3.1.1.-
315259,3.1.1.-
315259,3.1.1.-
320532,1.97.1.4
347512,1.1.1.208
436453,2.7.1.33
450402,2.3.1.7
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
457480,3.2.1.20
457480,3.2.1.20
459901,2.7.7.7
459901,2.7.7.7
459901,2.7.7.7
459963,2.4.2.14
459963,2.4.2.14
465499,5.1.3.2
465499,5.1.3.2
465504,6.2.1.1
465504,6.2.1.1
465504,6.2.1.1
465504,6.2.1.1
477349,6.5.1.4
478138,3.6.1.-
478138,3.6.1.-
478925,3.1.-.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
481551,3.6.1.-
481551,3.6.1.-
482143,6.3.5.5
482143,6.3.5.5
482667,6.3.2.19
484352,5.4.99.-
484491,3.1.3.21
485479,2.7.1.-
485479,2.7.1.-
485479,2.7.1.-
485479,2.7.1.-
485479,2.7.1.-
486771,1.1.1.170
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
487313,5.1.3.2
487313,5.1.3.2
488765,1.14.99.29
489460,4.2.1.1
492908,3.6.1.3
493623,6.3.2.19
496495,5.2.1.8
499909,2.3.1.7
500091,1.1.1.205
500140,3.4.19.12
500591,3.1.-.-
501365,6.3.2.19
501544,1.3.1.9
503626,2.3.1.7
504211,2.8.3.5
504211,2.8.3.5
504211,2.8.3.5
539178,3.2.1.59
541602,2.1.1.98
543643,3.1.1.74
