goAcc,Protein_ID
GO:0006950,2738
GO:0016021,2738
GO:0004659,29183
GO:0016021,29183
GO:0009058,29183
GO:0047293,29183
GO:0003700,47686
GO:0005634,47686
GO:0006355,47686
GO:0008270,47686
GO:0003677,47686
GO:0006350,47686
GO:0004719,47686
GO:0003883,53482
GO:0006221,53482
GO:0003723,61042
GO:0005488,61042
GO:0003824,64504
GO:0016831,64504
GO:0004611,64504
GO:0008488,64504
GO:0008694,64504
GO:0018790,64504
GO:0018791,64504
GO:0018792,64504
GO:0018793,64504
GO:0018794,64504
GO:0018795,64504
GO:0043727,64504
GO:0043728,64504
GO:0003676,67269
GO:0004386,67269
GO:0005524,67269
GO:0008026,67269
GO:0009021,84496
GO:0005634,90357
GO:0042254,90357
GO:0050046,93554
GO:0016706,98680
GO:0019538,98680
GO:0005215,106947
GO:0006810,106947
GO:0016021,106947
GO:0005525,146636
GO:0000810,146636
GO:0004787,146636
GO:0008413,146636
GO:0008758,146636
GO:0008796,146636
GO:0008828,146636
GO:0016462,146636
GO:0019176,146636
GO:0019177,146636
GO:0043141,146636
GO:0003700,150750
GO:0005634,150750
GO:0006355,150750
GO:0043565,150750
GO:0005524,168653
GO:0016887,168653
GO:0000166,168653
GO:0017111,168653
GO:0005488,179384
GO:0000166,180594
GO:0017111,180594
GO:0005525,180594
GO:0005634,180594
GO:0042254,180594
GO:0004856,198172
GO:0003677,198829
GO:0003899,198829
GO:0006350,198829
GO:0003900,198829
GO:0003901,198829
GO:0003902,198829
GO:0034062,198829
GO:0016787,211157
GO:0003723,233019
GO:0005488,233019
GO:0005622,251548
GO:0006396,251548
GO:0003824,254469
GO:0044237,254469
GO:0050662,254469
GO:0003978,254469
GO:0006012,254469
GO:0004497,287799
GO:0005506,287799
GO:0006118,287799
GO:0020037,287799
GO:0008398,287799
GO:0003676,315141
GO:0005524,315141
GO:0008026,315141
GO:0004386,315141
GO:0005351,336144
GO:0008643,336144
GO:0016020,336144
GO:0005215,336144
GO:0006810,336144
GO:0016021,336144
GO:0000166,343415
GO:0017111,343415
GO:0005524,343415
GO:0005089,383602
GO:0005622,383602
GO:0035023,383602
GO:0005732,431286
GO:0006364,431286
GO:0019843,431286
GO:0005351,434085
GO:0008643,434085
GO:0016020,434085
GO:0005215,434085
GO:0006810,434085
GO:0016021,434085
GO:0004329,434519
GO:0005524,434519
GO:0009396,434519
GO:0000213,434533
GO:0000214,434533
GO:0006388,434533
GO:0046080,435147
GO:0016787,435147
GO:0004170,435147
GO:0005488,435300
GO:0006364,436112
GO:0032040,436112
GO:0004413,436373
GO:0005524,436373
GO:0006566,436373
GO:0016301,436373
GO:0016310,436373
GO:0000785,438449
GO:0003682,438449
GO:0005634,438449
GO:0006333,438449
GO:0005524,438449
GO:0016887,438449
GO:0000166,438449
GO:0017111,438449
GO:0005488,438449
GO:0008033,438493
GO:0017150,438493
GO:0050660,438493
GO:0006810,438534
GO:0008519,438534
GO:0016020,438534
GO:0003700,442574
GO:0005634,442574
GO:0006355,442574
GO:0008270,442574
GO:0003676,442574
GO:0008766,442574
GO:0018169,442574
GO:0043773,442574
GO:0043774,442574
GO:0003676,442735
GO:0004386,442735
GO:0005524,442735
GO:0008026,442735
GO:0010181,442885
GO:0005488,443879
GO:0000166,449456
GO:0004826,449456
GO:0005524,449456
GO:0005737,449456
GO:0006412,449456
GO:0006432,449456
GO:0003723,449456
GO:0009328,449456
GO:0005524,451424
GO:0006810,451424
GO:0015662,451424
GO:0016020,451424
GO:0030001,451424
GO:0046872,451424
GO:0016820,451424
GO:0005488,451569
GO:0006364,451770
GO:0032040,451770
GO:0003676,451850
GO:0005524,451850
GO:0008026,451850
GO:0004386,451850
GO:0003735,452061
GO:0005622,452061
GO:0005840,452061
GO:0006412,452061
GO:0005634,452245
GO:0006364,452245
GO:0008168,452245
GO:0000179,452245
GO:0003880,452245
GO:0008169,452245
GO:0008170,452245
GO:0008171,452245
GO:0008172,452245
GO:0008173,452245
GO:0008174,452245
GO:0008175,452245
GO:0008276,452245
GO:0008326,452245
GO:0008425,452245
GO:0008649,452245
GO:0008650,452245
GO:0009008,452245
GO:0009383,452245
GO:0016205,452245
GO:0016273,452245
GO:0016274,452245
GO:0016278,452245
GO:0016279,452245
GO:0016300,452245
GO:0016423,452245
GO:0016424,452245
GO:0016426,452245
GO:0016427,452245
GO:0016431,452245
GO:0016433,452245
GO:0016434,452245
GO:0016435,452245
GO:0016436,452245
GO:0018423,452245
GO:0018707,452245
GO:0019702,452245
GO:0030792,452245
GO:0043770,452245
GO:0043776,452245
GO:0043777,452245
GO:0043780,452245
GO:0043782,452245
GO:0043790,452245
GO:0043791,452245
GO:0043803,452245
GO:0043827,452245
GO:0043833,452245
GO:0043834,452245
GO:0043851,452245
GO:0043852,452245
GO:0005488,454065
GO:0016812,454668
GO:0004151,454668
GO:0019856,454668
GO:0003824,454668
GO:0008152,454668
GO:0003677,455308
GO:0005524,455308
GO:0006270,455308
GO:0008094,455308
GO:0003676,456667
GO:0005524,456667
GO:0008026,456667
GO:0004386,456667
GO:0006364,456822
GO:0032040,456822
GO:0004017,458477
GO:0004070,459091
GO:0006207,459091
GO:0004086,459091
GO:0006807,459091
GO:0003824,459091
GO:0005524,459091
GO:0008152,459091
GO:0006520,459091
GO:0016597,459091
GO:0016743,459091
GO:0016810,459091
GO:0003677,459901
GO:0003887,459901
GO:0006350,459901
GO:0005488,459901
GO:0034061,459901
GO:0008152,459963
GO:0009116,459963
GO:0004044,459963
GO:0009113,459963
GO:0005525,461149
GO:0003735,461177
GO:0005622,461177
GO:0005840,461177
GO:0006412,461177
GO:0015935,461177
GO:0003723,461177
GO:0003723,461263
GO:0003723,463143
GO:0003723,464948
GO:0005622,464948
GO:0006396,464948
GO:0005634,464948
GO:0006397,464948
GO:0004674,465716
GO:0005524,465716
GO:0004682,465716
GO:0003676,465731
GO:0000059,466746
GO:0005634,466746
GO:0005643,466746
GO:0005737,466746
GO:0006886,466746
GO:0008565,466746
GO:0005488,466746
GO:0003676,467906
GO:0005524,467906
GO:0008026,467906
GO:0004386,467906
GO:0006012,472455
GO:0008108,472455
GO:0003824,472455
GO:0006270,473393
GO:0003824,473472
GO:0008152,473472
GO:0009058,473472
GO:0016742,473472
GO:0004553,475966
GO:0005975,475966
GO:0016762,475966
GO:0000287,476350
GO:0006633,476350
GO:0008897,476350
GO:0009059,476350
GO:0003824,476350
GO:0008152,476350
GO:0004321,476350
GO:0008152,476354
GO:0016491,476354
GO:0004321,476354
GO:0003720,476438
GO:0003724,476438
GO:0003887,476438
GO:0003896,476438
GO:0004779,476438
GO:0008192,476438
GO:0008193,476438
GO:0008905,476438
GO:0033677,476438
GO:0043338,476438
GO:0043814,476438
GO:0003676,476764
GO:0004519,476764
GO:0000166,477246
GO:0017111,477246
GO:0005524,477246
GO:0003963,477349
GO:0006396,477349
GO:0016886,477349
GO:0003824,477349
GO:0003676,477510
GO:0016071,477832
GO:0030529,477832
GO:0003676,478299
GO:0006520,478511
GO:0016491,478511
GO:0004354,478511
GO:0016020,478687
GO:0003676,479447
GO:0005524,479447
GO:0008026,479447
GO:0004386,479447
GO:0003676,479717
GO:0008270,479717
GO:0005622,479717
GO:0000213,479867
GO:0000214,479867
GO:0006388,479867
GO:0005634,480067
GO:0008270,480067
GO:0016787,480067
GO:0003824,480067
GO:0005525,480189
GO:0003700,480348
GO:0005634,480348
GO:0006355,480348
GO:0008270,480348
GO:0003677,480348
GO:0006350,480348
GO:0003723,480781
GO:0005634,480781
GO:0006364,480781
GO:0000179,480781
GO:0003880,480781
GO:0008169,480781
GO:0008170,480781
GO:0008171,480781
GO:0008172,480781
GO:0008173,480781
GO:0008174,480781
GO:0008175,480781
