goAcc,Protein_ID
GO:0016020,12239
GO:0030001,12239
GO:0046873,12239
GO:0008152,22001
GO:0016491,22001
GO:0005488,26637
GO:0008270,44320
GO:0016491,44320
GO:0008106,44320
GO:0005488,49226
GO:0005524,59445
GO:0016887,59445
GO:0000166,59445
GO:0017111,59445
GO:0015412,59445
GO:0008152,71299
GO:0016491,71299
GO:0047560,71299
GO:0005215,73293
GO:0006810,73293
GO:0016021,73293
GO:0005215,87007
GO:0006810,87007
GO:0016020,87007
GO:0006118,109017
GO:0016491,109017
GO:0020037,109017
GO:0046914,109017
GO:0010181,109017
GO:0004460,109017
GO:0006950,109027
GO:0016021,109027
GO:0008864,121006
GO:0005351,143686
GO:0008643,143686
GO:0016020,143686
GO:0005215,143686
GO:0006810,143686
GO:0016021,143686
GO:0008824,173947
GO:0009439,173947
GO:0003677,173947
GO:0005215,180336
GO:0006810,180336
GO:0016020,180336
GO:0008152,181779
GO:0016846,181779
GO:0004871,194686
GO:0007165,194686
GO:0005975,217983
GO:0016810,217983
GO:0003824,217983
GO:0006810,221553
GO:0016020,221553
GO:0003960,257278
GO:0005740,271278
GO:0007585,271278
GO:0003700,289661
GO:0005634,289661
GO:0006355,289661
GO:0008270,289661
GO:0043565,289661
GO:0050236,292026
GO:0004089,297583
GO:0008270,297583
GO:0015976,297583
GO:0005622,314897
GO:0007165,314897
GO:0004553,318427
GO:0005975,318427
GO:0004566,318427
GO:0003855,347244
GO:0009073,347244
GO:0004221,358983
GO:0006511,358983
GO:0008270,358983
GO:0016787,372139
GO:0018786,382679
GO:0045431,421953
GO:0016021,435886
GO:0010181,438737
GO:0016491,438737
GO:0016629,438737
GO:0045543,439128
GO:0005215,439189
GO:0006810,439189
GO:0016020,439189
GO:0006118,439515
GO:0016491,439515
GO:0000907,439515
GO:0010302,439515
GO:0018602,439515
GO:0019798,439515
GO:0043734,439515
GO:0003824,443318
GO:0044237,443318
GO:0050662,443318
GO:0043892,443318
GO:0006629,443571
GO:0016788,443571
GO:0005506,443644
GO:0006118,443644
GO:0016021,443644
GO:0016491,443644
GO:0050660,443644
GO:0000293,443644
GO:0003856,451721
GO:0043365,453006
GO:0006508,455646
GO:0008236,455646
GO:0008152,455646
