goAcc,Protein_ID
GO:0005351,1991
GO:0008643,1991
GO:0016020,1991
GO:0005215,1991
GO:0006810,1991
GO:0016021,1991
GO:0003677,14612
GO:0003700,14612
GO:0005507,14612
GO:0005634,14612
GO:0006355,14612
GO:0051118,18376
GO:0016209,24006
GO:0016491,24006
GO:0051920,24006
GO:0008270,44320
GO:0016491,44320
GO:0008106,44320
GO:0005488,49226
GO:0003883,53482
GO:0006221,53482
GO:0003735,56404
GO:0005622,56404
GO:0005840,56404
GO:0006412,56404
GO:0003723,61042
GO:0005488,61042
GO:0003824,64504
GO:0016831,64504
GO:0004611,64504
GO:0008488,64504
GO:0008694,64504
GO:0018790,64504
GO:0018791,64504
GO:0018792,64504
GO:0018793,64504
GO:0018794,64504
GO:0018795,64504
GO:0043727,64504
GO:0043728,64504
GO:0003700,65248
GO:0005634,65248
GO:0006355,65248
GO:0043565,65248
GO:0003676,67269
GO:0004386,67269
GO:0005524,67269
GO:0008026,67269
GO:0005215,73293
GO:0006810,73293
GO:0016021,73293
GO:0009021,84496
GO:0008080,90295
GO:0008152,90295
GO:0005634,90357
GO:0042254,90357
GO:0050046,93554
GO:0003676,96147
GO:0005622,96147
GO:0008270,96147
GO:0008864,121006
GO:0005634,158189
GO:0050265,166911
GO:0005524,168653
GO:0016887,168653
GO:0000166,168653
GO:0017111,168653
GO:0005634,172419
GO:0005515,172419
GO:0008270,172419
GO:0005488,179384
GO:0005215,180336
GO:0006810,180336
GO:0016020,180336
GO:0000166,180594
GO:0017111,180594
GO:0005525,180594
GO:0005634,180594
GO:0042254,180594
GO:0006457,182079
GO:0031072,182079
GO:0051082,182079
GO:0004871,194686
GO:0007165,194686
GO:0003676,198211
GO:0008270,198211
GO:0003677,198829
GO:0003899,198829
GO:0006350,198829
GO:0003900,198829
GO:0003901,198829
GO:0003902,198829
GO:0034062,198829
GO:0008152,200539
GO:0003994,200539
GO:0006099,200539
GO:0051539,200539
GO:0003700,201057
GO:0005634,201057
GO:0006355,201057
GO:0003676,219661
GO:0005622,219661
GO:0008270,219661
GO:0004114,227879
GO:0007165,227879
GO:0003824,227879
GO:0051342,227879
GO:0006364,229375
GO:0032040,229375
GO:0003723,233019
GO:0005488,233019
GO:0009055,239974
GO:0015035,239974
GO:0045454,239974
GO:0000179,241340
GO:0003880,241340
GO:0008169,241340
GO:0008170,241340
GO:0008171,241340
GO:0008172,241340
GO:0008173,241340
GO:0008174,241340
GO:0008175,241340
GO:0008276,241340
GO:0008326,241340
GO:0008425,241340
GO:0008649,241340
GO:0008650,241340
GO:0009008,241340
GO:0009383,241340
GO:0016205,241340
GO:0016273,241340
GO:0016274,241340
GO:0016278,241340
GO:0016279,241340
GO:0016300,241340
GO:0016423,241340
GO:0016424,241340
GO:0016426,241340
GO:0016427,241340
GO:0016431,241340
GO:0016433,241340
GO:0016434,241340
GO:0016435,241340
GO:0016436,241340
GO:0018423,241340
GO:0018707,241340
GO:0019702,241340
GO:0030792,241340
GO:0043770,241340
GO:0043776,241340
GO:0043777,241340
GO:0043780,241340
GO:0043782,241340
GO:0043790,241340
GO:0043791,241340
GO:0043803,241340
GO:0043827,241340
GO:0043833,241340
GO:0043834,241340
GO:0043851,241340
GO:0043852,241340
GO:0008152,248079
GO:0016740,248079
GO:0009058,248079
GO:0016769,248079
GO:0030170,248079
GO:0003870,248079
GO:0033014,248079
GO:0005622,251548
GO:0006396,251548
GO:0004222,252234
GO:0005524,252234
GO:0006508,252234
GO:0000166,252234
GO:0017111,252234
GO:0016020,252234
GO:0030163,252234
GO:0008270,252234
GO:0016021,252234
GO:0004249,252234
GO:0008133,252234
GO:0008319,252234
GO:0030402,252234
GO:0006118,263683
GO:0016491,263683
GO:0020037,263683
GO:0046914,263683
GO:0010181,263683
GO:0004460,263683
GO:0008152,265142
GO:0016491,265142
GO:0016630,265142
GO:0007242,288162
GO:0008299,300368
GO:0003700,300455
GO:0005634,300455
GO:0006355,300455
GO:0008270,300455
GO:0003677,300455
GO:0006350,300455
GO:0005622,314897
GO:0007165,314897
GO:0003676,315141
GO:0005524,315141
GO:0008026,315141
GO:0004386,315141
GO:0004620,315259
GO:0016298,315259
GO:0018731,315259
GO:0018732,315259
GO:0018733,315259
GO:0018734,315259
GO:0004553,318427
GO:0005975,318427
GO:0004566,318427
GO:0043365,320532
GO:0043365,322384
GO:0003676,328374
GO:0005524,328374
GO:0008026,328374
GO:0004386,328374
GO:0003677,330801
GO:0032542,330801
GO:0006812,333834
GO:0008324,333834
GO:0006813,333834
GO:0015079,333834
GO:0016021,333834
GO:0005351,336144
GO:0008643,336144
GO:0016020,336144
GO:0005215,336144
GO:0006810,336144
GO:0016021,336144
GO:0000166,343415
GO:0017111,343415
GO:0005524,343415
GO:0003735,343552
GO:0005622,343552
GO:0005840,343552
GO:0006412,343552
GO:0008152,347512
GO:0016491,347512
GO:0047501,347512
GO:0004672,358031
GO:0005524,358031
GO:0006468,358031
GO:0004674,358031
GO:0004675,358031
GO:0004676,358031
GO:0004677,358031
GO:0004679,358031
GO:0004680,358031
GO:0004681,358031
GO:0004690,358031
GO:0004694,358031
GO:0004695,358031
GO:0004696,358031
GO:0004698,358031
GO:0004700,358031
GO:0004702,358031
GO:0004704,358031
GO:0004705,358031
GO:0004706,358031
GO:0004708,358031
GO:0004710,358031
