goAcc,Protein_ID
GO:0006950,2738
GO:0016021,2738
GO:0003677,14612
GO:0003700,14612
GO:0005507,14612
GO:0005634,14612
GO:0006355,14612
GO:0016209,24006
GO:0016491,24006
GO:0051920,24006
GO:0003676,47072
GO:0016071,47072
GO:0003723,47072
GO:0003883,53482
GO:0006221,53482
GO:0003735,54394
GO:0005622,54394
GO:0005840,54394
GO:0006412,54394
GO:0003735,56404
GO:0005622,56404
GO:0005840,56404
GO:0006412,56404
GO:0003723,61042
GO:0005488,61042
GO:0003824,64504
GO:0016831,64504
GO:0004611,64504
GO:0008488,64504
GO:0008694,64504
GO:0018790,64504
GO:0018791,64504
GO:0018792,64504
GO:0018793,64504
GO:0018794,64504
GO:0018795,64504
GO:0043727,64504
GO:0043728,64504
GO:0003676,67269
GO:0004386,67269
GO:0005524,67269
GO:0008026,67269
GO:0009021,84496
GO:0008080,90295
GO:0008152,90295
GO:0005634,90357
GO:0042254,90357
GO:0050046,93554
GO:0003676,96147
GO:0005622,96147
GO:0008270,96147
GO:0016706,98680
GO:0019538,98680
GO:0005525,100015
GO:0003924,100015
GO:0003746,100015
GO:0005622,100015
GO:0006414,100015
GO:0050800,100015
GO:0005215,106947
GO:0006810,106947
GO:0016021,106947
GO:0005634,158189
GO:0005524,168653
GO:0016887,168653
GO:0000166,168653
GO:0017111,168653
GO:0004055,168860
GO:0005524,168860
GO:0006526,168860
GO:0005634,172419
GO:0005515,172419
GO:0008270,172419
GO:0005488,179384
GO:0000166,180594
GO:0017111,180594
GO:0005525,180594
GO:0005634,180594
GO:0042254,180594
GO:0003700,193431
GO:0005634,193431
GO:0006355,193431
GO:0043565,193431
GO:0046983,193431
GO:0003676,198211
GO:0008270,198211
GO:0003677,198829
GO:0003899,198829
GO:0006350,198829
GO:0003900,198829
GO:0003901,198829
GO:0003902,198829
GO:0034062,198829
GO:0003700,201057
GO:0005634,201057
GO:0006355,201057
GO:0006470,201158
GO:0008138,201158
GO:0016311,201158
GO:0016791,201158
GO:0004725,201158
GO:0004114,227879
GO:0007165,227879
GO:0003824,227879
GO:0051342,227879
GO:0006364,229375
GO:0032040,229375
GO:0003723,233019
GO:0005488,233019
GO:0000179,241340
GO:0003880,241340
GO:0008169,241340
GO:0008170,241340
GO:0008171,241340
GO:0008172,241340
GO:0008173,241340
GO:0008174,241340
GO:0008175,241340
GO:0008276,241340
GO:0008326,241340
GO:0008425,241340
GO:0008649,241340
GO:0008650,241340
GO:0009008,241340
GO:0009383,241340
GO:0016205,241340
GO:0016273,241340
GO:0016274,241340
GO:0016278,241340
GO:0016279,241340
GO:0016300,241340
GO:0016423,241340
GO:0016424,241340
GO:0016426,241340
GO:0016427,241340
GO:0016431,241340
GO:0016433,241340
GO:0016434,241340
GO:0016435,241340
GO:0016436,241340
GO:0018423,241340
GO:0018707,241340
GO:0019702,241340
GO:0030792,241340
GO:0043770,241340
GO:0043776,241340
GO:0043777,241340
GO:0043780,241340
GO:0043782,241340
GO:0043790,241340
GO:0043791,241340
GO:0043803,241340
GO:0043827,241340
GO:0043833,241340
GO:0043834,241340
GO:0043851,241340
GO:0043852,241340
GO:0005488,246907
GO:0003723,247521
GO:0006396,247521
GO:0016779,247521
GO:0005622,251548
GO:0006396,251548
GO:0003824,254469
GO:0044237,254469
GO:0050662,254469
GO:0003978,254469
GO:0006012,254469
GO:0006364,267139
GO:0032040,267139
GO:0004497,287799
GO:0005506,287799
GO:0006118,287799
GO:0020037,287799
GO:0008398,287799
GO:0008299,300368
GO:0003700,300455
GO:0005634,300455
GO:0006355,300455
GO:0008270,300455
GO:0003677,300455
GO:0006350,300455
GO:0003910,309456
GO:0005524,309456
GO:0006260,309456
GO:0006281,309456
GO:0006310,309456
GO:0003676,315141
GO:0005524,315141
GO:0008026,315141
GO:0004386,315141
GO:0043365,322384
GO:0003676,328374
GO:0005524,328374
GO:0008026,328374
GO:0004386,328374
GO:0016491,330375
GO:0018585,330375
GO:0018586,330375
GO:0018587,330375
GO:0018588,330375
GO:0018589,330375
GO:0018590,330375
GO:0018591,330375
GO:0018592,330375
GO:0018593,330375
GO:0018594,330375
GO:0018595,330375
GO:0018596,330375
GO:0018597,330375
GO:0018598,330375
GO:0018599,330375
GO:0018600,330375
GO:0043823,330375
GO:0005351,336144
GO:0008643,336144
GO:0016020,336144
GO:0005215,336144
GO:0006810,336144
GO:0016021,336144
GO:0000166,343415
GO:0017111,343415
GO:0005524,343415
GO:0003735,343552
GO:0005622,343552
GO:0005840,343552
GO:0006412,343552
GO:0003677,351930
GO:0003899,351930
GO:0005634,351930
GO:0006350,351930
GO:0005524,370707
GO:0000155,370707
GO:0007165,370707
GO:0016020,370707
GO:0004673,370707
GO:0018106,370707
GO:0004871,370707
GO:0003700,374047
GO:0005634,374047
GO:0006355,374047
GO:0043565,374047
GO:0003735,381810
GO:0005622,381810
GO:0005840,381810
GO:0006412,381810
GO:0005732,431286
GO:0006364,431286
GO:0019843,431286
GO:0004329,434519
GO:0005524,434519
GO:0009396,434519
GO:0003676,435200
GO:0003723,435200
GO:0003743,435200
GO:0006413,435200
GO:0005488,435300
GO:0004652,435394
GO:0003676,435637
GO:0006364,436112
GO:0032040,436112
GO:0004413,436373
GO:0005524,436373
GO:0006566,436373
GO:0016301,436373
GO:0016310,436373
GO:0003735,436647
GO:0005622,436647
GO:0005840,436647
GO:0006412,436647
GO:0003700,437001
GO:0005634,437001
GO:0006355,437001
GO:0008270,437001
GO:0003677,437001
GO:0006350,437001
GO:0005525,437668
GO:0007264,437668
GO:0005622,437668
GO:0015031,437668
GO:0003735,438325
GO:0005622,438325
GO:0005840,438325
GO:0006412,438325
GO:0003723,438325
GO:0015935,438325
GO:0000785,438449
GO:0003682,438449
GO:0005634,438449
GO:0006333,438449
GO:0005524,438449
GO:0016887,438449
GO:0000166,438449
GO:0017111,438449
GO:0005488,438449
GO:0006810,438534
GO:0008519,438534
GO:0016020,438534
GO:0005622,439100
GO:0019843,439100
GO:0003723,439100
GO:0003735,439100
GO:0006412,439100
GO:0015935,439100
GO:0004497,441150
GO:0005506,441150
GO:0006118,441150
GO:0020037,441150
GO:0018679,441150
GO:0003700,442574
GO:0005634,442574
GO:0006355,442574
GO:0008270,442574
GO:0003676,442574
GO:0008766,442574
GO:0018169,442574
GO:0043773,442574
GO:0043774,442574
GO:0003864,442696
GO:0015940,442696
GO:0003824,442696
GO:0003676,442735
GO:0004386,442735
GO:0005524,442735
GO:0008026,442735
GO:0010181,442885
GO:0016491,443002
GO:0005507,443002
GO:0008447,443002
GO:0006364,443375
GO:0032040,443375
GO:0004474,443573
GO:0006097,443573
GO:0003824,443573
GO:0005488,443879
GO:0030529,448844
GO:0042254,448844
GO:0004693,448844
GO:0003676,449276
GO:0004368,449605
GO:0006072,449605
GO:0009331,449605
GO:0005509,449605
GO:0016491,449605
GO:0003871,449927
GO:0009086,449927
GO:0008270,449927
GO:0008652,449927
GO:0003677,451122
GO:0003899,451122
GO:0006350,451122
GO:0046983,451122
GO:0005524,451424
GO:0006810,451424
GO:0015662,451424
GO:0016020,451424
GO:0030001,451424
GO:0046872,451424
GO:0016820,451424
GO:0005488,451569
GO:0006364,451770
GO:0032040,451770
GO:0003676,451850
GO:0005524,451850
GO:0008026,451850
GO:0004386,451850
GO:0003735,452061
GO:0005622,452061
GO:0005840,452061
GO:0006412,452061
GO:0005634,452245
GO:0006364,452245
GO:0008168,452245
GO:0000179,452245
GO:0003880,452245
GO:0008169,452245
GO:0008170,452245
GO:0008171,452245
GO:0008172,452245
GO:0008173,452245
GO:0008174,452245
GO:0008175,452245
GO:0008276,452245
GO:0008326,452245
GO:0008425,452245
GO:0008649,452245
GO:0008650,452245
GO:0009008,452245
