goAcc,Protein_ID
GO:0051118,18376
GO:0003883,53482
GO:0006221,53482
GO:0003676,67269
GO:0004386,67269
GO:0005524,67269
GO:0008026,67269
GO:0005634,90357
GO:0042254,90357
GO:0050046,93554
GO:0005524,168653
GO:0016887,168653
GO:0000166,168653
GO:0017111,168653
GO:0005488,179384
GO:0008152,200539
GO:0003994,200539
GO:0006099,200539
GO:0051539,200539
GO:0006364,229375
GO:0032040,229375
GO:0003723,233019
GO:0005488,233019
GO:0005622,251548
GO:0006396,251548
GO:0003676,315141
GO:0005524,315141
GO:0008026,315141
GO:0004386,315141
GO:0004620,315259
GO:0016298,315259
GO:0018731,315259
GO:0018732,315259
GO:0018733,315259
GO:0018734,315259
GO:0043365,320532
GO:0005351,336144
GO:0008643,336144
GO:0016020,336144
GO:0005215,336144
GO:0006810,336144
GO:0016021,336144
GO:0000166,343415
GO:0017111,343415
GO:0005524,343415
GO:0003735,343552
GO:0005622,343552
GO:0005840,343552
GO:0006412,343552
GO:0008152,347512
GO:0016491,347512
GO:0047501,347512
GO:0016491,365331
GO:0046914,365331
GO:0003735,381810
GO:0005622,381810
GO:0005840,381810
GO:0006412,381810
GO:0004329,434519
GO:0005524,434519
GO:0009396,434519
GO:0003676,435200
GO:0003723,435200
GO:0003743,435200
GO:0006413,435200
GO:0005488,435300
GO:0006364,436112
GO:0032040,436112
GO:0004594,436453
GO:0005524,436453
GO:0015937,436453
GO:0000785,438449
GO:0003682,438449
GO:0005634,438449
GO:0006333,438449
GO:0005524,438449
GO:0016887,438449
GO:0000166,438449
GO:0017111,438449
GO:0005488,438449
GO:0005215,439189
GO:0006810,439189
GO:0016020,439189
GO:0015205,440490
GO:0015931,440490
GO:0016020,440490
GO:0003676,442735
GO:0004386,442735
GO:0005524,442735
GO:0008026,442735
GO:0010181,442885
GO:0006364,443375
GO:0032040,443375
GO:0003676,449276
GO:0008415,450402
GO:0004092,450402
GO:0003677,451122
GO:0003899,451122
GO:0006350,451122
GO:0046983,451122
GO:0006364,451770
GO:0032040,451770
GO:0003676,451850
GO:0005524,451850
GO:0008026,451850
GO:0004386,451850
GO:0005634,452245
GO:0006364,452245
GO:0008168,452245
GO:0000179,452245
GO:0003880,452245
GO:0008169,452245
GO:0008170,452245
GO:0008171,452245
GO:0008172,452245
GO:0008173,452245
GO:0008174,452245
GO:0008175,452245
GO:0008276,452245
GO:0008326,452245
GO:0008425,452245
GO:0008649,452245
GO:0008650,452245
GO:0009008,452245
GO:0009383,452245
GO:0016205,452245
GO:0016273,452245
GO:0016274,452245
GO:0016278,452245
GO:0016279,452245
GO:0016300,452245
GO:0016423,452245
GO:0016424,452245
GO:0016426,452245
GO:0016427,452245
GO:0016431,452245
GO:0016433,452245
GO:0016434,452245
GO:0016435,452245
GO:0016436,452245
GO:0018423,452245
GO:0018707,452245
GO:0019702,452245
GO:0030792,452245
GO:0043770,452245
GO:0043776,452245
GO:0043777,452245
GO:0043780,452245
GO:0043782,452245
GO:0043790,452245
GO:0043791,452245
GO:0043803,452245
GO:0043827,452245
GO:0043833,452245
GO:0043834,452245
GO:0043851,452245
GO:0043852,452245
GO:0006364,453963
GO:0030688,453963
GO:0016020,455650
GO:0004553,457480
GO:0005975,457480
GO:0003824,457480
GO:0030246,457480
GO:0004558,457480
GO:0003677,459901
GO:0003887,459901
GO:0006350,459901
GO:0005488,459901
GO:0034061,459901
GO:0008152,459963
GO:0009116,459963
GO:0004044,459963
GO:0009113,459963
GO:0005525,461149
GO:0003723,461263
GO:0005622,462812
GO:0042254,462812
GO:0003824,465499
GO:0044237,465499
GO:0050662,465499
GO:0003978,465499
GO:0006012,465499
GO:0003824,465504
GO:0008152,465504
GO:0003987,465504
GO:0016208,465504
GO:0000059,466746
GO:0005634,466746
GO:0005643,466746
GO:0005737,466746
GO:0006886,466746
GO:0008565,466746
GO:0005488,466746
GO:0003676,467906
GO:0005524,467906
GO:0008026,467906
GO:0004386,467906
GO:0005743,471269
GO:0008565,471269
GO:0015031,471269
GO:0005215,471404
GO:0006857,471404
GO:0016020,471404
GO:0016491,471933
GO:0003700,473590
GO:0005634,473590
GO:0006355,473590
GO:0043565,473590
GO:0046983,473590
GO:0003676,473614
GO:0005524,473614
GO:0008026,473614
GO:0004386,473614
GO:0003735,476915
GO:0005622,476915
GO:0005840,476915
GO:0006412,476915
GO:0003963,477349
GO:0006396,477349
GO:0016886,477349
GO:0003824,477349
GO:0003676,477510
GO:0003735,478135
GO:0005622,478135
GO:0005840,478135
GO:0006412,478135
GO:0005525,478138
GO:0000810,478138
GO:0004787,478138
GO:0008413,478138
GO:0008758,478138
GO:0008796,478138
GO:0008828,478138
GO:0016462,478138
GO:0019176,478138
GO:0019177,478138
GO:0043141,478138
GO:0003700,478199
GO:0005634,478199
GO:0006355,478199
GO:0043565,478199
GO:0046983,478199
GO:0003676,478299
GO:0004527,478925
GO:0005622,478925
GO:0003676,478925
GO:0004518,478925
GO:0042578,478925
GO:0043765,478925
GO:0005488,479521
GO:0003676,479522
GO:0003735,480064
GO:0005622,480064
GO:0005840,480064
GO:0006412,480064
GO:0003723,480781
GO:0005634,480781
GO:0006364,480781
GO:0000179,480781
GO:0003880,480781
GO:0008169,480781
GO:0008170,480781
GO:0008171,480781
GO:0008172,480781
GO:0008173,480781
GO:0008174,480781
GO:0008175,480781
GO:0008276,480781
GO:0008326,480781
GO:0008425,480781
GO:0008649,480781
GO:0008650,480781
GO:0009008,480781
GO:0009383,480781
GO:0016205,480781
GO:0016273,480781
GO:0016274,480781
GO:0016278,480781
GO:0016279,480781
GO:0016300,480781
GO:0016423,480781
GO:0016424,480781
GO:0016426,480781
GO:0016427,480781
GO:0016431,480781
GO:0016433,480781
GO:0016434,480781
GO:0016435,480781
GO:0016436,480781
GO:0018423,480781
GO:0018707,480781
GO:0019702,480781
GO:0030792,480781
GO:0043770,480781
GO:0043776,480781
GO:0043777,480781
GO:0043780,480781
GO:0043782,480781
GO:0043790,480781
GO:0043791,480781
GO:0043803,480781
GO:0043827,480781
GO:0043833,480781
GO:0043834,480781
GO:0043851,480781
GO:0043852,480781
GO:0005525,481551
GO:0000810,481551
GO:0004787,481551
GO:0008413,481551
GO:0008758,481551
GO:0008796,481551
GO:0008828,481551
GO:0016462,481551
GO:0019176,481551
GO:0019177,481551
GO:0043141,481551
GO:0005634,481615
GO:0042254,481615
GO:0004086,482143
GO:0006807,482143
GO:0004088,482143
GO:0003676,482424
GO:0004842,482667
GO:0051438,482667
GO:0051440,482667
GO:0051443,482667
GO:0051444,482667
GO:0004418,482986
GO:0033014,482986
GO:0005525,483232
GO:0003676,484052
GO:0004386,484052
GO:0005524,484052
GO:0008026,484052
GO:0003723,484352
GO:0016439,484352
GO:0031119,484352
GO:0009982,484352
GO:0042299,484352
GO:0042300,484352
GO:0003735,484425
GO:0006412,484425
GO:0015934,484425
GO:0005622,484425
GO:0005840,484425
GO:0003676,484474
GO:0005622,484474
GO:0008152,484491
GO:0008967,484491
GO:0000121,484491
GO:0003676,484765
GO:0005737,484931
GO:0005488,485018
GO:0004674,485289
GO:0005524,485289
GO:0004682,485289
GO:0003700,485315
GO:0005634,485315
GO:0006355,485315
GO:0043565,485315
GO:0046983,485315
GO:0008443,485479
GO:0008607,485479
GO:0008819,485479
GO:0016307,485479
GO:0016538,485479
GO:0018720,485479
GO:0019914,485479
GO:0032942,485479
GO:0035004,485479
GO:0042556,485479
GO:0042557,485479
GO:0043743,485479
GO:0043771,485479
GO:0043798,485479
GO:0043841,485479
GO:0051731,485479
GO:0051734,485479
GO:0051735,485479
GO:0003743,486543
GO:0006413,486543
GO:0003824,486771
GO:0044237,486771
GO:0050662,486771
GO:0000252,486771
GO:0047012,486771
GO:0000179,486913
GO:0003880,486913
GO:0008169,486913
GO:0008170,486913
GO:0008171,486913
GO:0008172,486913
GO:0008173,486913
GO:0008174,486913
GO:0008175,486913
GO:0008276,486913
GO:0008326,486913
GO:0008425,486913
GO:0008649,486913
GO:0008650,486913
GO:0009008,486913
GO:0009383,486913
GO:0016205,486913
GO:0016273,486913
GO:0016274,486913
GO:0016278,486913
GO:0016279,486913
GO:0016300,486913
GO:0016423,486913
GO:0016424,486913
GO:0016426,486913
GO:0016427,486913
GO:0016431,486913
GO:0016433,486913
GO:0016434,486913
GO:0016435,486913
GO:0016436,486913
GO:0018423,486913
GO:0018707,486913
GO:0019702,486913
GO:0030792,486913
GO:0043770,486913
GO:0043776,486913
GO:0043777,486913
GO:0043780,486913
GO:0043782,486913
GO:0043790,486913
GO:0043791,486913
GO:0043803,486913
GO:0043827,486913
GO:0043833,486913
GO:0043834,486913
GO:0043851,486913
GO:0043852,486913
GO:0003824,487313
GO:0044237,487313
GO:0050662,487313
GO:0003978,487313
GO:0005622,487323
GO:0005730,487323
GO:0008283,487323
GO:0003676,487471
GO:0008270,487471
GO:0005634,487747
GO:0006364,487747
GO:0005215,488415
GO:0006810,488415
GO:0016021,488415
GO:0016020,488415
GO:0003824,488485
GO:0005488,488765
GO:0019135,488765
GO:0004089,489460
GO:0008270,489460
GO:0015976,489460
GO:0004812,491498
GO:0005524,491498
GO:0006412,491498
GO:0003676,491608
GO:0005524,491608
GO:0008026,491608
GO:0004386,491608
GO:0003723,492304
GO:0004525,492304
GO:0006396,492304
GO:0005524,492908
GO:0016887,492908
GO:0000166,492908
GO:0017111,492908
GO:0006810,492908
GO:0016021,492908
GO:0042626,492908
GO:0004003,492908
GO:0004004,492908
GO:0008026,492908
GO:0008094,492908
GO:0008186,492908
GO:0015462,492908
GO:0017116,492908
GO:0042623,492908
GO:0042624,492908
GO:0042625,492908
GO:0003676,493510
GO:0004386,493510
GO:0005524,493510
GO:0008026,493510
GO:0003700,493527
GO:0005634,493527
GO:0006355,493527
GO:0043565,493527
GO:0046983,493527
GO:0004842,493623
GO:0051438,493623
GO:0051440,493623
GO:0051443,493623
GO:0051444,493623
GO:0003723,493994
GO:0003735,494268
GO:0005622,494268
GO:0005840,494268
GO:0006412,494268
GO:0004812,494295
GO:0005524,494295
GO:0006412,494295
GO:0003676,494306
GO:0008270,494306
GO:0030528,494306
GO:0045449,494306
GO:0003899,494306
GO:0006350,494306
GO:0003735,495693
GO:0005622,495693
GO:0005840,495693
GO:0006412,495693
GO:0006457,496495
GO:0003755,496495
GO:0004600,496495
GO:0030051,496495
GO:0042027,496495
GO:0003735,497105
GO:0005622,497105
GO:0005840,497105
GO:0006412,497105
GO:0015935,497105
GO:0005634,497532
GO:0000154,498311
GO:0000179,498311
GO:0008649,498311
GO:0006364,498311
GO:0016433,498311
GO:0042256,498380
GO:0043022,498380
GO:0005634,498906
GO:0008415,499909
GO:0004092,499909
GO:0003676,499983
GO:0003824,500091
GO:0003938,500091
GO:0006177,500091
GO:0008033,500093
GO:0017150,500093
GO:0050660,500093
GO:0004221,500140
GO:0006511,500140
GO:0004518,500591
GO:0042578,500591
GO:0043765,500591
GO:0015205,501004
GO:0015931,501004
GO:0016020,501004
GO:0004842,501365
GO:0051438,501365
GO:0051440,501365
GO:0051443,501365
GO:0051444,501365
GO:0006118,501544
GO:0016491,501544
GO:0004318,501544
GO:0016631,501544
GO:0008415,503626
GO:0004092,503626
GO:0008152,504211
GO:0008410,504211
GO:0008260,504211
GO:0003677,504802
GO:0003899,504802
GO:0005634,504802
GO:0006350,504802
GO:0005351,509911
GO:0008643,509911
GO:0016020,509911
GO:0005215,509911
GO:0006810,509911
GO:0016021,509911
GO:0005215,512195
GO:0006810,512195
GO:0016021,512195
GO:0003735,512371
GO:0005761,512371
GO:0006412,512371
GO:0005488,538438
GO:0006865,538760
GO:0015171,538760
GO:0016020,538760
GO:0016021,538760
GO:0006810,538760
GO:0006364,539074
GO:0032040,539074
GO:0051118,539178
GO:0003676,540265
GO:0008270,540265
GO:0005634,540450
GO:0008152,541602
GO:0008168,541602
GO:0004164,541602
GO:0017183,541602
GO:0006364,542305
GO:0032040,542305
GO:0008152,543643
GO:0016787,543643
GO:0050525,543643
GO:0005524,545536
GO:0016887,545536
GO:0000166,545536
GO:0017111,545536
GO:0006810,545536
GO:0016021,545536
GO:0042626,545536
GO:0000287,546211
GO:0016740,546211
GO:0030976,546211
GO:0003824,546211
GO:0003984,546211
GO:0009082,546211
GO:0050660,546211
GO:0016021,546719
GO:0051205,546719
