goAcc	Protein_ID
GO:0008800	232
GO:0030655	232
GO:0046677	232
GO:0005351	370
GO:0008643	370
GO:0016020	370
GO:0005215	370
GO:0006810	370
GO:0016021	370
GO:0005524	1107
GO:0016887	1107
GO:0000166	1107
GO:0017111	1107
GO:0006810	1107
GO:0016021	1107
GO:0042626	1107
GO:0004003	1107
GO:0004004	1107
GO:0008026	1107
GO:0008094	1107
GO:0008186	1107
GO:0015462	1107
GO:0017116	1107
GO:0042623	1107
GO:0042624	1107
GO:0042625	1107
GO:0005351	1991
GO:0008643	1991
GO:0016020	1991
GO:0005215	1991
GO:0006810	1991
GO:0016021	1991
GO:0006508	2571
GO:0008237	2571
GO:0016787	2571
GO:0046983	2571
GO:0008234	2571
GO:0006950	2738
GO:0016021	2738
GO:0005085	2836
GO:0005622	2836
GO:0051056	2836
GO:0005515	2836
GO:0007264	2836
GO:0045480	3076
GO:0008152	3090
GO:0016491	3090
GO:0008678	3090
GO:0016491	3274
GO:0003824	3913
GO:0004741	3913
GO:0019909	3913
GO:0003677	5396
GO:0003899	5396
GO:0006350	5396
GO:0031072	5933
GO:0005634	7015
GO:0006334	7015
GO:0005488	7770
GO:0004871	7784
GO:0007186	7784
GO:0019001	7784
GO:0007165	7784
GO:0006810	8257
GO:0003676	9268
GO:0004553	9431
GO:0005975	9431
GO:0004564	9431
GO:0005515	9476
GO:0008270	9476
GO:0003677	9665
GO:0005634	9665
GO:0006350	9665
GO:0008270	9665
GO:0005198	10532
GO:0016226	10532
GO:0051536	10532
GO:0015137	11536
GO:0015746	11536
GO:0016021	11536
GO:0016020	12239
GO:0030001	12239
GO:0046873	12239
GO:0000166	14014
GO:0017111	14014
GO:0005524	14014
GO:0003677	14612
GO:0003700	14612
GO:0005507	14612
GO:0005634	14612
GO:0006355	14612
GO:0003677	14665
GO:0005524	14665
GO:0003676	14665
GO:0004386	14665
GO:0003700	16851
GO:0005634	16851
GO:0006355	16851
GO:0008270	16851
GO:0043565	16851
GO:0005515	17043
GO:0008270	17043
GO:0008152	17395
GO:0016491	17395
GO:0004344	17395
GO:0018446	17395
GO:0018447	17395
GO:0018448	17395
GO:0018449	17395
GO:0018450	17395
GO:0042469	17395
GO:0045703	17395
GO:0003700	17569
GO:0005634	17569
GO:0006355	17569
GO:0043565	17569
GO:0000156	17569
GO:0000160	17569
GO:0003968	17595
GO:0008112	18176
GO:0051118	18376
GO:0008152	22001
GO:0016491	22001
GO:0005515	23129
GO:0008152	23129
GO:0008415	23129
GO:0004742	23129
GO:0009351	23129
GO:0030523	23129
GO:0016209	24006
GO:0016491	24006
GO:0051920	24006
GO:0005524	25258
GO:0016773	25258
GO:0008152	25258
GO:0016301	25258
GO:0004849	25258
GO:0005488	25434
GO:0005506	25526
GO:0006118	25526
GO:0016021	25526
GO:0016491	25526
GO:0050660	25526
GO:0000293	25526
GO:0005488	26637
GO:0005515	27589
GO:0008270	27589
GO:0004672	29107
GO:0005524	29107
GO:0006468	29107
GO:0004674	29107
GO:0004693	29107
GO:0004659	29183
GO:0016021	29183
GO:0009058	29183
GO:0047293	29183
GO:0005509	29411
GO:0005488	29575
GO:0016071	29936
GO:0030529	29936
GO:0006535	31545
GO:0003824	31545
GO:0008152	31545
GO:0030170	31545
GO:0004124	31545
GO:0008152	32031
GO:0016491	32031
GO:0016404	32031
GO:0008270	32495
GO:0003677	32495
GO:0004221	32834
GO:0006511	32834
GO:0008270	32834
GO:0005488	33070
GO:0003676	33911
GO:0005524	33911
GO:0008026	33911
GO:0004386	33911
GO:0004553	34637
GO:0005975	34637
GO:0003824	34637
GO:0030246	34637
GO:0004558	34637
GO:0004221	34820
GO:0006511	34820
GO:0000226	36331
GO:0000922	36331
GO:0005815	36331
GO:0003676	36704
GO:0004523	36704
GO:0003676	38468
GO:0008270	38468
GO:0003677	39328
GO:0006306	39328
GO:0003886	39328
GO:0051718	39328
GO:0051719	39328
GO:0051720	39328
GO:0005634	41101
GO:0016021	41101
GO:0045449	41101
GO:0004518	41145
GO:0006281	41145
GO:0003677	41145
GO:0003824	41145
GO:0005634	41145
GO:0003923	41145
GO:0043859	41145
GO:0051336	41145
GO:0005089	42191
GO:0005622	42191
GO:0035023	42191
GO:0003676	42316
GO:0005622	42316
GO:0008270	42316
GO:0004527	42467
GO:0005622	42467
GO:0003676	42467
GO:0004518	42467
GO:0042578	42467
GO:0043765	42467
GO:0005315	43874
GO:0006817	43874
GO:0016020	43874
GO:0005096	43934
GO:0005622	43934
GO:0051056	43934
GO:0008270	44320
GO:0016491	44320
GO:0008106	44320
GO:0004497	45043
GO:0005506	45043
GO:0006118	45043
GO:0020037	45043
GO:0018585	45043
GO:0018586	45043
GO:0018587	45043
GO:0018588	45043
GO:0018589	45043
GO:0018590	45043
GO:0018591	45043
GO:0018592	45043
GO:0018593	45043
GO:0018594	45043
GO:0018595	45043
GO:0018596	45043
GO:0018597	45043
GO:0018598	45043
GO:0018599	45043
GO:0018600	45043
GO:0043823	45043
GO:0006118	45866
GO:0016491	45866
GO:0010181	45866
GO:0003676	47072
GO:0016071	47072
GO:0003723	47072
GO:0016491	47441
GO:0006118	47441
GO:0020037	47441
GO:0051536	47441
GO:0010181	47441
GO:0004783	47441
GO:0008652	47441
GO:0009337	47441
GO:0050661	47441
GO:0051539	47441
GO:0003700	47686
GO:0005634	47686
GO:0006355	47686
GO:0008270	47686
GO:0003677	47686
GO:0006350	47686
GO:0004719	47686
GO:0005634	48939
GO:0005643	48939
GO:0005737	48939
GO:0006606	48939
GO:0006886	48939
GO:0008565	48939
GO:0005488	48939
GO:0005525	49104
GO:0007264	49104
