goAcc,Protein_ID
GO:0005215,106947
GO:0006810,106947
GO:0016021,106947
GO:0005351,186491
GO:0008643,186491
GO:0016020,186491
GO:0005215,186491
GO:0006810,186491
GO:0016021,186491
GO:0005634,200583
GO:0030528,200583
GO:0045449,200583
GO:0042742,431716
GO:0050832,431716
GO:0008033,438493
GO:0017150,438493
GO:0050660,438493
GO:0003676,456667
GO:0005524,456667
GO:0008026,456667
GO:0004386,456667
GO:0004553,485861
GO:0005975,485861
GO:0004338,485861
GO:0005634,488095
GO:0006364,488095
GO:0030529,488095
GO:0003824,489449
GO:0009116,489449
GO:0016763,489449
GO:0017061,489449
GO:0003824,492483
GO:0008152,492483
GO:0016207,492483
GO:0003676,493242
GO:0004386,493242
GO:0005524,493242
GO:0003735,496228
GO:0005622,496228
GO:0005840,496228
GO:0006412,496228
GO:0003723,496228
GO:0004341,499063
GO:0005315,535042
GO:0006817,535042
GO:0016021,535042
GO:0005215,535042
GO:0006810,535042
GO:0016020,535042
