goAcc,Protein_ID
GO:0008152,22001
GO:0016491,22001
GO:0008152,71299
GO:0016491,71299
GO:0047560,71299
GO:0005215,87007
GO:0006810,87007
GO:0016020,87007
GO:0008864,121006
GO:0005351,143686
GO:0008643,143686
GO:0016020,143686
GO:0005215,143686
GO:0006810,143686
GO:0016021,143686
GO:0008824,173947
GO:0009439,173947
GO:0003677,173947
GO:0005975,217983
GO:0016810,217983
GO:0003824,217983
GO:0003960,257278
GO:0003700,289661
GO:0005634,289661
GO:0006355,289661
GO:0008270,289661
GO:0043565,289661
GO:0004089,297583
GO:0008270,297583
GO:0015976,297583
GO:0016787,372139
GO:0018786,382679
GO:0045431,421953
GO:0045543,439128
GO:0005215,439189
GO:0006810,439189
GO:0016020,439189
GO:0003824,443318
GO:0044237,443318
GO:0050662,443318
GO:0043892,443318
GO:0043365,453006
GO:0003922,461501
GO:0008152,463365
GO:0016491,463365
GO:0004029,463365
GO:0008152,465452
GO:0016491,465452
GO:0003824,476298
GO:0044237,476298
GO:0050662,476298
GO:0043892,476298
GO:0004555,477505
GO:0005991,477505
GO:0003824,477505
GO:0000009,477690
GO:0000026,477690
GO:0000030,477690
GO:0000033,477690
GO:0001962,477690
GO:0003980,477690
GO:0004376,477690
GO:0004576,477690
GO:0004583,477690
GO:0008375,477690
GO:0008376,477690
GO:0008378,477690
GO:0008417,477690
GO:0008755,477690
GO:0008921,477690
GO:0016253,477690
GO:0016759,477690
GO:0018715,477690
GO:0018716,477690
GO:0018717,477690
GO:0018718,477690
GO:0019112,477690
GO:0019187,477690
GO:0031278,477690
GO:0033556,477690
GO:0042281,477690
GO:0042283,477690
GO:0045140,477690
GO:0046527,477690
GO:0046920,477690
GO:0046921,477690
GO:0016020,477698
GO:0008270,477764
GO:0016491,477764
GO:0046526,477764
GO:0003700,478016
GO:0005634,478016
GO:0006355,478016
GO:0008270,478016
GO:0003677,478016
GO:0006350,478016
GO:0003922,478019
GO:0004356,478026
GO:0006807,478026
GO:0008270,478367
GO:0016491,478367
GO:0033709,478367
GO:0008152,479744
GO:0016491,479744
GO:0004316,479744
GO:0009058,481039
GO:0016769,481039
GO:0030170,481039
GO:0016847,481039
GO:0003824,483320
GO:0030596,483320
GO:0016491,483415
GO:0006118,483415
GO:0008152,483415
GO:0006807,483774
GO:0016810,483774
GO:0018784,484877
GO:0008270,485414
GO:0016491,485414
GO:0008106,485414
GO:0005351,485736
GO:0008643,485736
GO:0016020,485736
GO:0005215,485736
GO:0006810,485736
GO:0016021,485736
GO:0003960,485881
GO:0005515,486383
GO:0008270,486383
GO:0005507,488363
GO:0008131,488363
GO:0009308,488363
GO:0048038,488363
GO:0005215,488415
GO:0006810,488415
GO:0016021,488415
GO:0016020,488415
GO:0003700,488459
GO:0005634,488459
GO:0006355,488459
GO:0008270,488459
GO:0008483,488999
GO:0030170,488999
GO:0004587,488999
GO:0004616,489498
GO:0006098,489498
GO:0016491,489498
GO:0008152,492162
GO:0016491,492162
GO:0004030,492162
GO:0003960,496348
GO:0004364,497103
GO:0006118,497270
GO:0006725,497270
GO:0008198,497270
GO:0016491,497270
GO:0008669,497270
GO:0018542,497270
GO:0018555,497270
GO:0018556,497270
GO:0018557,497270
GO:0018558,497270
GO:0018559,497270
GO:0018560,497270
GO:0018561,497270
GO:0018562,497270
GO:0018563,497270
GO:0018564,497270
GO:0018565,497270
GO:0018566,497270
GO:0018567,497270
GO:0018568,497270
GO:0018569,497270
GO:0018570,497270
GO:0018571,497270
GO:0018572,497270
GO:0018573,497270
GO:0018574,497270
GO:0018575,497270
GO:0019114,497270
GO:0019117,497270
GO:0047074,497270
GO:0006950,497810
GO:0008152,500582
GO:0008415,500582
GO:0005515,500582
GO:0043754,500582
GO:0004301,500850
GO:0005792,500850
GO:0009636,500850
GO:0016020,500850
GO:0033961,500850
GO:0006865,504739
GO:0015171,504739
GO:0016020,504739
GO:0016021,504739
GO:0005351,507099
GO:0008643,507099
GO:0016020,507099
GO:0005215,507099
GO:0006810,507099
GO:0016021,507099
GO:0006808,508509
GO:0016564,508509
GO:0016491,508856
GO:0050660,508856
GO:0016656,508856
GO:0008152,510689
GO:0016491,510689
GO:0009027,513814
GO:0051287,513814
GO:0047046,513814
GO:0006118,521346
GO:0016491,521346
GO:0004672,529435
GO:0005524,529435
GO:0006468,529435
GO:0004674,529435
GO:0004682,529435
GO:0005622,538066
GO:0006808,539083
GO:0016564,539083
GO:0006808,545899
GO:0016564,545899
