Gene,ATSwo1,ATSwo2,ATSwo3,ATSAc1,ATSAc2,ATSAc3
gene_1,411,523,435,393,449,374
gene_10,518,502,500,404,471,450
gene_100,1655,2145,1989,1586,1679,1572
gene_1000,2138,2568,2337,1190,1614,1385
gene_1001,3768,4299,4052,3586,4035,3771
gene_1002,2423,2370,2396,2202,2363,2296
gene_1003,1643,1819,2208,1150,1191,946
gene_1004,728,939,743,541,560,520
gene_1005,4530,5058,4679,3666,4006,3526
gene_1006,2085,2134,2286,1739,1936,1829
gene_1007,4871,4994,5122,3587,4211,3861
gene_1008,206,255,248,231,230,219
gene_1009,151,187,223,285,343,222
gene_101,43,60,41,63,57,48
gene_1011,74,112,89,38,67,26
gene_1012,39,48,41,52,41,22
gene_1013,3449,3059,3814,3980,3346,3567
gene_1014,906,969,834,750,699,768
gene_1015,9776,11063,10060,8445,9465,8474
gene_1016,286,422,343,240,291,256
gene_1017,939,1238,1018,783,995,949
gene_1018,556,741,711,220,267,167
gene_1019,4869,5805,5157,3816,4518,3988
gene_102,38,61,40,58,45,44
gene_1020,57,96,118,56,96,47
gene_1021,6679,5867,6756,5326,5142,5064
gene_1022,1941,2058,2544,1801,1754,1644
gene_1023,1233,1469,1227,1531,1735,1481
gene_1024,1414,1652,1773,1145,1233,1232
gene_1025,2867,3209,3050,2820,3070,2837
gene_1029,2677,2971,3175,2564,2717,2449
gene_1030,2006,2276,2174,2524,2745,2544
gene_1031,2181,2718,2492,2671,3011,2552
gene_1032,1276,1468,1258,982,1089,1027
gene_1033,1731,1644,1681,1253,1399,1322
gene_1034,1155,1343,1389,1291,1098,941
gene_1035,9582,10420,9755,8284,8929,8831
gene_1036,2458,2936,2937,2434,2627,2480
gene_1037,1429,1570,1684,1138,1519,1229
gene_1038,1100,1472,1404,1219,1526,1276
gene_1039,4089,4832,4343,3675,3587,3335
gene_104,2205,2664,2329,1861,2120,2102
gene_1041,1159,1357,1256,719,961,762
gene_1042,587,707,735,437,524,384
gene_1043,291,266,219,207,244,217
gene_1044,584,756,710,505,634,497
gene_1045,1613,1754,1675,1325,1235,1176
gene_1046,1076,1278,1167,649,679,722
gene_1049,1403,1438,1519,1876,1977,1911
gene_105,4478,5444,4951,3230,3452,2879
gene_1051,35067,34973,37489,23469,24951,22830
gene_1052,83,85,93,93,83,94
gene_1053,354,463,384,560,563,514
gene_1054,21,68,29,44,24,20
gene_1055,751,851,756,584,614,554
gene_1056,18513,19470,19205,18337,20127,18985
gene_1057,170,129,191,115,132,120
gene_1058,3413,3918,3348,3201,3777,3338
gene_1059,7238,6513,7845,5022,5560,5191
gene_106,1601,2009,1705,1393,1543,1492
gene_1060,840,1051,917,813,1027,924
gene_1061,1248,1423,1407,395,471,495
gene_1062,662,743,692,237,283,287
gene_1063,1258,1388,1415,1127,1332,1290
gene_1064,372,364,469,312,343,316
gene_1067,2304,2781,2641,1958,1930,1904
gene_1068,272,313,282,244,273,284
gene_1069,2203,1894,2139,2219,2276,2349
gene_107,9263,10405,9454,7222,8753,8164
gene_1070,129,145,157,140,177,139
gene_1071,488,558,552,600,685,548
gene_1072,2007,2449,2195,2379,2764,2661
gene_1073,2981,3390,3064,2837,3100,2780
gene_1074,2377,2383,2767,1927,2171,1740
gene_1075,1498,1694,1633,1247,1357,1253
gene_1076,358,356,290,334,308,270
gene_1077,1463,1710,1625,1491,1588,1521
gene_1078,615,588,564,579,527,487
gene_1079,1447,1833,1639,1437,1875,1580
gene_108,3151,3264,3082,1841,2086,1996
gene_1080,1155,1396,1271,933,1093,986
gene_1081,749,692,807,597,523,560
gene_1082,1423,1646,1469,950,890,901
gene_1083,9051,10567,10359,6761,7756,6850
gene_1084,4533,4917,5008,2734,3424,2952
gene_1085,1148,1432,1470,503,541,571
gene_1086,427,633,446,468,479,501
gene_1087,15762,18978,16790,13912,15260,12809
gene_1088,1055,1164,1110,1212,1227,1148
gene_109,2337,2718,2447,1768,1756,1648
gene_1090,509,600,584,368,435,320
gene_1091,45,50,45,45,28,13
gene_1092,2231,2818,2257,1998,2177,1961
gene_1093,3839,4192,3974,4006,4236,3816
gene_1094,1196,1167,1302,709,688,736
gene_1095,5924,7284,6131,5751,6374,5869
gene_1096,20170,24147,21488,12112,13153,11502
gene_1097,2638,3193,2729,2909,2968,2878
gene_1098,2417,2893,2823,2708,3159,2623
gene_1099,2757,3181,3117,2494,2370,2223
gene_11,5781,7319,6371,4901,6056,5412
gene_110,1715,1944,1903,1578,1633,1529
gene_1100,5157,6475,6088,4536,4698,4248
gene_1101,946,1103,1024,628,757,706
gene_1102,134,160,123,121,104,73
gene_1103,114,133,118,103,86,79
gene_1104,2560,2762,2570,2002,2196,1844
gene_1105,1910,2167,2169,1767,1850,1499
gene_1106,1250,1484,1306,1261,1388,1085
gene_1107,2450,3164,2864,1975,2246,2182
gene_1108,1443,1864,1770,1180,1347,1259
gene_1110,2379,2509,2573,2153,2653,2312
gene_1111,551,711,605,585,677,619
gene_1112,1719,1722,1875,1184,1585,1260
gene_1113,2793,3171,3081,2453,2756,2633
gene_1114,1229,1491,1425,982,1060,973
gene_1116,337,455,394,177,208,167
gene_1117,845,944,837,670,715,699
gene_1118,15242,17993,17408,9944,11444,10545
gene_1119,1556,1942,1701,1389,1609,1362
gene_112,1294,1516,1532,1512,1668,1651
gene_1120,4173,4740,4978,4563,4941,5011
gene_1121,20092,18862,21348,14026,15631,13686
gene_1122,1680,1906,1670,1262,1220,1142
gene_1123,1933,2027,2028,1617,1764,1812
gene_1124,2146,2493,2283,1741,1962,1654
gene_1125,390,455,453,400,333,302
gene_1126,2105,2302,2314,1808,1990,1778
gene_1127,1021,1374,1533,625,634,684
gene_1128,8344,10165,10086,4744,4939,4293
