gene_id,Parwo1,Parwo2,Parwo3,ParAc1,ParAc2,ParAc3
gene_1,203,192,233,346,351,287
gene_10,321,329,319,312,267,245
gene_100,1410,1264,1435,1516,1505,1197
gene_1000,3513,3427,3444,1869,1769,1608
gene_1001,3196,2910,3193,3071,3013,2751
gene_1002,1782,1387,1588,2670,2663,2233
gene_1003,2220,2143,2211,1562,1692,1491
gene_1004,1384,1410,1616,826,857,757
gene_1005,5347,4739,5236,5119,5042,4783
gene_1006,2003,1578,1639,2051,1973,1887
gene_1007,8208,7560,7743,2887,2685,2942
gene_1008,212,213,201,341,317,311
gene_1009,267,253,248,339,428,324
gene_101,37,23,24,46,65,60
gene_1011,71,84,52,19,14,15
gene_1012,23,28,35,44,63,22
gene_1013,4706,3804,3855,4241,4129,4679
gene_1014,1805,1453,1454,1080,1134,1262
gene_1015,7660,7021,8411,8664,8266,7669
gene_1016,383,353,473,499,490,360
gene_1017,1286,1068,1197,1092,976,846
gene_1018,1903,1874,2253,521,414,377
gene_1019,4250,3599,4063,4156,4331,3303
gene_102,32,11,22,35,56,53
gene_1020,50,72,71,122,61,50
gene_1021,10926,9709,9852,6581,5732,6660
gene_1022,3189,2700,2763,2511,2471,2304
gene_1023,614,515,677,1437,1506,1191
gene_1024,1274,986,1247,1574,1544,1365
gene_1025,3027,2632,2874,2908,2824,2476
gene_1029,3093,2391,2718,3128,3073,2763
gene_1030,2126,1858,2014,3419,3515,3072
gene_1031,3201,3040,3274,3505,3944,3143
gene_1032,1907,1734,2169,1443,1589,1346
gene_1033,2170,1690,1988,2185,2099,1989
gene_1034,1177,997,1254,1186,1232,1065
gene_1035,13626,12571,12894,9796,9217,8438
gene_1036,3734,3224,3430,4152,4381,3519
gene_1037,1010,938,1053,1676,1435,1303
gene_1038,957,857,1012,1225,1305,1096
gene_1039,3770,3219,3708,3236,3415,2695
gene_104,1992,1914,1990,1636,1927,1447
gene_1041,753,627,827,582,596,475
gene_1042,934,838,788,470,568,402
gene_1043,752,709,822,572,522,425
gene_1044,742,669,767,809,740,595
gene_1045,3434,2904,3189,2421,2233,2217
gene_1046,2570,2320,2600,1422,1347,1292
gene_1049,1097,1068,1094,1919,1913,1801
gene_105,3371,3142,3499,2317,2570,1991
gene_1051,46634,41355,45072,30339,28531,28741
gene_1052,114,105,85,82,73,74
gene_1053,477,445,431,877,881,834
gene_1054,38,27,22,45,62,61
gene_1055,972,886,968,637,571,531
gene_1056,31663,29799,32903,27994,27796,25403
gene_1057,71,48,58,116,125,95
gene_1058,2712,2482,2665,2800,2751,2339
gene_1059,7742,7022,7062,9278,9402,9099
gene_106,1058,988,1068,1289,1356,1007
gene_1060,912,933,946,730,601,571
gene_1061,2353,2071,2506,380,349,368
gene_1062,1166,1097,1244,446,401,430
gene_1063,1203,1121,1452,1437,1560,1159
gene_1064,345,358,374,352,346,300
gene_1067,2077,1707,1993,2295,2394,1961
gene_1068,250,196,189,272,261,256
gene_1069,3995,3350,3583,2664,2147,2459
gene_107,7560,6469,7283,6995,7427,6332
gene_1070,172,114,121,335,347,243
gene_1071,524,506,567,841,993,783
gene_1072,1633,1198,1466,2304,2436,2076
gene_1073,4621,4181,4400,4048,3839,3766
gene_1074,3670,3324,3692,2886,2718,2804
gene_1075,1196,925,1134,1485,1672,1395
gene_1076,280,259,329,297,300,258
gene_1077,1281,1221,1277,1382,1600,1378
gene_1078,597,498,565,422,532,419
gene_1079,1323,1104,1337,1706,1850,1440
gene_108,3077,2610,2582,1437,1235,1205
gene_1080,1331,905,982,1356,1240,1067
gene_1081,796,801,838,712,771,685
gene_1082,3545,3304,3618,1750,1817,1464
gene_1083,10947,9535,10746,8662,9420,7704
gene_1084,5700,5118,5524,3759,3743,3428
gene_1085,3470,3194,3465,1561,1620,1236
gene_1086,377,320,351,689,640,506
gene_1087,25274,22652,27048,16207,16992,14207
gene_1088,1475,1486,1513,2070,2211,1742
gene_109,1281,1190,1343,1325,1210,1096
gene_1090,1166,1016,1161,576,556,512
gene_1091,38,31,25,42,24,49
gene_1092,2136,2123,2509,2236,2335,2076
gene_1093,3158,2606,2792,3270,3320,2815
gene_1094,2014,1657,1856,1594,1654,1680
gene_1095,4493,3924,4722,4364,4625,3767
gene_1096,48418,45848,53363,23650,24388,21857
