Gene,ParAc1,ParAc2,ParAc3,ATSAc1,ATSAc2,ATSAc3
gene_1,346,351,287,393,449,374
gene_10,312,267,245,404,471,450
gene_100,1516,1505,1197,1586,1679,1572
gene_1000,1869,1769,1608,1190,1614,1385
gene_1001,3071,3013,2751,3586,4035,3771
gene_1002,2670,2663,2233,2202,2363,2296
gene_1003,1562,1692,1491,1150,1191,946
gene_1004,826,857,757,541,560,520
gene_1005,5119,5042,4783,3666,4006,3526
gene_1006,2051,1973,1887,1739,1936,1829
gene_1007,2887,2685,2942,3587,4211,3861
gene_1008,341,317,311,231,230,219
gene_1009,339,428,324,285,343,222
gene_101,46,65,60,63,57,48
gene_1011,19,14,15,38,67,26
gene_1012,44,63,22,52,41,22
gene_1013,4241,4129,4679,3980,3346,3567
gene_1014,1080,1134,1262,750,699,768
gene_1015,8664,8266,7669,8445,9465,8474
gene_1016,499,490,360,240,291,256
gene_1017,1092,976,846,783,995,949
gene_1018,521,414,377,220,267,167
gene_1019,4156,4331,3303,3816,4518,3988
gene_102,35,56,53,58,45,44
gene_1020,122,61,50,56,96,47
gene_1021,6581,5732,6660,5326,5142,5064
gene_1022,2511,2471,2304,1801,1754,1644
gene_1023,1437,1506,1191,1531,1735,1481
gene_1024,1574,1544,1365,1145,1233,1232
gene_1025,2908,2824,2476,2820,3070,2837
gene_1029,3128,3073,2763,2564,2717,2449
gene_1030,3419,3515,3072,2524,2745,2544
gene_1031,3505,3944,3143,2671,3011,2552
gene_1032,1443,1589,1346,982,1089,1027
gene_1033,2185,2099,1989,1253,1399,1322
gene_1034,1186,1232,1065,1291,1098,941
gene_1035,9796,9217,8438,8284,8929,8831
gene_1036,4152,4381,3519,2434,2627,2480
gene_1037,1676,1435,1303,1138,1519,1229
gene_1038,1225,1305,1096,1219,1526,1276
gene_1039,3236,3415,2695,3675,3587,3335
gene_104,1636,1927,1447,1861,2120,2102
gene_1041,582,596,475,719,961,762
gene_1042,470,568,402,437,524,384
gene_1043,572,522,425,207,244,217
gene_1044,809,740,595,505,634,497
gene_1045,2421,2233,2217,1325,1235,1176
gene_1046,1422,1347,1292,649,679,722
gene_1049,1919,1913,1801,1876,1977,1911
gene_105,2317,2570,1991,3230,3452,2879
gene_1051,30339,28531,28741,23469,24951,22830
gene_1052,82,73,74,93,83,94
gene_1053,877,881,834,560,563,514
gene_1054,45,62,61,44,24,20
gene_1055,637,571,531,584,614,554
gene_1056,27994,27796,25403,18337,20127,18985
gene_1057,116,125,95,115,132,120
gene_1058,2800,2751,2339,3201,3777,3338
gene_1059,9278,9402,9099,5022,5560,5191
gene_106,1289,1356,1007,1393,1543,1492
gene_1060,730,601,571,813,1027,924
gene_1061,380,349,368,395,471,495
gene_1062,446,401,430,237,283,287
gene_1063,1437,1560,1159,1127,1332,1290
gene_1064,352,346,300,312,343,316
gene_1067,2295,2394,1961,1958,1930,1904
gene_1068,272,261,256,244,273,284
gene_1069,2664,2147,2459,2219,2276,2349
gene_107,6995,7427,6332,7222,8753,8164
gene_1070,335,347,243,140,177,139
gene_1071,841,993,783,600,685,548
gene_1072,2304,2436,2076,2379,2764,2661
gene_1073,4048,3839,3766,2837,3100,2780
gene_1074,2886,2718,2804,1927,2171,1740
gene_1075,1485,1672,1395,1247,1357,1253
gene_1076,297,300,258,334,308,270
gene_1077,1382,1600,1378,1491,1588,1521
gene_1078,422,532,419,579,527,487
gene_1079,1706,1850,1440,1437,1875,1580
gene_108,1437,1235,1205,1841,2086,1996
gene_1080,1356,1240,1067,933,1093,986
gene_1081,712,771,685,597,523,560
gene_1082,1750,1817,1464,950,890,901
gene_1083,8662,9420,7704,6761,7756,6850
gene_1084,3759,3743,3428,2734,3424,2952
gene_1085,1561,1620,1236,503,541,571
gene_1086,689,640,506,468,479,501
gene_1087,16207,16992,14207,13912,15260,12809
gene_1088,2070,2211,1742,1212,1227,1148
gene_109,1325,1210,1096,1768,1756,1648
gene_1090,576,556,512,368,435,320
gene_1091,42,24,49,45,28,13
gene_1092,2236,2335,2076,1998,2177,1961
gene_1093,3270,3320,2815,4006,4236,3816
gene_1094,1594,1654,1680,709,688,736
gene_1095,4364,4625,3767,5751,6374,5869
gene_1096,23650,24388,21857,12112,13153,11502
gene_1097,2266,2401,1986,2909,2968,2878
gene_1098,3075,3335,2580,2708,3159,2623
gene_1099,1954,2139,1644,2494,2370,2223
gene_11,4605,5017,4131,4901,6056,5412
gene_110,1737,1812,1575,1578,1633,1529
gene_1100,5746,6350,4911,4536,4698,4248
gene_1101,1159,1126,1158,628,757,706
gene_1102,130,102,120,121,104,73
gene_1103,134,100,93,103,86,79
gene_1104,1982,2343,1968,2002,2196,1844
gene_1105,1062,1199,1153,1767,1850,1499
gene_1106,872,982,760,1261,1388,1085
gene_1107,2072,2423,1924,1975,2246,2182
gene_1108,1288,1576,1177,1180,1347,1259
gene_1110,2837,2877,2533,2153,2653,2312
gene_1111,744,895,671,585,677,619
gene_1112,2779,2905,2513,1184,1585,1260
gene_1113,1981,2002,1595,2453,2756,2633
gene_1114,711,793,586,982,1060,973
gene_1116,506,452,374,177,208,167
gene_1117,731,747,670,670,715,699
gene_1118,12966,13270,10113,9944,11444,10545
gene_1119,1751,1848,1576,1389,1609,1362
gene_112,2359,2380,2102,1512,1668,1651
gene_1120,6803,6761,6089,4563,4941,5011
gene_1121,20736,20235,19794,14026,15631,13686
gene_1122,2082,1840,1968,1262,1220,1142
gene_1123,2925,2530,2478,1617,1764,1812
gene_1124,572,582,529,1741,1962,1654
gene_1125,296,230,215,400,333,302
gene_1126,2067,1955,1991,1808,1990,1778
gene_1127,971,1271,966,625,634,684
gene_1128,8323,8759,7802,4744,4939,4293
gene_1129,1924,2150,1605,2344,2555,2302
gene_113,302,325,247,292,293,203
gene_1130,413,388,303,943,938,965
gene_1131,2508,2579,1989,4235,4533,4190
gene_1132,2890,2743,2394,3848,4589,3891
gene_1133,2313,2167,2544,1855,1902,1937
gene_1134,1754,1845,1494,1761,1677,1608
gene_1135,1808,1910,1644,1255,1543,1509
gene_1136,802,795,691,1030,1317,1027
gene_1137,730,842,663,1222,1075,1027
gene_1138,1793,1744,1521,1258,1459,1388
gene_1139,1553,1575,1459,1032,1104,1113
gene_114,631,565,452,877,1027,827
gene_1140,20927,21258,17750,11471,13214,12176
gene_1143,2145,2091,1839,1368,1396,1269
gene_1144,2414,2081,2321,1596,1867,1500
gene_1145,711,690,624,697,619,720
gene_1147,6349,6104,5749,6114,6447,6341
gene_1148,1918,2097,1592,3179,3342,2919
gene_1149,2492,2540,2339,1925,2101,2070
gene_115,3489,3817,2955,4780,4938,4939
gene_1150,1637,1892,1571,1570,1719,1613
gene_1151,3053,3068,2653,2125,2397,2214
gene_1152,678,737,651,797,851,752
gene_1153,1310,1448,1079,1483,1672,1474
gene_1154,405,449,468,183,306,205
gene_1155,23009,23031,19260,22558,23280,21327
gene_1156,3677,3779,3355,3575,3860,3397
gene_1157,774,790,693,614,599,515
gene_1158,6623,6612,5625,5804,6301,5681
gene_1159,4220,4230,3814,4569,4965,4523
gene_116,4515,4448,3931,3811,4147,4024
gene_1160,3840,3392,3014,3376,3902,4148
gene_1161,868,869,718,342,381,360
gene_1162,592,743,607,294,333,308
gene_1165,1467,1553,1292,1404,1621,1432
gene_1166,5567,5678,5045,4578,5351,4807
gene_1167,23,25,19,13,27,22
gene_1168,1254,1306,1128,1393,1477,1283
gene_1169,1089,1128,984,782,867,904
gene_117,2039,1920,1804,1508,1579,1277
gene_1170,425,520,466,273,272,288
gene_1171,2271,2179,1930,1967,2364,2018
gene_1172,4823,4816,4014,5276,5530,5539
gene_1173,1054,1086,950,965,889,919
gene_1174,1766,1833,1560,877,1039,1066
gene_1175,1238,1099,990,1058,1171,1062
gene_1176,1016,983,888,1383,1564,1319
gene_1177,222,191,235,408,494,464
gene_1178,1724,1750,1624,1491,1598,1357
gene_1179,5955,5536,7103,6152,5021,4668
gene_118,1685,1897,1579,1406,1776,1564
gene_1180,1612,1612,1572,2100,2256,1871
gene_1181,3538,3620,3203,2311,2669,2367
gene_1182,958,1083,886,1312,1286,1248
gene_1183,1217,1254,1054,1553,1479,1288
gene_1186,4763,4900,4348,3624,4146,3972
gene_1187,22,33,42,24,25,22
gene_1188,3732,3987,3271,5357,5883,5075
gene_1189,1444,1302,1270,1130,1213,1181
gene_119,1425,1560,1205,1716,1962,1904
gene_1190,1051,1016,871,917,1105,966
gene_1191,665,602,490,761,858,907
gene_1192,457,525,382,724,910,670
gene_1193,36,38,42,62,88,37
gene_1195,1157,1181,1035,761,930,870
gene_1197,2765,2874,2602,2880,3532,3029
gene_1198,218,225,175,340,367,264
gene_1199,1265,1387,1164,1168,1317,1270
gene_120,601,681,557,803,823,713
gene_1200,3234,3173,2636,4473,5002,4265
gene_1201,1025,981,669,708,833,806
gene_1202,3670,3651,2787,3255,3797,3317
gene_1203,2066,1947,1663,2079,2494,2294
gene_1205,3487,3637,3059,1840,2176,1790
gene_1206,2151,1954,2035,1834,1991,1501
gene_1207,1092,1304,1084,627,698,606
gene_1208,941,1102,945,870,901,806
gene_1209,3988,3664,3564,4720,4840,4923
gene_121,2713,2555,2505,4252,4796,4226
gene_1210,923,931,836,746,877,820
gene_1213,1021,860,768,613,602,613
gene_1214,2098,1874,1748,1093,1310,1317
gene_1215,667,658,560,332,249,396
gene_1216,498,490,335,226,326,255
gene_1217,277,333,257,176,164,144
gene_1218,3196,3240,2638,2158,2222,2123
gene_1219,5612,5683,5127,3246,3429,3103
gene_122,28,55,30,52,33,42
gene_1220,2294,2288,2178,1145,1236,1223
gene_1221,31,34,54,49,67,33
gene_1222,405,371,353,403,459,477
gene_1223,1511,1357,1059,601,742,783
gene_1224,4001,3476,3670,1483,1663,1545
gene_1225,77,60,85,96,118,97
gene_1226,1122,1015,906,395,471,523
gene_1228,4148,4419,3767,3682,4116,3536
gene_1229,1232,1457,1269,861,922,840
gene_123,470,584,454,593,585,655
gene_1236,2391,2366,2162,2906,2936,2625
gene_1237,4338,4273,3822,4107,4839,4276
gene_1238,5853,5844,4859,5663,5966,5362
gene_1239,4325,4231,3704,2975,3461,3298
gene_124,3689,3363,3138,3131,3778,3094
gene_1241,111,158,136,69,102,65
gene_1242,3135,3434,2920,1942,2168,1969
gene_1243,1064,1193,1012,1092,1135,1055
gene_1248,417,458,438,492,532,433
gene_1249,5671,5514,4948,4545,5175,4628
gene_1250,3376,3047,2997,2491,2548,2323
gene_1251,3663,3987,3164,3960,4262,4076
gene_1254,1631,1597,1374,660,718,714
gene_1255,2894,3281,2425,3115,3328,3205
gene_1256,3663,3963,3389,4505,4948,4784
gene_1260,203,215,192,177,200,179
gene_1261,286,336,266,262,300,286
gene_1262,3414,3244,3332,2612,3251,2576
gene_1263,12699,13234,10890,11237,12667,11802
gene_127,665,697,644,551,566,512
gene_1270,192,189,177,69,105,71
gene_1271,4276,4109,4007,1606,1868,1773
gene_1272,1115,1107,940,1156,1154,1051
gene_1273,819,754,797,596,573,488
gene_1274,661,824,752,379,456,364
gene_1276,1349,1496,1211,1052,1151,991
gene_1277,1867,2211,1781,1357,1645,1384
gene_1278,2494,2745,2171,2231,2245,2089
gene_1279,833,880,739,529,686,442
gene_128,1070,1091,921,556,763,546
gene_1280,832,859,688,768,910,746
gene_1281,854,855,899,985,1003,955
gene_1282,1202,1395,1130,1413,1294,1321
gene_1283,881,872,757,591,541,585
gene_1284,438,344,376,455,599,507
gene_1285,183,201,182,122,134,156
gene_1286,71,45,60,30,54,11
gene_1288,434,375,280,367,453,431
gene_1289,71,41,28,31,88,43
gene_1290,17,21,22,207,206,178
gene_1291,104,66,96,875,957,913
gene_1293,40,56,59,202,189,204
gene_1294,68,127,80,46,89,72
gene_1295,219,257,217,325,363,338
gene_1297,56,101,41,106,101,121
gene_1298,240,290,218,461,502,524
gene_130,43,58,72,113,71,61
gene_1301,642,609,499,819,1080,826
gene_1302,309,334,384,705,899,696
gene_1303,119,103,48,57,81,100
gene_1305,227,212,266,113,96,119
gene_1306,33,45,11,40,94,30
gene_1307,18,34,13,11,63,18
gene_1308,138,136,107,134,140,128
gene_131,2290,2432,1975,2300,2882,2635
gene_1311,12595,12849,11084,20142,22230,20663
gene_1312,2221,2418,1898,3238,3395,2943
gene_1314,1130,1048,1076,654,863,750
gene_1315,703,683,593,1010,1091,948
gene_1316,1369,1381,1164,2055,2162,2023
gene_1317,1424,1236,1135,1598,1555,1522
gene_1318,965,981,1021,1645,1833,1760
gene_1319,846,926,630,1159,1353,1247
gene_132,1235,1184,1005,1301,1395,1527
gene_1320,449,457,406,213,260,144
gene_1325,1632,1524,1518,1770,1941,1995
gene_1327,1273,1314,1165,1251,1608,1606
gene_1329,2652,3047,2235,3790,4216,3617
gene_133,1145,1034,895,1085,1142,1200
gene_1330,44,53,43,39,57,44
gene_1331,1695,1840,1669,1617,1749,1627
gene_1332,1759,1876,1484,1731,2024,1804
gene_1336,2141,2205,2160,1576,1417,1490
gene_1337,5119,5326,4361,5767,6595,5447
gene_134,475,414,363,672,765,728
gene_1340,4639,4503,4136,2101,2555,2286
gene_1341,6552,6001,5989,4227,3850,4068
gene_1342,2614,3195,2297,3051,3418,3144
gene_1343,1648,1601,1362,1255,1312,1083
gene_1344,121,109,92,91,86,70
gene_1348,6206,6075,5759,6734,7105,6730
gene_1349,1561,1776,1294,868,959,817
gene_135,9554,10076,8228,7924,9994,8793
