Gene,Parwo1,Parwo2,Parwo3,ATSwo1,ATSwo2,ATSwo3
gene_1,203,192,233,411,523,435
gene_10,321,329,319,518,502,500
gene_100,1410,1264,1435,1655,2145,1989
gene_1000,3513,3427,3444,2138,2568,2337
gene_1001,3196,2910,3193,3768,4299,4052
gene_1002,1782,1387,1588,2423,2370,2396
gene_1003,2220,2143,2211,1643,1819,2208
gene_1004,1384,1410,1616,728,939,743
gene_1005,5347,4739,5236,4530,5058,4679
gene_1006,2003,1578,1639,2085,2134,2286
gene_1007,8208,7560,7743,4871,4994,5122
gene_1008,212,213,201,206,255,248
gene_1009,267,253,248,151,187,223
gene_101,37,23,24,43,60,41
gene_1011,71,84,52,74,112,89
gene_1012,23,28,35,39,48,41
gene_1013,4706,3804,3855,3449,3059,3814
gene_1014,1805,1453,1454,906,969,834
gene_1015,7660,7021,8411,9776,11063,10060
gene_1016,383,353,473,286,422,343
gene_1017,1286,1068,1197,939,1238,1018
gene_1018,1903,1874,2253,556,741,711
gene_1019,4250,3599,4063,4869,5805,5157
gene_102,32,11,22,38,61,40
gene_1020,50,72,71,57,96,118
gene_1021,10926,9709,9852,6679,5867,6756
gene_1022,3189,2700,2763,1941,2058,2544
gene_1023,614,515,677,1233,1469,1227
gene_1024,1274,986,1247,1414,1652,1773
gene_1025,3027,2632,2874,2867,3209,3050
gene_1029,3093,2391,2718,2677,2971,3175
gene_1030,2126,1858,2014,2006,2276,2174
gene_1031,3201,3040,3274,2181,2718,2492
gene_1032,1907,1734,2169,1276,1468,1258
gene_1033,2170,1690,1988,1731,1644,1681
gene_1034,1177,997,1254,1155,1343,1389
gene_1035,13626,12571,12894,9582,10420,9755
gene_1036,3734,3224,3430,2458,2936,2937
gene_1037,1010,938,1053,1429,1570,1684
gene_1038,957,857,1012,1100,1472,1404
gene_1039,3770,3219,3708,4089,4832,4343
gene_104,1992,1914,1990,2205,2664,2329
gene_1041,753,627,827,1159,1357,1256
gene_1042,934,838,788,587,707,735
gene_1043,752,709,822,291,266,219
gene_1044,742,669,767,584,756,710
gene_1045,3434,2904,3189,1613,1754,1675
gene_1046,2570,2320,2600,1076,1278,1167
gene_1049,1097,1068,1094,1403,1438,1519
gene_105,3371,3142,3499,4478,5444,4951
gene_1051,46634,41355,45072,35067,34973,37489
gene_1052,114,105,85,83,85,93
gene_1053,477,445,431,354,463,384
gene_1054,38,27,22,21,68,29
gene_1055,972,886,968,751,851,756
gene_1056,31663,29799,32903,18513,19470,19205
gene_1057,71,48,58,170,129,191
gene_1058,2712,2482,2665,3413,3918,3348
gene_1059,7742,7022,7062,7238,6513,7845
gene_106,1058,988,1068,1601,2009,1705
gene_1060,912,933,946,840,1051,917
gene_1061,2353,2071,2506,1248,1423,1407
gene_1062,1166,1097,1244,662,743,692
gene_1063,1203,1121,1452,1258,1388,1415
gene_1064,345,358,374,372,364,469
gene_1067,2077,1707,1993,2304,2781,2641
gene_1068,250,196,189,272,313,282
gene_1069,3995,3350,3583,2203,1894,2139
gene_107,7560,6469,7283,9263,10405,9454
gene_1070,172,114,121,129,145,157
gene_1071,524,506,567,488,558,552
gene_1072,1633,1198,1466,2007,2449,2195
gene_1073,4621,4181,4400,2981,3390,3064
gene_1074,3670,3324,3692,2377,2383,2767
gene_1075,1196,925,1134,1498,1694,1633
gene_1076,280,259,329,358,356,290
gene_1077,1281,1221,1277,1463,1710,1625
gene_1078,597,498,565,615,588,564
gene_1079,1323,1104,1337,1447,1833,1639
gene_108,3077,2610,2582,3151,3264,3082
gene_1080,1331,905,982,1155,1396,1271
gene_1081,796,801,838,749,692,807
gene_1082,3545,3304,3618,1423,1646,1469
gene_1083,10947,9535,10746,9051,10567,10359
gene_1084,5700,5118,5524,4533,4917,5008
gene_1085,3470,3194,3465,1148,1432,1470
gene_1086,377,320,351,427,633,446
gene_1087,25274,22652,27048,15762,18978,16790
gene_1088,1475,1486,1513,1055,1164,1110
gene_109,1281,1190,1343,2337,2718,2447
gene_1090,1166,1016,1161,509,600,584
gene_1091,38,31,25,45,50,45
gene_1092,2136,2123,2509,2231,2818,2257
gene_1093,3158,2606,2792,3839,4192,3974
gene_1094,2014,1657,1856,1196,1167,1302
gene_1095,4493,3924,4722,5924,7284,6131
gene_1096,48418,45848,53363,20170,24147,21488
gene_1097,1691,1525,1857,2638,3193,2729
gene_1098,2193,1830,2147,2417,2893,2823
gene_1099,2342,2034,2424,2757,3181,3117
gene_11,4640,4283,4985,5781,7319,6371
gene_110,1465,1124,1325,1715,1944,1903
gene_1100,8070,7421,8905,5157,6475,6088
gene_1101,1694,1626,1799,946,1103,1024
gene_1102,145,83,147,134,160,123
gene_1103,141,77,148,114,133,118
gene_1104,2191,2127,2464,2560,2762,2570
gene_1105,1768,1650,1906,1910,2167,2169
gene_1106,1138,1064,1275,1250,1484,1306
gene_1107,1990,1925,2077,2450,3164,2864
gene_1108,1224,1137,1303,1443,1864,1770
gene_1110,2357,2083,2321,2379,2509,2573
gene_1111,819,698,820,551,711,605
gene_1112,2115,1985,2451,1719,1722,1875
gene_1113,1443,1467,1540,2793,3171,3081
gene_1114,667,763,697,1229,1491,1425
gene_1116,903,868,1158,337,455,394
gene_1117,910,918,938,845,944,837
gene_1118,24290,21301,22047,15242,17993,17408
gene_1119,1341,1344,1534,1556,1942,1701
gene_112,2155,1966,2106,1294,1516,1532
gene_1120,6503,5996,7118,4173,4740,4978
gene_1121,19141,16614,18060,20092,18862,21348
gene_1122,4958,5171,5400,1680,1906,1670
gene_1123,2201,2079,2119,1933,2027,2028
gene_1124,400,412,472,2146,2493,2283
gene_1125,258,205,282,390,455,453
gene_1126,3652,3092,3407,2105,2302,2314
gene_1127,2438,2331,2703,1021,1374,1533
gene_1128,23256,20346,25907,8344,10165,10086
gene_1129,1252,1038,1088,1881,2239,2225
gene_113,412,353,423,334,356,296
gene_1130,790,664,682,941,1136,995
gene_1131,2042,1654,2133,4014,4958,4220
gene_1132,2534,1865,2198,4391,4735,4507
gene_1133,2489,2040,1998,2051,2012,1982
gene_1134,2166,1879,2204,2218,2577,2300
gene_1135,1595,1534,1749,1475,1511,1302
gene_1136,633,584,587,1167,1348,1125
gene_1137,1026,1026,1279,1467,1578,1545
gene_1138,1253,1210,1277,1178,1310,1113
gene_1139,846,768,928,942,1184,1117
gene_114,274,287,280,973,1172,953
gene_1140,21405,17983,18969,17706,19108,20453
gene_1143,4174,3876,4013,1804,1851,1703
gene_1144,2708,2241,2655,2011,2195,2105
gene_1145,1330,1036,1178,876,1052,888
gene_1147,14572,13532,14240,8169,9096,8107
gene_1148,3184,2891,3726,3443,3996,3712
gene_1149,2937,2602,2524,2298,2559,2582
gene_115,3467,2929,3018,4695,5474,5136
gene_1150,1450,1275,1334,1472,1726,1602
gene_1151,2848,2464,2484,2113,2411,2271
gene_1152,1129,1000,1182,982,1086,1083
gene_1153,980,897,1054,1282,1686,1442
gene_1154,343,241,335,278,341,386
gene_1155,17346,16386,20164,25335,30100,28132
gene_1156,3675,3154,3881,3156,3823,3523
gene_1157,626,487,599,378,492,447
gene_1158,8067,7719,8697,7014,8760,7711
gene_1159,7279,6953,7643,5861,6474,6417
gene_116,7209,6907,6809,4998,5254,5212
gene_1160,3258,3226,3475,3764,4103,3957
gene_1161,945,960,1099,636,687,693
gene_1162,893,705,824,465,538,542
gene_1165,1202,1039,1332,1373,1504,1476
gene_1166,3685,2789,3132,4083,4513,4562
gene_1168,2107,1975,1988,1714,1899,1839
gene_1169,567,491,528,923,958,975
gene_117,1305,1345,1430,1563,1733,1619
gene_1170,326,301,403,331,358,363
gene_1171,1629,1587,1859,1966,2471,2073
gene_1172,5003,4760,4931,4825,5620,5125
gene_1173,678,551,691,925,1031,878
gene_1174,1299,1019,1185,1059,1023,1198
gene_1175,1450,1359,1665,1098,1464,1277
gene_1176,1039,924,993,1102,1258,1178
gene_1177,153,154,104,156,117,151
gene_1178,1520,1230,1678,1627,1843,1726
gene_1179,9062,8084,7253,5762,4243,5178
gene_118,1326,987,1282,1626,1901,1627
gene_1180,2312,2228,2376,2069,2605,2333
gene_1181,5911,5616,6577,3144,3508,3454
gene_1182,630,412,475,1000,1124,1158
gene_1183,924,836,1059,1430,1614,1401
gene_1186,7417,6470,7113,5941,6935,6295
gene_1187,43,22,39,34,35,27
gene_1188,6501,5535,5937,6783,8186,7776
gene_1189,2648,2287,2588,1901,2416,2167
gene_119,1127,933,1185,1534,1852,1898
gene_1190,843,762,810,1030,1283,1128
gene_1191,757,708,732,1337,1535,1303
gene_1192,503,334,340,804,950,996
gene_1193,32,14,16,38,46,22
gene_1195,821,645,675,1138,1330,1266
gene_1197,1922,1734,1951,2799,3062,2769
gene_1198,345,317,274,565,638,579
gene_1199,910,787,971,1005,1148,1020
gene_120,814,763,814,844,1093,983
gene_1200,7230,6377,6368,6440,6893,6955
