#proteinId,ecNum
53482,6.3.4.2
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
84496,2.1.1.35
198829,2.7.7.6
198829,2.7.7.6
198829,2.7.7.6
254469,5.1.3.2
254469,5.1.3.2
436373,2.7.1.39
442574,6.3.2.-
442574,6.3.2.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
454668,3.5.2.3
458477,2.7.4.3
459901,2.7.7.7
459901,2.7.7.7
459901,2.7.7.7
459963,2.4.2.14
459963,2.4.2.14
472455,2.7.7.12
472455,2.7.7.12
476350,2.3.1.86
476354,2.3.1.86
477349,6.5.1.4
478511,1.4.1.4
478511,1.4.1.4
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480781,2.1.1.-
480866,6.3.5.2
480866,6.3.5.2
481551,3.6.1.-
481551,3.6.1.-
482143,6.3.5.5
482143,6.3.5.5
482331,1.1.1.34
482639,2.4.2.7
482667,6.3.2.19
484040,6.3.5.5
484040,6.3.5.5
484352,5.4.99.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484575,2.3.1.-
484855,3.6.3.6
485479,2.7.1.-
485479,2.7.1.-
485479,2.7.1.-
485479,2.7.1.-
485479,2.7.1.-
485973,3.2.1.37
485973,3.2.1.37
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
486913,2.1.1.-
488204,2.7.1.6
488765,1.14.99.29
489899,4.2.1.24
491537,2.1.1.-
491537,2.1.1.-
491537,2.1.1.-
491537,2.1.1.-
491537,2.1.1.-
491537,2.1.1.-
491537,2.1.1.-
491537,2.1.1.-
492420,1.15.1.1
492621,3.6.3.9
493623,6.3.2.19
495007,1.1.1.38
496495,5.2.1.8
500591,3.1.-.-
501365,6.3.2.19
507780,3.1.13.-
508083,3.1.26.-
508539,3.3.1.1
508539,3.3.1.1
510191,2.1.1.43
510790,4.1.1.50
511786,2.7.1.40
511786,2.7.1.40
511786,2.7.1.40
511786,2.7.1.40
518666,2.5.1.6
518666,2.5.1.6
537287,6.1.1.19
537287,6.1.1.19
537425,1.4.4.2
541550,2.7.7.6
541550,2.7.7.6
541550,2.7.7.6
