#proteinId,ecNum
1107,3.6.1.3
2571,3.4.-.-
2571,3.4.-.-
3076,1.1.3.9
3090,1.1.1.125
3913,3.1.3.43
9431,3.2.1.26
9431,3.2.1.26
14665,3.6.4.-
17395,1.1.-.-
17395,1.1.-.-
17595,2.7.7.48
18176,2.1.1.1
18376,3.2.1.59
23129,2.3.1.12
23129,2.3.1.12
25258,2.7.1.48
29183,2.5.1.39
32031,1.1.1.141
32834,3.4.19.12
34637,3.2.1.20
34637,3.2.1.20
34820,3.4.19.12
36704,3.1.26.4
39328,2.1.1.37
41145,3.-.-.-
42467,3.1.-.-
44320,1.1.1.2
44320,1.1.1.2
44320,1.1.1.2
44320,1.1.1.2
45043,1.14.-.-
45043,1.14.-.-
45043,1.14.-.-
45043,1.14.-.-
47441,1.8.1.2
47441,1.8.1.2
47686,2.1.1.77
53482,6.3.4.2
55863,2.4.1.-
55863,2.4.1.-
55863,2.4.1.-
55863,2.4.1.-
55863,2.4.1.-
55863,2.4.1.-
55863,2.4.1.-
55863,2.4.1.-
55863,2.4.1.-
55863,2.4.1.-
55863,2.4.1.-
59445,3.6.3.29
61045,2.3.1.1
61680,2.7.1.86
62505,3.5.4.5
62614,1.1.1.125
64209,3.2.1.8
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
64504,4.1.1.-
66744,3.4.24.71
67395,2.7.4.6
67395,2.7.4.6
68651,2.4.1.11
69589,3.4.23.5
71299,1.1.1.102
71418,2.3.2.8
71969,6.3.2.19
74144,2.2.1.3
74256,1.1.1.14
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
75285,4.1.1.-
84496,2.1.1.35
85985,1.2.1.12
85985,1.2.1.12
88748,4.99.1.1
91046,2.4.1.16
92228,3.1.27.1
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
97305,1.1.1.-
99143,6.2.1.3
99201,2.3.1.16
99201,2.3.1.16
99201,2.3.1.16
99201,2.3.1.16
99201,2.3.1.16
101392,4.3.1.12
103636,2.4.1.15
106166,1.97.1.4
106272,2.7.1.59
106272,2.7.1.59
109017,1.1.2.3
109060,1.1.1.169
115877,1.11.1.6
115877,1.11.1.6
119075,6.1.1.12
119075,6.1.1.12
121006,3.5.1.10
121006,3.5.1.10
122997,1.14.11.13
123029,1.1.1.60
123069,2.1.1.77
125527,3.5.4.-
130517,3.6.3.27
143710,3.2.1.21
143710,3.2.1.21
143710,3.2.1.21
144307,3.5.1.4
144307,3.5.1.4
144307,3.5.1.4
144307,3.5.1.4
144307,3.5.1.4
144307,3.5.1.4
146636,3.6.1.-
146636,3.6.1.-
149344,2.1.1.43
149450,1.1.2.4
155646,2.5.1.18
155751,4.2.1.75
158610,3.1.3.36
163991,2.4.2.17
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
164538,1.14.13.-
165761,1.8.1.4
165761,1.8.1.4
165761,1.8.1.4
165761,1.8.1.4
166448,3.1.4.37
166911,2.7.7.52
167751,3.4.19.12
168199,2.5.1.18
168860,6.3.4.5
168860,6.3.4.5
168860,6.3.4.5
172571,3.1.3.48
172749,3.6.3.29
175496,5.3.1.6
175496,5.3.1.6
176134,3.6.1.-
176134,3.6.1.-
177638,3.2.1.67
177641,3.2.1.20
177641,3.2.1.20
178872,3.2.1.21
178872,3.2.1.21
178872,3.2.1.21
181887,1.14.13.9
182218,2.4.1.-
182218,2.4.1.-
182218,2.4.1.-
182218,2.4.1.-
182218,2.4.1.-
182218,2.4.1.-
182218,2.4.1.-
182218,2.4.1.-
182218,2.4.1.-
182218,2.4.1.-
182218,2.4.1.-
184336,3.1.26.-
192708,3.2.1.59
193700,1.14.11.13
194376,3.5.1.25
194501,4.2.1.24
198172,2.7.1.17
198829,2.7.7.6
198829,2.7.7.6
198829,2.7.7.6
199063,2.7.7.6
199063,2.7.7.6
199063,2.7.7.6
200539,4.2.1.3
200539,4.2.1.3
200539,4.2.1.3
206146,2.6.1.42
206146,2.6.1.42
206146,2.6.1.42
208302,6.3.2.-
208302,6.3.2.-
208969,6.3.2.2
208969,6.3.2.2
210625,3.1.26.3
211862,3.1.3.48
212539,2.4.2.19
214561,1.1.3.8
219040,2.3.1.97
224870,1.1.1.21
224870,1.1.1.21
224870,1.1.1.21
224870,1.1.1.21
224870,1.1.1.21
226870,2.7.7.7
226870,2.7.7.7
226870,2.7.7.7
227879,3.1.4.17
232081,3.5.4.12
232081,3.5.4.12
233949,3.1.3.16
238280,3.1.1.23
240863,2.4.1.-
240863,2.4.1.-
240863,2.4.1.-
240863,2.4.1.-
240863,2.4.1.-
240863,2.4.1.-
240863,2.4.1.-
240863,2.4.1.-
240863,2.4.1.-
240863,2.4.1.-
240863,2.4.1.-
241340,2.1.1.-
241340,2.1.1.-
241340,2.1.1.-
241340,2.1.1.-
241340,2.1.1.-
241340,2.1.1.-
241340,2.1.1.-
241340,2.1.1.-
248079,2.3.1.37
250408,3.4.17.4
252234,3.4.24.-
253871,1.1.1.95
254469,5.1.3.2
254469,5.1.3.2
256397,3.5.1.4
256397,3.5.1.4
256397,3.5.1.4
256397,3.5.1.4
256397,3.5.1.4
256397,3.5.1.4
256965,3.2.1.37
256965,3.2.1.37
257278,1.6.5.5
258071,1.5.3.1
258385,3.4.19.12
263683,1.1.2.3
265142,1.3.1.33
265247,3.4.24.64
265867,1.5.1.20
269480,5.2.1.8
271794,3.6.4.-
272535,3.4.19.12
278549,1.3.1.22
284485,5.2.1.8
288266,1.1.1.65
289097,6.1.1.18
289097,6.1.1.18
292026,1.1.1.65
296955,1.1.1.173
297583,4.2.1.1
298123,2.1.1.-
298123,2.1.1.-
298123,2.1.1.-
298123,2.1.1.-
298123,2.1.1.-
298123,2.1.1.-
298123,2.1.1.-
298123,2.1.1.-
299042,1.2.4.1
299042,1.2.4.1
299042,1.2.4.1
299042,1.2.4.1
301758,3.1.-.-
307240,1.1.1.37
307240,1.1.1.37
307240,1.1.1.37
307240,1.1.1.37
307240,1.1.1.37
309456,6.5.1.1
315031,1.11.1.9
315259,3.1.1.-
315259,3.1.1.-
315259,3.1.1.-
318427,3.2.1.31
318427,3.2.1.31
318427,3.2.1.31
319812,1.97.1.4
320532,1.97.1.4
320621,1.13.11.27
320621,1.13.11.27
320651,2.1.1.63
321700,2.2.1.3
321758,4.1.2.13
321758,4.1.2.13
321758,4.1.2.13
321758,4.1.2.13
322384,1.97.1.4
327643,1.5.1.20
330375,1.14.-.-
330375,1.14.-.-
330375,1.14.-.-
330375,1.14.-.-
342083,3.6.4.-
347244,4.2.1.10
347270,5.1.3.3
347512,1.1.1.208
350032,3.1.3.5
350032,3.1.3.5
350032,3.1.3.5
352557,4.1.3.27
353636,3.1.3.21
357229,1.3.1.42
358983,3.4.19.12
362117,3.5.4.-
365198,6.4.1.1
365198,6.4.1.1
365198,6.4.1.1
365350,3.5.99.5
375104,1.1.1.35
375104,1.1.1.35
375104,1.1.1.35
375104,1.1.1.35
375104,1.1.1.35
375104,1.1.1.35
375104,1.1.1.35
377785,2.3.-.-
381990,1.14.11.18
382679,3.8.1.5
382679,3.8.1.5
383864,6.3.2.19
384052,3.1.3.16
386989,6.3.2.19
388614,3.1.13.4
388692,2.7.7.7
388692,2.7.7.7
388692,2.7.7.7
388875,4.6.1.1
389488,3.5.3.4
390323,3.2.1.24
390454,1.14.11.-
390962,3.5.1.-
390962,3.5.1.-
390962,3.5.1.-
390962,3.5.1.-
391902,2.4.1.16
422916,2.6.-.-
429954,6.3.5.2
429954,6.3.5.2
433098,1.14.11.-
433551,1.1.99.28
433793,2.7.7.9
433793,2.7.7.9
433793,2.7.7.9
433793,2.7.7.9
433958,3.6.1.-
433958,3.6.1.-
434198,3.2.1.21
434198,3.2.1.21
434198,3.2.1.21
434355,3.7.1.5
434494,2.1.1.1
434533,3.1.27.9
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434715,2.3.1.-
434828,5.2.1.8
434849,3.1.1.-
434849,3.1.1.-
434849,3.1.1.-
434922,3.6.1.3
434930,6.2.1.16
435147,3.6.1.23
435394,2.7.7.19
435436,3.6.4.-
435714,1.1.1.8
