log2FoldChange,padj,Gene_id
-1.06614917191012,1.31173488165602e-22,gene_1505
-1.27289936572124,2.33530069714312e-116,gene_2200
-1.06012629054353,2.28525698400888e-16,gene_2218
-1.18464648802014,3.41674154593258e-07,gene_248
-1.92909666554138,2.46411589284702e-20,gene_2533
-1.83432823466056,7.01258991642648e-07,gene_2631
-1.04896309885798,4.78883947955006e-11,gene_2710
-1.06429846752748,2.45881805748788e-49,gene_2908
-1.3890858262015,0.000253863514729,gene_2961
-1.28000179020598,4.16762642083126e-09,gene_2978
-1.55762615592948,7.49797980994019e-26,gene_3289
-1.17642784481463,3.14556474618291e-23,gene_3407
-1.30143227809343,6.12733137081409e-21,gene_3608
-1.57437749575775,1.11695963816891e-162,gene_3716
-1.58731915835365,6.00897472393414e-05,gene_3875
-1.14048067942645,7.21333996105169e-07,gene_4006
-1.11391115358272,1.17288960063433e-38,gene_4024
-1.69843166707352,1.86801985762298e-25,gene_4269
-1.10128092692028,1.02928487411444e-08,gene_431
-1.48002382229798,1.48559614489571e-64,gene_4863
-1.04251009832528,8.0959544312926e-33,gene_4911
-1.54745119552328,7.00200382188794e-20,gene_5084
-1.49771832978574,2.42825324844924e-50,gene_5476
-2.34446041607705,8.20944810522483e-26,gene_5483
-1.00974998641976,1.32244043601544e-22,gene_5930
-1.13287639163896,1.29079937208651e-12,gene_6266
-1.34840138895202,2.19815665137315e-23,gene_6355
-1.0620372271187,1.7854129396214e-41,gene_6737
-2.07013943004497,7.75059056636314e-10,gene_6804
-5.0052923287363,2.55268279018075e-142,gene_697
-1.13724146495241,6.49971087533428e-24,gene_7120
-1.55262369866087,4.38498646551997e-55,gene_7345
-1.22191823621823,2.51877577660966e-15,gene_7514
-1.06734761169736,2.73480427797314e-06,gene_7615
-1.39452776538759,9.69519562679468e-11,gene_7665
