goAcc,Protein_ID
GO:0005524,59445
GO:0016887,59445
GO:0000166,59445
GO:0017111,59445
GO:0015412,59445
GO:0003700,159427
GO:0005634,159427
GO:0006355,159427
GO:0008270,159427
GO:0005215,180336
GO:0006810,180336
GO:0016020,180336
GO:0000179,298123
GO:0003880,298123
GO:0008169,298123
GO:0008170,298123
GO:0008171,298123
GO:0008172,298123
GO:0008173,298123
GO:0008174,298123
GO:0008175,298123
GO:0008276,298123
GO:0008326,298123
GO:0008425,298123
GO:0008649,298123
GO:0008650,298123
GO:0009008,298123
GO:0009383,298123
GO:0016205,298123
GO:0016273,298123
GO:0016274,298123
GO:0016278,298123
GO:0016279,298123
GO:0016300,298123
GO:0016423,298123
GO:0016424,298123
GO:0016426,298123
GO:0016427,298123
GO:0016431,298123
GO:0016433,298123
GO:0016434,298123
GO:0016435,298123
GO:0016436,298123
GO:0018423,298123
GO:0018707,298123
GO:0019702,298123
GO:0030792,298123
GO:0043770,298123
GO:0043776,298123
GO:0043777,298123
GO:0043780,298123
GO:0043782,298123
GO:0043790,298123
GO:0043791,298123
GO:0043803,298123
GO:0043827,298123
GO:0043833,298123
GO:0043834,298123
GO:0043851,298123
GO:0043852,298123
GO:0045431,421953
GO:0016491,443002
GO:0005507,443002
GO:0008447,443002
GO:0005506,443644
GO:0006118,443644
GO:0016021,443644
GO:0016491,443644
GO:0050660,443644
GO:0000293,443644
GO:0043365,453006
GO:0008152,470092
GO:0016491,470092
GO:0003858,470092
GO:0005506,471301
GO:0006118,471301
GO:0016021,471301
GO:0016491,471301
GO:0050660,471301
GO:0000293,471301
GO:0016020,471802
GO:0004871,477925
GO:0007165,477925
GO:0000156,477925
GO:0000160,477925
GO:0006355,477925
GO:0005524,477925
GO:0000155,477925
GO:0016020,477925
GO:0004673,477925
GO:0018106,477925
GO:0004470,484708
GO:0006108,484708
GO:0016616,484708
GO:0051287,484708
GO:0004473,484708
GO:0008483,488999
GO:0030170,488999
GO:0004587,488999
GO:0030144,493090
GO:0005215,493734
GO:0006810,493734
GO:0016020,493734
GO:0008152,496059
GO:0016758,496059
GO:0050505,496059
GO:0005975,497866
GO:0016810,497866
GO:0003824,497866
GO:0006865,500964
GO:0015171,500964
GO:0016020,500964
GO:0006810,500964
GO:0004470,503648
GO:0006108,503648
GO:0016616,503648
GO:0051287,503648
GO:0004473,503648
