log2FoldChange,padj,Gene_id
-1.35870093163082,5.79077836997531e-67,gene_1007
-2.02006035871222,2.09501337267024e-07,gene_1011
-1.03838146294352,1.45982426807629e-19,gene_1116
-1.29619085060997,1.13464329175575e-54,gene_1122
-1.12224962836756,2.39760311507197e-37,gene_1127
-1.3774927344659,2.85403732419174e-116,gene_1128
-1.11704742736294,1.19472331156066e-87,gene_1147
-1.04690977182486,4.6233049146126e-59,gene_1200
-1.35716017606791,9.11618228468178e-78,gene_1224
-1.25680344646528,5.63924085504018e-68,gene_1226
-2.4709528330825,0.0,gene_1236
-1.04347470869881,7.40334533926659e-56,gene_1271
-2.81444150208816,1.68888936375081e-22,gene_1290
-2.70952421870446,2.992916177592e-17,gene_1291
-2.00683636303137,1.559452374233e-28,gene_144
-1.71752564988488,9.71640210116089e-107,gene_1463
-1.48410191546787,1.14860381217364e-89,gene_1474
-1.51241166724341,2.27895039547127e-189,gene_1501
-2.28691938339292,3.10345720022337e-164,gene_1504
-1.08298832068594,7.66816478033028e-25,gene_1513
-1.27045689882575,6.5571638608224e-52,gene_1521
-1.44617692365121,4.20106739394712e-72,gene_153
-1.32149031368028,6.49455962589751e-58,gene_1587
-1.25947822552499,9.70533228189695e-86,gene_1613
-1.36600706509449,3.1312840918311e-06,gene_1633
-1.06114044073439,6.13220877703023e-46,gene_1640
-1.21234302405045,1.35840326926758e-41,gene_1666
-1.05077288374529,8.15162256288695e-123,gene_1674
-1.82115544391176,2.73084324364364e-122,gene_1692
-1.48857483722078,6.01229476107656e-110,gene_1693
-1.87813064874384,2.75700751884217e-150,gene_1709
-1.64728944368911,3.20304191198073e-161,gene_1710
-1.59064891827433,7.99388221391549e-154,gene_1711
-1.79025491931203,2.03063709000729e-102,gene_1715
-1.02623674298664,5.37393260138766e-55,gene_1766
-1.13638082535681,5.26326479820924e-65,gene_1776
-1.307879624962,2.88359430635808e-87,gene_1791
-1.32701162434517,9.53949756209768e-55,gene_1808
-2.40408167697757,2.88713623432576e-31,gene_1854
-1.24656949592207,2.0655215077071e-150,gene_1855
-1.4341779678764,1.59656702044537e-113,gene_1856
-1.25049363434834,2.816868684743e-63,gene_1897
-1.27808620642753,1.79899009322421e-39,gene_193
-1.38512623072009,5.29200648301394e-73,gene_1936
-1.40091486841866,5.36214798152032e-37,gene_1959
-1.62503603839257,4.54600106696666e-126,gene_1972
-1.27141204490575,2.51668716195799e-70,gene_1973
-1.04854841903466,1.03521854339547e-71,gene_1999
-1.23134715966121,2.42309268335544e-93,gene_2035
-1.10688172650389,1.31841999192287e-50,gene_2036
-1.48795410946701,7.23886709697578e-105,gene_2042
-1.43515929301492,5.99943092667751e-05,gene_205
-1.04222605173219,6.81490078717421e-94,gene_207
-1.34069660868471,4.96004538719873e-22,gene_2102
-1.03514908933168,1.98758201924318e-49,gene_2104
-1.71303291011974,2.41756524395868e-211,gene_2131
-1.12730129714668,5.23072593149081e-52,gene_2137
-1.48883267413744,2.58775731038855e-80,gene_2157
-1.35074784448463,4.485511629451e-12,gene_218
-1.27232026887067,1.33561359173923e-22,gene_2194
-2.23033268990118,1.16977704500076e-274,gene_22
-2.22582880355491,8.4798194656444e-212,gene_2228
-1.17554966876918,2.44872731561253e-83,gene_2229
-1.22191528287373,9.75306659334973e-10,gene_2230
-1.05120824164543,3.43507163916871e-33,gene_2248
-1.85706262321453,1.05316025492738e-07,gene_2251
-1.20787648867334,4.61496228534071e-21,gene_2261
-1.55154264507951,1.49363834849625e-10,gene_2279
-1.05193484651913,1.04337933703959e-39,gene_2295
-1.84755769381949,1.04532772636848e-122,gene_2299
-1.78913374312671,1.49852913971493e-130,gene_2300
-1.16438366393782,3.15031563338473e-53,gene_2313
-1.72853154808494,2.65272161045097e-140,gene_233
-1.42014285941268,1.62447603148168e-101,gene_2376
-1.7753949110505,1.24648858814663e-216,gene_2388
-1.05878794589947,2.12658492975758e-52,gene_2390
-1.73278302227586,1.87375481256459e-101,gene_2392
-1.03093109964272,1.85674454388878e-39,gene_2398
-1.48052316713772,7.94482498074537e-54,gene_2410
-2.17549594603731,1.81260137571329e-121,gene_2411
