ecNum,#proteinId
2.5.1.39,29183
2.1.1.77,47686
6.3.4.2,53482
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
2.1.1.35,84496
3.6.1.-,146636
3.6.1.-,146636
2.7.1.17,198172
2.7.7.6,198829
2.7.7.6,198829
2.7.7.6,198829
5.1.3.2,254469
5.1.3.2,254469
3.1.27.9,434533
3.6.1.23,435147
2.7.1.39,436373
6.3.2.-,442574
6.3.2.-,442574
6.1.1.20,449456
6.1.1.20,449456
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
2.1.1.-,452245
3.5.2.3,454668
2.7.4.3,458477
2.7.7.7,459901
2.7.7.7,459901
2.7.7.7,459901
2.4.2.14,459963
2.4.2.14,459963
2.7.7.12,472455
2.7.7.12,472455
2.4.1.207,475966
2.3.1.86,476350
2.3.1.86,476354
2.7.7.-,476438
2.7.7.-,476438
6.5.1.4,477349
1.4.1.4,478511
1.4.1.4,478511
3.1.27.9,479867
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
2.1.1.-,480781
6.3.5.2,480866
6.3.5.2,480866
2.2.1.1,481470
2.2.1.1,481470
3.6.1.-,481551
3.6.1.-,481551
6.3.5.5,482143
6.3.5.5,482143
1.3.1.13,482207
1.1.1.34,482331
2.4.2.7,482639
6.3.2.19,482667
4.1.1.33,483635
6.3.5.5,484040
6.3.5.5,484040
5.4.99.-,484352
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
3.6.3.6,484855
2.7.1.-,485479
2.7.1.-,485479
2.7.1.-,485479
2.7.1.-,485479
2.7.1.-,485479
3.1.3.1,485668
3.1.3.1,485668
3.1.3.1,485668
3.2.1.37,485973
3.2.1.37,485973
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.1.1.-,486913
2.7.1.6,488204
1.14.99.29,488765
3.1.26.5,488846
2.4.2.28,489449
4.2.1.24,489899
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
2.1.1.-,491537
4.1.1.21,491601
1.15.1.1,492420
3.6.3.9,492621
2.1.1.60,493163
6.3.2.19,493623
2.6.1.1,493921
2.6.1.1,493921
2.6.1.1,493921
2.6.1.1,493921
2.6.1.1,493921
2.6.1.1,493921
2.6.1.1,493921
2.6.1.1,493921
2.6.1.1,493921
1.1.1.38,495007
5.2.1.8,496495
3.4.19.12,500140
3.1.-.-,500591
6.3.2.19,501365
3.2.1.58,502040
3.1.13.-,507780
3.1.26.-,508083
3.3.1.1,508539
3.3.1.1,508539
5.4.99.12,509551
2.1.1.43,510191
4.1.1.50,510790
2.7.1.40,511786
2.7.1.40,511786
2.7.1.40,511786
2.7.1.40,511786
2.5.1.6,518666
2.5.1.6,518666
6.1.1.19,537287
6.1.1.19,537287
1.4.4.2,537425
2.7.7.6,541550
2.7.7.6,541550
2.7.7.6,541550
