log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
1.08858925198353,1.06890212517725,7.78978581580622e-20,9.28333220786996e-36,gene_1357
1.48051766504801,1.41069938018926,1.4155791514326e-140,4.10972159236808e-124,gene_1789
1.99891431168929,1.25839272919512,9.95921823990685e-18,1.94517704049123e-06,gene_1870
1.49095847493332,1.17608594467385,2.6317605942867e-50,1.48344867022882e-26,gene_1902
2.5877684354523,1.41558925840479,7.79742323037579e-137,1.51997759758554e-39,gene_1989
2.79031632667165,4.78811514465658,9.40099333151598e-99,1.19644731688024e-63,gene_2144
1.1977838320873,1.41371531734442,4.00485087000469e-11,8.16656062810237e-09,gene_246
1.5611640915129,1.12927002680129,1.47933545723152e-104,2.75964073225226e-37,gene_2475
1.10246933769361,1.06368422098303,1.11617234133699e-21,9.11679141911141e-19,gene_2640
2.09894428086612,1.37164944692523,4.16510529374496e-74,8.79714971868206e-48,gene_2946
3.16915954909387,1.26712879827757,1.64001827312258e-206,1.30683598131697e-23,gene_3317
4.24627827735435,1.26568029914267,3.08266373308734e-23,8.44968916018574e-19,gene_3635
2.00603362902168,1.06659070414373,1.24096058723296e-17,6.57117067576436e-11,gene_3838
1.3037904007331,1.21208031329079,4.25900582371686e-22,7.03106272060528e-08,gene_4317
1.77017775468511,2.42740934676327,6.748856624645e-19,1.97921732154357e-29,gene_4442
1.41415639561028,1.25317502154205,6.50252587840932e-13,2.72612971088846e-05,gene_4483
1.35582885513097,1.52335250056278,8.09786511111938e-108,7.84651834809702e-97,gene_4975
1.15494576650887,1.44782328131722,5.72386491775293e-55,1.61237900562451e-111,gene_508
1.78685070246309,1.15605903865425,2.15827235774525e-119,3.02291716307421e-47,gene_5760
1.74033765911546,1.0165292313145,9.11629480326491e-135,8.48349096467372e-91,gene_6447
1.06547457360386,1.32170358699403,0.000943308419541,5.01486669422056e-10,gene_6660
2.54029312863426,2.71802746852683,0.0,0.0,gene_6960
1.50961942403823,1.00295221347684,1.04136546888682e-44,1.39001111846703e-18,gene_6965
1.07843323094989,1.3076640728411,3.62402847361852e-50,2.17577240470312e-95,gene_7326
2.60192161252611,1.65726086472289,0.0,1.95697249714115e-75,gene_76
1.2294999859038,1.17147207789355,5.24625797614783e-20,7.88374146681382e-15,gene_7926
1.66256937910614,1.09520551727409,2.41423032937277e-16,6.15963451558133e-22,gene_913
