goAcc,Protein_ID
GO:0006950,2738
GO:0016021,2738
GO:0016831,75285
GO:0004611,75285
GO:0008488,75285
GO:0008694,75285
GO:0018790,75285
GO:0018791,75285
GO:0018792,75285
GO:0018793,75285
GO:0018794,75285
GO:0018795,75285
GO:0043727,75285
GO:0043728,75285
GO:0043365,106166
GO:0003700,171095
GO:0005634,171095
GO:0006355,171095
GO:0008270,171095
GO:0004856,198172
GO:0005351,220860
GO:0008643,220860
GO:0016020,220860
GO:0005215,220860
GO:0006810,220860
GO:0016021,220860
GO:0005515,361796
GO:0008270,361796
GO:0005351,497892
GO:0008643,497892
GO:0016020,497892
GO:0005215,497892
GO:0006810,497892
GO:0016021,497892
GO:0007067,506965
GO:0003677,510988
GO:0005634,510988
GO:0006350,510988
GO:0008270,510988
GO:0005509,513201
GO:0004682,513201
GO:0016813,515251
GO:0046872,515251
GO:0004053,515251
GO:0007067,539094
