LogFC_ATS_AC_wo,Reaction,NAME,EQUATION,SUBSYSTEM
2.2303155735668,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c] => 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c],Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Histidine metabolism
2.30974130455946,r_0016,2-aceto-2-hydroxybutanoate synthase,2-oxobutanoate[m] + H+[m] + pyruvate[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Butanoate metabolism;C5-Branched dibasic acid metabolism;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis"
44.2973321479621,r_0018,2-aminoadipate transaminase,2-oxoadipic acid[c] + L-glutamate[c] <=> 2-oxoglutarate[c] + L-2-aminoadipate[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Lysine biosynthesis;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Tryptophan metabolism;Tyrosine metabolism;Ubiquinone and other terpenoid-quinone biosynthesis"
2.27994007407642,r_0019,2-dehydropantoate 2-reductase,2-dehydropantoate[c] + H+[c] + NADPH[c] => (R)-pantoate[c] + NADP(+)[c],Biosynthesis of secondary metabolites;Pantothenate and CoA biosynthesis
44.5517058741578,r_0023,2-isopropylmalate hydratase,2-isopropylmaleic acid[c] + H2O[c] <=> 2-isopropylmalate[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Valine, leucine and isoleucine biosynthesis"
1.75633629704824,r_0024,2-isopropylmalate synthase,3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c] => 2-isopropylmalate[c] + coenzyme A[c] + H+[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Pyruvate metabolism;Valine, leucine and isoleucine biosynthesis"
1.74386392659934,r_0025,2-isopropylmalate synthase,3-methyl-2-oxobutanoate[m] + acetyl-CoA[m] + H2O[m] => 2-isopropylmalate[m] + coenzyme A[m] + H+[m],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Pyruvate metabolism;Valine, leucine and isoleucine biosynthesis"
1.60638286714307,r_0027,2-methylcitrate dehydratase,"homocitrate[m] <=> but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]",2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Lysine biosynthesis
2.16675026237015,r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,(2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] => 4-methyl-2-oxopentanoate[c] + carbon dioxide[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis;Valine, leucine and isoleucine degradation"
2.43296844297583,r_0032,"3',5'-bisphosphate nucleotidase","adenosine 3',5'-bismonophosphate[c] + H2O[c] => AMP[c] + phosphate[c]",Biosynthesis of antibiotics;Sulfur metabolism
