LogFC_Ac_ATS_Par,Reaction,NAME,EQUATION,SUBSYSTEM
1.44976713683085,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c] => 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c],Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Histidine metabolism
1.52919286774045,r_0016,2-aceto-2-hydroxybutanoate synthase,2-oxobutanoate[m] + H+[m] + pyruvate[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Butanoate metabolism;C5-Branched dibasic acid metabolism;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis"
49.8565845295773,r_0018,2-aminoadipate transaminase,2-oxoadipic acid[c] + L-glutamate[c] <=> 2-oxoglutarate[c] + L-2-aminoadipate[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Lysine biosynthesis;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Tryptophan metabolism;Tyrosine metabolism;Ubiquinone and other terpenoid-quinone biosynthesis"
1.4993916372379,r_0019,2-dehydropantoate 2-reductase,2-dehydropantoate[c] + H+[c] + NADPH[c] => (R)-pantoate[c] + NADP(+)[c],Biosynthesis of secondary metabolites;Pantothenate and CoA biosynthesis
1.3736206882184,r_0023,2-isopropylmalate hydratase,2-isopropylmaleic acid[c] + H2O[c] <=> 2-isopropylmalate[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Valine, leucine and isoleucine biosynthesis"
1.3736206882184,r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,(2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] => 4-methyl-2-oxopentanoate[c] + carbon dioxide[c],"2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Pantothenate and CoA biosynthesis;Valine, leucine and isoleucine biosynthesis;Valine, leucine and isoleucine degradation"
1.69144770525818,r_0032,"3',5'-bisphosphate nucleotidase","adenosine 3',5'-bismonophosphate[c] + H2O[c] => AMP[c] + phosphate[c]",Biosynthesis of antibiotics;Sulfur metabolism
1.43098403630554,r_0033,"3',5'-cyclic-nucleotide phosphodiesterase","3',5'-cyclic AMP[c] + H2O[c] => AMP[c] + H+[c]",Purine metabolism
1.43098403629271,r_0036,"3',5'-cyclic-nucleotide phosphodiesterase","3',5'-cyclic GMP[c] + H2O[c] => GMP[c] + H+[c]",Purine metabolism
1.51141013826341,r_0039,3-dehydroquinate dehydratase,3-dehydroquinate[c] => 3-dehydroshikimate[c] + H2O[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
1.51141013826341,r_0040,3-dehydroquinate synthase,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] => 3-dehydroquinate[c] + phosphate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
1.47005308333034,r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p],
1.3736206882184,r_0060,3-isopropylmalate dehydratase,"(2R,3S)-3-isopropylmalate[c] <=> 2-isopropylmaleic acid[c] + H2O[c]","2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Valine, leucine and isoleucine biosynthesis"
1.37476897242398,r_0062,3-methyl-2-oxobutanoate decarboxylase,3-methyl-2-oxobutanoate[c] + H+[c] => carbon dioxide[c] + isobutyraldehyde[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycolysis
1.4993916372379,r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,"3-methyl-2-oxobutanoate[m] + 5,10-methylenetetrahydrofolate[m] + H2O[m] => 2-dehydropantoate[m] + THF[m]",Biosynthesis of secondary metabolites;Pantothenate and CoA biosynthesis
1.52919286774658,r_0064,3-methyl-2-oxopentanoate decarboxylase,(S)-3-methyl-2-oxopentanoate[c] + H+[c] => 2-methylbutanal[c] + carbon dioxide[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycolysis
1.51141013826341,r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,3-phosphoshikimic acid[c] + phosphoenolpyruvate[c] => 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] + phosphate[c],"Biosynthesis of amino acids;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Phenylalanine, tyrosine and tryptophan biosynthesis"
1.51141013826341,r_0066,4-amino-4-deoxychorismate synthase,chorismate[c] + L-glutamine[c] => 4-amino-4-deoxychorismate[c] + L-glutamate[c],Folate biosynthesis
1.51141013826341,r_0067,4-aminobenzoate synthase,4-amino-4-deoxychorismate[c] => 4-aminobenzoate[c] + H+[c] + pyruvate[c],
1.3736206882184,r_0072,4-methyl-2-oxopentanoate decarboxylase,4-methyl-2-oxopentanoate[c] + H+[c] => 3-methylbutanal[c] + carbon dioxide[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Gluconeogenesis;Glycolysis
1.37288300405914,r_0079,5'-phosphoribosylformyl glycinamidine synthetase,5'-phosphoribosyl-N-formylglycineamide[c] + ATP[c] + H2O[c] + L-glutamine[c] => 5'-phosphoribosyl-N-formylglycineamidine[c] + ADP[c] + H+[c] + L-glutamate[c] + phosphate[c],Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Purine metabolism
