Reaction	Log10_ParWo	Log10_ParAc	Log10_ATSWo	Log10_ATSAc
r_0001	NA	NA	NA	NA
r_0002	NA	NA	NA	NA
r_0004	NA	NA	NA	NA
r_0005	-3.95681348984335	-3.64910075265878	-3.89104028758608	-3.58142860185153
r_0006	-3.95681348984335	-3.64910075265878	-3.89104028758608	-3.58142860185153
r_0007	-1.8136994925695	-1.58498833440815	-1.8199568269343	-1.14856493949418
r_0013	NA	NA	NA	NA
r_0014	-5.871359643231	-5.62440720556553	-5.87741386048417	-5.56503211157219
r_0015	-5.871359643231	-5.62440720556553	-5.87741386048417	-5.56503211157219
r_0016	-1.87809556057553	-1.64938440241417	-1.88435289496532	-1.18905148006887
r_0017	NA	NA	NA	NA
r_0018	-14.7036744545622	-16.3990419081573	-14.7255401878247	-1.39071448339772
r_0019	-2.02402645627665	-1.79531529811551	-2.03028379067254	-1.34395344005918
r_0020	NA	NA	NA	NA
r_0021	NA	NA	NA	NA
r_0022	NA	NA	NA	NA
r_0023	-13.7855906637263	-1.60255250988853	-14.6004513061909	-1.18905148007019
r_0024	-1.65365136148462	-1.47550235089838	-1.66044975512618	-1.13173984724125
r_0025	-1.64989680387074	-1.47928965062385	-1.6566951975016	-1.13173984723882
r_0026	NA	NA	NA	NA
r_0027	-0.55185530958435	-0.323144151422791	-0.558112643977523	-0.0745432164467513
r_0028	NA	NA	NA	NA
r_0029	-1.83505096775825	-1.60255250988853	-1.84130830215641	-1.18905148007019
r_0030	NA	NA	NA	NA
r_0032	-0.964687297029593	-0.747842863379946	-0.971062847839841	-0.238666368000224
r_0033	-0.472674063543842	-0.243962905386374	-0.478931397954159	0.186806212857907
r_0034	NA	NA	NA	NA
r_0035	NA	NA	NA	NA
r_0036	-0.472674063559003	-0.243962905382015	-0.478931397928962	0.186806212858407
r_0037	NA	NA	NA	NA
r_0038	-5.57032964756701	-5.32337720990155	-5.57638386482019	-5.26400211590821
r_0039	-1.89920267464523	-1.67049151648808	-1.90546000903657	-1.21551172912015
r_0040	-1.89920267464523	-1.67049151648808	-1.90546000903657	-1.21551172912015
r_0041	NA	NA	NA	NA
r_0042	-1.24437129175516	-1.11144666516575	-1.25149691633093	-0.798490834385283
r_0043	NA	NA	NA	NA
r_0045	NA	NA	NA	NA
r_0057	-1.86773034196898	-1.58282197672422	-1.87398433903957	-1.14029190342346
r_0058	NA	NA	NA	NA
r_0060	-1.87397118855703	-1.60255250988853	-1.88022852298888	-1.18905148007019
r_0061	-1.34886680821063	-1.17447235523455	-1.35566520184684	-0.830709851576058
r_0062	-1.72687398552052	-1.49816282735997	-1.7331313199117	-1.08431612955221
r_0063	-2.02402645627665	-1.79531529811551	-2.03028379067254	-1.34395344005918
r_0064	-1.87809556057797	-1.64938440241636	-1.8843528949688	-1.18905148006921
r_0065	-1.89920267464523	-1.67049151648808	-1.90546000903657	-1.21551172912015
r_0066	-1.89920267464523	-1.67049151648808	-1.90546000903657	-1.21551172912015
r_0067	-1.89920267464523	-1.67049151648808	-1.90546000903657	-1.21551172912015
r_0068	NA	NA	NA	NA
r_0069	NA	NA	NA	NA
r_0072	-1.83505096775825	-1.60255250988853	-1.84130830215641	-1.18905148007019
r_0073	NA	NA	NA	NA
r_0075	NA	NA	NA	NA
r_0079	-2.00053708741397	-1.78369265382335	-2.0069126382866	-1.37041368906427
r_0080	-1.1278366272122	-0.924152369212435	-1.13378898375512	-0.394989041002063
