Rxns	ranges	minFlux	maxFlux
r_0001_EXP_1	0	0	0
r_0001_EXP_2	0	0	0
r_0001_EXP_3	0	0	0
r_0001_EXP_4	0	0	0
r_0002_EXP_1	0	0	0
r_0002_EXP_2	0	0	0
r_0004_EXP_1	0	0	0
r_0004_EXP_2	0	0	0
r_0004_EXP_3	0	0	0
r_0004_EXP_4	0	0	0
r_0004_EXP_5	0	0	0
r_0004_EXP_6	0	0	0
r_0004_EXP_7	0	0	0
r_0005	5.37434149999998e-05	0.005320598085	0.0053743415
r_0006_EXP_1	0.0053743415	0	0.0053743415
r_0006_EXP_2	0.0053743415	0	0.0053743415
r_0006_EXP_3	0.0053743415	0	0.0053743415
r_0007	0.0586407599485875	0.0066800485125	0.0653208084610875
r_0013	0	0	0
r_0014	5.58112500000002e-07	5.52531375e-05	5.581125e-05
r_0015	5.58112500000002e-07	5.52531375e-05	5.581125e-05
r_0016	0.0525040721235917	0.00857484044990997	0.0610789125735016
r_0017	0	0	0
r_0018	34.8967940033632	0.008404058025	34.9051980613882
r_0018_REV	34.8969453748949	0	34.8969453748949
r_0019	0.0367528504871908	0	0.0367528504871908
r_0020_EXP_1	0	0	0
r_0020_EXP_2	0	0	0
r_0021_EXP_1	0	0	0
r_0021_EXP_2	0	0	0
r_0022_EXP_1	0	0	0
r_0022_EXP_2	0	0	0
r_0023	999.990499809025	0	999.990499809025
r_0023_REV	999.990499809025	0.009500190975	1000
r_0024	0.0620038006634838	0	0.0620038006634838
r_0025	0.0620042630992141	0	0.0620042630992141
r_0026	0	0	0
r_0027	3.8981909644108	0.00840405802500754	3.9065950224358
r_0027_REV	3.7866612476447	0	3.7866612476447
r_0028	0	0	0
r_0029	0.0525039086783678	0.009500190975	0.0620040996533678
r_0030	0	0	0
r_0032	0.457608516700455	0	0.457608516700455
r_0033	1.28032782731921	0	1.28032782731921
r_0034	0	0	0
r_0035	0	0	0
r_0036	1.28032782731363	0	1.28032782731363
r_0037	0	0	0
r_0038	1.116225e-06	0.000110506275	0.0001116225
r_0039	0.0502631178501522	0.01939848359625	0.0696616014464022
r_0040	0.0502631178501522	0.01939848359625	0.0696616014464022
r_0041	0	0	0
r_0042_EXP_1	0.0696619921242356	0	0.0696619921242356
r_0042_EXP_2	0.0696619921245925	0	0.0696619921245925
r_0043	0	0	0
r_0045	0	0	0
r_0057_EXP_1	0.0593366438851174	0	0.0593366438851174
r_0057_EXP_2	0.0593366438851174	0	0.0593366438851174
r_0058	0	0	0
r_0060	999.990499809025	0	999.990499809025
r_0060_REV	999.990499809025	0.009500190975	1000
r_0061_EXP_1	0.0620040996533908	0	0.0620040996533908
r_0061_EXP_2	0.062004099652883	0	0.062004099652883
r_0061_EXP_3	0.0620040996533908	0	0.0620040996533908
r_0062	0.0668231565006181	0	0.0668231565006181
r_0063	0.0367528504871908	0	0.0367528504871908
r_0064	0.0525039086789905	0	0.0525039086789905
r_0065	0.0502631178501522	0.01939848359625	0.0696616014464022
r_0066	0.0502635085282677	0	0.0502635085282677
r_0067	0.0502635085282677	0	0.0502635085282677
r_0068	0	0	0
r_0069	0	0	0
r_0072	0.0525039086777319	0	0.0525039086777319
r_0073	35.838532815852	0	35.838532815852
r_0073_REV	35.838532815852	0	35.838532815852
r_0075	0	0	0
r_0079	0.0351843722530943	0.000623154930569938	0.0358075271836643
r_0080_EXP_1	0.157219685043064	0	0.157219685043064
r_0080_EXP_2	0.157219685043048	0	0.157219685043048
r_0081	0	0	0
r_0085	0	0	0
r_0086	0	0	0
r_0088	35.8387176809926	0	35.8387176809926
r_0088_REV	35.8387176809926	0	35.8387176809926
r_0089	35.8387176811001	0	35.8387176811001
