Rxns	ranges	minFlux	maxFlux
r_0001	0	0	0
r_0002	0	0	0
r_0004	0	0	0
r_0005	0.000262162999999999	0.0051121785	0.0053743415
r_0006	0.000262162999999999	0.0051121785	0.0053743415
r_0007	0.0710288953470124	0.00641837625	0.0774472715970124
r_0013	0	0	0
r_0014	2.7225e-06	5.308875e-05	5.581125e-05
r_0015	2.7225e-06	5.308875e-05	5.581125e-05
r_0016	0.0647065909795911	0.00823894499988759	0.0729455359794787
r_0017	0	0	0
r_0018	0.0406710623541518	0.0080748525	0.0487459148541518
r_0019	0.0452946136852376	0	0.0452946136852376
r_0020	0	0	0
r_0021	0	0	0
r_0022	0	0	0
r_0023	-0.0647065909793941	-0.00912804749999988	-0.073834638479394
r_0024	0.0738346384789811	0	0.0738346384789811
r_0025	0.073834638479394	0	0.073834638479394
r_0026	0	0	0
r_0027	0.842280572310662	0.00807485249993989	0.850355424810602
r_0028	0	0	0
r_0029	0.064706590979394	0.0091280475	0.073834638479394
r_0030	0	0	0
r_0032	0.577209714892285	0	0.577209714892285
r_0033	1.53746845129532	0	1.53746845129532
r_0034	0	0	0
r_0035	0	0	0
r_0036	1.53746845129709	0	1.53746845129709
r_0037	0	0	0
r_0038	5.445e-06	0.0001061775	0.0001116225
r_0039	0.0608819102980894	0.018638602125	0.0795205124230894
r_0040	0.0608819102980894	0.018638602125	0.0795205124230894
r_0041	0	0	0
r_0042	0.159041024845284	0	0.159041024845284
r_0043	0	0	0
r_0045	0	0	0
r_0057	0.0723949206742418	0	0.0723949206742418
r_0058	0	0	0
r_0060	-0.0647065909793941	-0.00912804749999988	-0.073834638479394
r_0061	0.147669276958375	0	0.147669276958375
r_0062	0.0823538430642988	0	0.0823538430642988
r_0063	0.0452946136852376	0	0.0452946136852376
r_0064	0.0647065909795401	0	0.0647065909795401
r_0065	0.0608819102980894	0.018638602125	0.0795205124230894
r_0066	0.0608819102980894	0	0.0608819102980894
r_0067	0.0608819102980894	0	0.0608819102980894
r_0068	0	0	0
r_0069	0	0	0
r_0072	0.064706590979394	0	0.064706590979394
r_0073	0	0	0
r_0075	0	0	0
r_0079	0.0426173372127472	0.000598744570834242	0.0432160817835815
r_0080	0.402727196625503	0	0.402727196625503
r_0081	2.20006768358871e-08	4.28999555879273e-07	4.5100023271516e-07
r_0085	0	0	0
r_0086	0	0	0
r_0088	0	0	0
r_0089	0	0	0
r_0090	2.56244741882544	0	2.56244741882544
r_0091	0	0	0
r_0092	0	0	0
r_0095	0	0	0
r_0096	0.0823538430643257	0.0180405224999731	0.100394365564299
r_0097	0.0823538430643257	0.0180405224999731	0.100394365564299
r_0099	0	0	0
r_0100	0.074739011721325	0	0.074739011721325
r_0101	0	0	0
r_0102	0.144789841348412	0	0.144789841348412
r_0103	0.0890082939117598	0	0.0890082939117598
r_0104	5.93854579033917	0	5.93854579033917
r_0105	0.0723949206742418	0	0.0723949206742418
r_0106	0.0703167319861921	0	0.0703167319861921
r_0107	0.0723949206742418	0	0.0723949206742418
r_0108	0	0	0
r_0109	0.590582690961664	0.241966292294338	0.832548983256002
r_0111	1.84606533196649	0	1.84606533196649
r_0112	1.78200884971855	0.853666549749886	2.63567539946843
r_0113	2.56244741882991	0	2.56244741882991
r_0114	0	0	0
r_0115	0.091040020564326	0.00888029999998707	0.0999203205643131
r_0118	0.091040020564326	0.00888029999998707	0.0999203205643131
r_0120	0.0703167319861921	0	0.0703167319861921
r_0121	0.0723949206742418	0	0.0723949206742418
r_0122	0	0	0
r_0123	0.0723949206742418	0	0.0723949206742418
r_0124	0.074739011721325	0	0.074739011721325
r_0125	0.0723949206742418	0	0.0723949206742418
r_0126	0.108673564631581	0	0.108673564631581
r_0127	0.108673564630789	0	0.108673564630789
r_0128	0.108673564631661	0	0.108673564631661
r_0129	0.10867356463165	0	0.10867356463165
r_0130	0.108673564631498	0	0.108673564631498
r_0131	0.0201309394155964	0	0.0201309394155964
r_0132	0.0201309394155975	0	0.0201309394155975
r_0133	0.0201309394155723	0	0.0201309394155723
r_0134	0.0201309394156635	0	0.0201309394156635
r_0135	0.0201309394156233	0	0.0201309394156233
r_0137	0	0	0
r_0139	0	0	0
r_0142	0.194125863032158	0.000935725281187069	0.195061588313345
r_0143	1.28122370941457	0	1.28122370941457
r_0144	0.194125863032158	0.000935725281187069	0.195061588313345
r_0145	0	0	0
r_0146	0	0	0
r_0147	1.53746845129532	0	1.53746845129532
r_0148	8.30688620523977	0	8.30688620523977
r_0149	4.63861498769943	0	4.63861498769943
r_0150	3.84367112823635	0	3.84367112823635
r_0151	0.0426173372127472	0.000598744570834242	0.0432160817835815
r_0152	1.28122370941874	0.00668965439583424	1.28791336381457
r_0153	1.28122370941874	0.00668965439583424	1.28791336381457
r_0154	0.56754316514245	0.00966654974983552	0.577209714892285
r_0156	3.0240563248834	0	3.0240563248834
r_0157	0.000474044999999999	0.0092438775	0.0097179225
r_0163	1000	0	1000
r_0164	0	0	0
r_0165	1000	0	1000
r_0166	0.120785636494577	0	0.120785636494577
r_0167	0.060392818246734	0	0.060392818246734
r_0168	0.0603928182469119	0	0.0603928182469119
r_0169	0	0	0
r_0170	0	0	0
r_0171	0	0	0
r_0172	0	0	0
r_0173	2.66173553169213	0	2.66173553169213
r_0174	2.1883065151031	0	2.1883065151031
r_0175	0.289812511413704	0	0.289812511413704
r_0176	0	0	0
r_0177	0	0	0
r_0178	0	0	0
r_0179	0.0603928182470451	0	0.0603928182470451
