Rxns	ranges	m1000lux	maxFlux
r_0001_EXP_1	0	0	0
r_0001_EXP_2	0	0	0
r_0001_EXP_3	0	0	0
r_0001_EXP_4	0	0	0
r_0002_EXP_1	0	0	0
r_0002_EXP_2	0	0	0
r_0004_EXP_1	0	0	0
r_0004_EXP_2	0	0	0
r_0004_EXP_3	0	0	0
r_0004_EXP_4	0	0	0
r_0004_EXP_5	0	0	0
r_0004_EXP_6	0	0	0
r_0004_EXP_7	0	0	0
r_0005	4.34333190497691E-05	0.00429454237212	0.00433797569116977
r_0006_EXP_1	0.00433797569116977	0	0.00433797569116977
r_0006_EXP_2	0.00433797569116977	0	0.00433797569116977
r_0006_EXP_3	0.00433797569116977	0	0.00433797569116977
r_0007	0.00511555291494701	0.0054761659524	0.010591718867347
r_0013	0	0	0
r_0014	4.4805648970436E-07	0.0000443142414	4.47622978897044E-05
r_0015	4.48114021104692E-07	0.0000443142414	4.47623554211047E-05
r_0016	0.00441072560374946	0.007029850113	0.0114405757167495
r_0017	0	0	0
r_0018	39.8366711744945	0.0068897454912	39.8435609199857
r_0018_REV	39.8366711747306	0	39.8366711747306
r_0019	0.00315194873275144	0	0.00315194873275144
r_0020_EXP_1	0	0	0
r_0020_EXP_2	0	0	0
r_0021_EXP_1	0	0	0
r_0021_EXP_2	0	0	0
r_0022_EXP_1	0	0	0
r_0022_EXP_2	0	0	0
r_0023	999.992211883979	0	999.992211883979
r_0023_REV	999.992211883979	0.0077881160214	1000
r_0024	0.0125492909108925	0	0.0125492909108925
r_0025	0.0126584039068699	0	0.0126584039068699
r_0026	0	0	0
r_0027	4.33456276834484	0.0068897454912	4.34145251383604
r_0027_REV	4.32268323574668	0	4.32268323574668
r_0028	0	0	0
r_0029	0.00487013618938509	0.0077881160214	0.0126582522107851
r_0030	0	0	0
r_0032	0.0367784654676724	0.00486160702967231	0.0416400724973447
r_0033	0.112184159287295	0	0.112184159287295
r_0034	0	0	0
r_0035	0	0	0
r_0036	0.112184159297564	0	0.112184159297564
r_0037	0	0	0
r_0038	8.96223259764584E-07	0.0000886284828	8.95247060597646E-05
r_0039	0.00420148605604699	0.0159034412394	0.020104927295447
r_0040	0.00420148605604699	0.0159034412394	0.020104927295447
r_0041	0	0	0
r_0042_EXP_1	0.0201049272955142	0	0.0201049272955142
r_0042_EXP_2	0.0201049272953873	0	0.0201049272953873
r_0043	0	0	0
r_0045	0	0	0
r_0057_EXP_1	0.00461998807792795	0	0.00461998807792795
r_0057_EXP_2	0.00461998807792795	0	0.00461998807792795
r_0058	0	0	0
r_0060	999.992211883979	0	999.992211883979
r_0060_REV	999.992211883979	0.0077881160214	1000
r_0061_EXP_1	0.0126582522108895	0	0.0126582522108895
r_0061_EXP_2	0.0126582522107298	0	0.0126582522107298
r_0061_EXP_3	0.0126582522108895	0	0.0126582522108895
r_0062	0.00624786469434235	0	0.00624786469434235
r_0063	0.00315194873275144	0	0.00315194873275144
r_0064	0.00441058822056374	0	0.00441058822056374
r_0065	0.00420148605604699	0.0159034412394	0.020104927295447
r_0066	0.00420148605611833	0	0.00420148605611833
r_0067	0.00420148605611833	0	0.00420148605611833
r_0068	0	0	0
r_0069	0	0	0
r_0072	0.00487013619043037	0	0.00487013619043037
r_0073	40.9117530557334	0	40.9117530557334
r_0073_REV	40.9117530557334	0	40.9117530557334
r_0075	0	0	0
r_0079	0.00338645305823893	0.000499784071600118	0.00388623712983904
r_0080_EXP_1	0.0165388177975464	0	0.0165388177975464
r_0080_EXP_2	0.0165388177985032	0	0.0165388177985032
r_0081	0	0	0
r_0085	0	0	0
r_0086	0	0	0
r_0088	40.9117530557915	0	40.9117530557915
