Rxns	ranges	minFlux	maxFlux
r_0001	0	0	0
r_0002	0	0	0
r_0004	0	0	0
r_0005	0.000128516743509174	0.00420945525	0.00433797199350917
r_0006	0.000128516743509174	0.00420945525	0.00433797199350917
r_0007	0.0151371171852049	0.0053676675	0.0205047846852049
r_0013	0	0	0
r_0014	1.32613012105315e-06	4.343625e-05	4.47623801210532e-05
r_0015	1.32613012105315e-06	4.343625e-05	4.47623801210532e-05
r_0016	0.0130510996305321	0.00689056874989544	0.0199416683804276
r_0017	0	0	0
r_0018	1.88130760969685e-15	0.00675324	0.00675324000000188
r_0019	0.0093264466295327	0	0.0093264466295327
r_0020	0	0	0
r_0021	0	0	0
r_0022	0	0	0
r_0023	-2.50927750800045e-15	-0.00763381125	-0.00763381125000251
r_0024	0.0218549715196252	0	0.0218549715196252
r_0025	0.0220447309373517	0	0.0220447309373517
r_0026	0	0	0
r_0027	0.276622407033631	0.00675323999996635	0.283375647033597
r_0028	0	0	0
r_0029	0.0144109196873517	0.00763381125	0.0220447309373517
r_0030	0	0	0
r_0032	0.106890018481274	0	0.106890018481274
r_0033	0.331946888421814	0	0.331946888421814
r_0034	0	0	0
r_0035	0	0	0
r_0036	0.331946888441073	0	0.331946888441073
r_0037	0	0	0
r_0038	2.65226024210631e-06	8.68725e-05	8.95247602421063e-05
r_0039	0.0124319710739142	0.01558834875	0.0280203198239142
r_0040	0.0124319710739142	0.01558834875	0.0280203198239142
r_0041	0	0	0
r_0042	0.0560406396465483	0	0.0560406396465483
r_0043	0	0	0
r_0045	0	0	0
r_0057	0.0133664371597746	0	0.0133664371597746
r_0058	0	0	0
r_0060	-0.0131756326272832	-0.00763381125	-0.0208094438772832
r_0061	0.0440894618737673	0	0.0440894618737673
r_0062	0.0184870953040965	0	0.0184870953040965
r_0063	0.0093264466295327	0	0.0093264466295327
r_0064	0.0130510996304276	0	0.0130510996304276
r_0065	0.0124319710739142	0.01558834875	0.0280203198239142
r_0066	0.0124319710739142	0	0.0124319710739142
r_0067	0.0124319710739142	0	0.0124319710739142
r_0068	0	0	0
r_0069	0	0	0
r_0072	0.0144109196873517	0	0.0144109196873517
r_0073	0	0	0
r_0075	0	0	0
r_0079	0.00984209067159734	0.000489881921449944	0.0103319725930473
r_0080	0.0734870842572817	0	0.0734870842572817
r_0081	1.07162029984093e-08	3.51e-07	3.61716202998409e-07
r_0085	0	0	0
r_0086	0	0	0
r_0088	0	0	0
r_0089	0	0	0
r_0090	0.553244814072896	0	0.553244814072896
r_0091	0	0	0
r_0092	0	0	0
r_0095	0	0	0
r_0096	0.0184870953041815	0.0150877349998669	0.0335748303040484
r_0097	0.0184870953041815	0.0150877349998669	0.0335748303040484
r_0099	0	0	0
r_0100	0.0391080686094484	0	0.0391080686094484
r_0101	0	0	0
r_0102	0.0267328743183983	0	0.0267328743183983
r_0103	0.0163334074085191	0	0.0163334074085191
r_0104	6.72780351142312	0	6.72780351142312
r_0105	0.0133664371597746	0	0.0133664371597746
r_0106	0.0133664371597746	0	0.0133664371597746
r_0107	0.0267328743189305	0	0.0267328743189305
r_0108	0	0	0
r_0109	0.108835045391933	0.197972420967517	0.30680746635945
r_0111	0.544142957414855	0	0.544142957414855
r_0112	0.913072540200811	0	0.913072540200811
r_0113	0.553244814047325	0	0.553244814047325
r_0114	0	0	0
r_0115	0.0240670568373235	0.00742672124999899	0.0314937780873225
r_0118	0.0240670568373235	0.00742672124999899	0.0314937780873225
r_0120	0.0133664371597746	0	0.0133664371597746
r_0121	0.0133664371597746	0	0.0133664371597746
r_0122	0	0	0
r_0123	0.0133664371597746	0	0.0133664371597746
r_0124	0.0195540343048438	0	0.0195540343048438
r_0125	0.0133664371597746	0	0.0133664371597746
r_0126	0.104516220194385	0	0.104516220194385
r_0127	0.104516220194108	0	0.104516220194108
r_0128	0.104516220194515	0	0.104516220194515
r_0129	0.104516220194556	0	0.104516220194556
r_0130	0.104516220194511	0	0.104516220194511
r_0131	0.00365978496893296	0	0.00365978496893296
r_0132	0.00365978496887136	0	0.00365978496887136
r_0133	0.0036597849689291	0	0.0036597849689291
r_0134	0.0036597849688859	0	0.0036597849688859
r_0135	0.00365978496887087	0	0.00365978496887087
r_0137	0	0	0
r_0139	0	0	0
r_0142	0.0307072449674591	0.000765593411907645	0.0314728383793667
r_0143	0.276622407037139	0	0.276622407037139
r_0144	0.0307072449674591	0.000765593411907645	0.0314728383793667
r_0145	0	0	0
r_0146	0	0	0
r_0147	0.331946888421814	0	0.331946888421814
r_0148	3.26605651758574	0	3.26605651758574
r_0149	1.10648962809057	0	1.10648962809057
r_0150	0.829867221107165	0	0.829867221107165
r_0151	0.00984209067159734	0.000489881921449944	0.0103319725930473
r_0152	0.276622407040009	0.00558962234644994	0.282212029386459
r_0153	0.276622407040009	0.00558962234644994	0.282212029386459
r_0154	0.0988054793564635	0.00808453912481006	0.106890018481274
r_0156	2.60001973781683	0	2.60001973781683
r_0157	0.000236024371039967	0.007730775	0.00796679937103997
r_0163	1000	0	1000
r_0164	0	0	0
r_0165	999.710042457829	0	999.710042457829
r_0166	0.0245941237630678	0	0.0245941237630678
r_0167	0.0122970618807346	0	0.0122970618807346
r_0168	0.0120296763219771	0	0.0120296763219771
r_0169	0	0	0
r_0170	0	0	0
r_0171	0	0	0
r_0172	0	0	0
r_0173	2.51904061103233	0	2.51904061103233
r_0174	1.05010180471129	0	1.05010180471129
r_0175	0.100550790588716	0	0.100550790588716
