Rxns	ranges	minFlux	maxFlux
r_0001_EXP_1	0	0	0
r_0001_EXP_2	0	0	0
r_0001_EXP_3	0	0	0
r_0001_EXP_4	0	0	0
r_0002_EXP_1	0	0	0
r_0002_EXP_2	0	0	0
r_0004_EXP_1	0	0	0
r_0004_EXP_2	0	0	0
r_0004_EXP_3	0	0	0
r_0004_EXP_4	0	0	0
r_0004_EXP_5	0	0	0
r_0004_EXP_6	0	0	0
r_0004_EXP_7	0	0	0
r_0005	3.5226205053771e-05	0.00348444727389	0.00351967347894377
r_0006_EXP_1	0.00351967351118245	0	0.00351967351118245
r_0006_EXP_2	0.00351967351118245	0	0.00351967351118245
r_0006_EXP_3	0.00351967351118245	0	0.00351967351118245
r_0007	0.00489740879858441	0.0055859481612	0.0104833569597844
r_0013	0	0	0
r_0014	4.28808244169119e-07	4.24216683e-05	4.28504765441691e-05
r_0015	4.28843714729168e-07	4.24216683e-05	4.28505120147292e-05
r_0016	0.00422250613359132	0.0071705474478	0.0113930535813913
r_0017	0	0	0
r_0018	44.0141407895007	0.0070278563817	44.0211686458824
r_0018_REV	44.0141407895004	0	44.0141407895004
r_0019	0.00301753919436003	0	0.00301753919436003
r_0020_EXP_1	0	0	0
r_0020_EXP_2	0	0	0
r_0021_EXP_1	0	0	0
r_0021_EXP_2	0	0	0
r_0022_EXP_1	0	0	0
r_0022_EXP_2	0	0	0
r_0023	999.992056006984	0	999.992056006984
r_0023_REV	999.992056006984	0.0079439930163	1000
r_0024	0.0124979350765569	0	0.0124979350765569
r_0025	0.0126065956881633	0	0.0126065956881633
r_0026	0	0	0
r_0027	4.78728672150518	0.0070278563817	4.79431457788688
r_0027_REV	4.77596401304453	0	4.77596401304453
r_0028	0	0	0
r_0029	0.00466260267177844	0.0079439930163	0.0126065956880784
r_0030	0	0	0
r_0032	0.0352099375969284	0.00517126072470112	0.0403811983216295
r_0033	0.107400254984576	0	0.107400254984576
r_0034	0	0	0
r_0035	0	0	0
r_0036	0.107400255008311	0	0.107400255008311
r_0037	0	0	0
r_0038	8.57727879238459e-07	8.48433366e-05	8.57010644792385e-05
r_0039	0.00402232076839286	0.01622170315656	0.0202440239249529
r_0040	0.00402232076839286	0.01622170315656	0.0202440239249529
r_0041	0	0	0
r_0042_EXP_1	0.0202438986497948	0	0.0202438986497948
r_0042_EXP_2	0.0202438986495592	0	0.0202438986495592
r_0043	0	0	0
r_0045	0	0	0
r_0057_EXP_1	0.00443192991252121	0	0.00443192991252121
r_0057_EXP_2	0.00443192991252121	0	0.00443192991252121
r_0058	0	0	0
r_0060	999.992056006984	0	999.992056006984
r_0060_REV	999.992056006984	0.0079439930163	1000
r_0061_EXP_1	0.0126065956881644	0	0.0126065956881644
r_0061_EXP_2	0.0126065956881644	0	0.0126065956881644
r_0061_EXP_3	0.0126065956881644	0	0.0126065956881644
r_0062	0.00598124874772932	0	0.00598124874772932
r_0063	0.00301753919436003	0	0.00301753919436003
r_0064	0.00422263764775782	0	0.00422263764775782
r_0065	0.00402232076839286	0.01622170315656	0.0202440239249529
r_0066	0.00402232076828906	0	0.00402232076828906
r_0067	0.00402232076828906	0	0.00402232076828906
r_0068	0	0	0
r_0069	0	0	0
r_0072	0.00466245745554476	0	0.00466245745554476
r_0073	45.2019610534643	0	45.2019610534643
r_0073_REV	45.2019610534643	0	45.2019610534643
r_0075	0	0	0
r_0079	0.00324204347845036	0.000478439287839194	0.00372048276628955
r_0080_EXP_1	0.0161703799491321	0	0.0161703799491321
r_0080_EXP_2	0.0161703799497961	0	0.0161703799497961
r_0081	0	0	0
r_0085	0	0	0
r_0086	0	0	0
r_0088	45.2020809251309	0	45.2020809251309
