LogFC_Par_AC_wo,LogFC_ATS_AC_wo,Reaction
40.4711767243184,44.5517058741578,r_0023
1.7597620219683,2.21153247308445,r_0090
1.94644510297126,2.43727351487948,r_0105
1.75976202188456,2.21153247308756,r_0150
1.6027555957351,3.67958245049479,r_0207
2.2696873181783,4.20534829891498,r_0218
2.48427555733,4.14810973949837,r_0502
5.7961320360569,2.50493689491865,r_0503
1.49694159702145,2.94872525169792,r_1660
1.74583715668876,2.64391717987873,r_1978
1.35907667038355,4.3916636894389,r_3513
4.39602056986821,6.29623194441846,r_4039
1.51699632397019,2.93398386534751,t_0057
1.21224171835027,2.40939398266869,t_0070
1.21997361994797,2.47739094286803,t_0225
1.39617224439817,3.77331517120376,t_0231
