ReactionID,Subsystem,Subsystem,Subsystem,Subsystem,Subsystem,Subsystem,Subsystem,Subsystem,Subsystem,Subsystem,Subsystem,Subsystem
r_0023,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of secondary metabolites,"Valine, leucine and isoleucine biosynthesis",,,,,,,,
r_0090,Fructose and mannose metabolism,,,,,,,,,,,
r_0105,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Biosynthesis of unsaturated fatty acids,Fatty acid degradation,Fatty acid metabolism,Peroxisome,"Valine, leucine and isoleucine degradation",,,,,
r_0150,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Purine metabolism,Thiamine metabolism,,,,,,,,
r_0207,"Alanine, aspartate and glutamate metabolism",Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,
r_0218,2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tyrosine metabolism
r_0361,N-Glycan biosynthesis,,,,,,,,,,,
r_0502,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,"Glycine, serine and threonine metabolism",Glyoxylate and dicarboxylate metabolism,One carbon pool by folate,,,,,
r_0503,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,"Glycine, serine and threonine metabolism",Glyoxylate and dicarboxylate metabolism,One carbon pool by folate,,,,,
r_0722,Amino sugar and nucleotide sugar metabolism,Biosynthesis of secondary metabolites,Fructose and mannose metabolism,,,,,,,,,
r_0902,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fructose and mannose metabolism,,,,,,,,
r_1063,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Lysine biosynthesis,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,
r_1660,,,,,,,,,,,,
r_1718,,,,,,,,,,,,
r_1978,,,,,,,,,,,,
r_3513,,,,,,,,,,,,
r_3525,,,,,,,,,,,,
r_3533,,,,,,,,,,,,
r_3573,,,,,,,,,,,,
r_4039,Pyruvate metabolism,,,,,,,,,,,
t_0057,Fatty acid degradation (mitochondrial),,,,,,,,,,,
t_0064,Fatty acid degradation (mitochondrial),,,,,,,,,,,
t_0070,Fatty acid degradation (mitochondrial),,,,,,,,,,,
t_0225,,,,,,,,,,,,
t_0231,,,,,,,,,,,,
t_1083,,,,,,,,,,,,
