Reaction,Subsystem
r_0216,2-Oxocarboxylic acid metabolism
r_0216,"Alanine, aspartate and glutamate metabolism"
r_0216,Arginine and proline metabolism
r_0216,Arginine biosynthesis
r_0216,Biosynthesis of amino acids
r_0216,Biosynthesis of antibiotics
r_0216,Biosynthesis of secondary metabolites
r_0216,Carbon metabolism
r_0216,Cysteine and methionine metabolism
r_0216,Phenylalanine metabolism
r_0216,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0216,Tyrosine metabolism
r_0217,2-Oxocarboxylic acid metabolism
r_0217,"Alanine, aspartate and glutamate metabolism"
r_0217,Arginine and proline metabolism
r_0217,Arginine biosynthesis
r_0217,Biosynthesis of amino acids
r_0217,Biosynthesis of antibiotics
r_0217,Biosynthesis of secondary metabolites
r_0217,Carbon metabolism
r_0217,Cysteine and methionine metabolism
r_0217,Phenylalanine metabolism
r_0217,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0217,Tyrosine metabolism
r_0218,2-Oxocarboxylic acid metabolism
r_0218,"Alanine, aspartate and glutamate metabolism"
r_0218,Arginine and proline metabolism
r_0218,Arginine biosynthesis
r_0218,Biosynthesis of amino acids
r_0218,Biosynthesis of antibiotics
r_0218,Biosynthesis of secondary metabolites
r_0218,Carbon metabolism
r_0218,Cysteine and methionine metabolism
r_0218,Phenylalanine metabolism
r_0218,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0218,Tyrosine metabolism
r_0681,2-Oxocarboxylic acid metabolism
r_0681,"Alanine, aspartate and glutamate metabolism"
r_0681,Arginine and proline metabolism
r_0681,Arginine biosynthesis
r_0681,Biosynthesis of amino acids
r_0681,Biosynthesis of antibiotics
r_0681,Biosynthesis of secondary metabolites
r_0681,Carbon metabolism
r_0681,Cysteine and methionine metabolism
r_0681,Phenylalanine metabolism
r_0681,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0681,Tyrosine metabolism
r_0682,2-Oxocarboxylic acid metabolism
r_0682,"Alanine, aspartate and glutamate metabolism"
r_0682,Arginine and proline metabolism
r_0682,Arginine biosynthesis
r_0682,Biosynthesis of amino acids
r_0682,Biosynthesis of antibiotics
r_0682,Biosynthesis of secondary metabolites
r_0682,Carbon metabolism
r_0682,Cysteine and methionine metabolism
r_0682,Phenylalanine metabolism
r_0682,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0682,Tyrosine metabolism
r_0683,2-Oxocarboxylic acid metabolism
r_0683,"Alanine, aspartate and glutamate metabolism"
r_0683,Arginine and proline metabolism
r_0683,Arginine biosynthesis
r_0683,Biosynthesis of amino acids
r_0683,Biosynthesis of antibiotics
r_0683,Biosynthesis of secondary metabolites
r_0683,Carbon metabolism
r_0683,Cysteine and methionine metabolism
r_0683,Phenylalanine metabolism
r_0683,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0683,Tyrosine metabolism
r_1065,2-Oxocarboxylic acid metabolism
r_1065,"Alanine, aspartate and glutamate metabolism"
r_1065,Arginine and proline metabolism
r_1065,Arginine biosynthesis
r_1065,Biosynthesis of amino acids
r_1065,Biosynthesis of antibiotics
