ReactionID,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM
r_0216,2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tyrosine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0217,2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tyrosine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0218,2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tyrosine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0681,2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tyrosine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0682,2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tyrosine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0683,2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tyrosine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1065,2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tyrosine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0674,2-Oxocarboxylic acid metabolism,"Alanine, aspartate and glutamate metabolism",Arginine biosynthesis,Biosynthesis of amino acids,Carbon metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0115,2-Oxocarboxylic acid metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0118,2-Oxocarboxylic acid metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0759,2-Oxocarboxylic acid metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0761,2-Oxocarboxylic acid metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0818,2-Oxocarboxylic acid metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0016,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Butanoate metabolism,C5-Branched dibasic acid metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0097,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Butanoate metabolism,C5-Branched dibasic acid metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
