Gene,Par_wo_RNA,Par_Ac_RNA,ATS_wo_RNA,ATS_Ac_RNA,Parwo_PARROT,ParAc_PARROT,ATSwo_PARROT,ATSAc_PARROT
PAPLA_00018,63.2401593688659,83.4058765771111,204.768724311802,139.796100533016,0,0,0,0
PAPLA_00034,149.02288572968,80.8420702507677,89.6311944324024,72.8977892868568,0,0,0,0
PAPLA_00035,1215.45482164703,1407.80680035618,1261.42794321804,1317.92747792095,0,17949.257443548,0,23851.8014221094
PAPLA_00036,2149.0113174955,3648.88860781038,3580.44094066703,4664.00654140429,0,0,0,0
PAPLA_00042,89.9541497890886,37.4525444358322,87.4823097457713,68.9579582380537,0,0,0,0
PAPLA_00048,1898.45681721762,2446.91138174299,2678.08536198114,2542.7518799465,0,0,0,0
PAPLA_00061,50.3875430786322,35.9190180845989,47.1491357978019,38.161923642525,0,0,0,0
PAPLA_00064,1369.94497297317,1484.74271904027,1713.60513008171,1687.09865419316,0,0,0,0
PAPLA_00090,1781.95458790385,2360.61568716484,1868.46581117053,2722.06213817359,0,0,0,0
PAPLA_00094,9924.28144366528,9820.57488285201,10254.5824515497,9297.59862946829,2076.50255208886,17949.257443548,2124.61206208917,23851.8014221069
PAPLA_00102,15208.1300254411,3738.5458924579,2041.9956083738,1227.44810555383,0,17.635898439552,0,19.9414579018565
PAPLA_00107,294.462403275677,237.168854142981,670.144559110226,763.1242879227,0,0,0,0
PAPLA_00114,1394.79291375137,1616.7386900785,1075.59704848129,881.430050290894,374.425995056954,43.1983107292155,391.841157657547,46.4669190521301
PAPLA_00120,15969.5408258228,11942.474726278,3506.52445930034,4077.34995997824,5377.8115560999,620.404785680566,5627.53802642603,667.347830716817
PAPLA_00121,13232.9804223654,12457.210105875,3079.14983416803,3474.20160011593,9409.91515343811,1085.56358532606,9846.87819554047,1167.70295860599
PAPLA_00132,1819.25391123622,1871.30970068516,1408.7623013547,1627.28361269184,0,0,0,0
PAPLA_00147,3770.87517800945,3219.13280435837,2272.6131029137,2270.73382427607,0,0,0,0
PAPLA_00165,28.1694497961692,6.76432943907582,9.46088866679846,5.84891846653687,0,0,0,0
PAPLA_00179,3553.86323254601,3126.07630371658,2721.75111653431,2680.11966827511,0,17949.257443548,0,23851.8014221094
PAPLA_00193,2821.61809408941,2960.87068493907,2554.53831430097,3041.33907182011,0,0,0,0
PAPLA_00199,3970.06138771906,3500.23274254659,3687.54661743771,3072.05604844286,0,0,0,0
PAPLA_00204,1087.84350217052,779.353129207524,1678.17533946966,1799.24964711821,0,0,0,0
PAPLA_00211,14750.1807290013,16902.2689400642,11422.6227221647,11087.633787712,0,29.4026242199448,0,31.6273793230631
PAPLA_00212,3693.47598930281,5569.01033155439,3938.77215948694,3893.65543574444,52.1476845734889,6.01638751151007,54.573158271397,6.47161860673305
PAPLA_00225,448.984821822778,315.84380296998,942.715091697118,992.642773004447,0,0,0,0
PAPLA_00248,181633.293108851,4739.15945006684,29897.0118021507,8728.81543627939,0,0,0,0
PAPLA_00263,10300.4068332803,6049.94232734634,8301.46036003558,6321.47933037864,0,0,0,0
PAPLA_00279,4942.95817434195,5047.42879325634,5571.49746669848,4946.32840665345,3.75228844529003,0.432909371860739,4.00524984581802,0.46566554107304
PAPLA_00291,2207.63247918203,1441.09006247812,2765.06593842239,2608.67694648834,0,0,0,0
PAPLA_00301,17761.0084576126,5602.1706627573,7928.50489766702,6413.40890296138,0,0,0,0
