Gene_id,Protein_ID
gene_10,232
gene_16,264
gene_20,370
gene_54,1107
gene_59,1702
gene_66,1991
gene_75,2571
gene_76,2738
gene_80,2821
gene_78,2836
gene_84,3076
gene_86,3090
gene_90,3274
gene_101,3913
gene_113,4549
gene_121,5032
gene_122,5233
gene_128,5396
gene_127,5416
gene_142,5933
gene_146,5947
gene_145,5949
gene_157,6306
gene_168,6839
gene_167,6895
gene_170,7015
gene_172,7183
gene_179,7770
gene_180,7784
gene_188,8257
gene_212,9268
gene_214,9431
gene_213,9476
gene_215,9665
gene_221,9901
gene_225,10084
gene_232,10532
gene_243,11533
gene_244,11536
gene_246,11946
gene_258,12239
gene_263,13184
gene_280,13709
gene_282,13894
gene_286,14014
gene_299,14321
gene_303,14430
gene_307,14588
gene_308,14612
gene_313,14665
gene_315,14698
gene_314,14805
gene_322,15055
gene_330,15397
gene_329,15526
gene_346,16672
gene_350,16851
gene_354,17018
gene_355,17043
gene_359,17395
gene_362,17569
gene_368,17595
gene_367,18009
gene_371,18176
gene_380,18376
gene_378,18430
gene_379,18512
gene_407,20528
gene_413,21089
gene_411,21136
gene_415,21271
gene_433,22001
gene_448,22973
gene_452,23129
gene_462,23683
gene_463,23686
gene_474,24006
gene_471,24159
gene_493,24816
gene_506,25258
gene_507,25434
gene_511,25526
gene_517,25640
gene_528,26637
gene_534,27589
gene_559,29014
gene_561,29085
gene_563,29107
gene_566,29183
gene_571,29411
gene_576,29575
gene_578,29660
gene_586,29936
gene_585,29946
gene_589,30207
gene_604,31175
gene_603,31194
gene_609,31545
gene_620,32031
gene_622,32157
gene_632,32495
gene_625,32603
gene_637,32834
gene_638,33070
gene_665,33911
gene_673,34016
gene_672,34133
gene_682,34637
gene_684,34674
gene_683,34820
gene_692,35516
gene_714,36090
gene_715,36157
gene_712,36331
gene_718,36494
gene_723,36642
gene_722,36704
gene_724,36733
gene_728,37241
gene_730,37248
gene_761,38468
gene_782,39328
gene_787,39399
gene_811,41101
gene_814,41145
gene_813,41150
gene_824,41864
gene_830,41951
gene_835,42033
gene_844,42191
gene_843,42209
gene_845,42290
gene_846,42316
gene_851,42406
gene_855,42467
gene_854,42475
gene_869,43252
gene_870,43527
gene_875,43731
gene_873,43768
gene_880,43874
gene_882,43934
gene_895,44320
gene_910,45030
gene_909,45043
gene_915,45337
gene_931,45866
gene_930,46022
gene_934,46160
gene_947,46545
gene_952,46827
gene_955,46893
gene_961,47072
gene_968,47280
gene_971,47301
gene_970,47358
gene_972,47441
gene_978,47686
gene_989,48398
gene_991,48632
gene_992,48633
gene_1000,48939
gene_1005,49104
gene_1007,49129
gene_1010,49206
gene_1011,49226
gene_1021,49528
gene_1022,49556
gene_1024,49678
gene_1023,49699
gene_1033,50114
gene_1051,51924
gene_1054,51991
gene_1056,52129
gene_1059,52148
gene_1063,52336
gene_1064,52383
gene_1069,52695
gene_1072,52722
gene_1070,52801
gene_1074,52962
gene_1077,53088
gene_1085,53482
gene_1091,54296
gene_1096,54394
gene_1108,55234
gene_1102,55392
gene_1112,55409
gene_1113,55863
gene_1127,56404
gene_1126,56444
gene_1129,56723
gene_1133,56975
gene_1136,57183
gene_1141,57732
gene_1151,58332
gene_1152,58337
gene_1153,58418
gene_1160,58773
gene_1169,59001
gene_1177,59445
gene_1197,60013
gene_1198,60102
gene_1202,60343
gene_1206,60503
gene_1224,61042
gene_1223,61045
gene_1229,61192
gene_1241,61421
gene_1242,61508
gene_1248,61680
gene_1250,62017
gene_1260,62254
gene_1268,62383
gene_1269,62474
gene_1272,62505
gene_1273,62584
gene_1274,62614
gene_1279,62653
gene_1282,62801
gene_1283,63389
gene_1281,63402
gene_1280,63491
gene_1293,63929
gene_235,433551
gene_203,433704
gene_130,433778
gene_1,433782
gene_1263,433793
gene_1147,433850
gene_11,433868
gene_1053,433947
gene_40,433958
gene_224,433965
gene_375,434012
gene_877,434077
gene_32,434085
gene_358,434198
gene_1179,434244
gene_85,434260
gene_8,434334
gene_3,434355
gene_988,434449
gene_174,434494
gene_540,434519
gene_564,434533
gene_247,434549
gene_619,434569
gene_518,434635
gene_143,434646
gene_874,434668
gene_1032,434715
gene_112,434729
gene_705,434828
gene_230,434849
gene_795,434870
gene_28,434922
gene_115,434930
gene_999,434941
gene_788,434973
gene_35,434980
gene_34,448110
gene_166,448313
gene_237,448422
gene_266,448467
gene_557,448844
gene_669,448998
gene_713,449058
gene_746,449100
gene_832,449198
gene_884,449240
gene_928,449276
gene_1014,449372
gene_1067,449418
gene_1094,449456
gene_1205,449568
gene_1227,449598
gene_1236,449605
gene_6,458898
gene_27,458921
gene_144,459091
gene_153,459113
gene_325,459361
gene_400,459472
gene_408,459486
gene_419,459503
gene_470,459575
gene_521,459624
gene_538,459638
gene_601,459707
gene_611,459718
gene_649,459786
gene_654,459794
gene_656,459798
gene_657,459801
gene_739,459901
gene_784,459963
gene_791,459973
gene_927,460085
gene_1001,460167
gene_1092,460260
gene_1210,460381
gene_1219,460388
gene_12,469620
gene_18,469625
gene_41,469647
gene_48,469652
gene_62,469664
gene_95,469693
gene_120,469712
