id	rule
r_0001	PAPLA_00446 or PAPLA_01906 or PAPLA_02186 or PAPLA_03705
r_0002	( PAPLA_03705 and PAPLA_05450 ) or ( PAPLA_02186 and PAPLA_05450 )
r_0004	( PAPLA_05450 and PAPLA_01825 ) or ( PAPLA_05450 and PAPLA_03690 ) or ( PAPLA_05450 and PAPLA_04162 ) or ( PAPLA_05450 and PAPLA_04267 ) or ( PAPLA_05450 and PAPLA_04342 ) or ( PAPLA_05450 and PAPLA_04700 ) or ( PAPLA_05450 and PAPLA_04894 )
r_0005	PAPLA_05671
r_0006	PAPLA_02531 or PAPLA_02872 or PAPLA_02895
r_0007	PAPLA_03678
r_0013	PAPLA_01699
r_0014	PAPLA_02908
r_0015	PAPLA_05408
r_0016	PAPLA_03446
r_0017	PAPLA_05610
r_0018	PAPLA_04670
r_0019	PAPLA_05842
r_0020	PAPLA_02669 or PAPLA_06302
r_0021	( PAPLA_02366 and PAPLA_05126 and PAPLA_06261 and PAPLA_02748 and PAPLA_04581 and PAPLA_04074 ) or ( PAPLA_02366 and PAPLA_05126 and PAPLA_06261 and PAPLA_04409 and PAPLA_04581 and PAPLA_04074 )
r_0022	( PAPLA_02366 and PAPLA_05126 and PAPLA_06261 and PAPLA_02748 and PAPLA_04581 and PAPLA_04074 ) or ( PAPLA_02366 and PAPLA_05126 and PAPLA_06261 and PAPLA_04409 and PAPLA_04581 and PAPLA_04074 )
r_0023	PAPLA_04400
r_0024	PAPLA_01848
r_0025	PAPLA_01848
r_0026	PAPLA_03250
r_0027	PAPLA_02182
r_0028	PAPLA_04605
r_0029	PAPLA_03250
r_0030	PAPLA_03250
r_0032	PAPLA_04381
r_0033	PAPLA_03615
r_0034	PAPLA_03615
r_0035	PAPLA_03615
r_0036	PAPLA_03615
r_0037	PAPLA_03615
r_0038	PAPLA_05155
r_0039	PAPLA_03734
r_0040	PAPLA_03734
r_0041	PAPLA_02031
r_0042	PAPLA_02669 or PAPLA_06302
r_0043	PAPLA_04807
r_0045	PAPLA_02789
r_0057	PAPLA_04129 or PAPLA_04130
r_0058	PAPLA_04090
r_0060	PAPLA_04400
r_0061	PAPLA_02049 or PAPLA_03179 or PAPLA_03462
r_0062	PAPLA_01152
r_0063	PAPLA_01102
r_0064	PAPLA_01152
r_0065	PAPLA_03734
r_0066	PAPLA_01449
r_0067	PAPLA_03832
r_0068	PAPLA_02875
r_0069	PAPLA_03659
r_0072	PAPLA_01152
r_0073	PAPLA_00179
r_0075	PAPLA_04418
r_0079	PAPLA_06146
r_0080	PAPLA_04325 or PAPLA_05344
r_0081	PAPLA_03969
r_0085	PAPLA_02319
r_0086	PAPLA_00502
r_0088	PAPLA_00179
r_0089	PAPLA_00179
r_0090	PAPLA_05436 or PAPLA_06276
r_0091	PAPLA_00199 or PAPLA_03078
r_0092	PAPLA_00179
r_0095	PAPLA_01152
r_0096	PAPLA_05800
r_0097	PAPLA_03446
r_0099	PAPLA_03341
r_0100	PAPLA_00899 or PAPLA_01492 or PAPLA_01644
r_0101	PAPLA_00899 or PAPLA_01492 or PAPLA_01644
r_0102	PAPLA_00899 or PAPLA_01492 or PAPLA_01644
r_0103	PAPLA_00899 or PAPLA_01492 or PAPLA_01644
r_0104	PAPLA_00899 or PAPLA_01492 or PAPLA_01644
r_0105	PAPLA_00899 or PAPLA_01492 or PAPLA_01644
r_0106	PAPLA_00899 or PAPLA_01492 or PAPLA_01644
r_0107	PAPLA_00899 or PAPLA_01492 or PAPLA_01644
r_0108	PAPLA_05972
r_0109	PAPLA_00589 and PAPLA_05972
r_0111	
r_0112	PAPLA_05332
r_0113	PAPLA_05332
r_0114	PAPLA_05332
r_0115	PAPLA_05810
r_0118	PAPLA_05430
r_0120	PAPLA_02012 or PAPLA_02013
r_0121	PAPLA_02012 or PAPLA_02013
r_0122	PAPLA_02012 or PAPLA_02013
r_0123	PAPLA_02012 or PAPLA_02013
r_0124	PAPLA_02012 or PAPLA_02013
r_0125	PAPLA_02012 or PAPLA_02013
r_0126	PAPLA_05949
r_0127	PAPLA_05949
r_0128	PAPLA_05949
r_0129	PAPLA_05949
r_0130	PAPLA_05949
r_0131	PAPLA_05949
r_0132	PAPLA_05949
r_0133	PAPLA_05949
r_0134	PAPLA_05949
r_0135	PAPLA_05949
r_0137	PAPLA_06142
r_0139	PAPLA_02691
r_0142	PAPLA_02624
r_0143	PAPLA_02769
r_0144	PAPLA_02492
r_0145	PAPLA_04615
r_0146	PAPLA_04295
r_0147	PAPLA_06334
r_0148	PAPLA_01917 or PAPLA_02396 or PAPLA_02489
r_0149	PAPLA_02396 or PAPLA_02489
r_0150	PAPLA_02396 or PAPLA_02489
r_0151	PAPLA_04947
r_0152	PAPLA_04947
r_0153	PAPLA_00362
r_0154	PAPLA_06271
r_0156	PAPLA_04226
r_0157	PAPLA_05796
r_0163	PAPLA_02635
r_0164	PAPLA_01202 or PAPLA_02343 or PAPLA_03365 or PAPLA_03526 or PAPLA_03552 or PAPLA_04010 or PAPLA_04694 or PAPLA_04731 or PAPLA_06040
r_0165	PAPLA_02635
r_0166	PAPLA_02635 or PAPLA_04110
r_0167	PAPLA_02635
r_0168	PAPLA_00744 or PAPLA_01202 or PAPLA_01225 or PAPLA_02343 or PAPLA_02850 or PAPLA_03365 or PAPLA_03428 or PAPLA_03526 or PAPLA_03552 or PAPLA_04010 or PAPLA_04694 or PAPLA_04731 or PAPLA_06040
r_0169	PAPLA_02635 or PAPLA_04110
r_0170	PAPLA_02635
r_0171	PAPLA_00744 or PAPLA_01225 or PAPLA_02850 or PAPLA_03428
r_0172	PAPLA_01760 or PAPLA_02435 or PAPLA_03515 or PAPLA_04152 or PAPLA_04722 or PAPLA_05667
