Rxn	Par_wo_1	Par_wo_2	Par_wo_3	Par_Ac_1	Par_Ac_2	Par_Ac_3	ATS_wo_1	ATS_wo_2	ATS_wo_3	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
r_0001	5893.016511036175	6446.14067857145	6130.788234033352	7233.4887739079295	6921.8239876356	6907.28875838692	5236.67932697907	5535.6887890585895	5061.964313456112	6220.5360554543195	6673.80353665783	6405.755140420731
r_0002	3069.35941405435	3470.41595558356	3346.44098177708	2575.63795006402	2717.22020397232	2481.75867681968	2824.83635058267	3027.81229107561	2838.42661502999	3024.90075405055	3180.6555477420798	3088.02907824907
r_0004	8377.873147367229	8348.04985946986	8737.12301428992	4310.815344880597	4423.219222557439	4168.231821011002	7515.329544647169	7405.120854110788	7220.730163524241	5221.900023765644	5255.645165089466	5391.4390198279725
r_0005	19316.4251304746	19573.3191855464	17424.9056151452	21161.9982924179	18932.6959546433	23991.8932593209	12513.4117714583	10237.6442598193	10596.8518484849	14550.0196014856	12728.5933841118	13761.4253779045
r_0006	16328.646563885706	17105.275399292346	15791.834676365204	13874.253234188202	14136.133471143252	13841.476880377437	12223.070721856322	11824.992379341353	12751.181270583309	11322.170234543517	12080.718928047934	12256.58812809385
r_0007	300.409473608196	345.309635006598	374.406666651556	256.949572919741	340.401208506452	274.841323775978	217.516231880008	143.545676423651	150.838550970646	172.882151722449	148.284629728902	147.049003726146
r_0013	1420.46652057549	1497.06340192516	1499.56158478013	870.147956102709	891.431903801353	1035.04072996485	650.632253068395	694.360481305103	839.37217187195	565.893751290251	582.191331485957	569.949058237837
r_0014	494.283958173229	480.619053112632	514.68823426002	226.238468586704	214.622462841311	195.312770513142	303.75614760336	217.822218294029	204.075686607345	146.037097107162	118.428664011673	170.662712353702
r_0015	211.150428734195	192.680611382992	215.743376390948	360.343624174298	349.38540462539	362.556639874695	361.249424752261	317.135796749927	332.732097729367	410.192434521586	373.199571465357	447.587113531408
r_0016	4283.47437927597	4441.39633991245	4487.07524529694	1448.54042104157	1360.60659001259	1482.9736108423	1867.57328605346	1842.72589269431	1715.12305309564	956.757746488831	963.352493809242	845.800109023381
r_0017	1264.02324837698	1160.41356967735	1077.74942286779	1676.82629658381	1671.06047812258	1646.7088675599	2029.5126833562	1921.17527399561	1926.29702445455	2019.8219092542	2178.49029850044	2098.40001667603
r_0018	3150.94026151983	3415.20971299629	3376.43221347269	1825.26330086015	1805.82341990666	1922.71972888386	5283.63216998399	5226.06410328432	5073.49902617739	3494.15230872576	3391.63770547717	3487.3154241332
r_0019	3597.23548588983	3577.58101472353	3435.44721777694	2484.52834054268	2261.02268993288	2222.12134116748	2367.7647972489	2233.30366342843	2368.16525023915	2434.30955251423	2680.07052254988	2490.17290981503
r_0020	5357.46224179217	5547.68614234739	5682.85467677323	3957.63764505068	3902.135847659	3569.42859644377	2676.3120512813402	2960.21229229471	2635.23821401658	1967.2056022082331	2459.136376242394	2175.6812449116687
r_0021	348.398207411422	355.051913110233	367.6344530428719	298.92141550822447	355.3748687046828	306.4188375715163	290.34104960195	287.09135284730206	221.821398486245	257.7125243067559	259.746901739889	276.924401177706
r_0022	348.398207411422	355.051913110233	367.6344530428719	298.92141550822447	355.3748687046828	306.4188375715163	290.34104960195	287.09135284730206	221.821398486245	257.7125243067559	259.746901739889	276.924401177706
r_0023	7152.24088603283	7459.33760134943	6985.05460781456	2601.23053700821	2436.71363625879	2941.38693317696	5050.78439753094	4787.08139515153	5424.8641213796	3030.2697649736	3258.28105860688	2973.18058628777
r_0024	5327.70922683417	5787.9956689037	5509.6795002083	3253.32965234636	3010.70394385765	3218.5673320489	3048.10191017756	3037.82710570983	3129.45628984394	2700.61249429788	2934.84143000357	3038.65496020963
r_0025	5327.70922683417	5787.9956689037	5509.6795002083	3253.32965234636	3010.70394385765	3218.5673320489	3048.10191017756	3037.82710570983	3129.45628984394	2700.61249429788	2934.84143000357	3038.65496020963
r_0026	5241.32950598836	5380.98493924075	5372.3003098607	5196.31885314982	5917.59051034089	5107.37047204126	4747.02824992758	5125.08138905605	4737.21778607224	4911.57119241292	5022.76863249509	4740.98868217801
r_0027	3974.42693358319	4337.47870680702	4168.78120568877	2827.46900559492	2750.16225640843	3057.17115042726	3535.83654465741	3581.13079961562	3555.35337493753	3013.08893001982	3114.97242316418	3134.18314511202
r_0028	61272.9750946352	61412.0737392769	59568.3909019887	28791.660312222	28329.1668510398	31391.5573254086	22182.8227666176	19808.4687785777	22905.2776076896	18736.7743192858	19695.9805836557	19171.1113543992
r_0029	5241.32950598836	5380.98493924075	5372.3003098607	5196.31885314982	5917.59051034089	5107.37047204126	4747.02824992758	5125.08138905605	4737.21778607224	4911.57119241292	5022.76863249509	4740.98868217801
r_0030	5241.32950598836	5380.98493924075	5372.3003098607	5196.31885314982	5917.59051034089	5107.37047204126	4747.02824992758	5125.08138905605	4737.21778607224	4911.57119241292	5022.76863249509	4740.98868217801
r_0032	263.938035917744	237.062100521771	310.554366912531	312.229560719207	284.499543766389	251.450572816321	271.176623885649	323.812339839399	303.451673129183	284.557578922043	261.73729945437	260.824145295281
r_0033	7484.32292395115	7330.52303531248	6629.9971229021	2599.18313005268	2865.95856194141	3029.10224927568	3543.50231494393	2893.44686139999	3351.27768833019	3135.50237906553	3283.1610300379	3387.49383766217
r_0034	7484.32292395115	7330.52303531248	6629.9971229021	2599.18313005268	2865.95856194141	3029.10224927568	3543.50231494393	2893.44686139999	3351.27768833019	3135.50237906553	3283.1610300379	3387.49383766217
r_0035	7484.32292395115	7330.52303531248	6629.9971229021	2599.18313005268	2865.95856194141	3029.10224927568	3543.50231494393	2893.44686139999	3351.27768833019	3135.50237906553	3283.1610300379	3387.49383766217
r_0036	7484.32292395115	7330.52303531248	6629.9971229021	2599.18313005268	2865.95856194141	3029.10224927568	3543.50231494393	2893.44686139999	3351.27768833019	3135.50237906553	3283.1610300379	3387.49383766217
r_0037	7484.32292395115	7330.52303531248	6629.9971229021	2599.18313005268	2865.95856194141	3029.10224927568	3543.50231494393	2893.44686139999	3351.27768833019	3135.50237906553	3283.1610300379	3387.49383766217
r_0038	2464.7013681337	2603.35320436009	2932.36849256038	1136.31086032236	1215.86120809636	1243.21841350581	2568.99126727006	2639.73822400005	2519.89108680374	1569.89879390199	1627.15013158896	1423.26262000635
r_0039	3933.15662251242	4132.89086663069	3755.67617555902	4296.48349619185	3558.7399071129	4861.76758696486	3107.51162989809	2546.26662074744	3247.46527383862	2628.66774792891	2184.46149164389	2290.52973687296
r_0040	3933.15662251242	4132.89086663069	3755.67617555902	4296.48349619185	3558.7399071129	4861.76758696486	3107.51162989809	2546.26662074744	3247.46527383862	2628.66774792891	2184.46149164389	2290.52973687296
r_0041	866.676532486264	745.825512600458	889.094900911576	891.645729135834	1054.14567795546	891.187611562959	1272.51786756234	1294.41479147141	1040.78600169746	1414.19747713332	1232.0561852643	1259.04001000562
r_0042	5357.46224179217	5547.68614234739	5682.85467677323	3957.63764505068	3902.135847659	3569.42859644377	2676.3120512813402	2960.21229229471	2635.23821401658	1967.2056022082331	2459.136376242394	2175.6812449116687
r_0043	1444.46088747711	1333.60962485307	1236.41271312839	1619.49890182881	1611.16583732966	1499.34713651406	1836.91020490738	1826.86910285682	1686.72991408941	1595.67004633266	1811.26192017853	1763.51469432159
r_0045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r_0057	21156.3131844903	20112.3919072809	19435.2855978375	15954.4187010126	15982.8848955918	15530.2890996647	20763.6970423256	19248.4737269482	20907.1104501255	14771.2228515156	15565.9053261057	15675.2091271287
r_0058	1063.43034107949	1103.04237640039	1105.80573638948	865.029438713869	1017.21064946649	853.762410027507	1466.07856729697	1476.35059065953	1595.33949791307	1450.70675141011	1437.06714985593	1339.54128941774
r_0060	7152.24088603283	7459.33760134943	6985.05460781456	2601.23053700821	2436.71363625879	2941.38693317696	5050.78439753094	4787.08139515153	5424.8641213796	3030.2697649736	3258.28105860688	2973.18058628777
r_0061	4306.508971501518	4486.860304396079	4607.04017207935	4369.1664431133595	4413.236782425287	4295.711413741139	3914.3339525543306	4018.444371976051	3983.912316812959	4844.995456967008	4696.3434073200515	4704.494768844516
r_0062	16516.7624003944	16933.1618194615	16530.9734187988	15390.3580847625	14855.8674046716	15006.3362781684	21600.2242248421	22418.9971265613	21139.5792757391	21778.8559082901	22897.5353073998	22928.9110773572
r_0063	2861.08830934834	3112.11661643878	2991.38349686463	695.094661404399	704.760273330073	722.774204653424	1090.45582325749	1089.11109147014	1084.26299580076	645.355112951501	874.779795514797	698.751105297235
r_0064	16516.7624003944	16933.1618194615	16530.9734187988	15390.3580847625	14855.8674046716	15006.3362781684	21600.2242248421	22418.9971265613	21139.5792757391	21778.8559082901	22897.5353073998	22928.9110773572
r_0065	3933.15662251242	4132.89086663069	3755.67617555902	4296.48349619185	3558.7399071129	4861.76758696486	3107.51162989809	2546.26662074744	3247.46527383862	2628.66774792891	2184.46149164389	2290.52973687296
r_0066	788.934783725038	762.062642773182	750.748251477022	750.374649203865	723.726909581165	813.998133396089	734.955726220117	678.503691467607	637.071056452495	500.391818028951	532.431388623909	536.675196080825
r_0067	2092.30879382066	2192.01257331775	2200.96942282245	1625.64112269541	1642.11140173933	1597.58829054462	2209.65828508942	2386.86415448629	2214.66484248667	2405.31689352972	2213.32225850388	2204.66170550003
r_0068	234.185020959744	206.75279086602	227.352885434407	381.841397207424	428.246681669407	341.504964011003	455.155110762132	559.160483743292	486.232505481849	631.395684551552	652.850450350065	601.076219610525
r_0069	4743.20644911087	5427.53137906923	5011.43807042651	3643.36067737593	3761.38344179563	3681.70420105013	2669.60450228063	2601.34810123558	2544.7350834342	1895.26085583927	1913.76740247435	2093.03326471522
r_0072	16516.7624003944	16933.1618194615	16530.9734187988	15390.3580847625	14855.8674046716	15006.3362781684	21600.2242248421	22418.9971265613	21139.5792757391	21778.8559082901	22897.5353073998	22928.9110773572
r_0073	3650.02309307338	3490.98298713567	3520.58361742897	3118.200793281	3165.43176590603	3094.59635196272	2749.13686900328	2624.71600204874	2791.4004785509	2681.28405497487	2681.06572140713	2678.00922844332
r_0075	2616.34576695189	2540.56963435889	2586.98559851747	1947.08401471453	1944.5793377436	1933.24556681571	1455.53813315301	1476.35059065953	1663.66048864684	684.011991597514	680.716018352811	740.611770591539
r_0079	4114.55403628861	4397.01485077367	4161.04153299313	2934.95787076055	2428.72768415307	3157.75137955379	2437.7149511134	2285.88144025803	2526.9893715553	1934.99153666989	1717.71322759788	1894.46344216531
r_0080	10797.46510572589	11298.87764952624	10287.95993067867	10170.49405162401	9862.65085056816	10407.7146394997	7111.91838331904	7147.2393772799305	6958.093627716531	6507.24123874559	6730.529871520561	6976.77754905073
r_0081	10005.6509979727	10252.123991058	10103.1752450703	4000.63319111692	3837.2499868	3867.6606711794	7004.59759930776	6767.5109890662	7248.23601693654	4497.08354915289	4593.83792502424	4577.83942256944
r_0085	36795.8415309617	37561.894466235	36355.1775695922	19948.9096712629	17296.5740169832	22986.0909680556	19528.54980491	16270.7355090436	18561.127339735	14635.9237762545	14238.3100505463	14511.6973020255
r_0086	421.341082792326	479.536577767784	495.339052520922	714.545027481989	681.800661026119	660.788714610331	369.873416324596	498.237028051859	391.292946929736	477.84197215211	457.791474330838	601.076219610525
r_0088	3650.02309307338	3490.98298713567	3520.58361742897	3118.200793281	3165.43176590603	3094.59635196272	2749.13686900328	2624.71600204874	2791.4004785509	2681.28405497487	2681.06572140713	2678.00922844332
r_0089	3650.02309307338	3490.98298713567	3520.58361742897	3118.200793281	3165.43176590603	3094.59635196272	2749.13686900328	2624.71600204874	2791.4004785509	2681.28405497487	2681.06572140713	2678.00922844332
r_0090	5502.3882178779095	5769.59358804128	5489.3628593822405	6491.303752526201	6272.96537904557	6378.657786698661	6914.524798441151	6912.725801262221	6563.25153841101	7686.27603744899	7398.30830472924	7575.7070678769305
r_0091	10318.53754236969	10500.01084502821	10218.30287641792	8261.28706558689	8235.51310902706	8631.1871041137	8658.487538624471	8496.73564923949	8961.58449884429	7329.773712157979	7538.63134360022	7801.11065023088
r_0092	3650.02309307338	3490.98298713567	3520.58361742897	3118.200793281	3165.43176590603	3094.59635196272	2749.13686900328	2624.71600204874	2791.4004785509	2681.28405497487	2681.06572140713	2678.00922844332
r_0095	16516.7624003944	16933.1618194615	16530.9734187988	15390.3580847625	14855.8674046716	15006.3362781684	21600.2242248421	22418.9971265613	21139.5792757391	21778.8559082901	22897.5353073998	22928.9110773572
r_0096	20610.2013938096	22251.363188701	21403.0973807038	7866.13752316849	7257.23397607596	8014.84081632672	7199.11652032821	6903.5455545142	7072.55346933543	4052.52944472373	4371.9085798595	4276.22796237202
r_0097	4283.47437927597	4441.39633991245	4487.07524529694	1448.54042104157	1360.60659001259	1482.9736108423	1867.57328605346	1842.72589269431	1715.12305309564	956.757746488831	963.352493809242	845.800109023381
r_0099	3705.69002428512	3571.08616265444	3803.08167081981	3204.1918854135	3054.62668043913	3401.01518953423	3426.59931807449	3466.79499920841	3646.74379111386	3282.6132783573	3295.10341632479	3366.02682981894
r_0100	35823.589784108306	33852.25145944001	34538.289404290816	35053.654485728184	36875.13384817689	34079.1546106733	38371.013169176455	39723.76224658688	39174.54625826483	35255.07332516415	36509.86527674158	35823.0693383951
r_0101	35823.589784108306	33852.25145944001	34538.289404290816	35053.654485728184	36875.13384817689	34079.1546106733	38371.013169176455	39723.76224658688	39174.54625826483	35255.07332516415	36509.86527674158	35823.0693383951
r_0102	35823.589784108306	33852.25145944001	34538.289404290816	35053.654485728184	36875.13384817689	34079.1546106733	38371.013169176455	39723.76224658688	39174.54625826483	35255.07332516415	36509.86527674158	35823.0693383951
r_0103	35823.589784108306	33852.25145944001	34538.289404290816	35053.654485728184	36875.13384817689	34079.1546106733	38371.013169176455	39723.76224658688	39174.54625826483	35255.07332516415	36509.86527674158	35823.0693383951
r_0104	35823.589784108306	33852.25145944001	34538.289404290816	35053.654485728184	36875.13384817689	34079.1546106733	38371.013169176455	39723.76224658688	39174.54625826483	35255.07332516415	36509.86527674158	35823.0693383951
r_0105	35823.589784108306	33852.25145944001	34538.289404290816	35053.654485728184	36875.13384817689	34079.1546106733	38371.013169176455	39723.76224658688	39174.54625826483	35255.07332516415	36509.86527674158	35823.0693383951
r_0106	35823.589784108306	33852.25145944001	34538.289404290816	35053.654485728184	36875.13384817689	34079.1546106733	38371.013169176455	39723.76224658688	39174.54625826483	35255.07332516415	36509.86527674158	35823.0693383951
r_0107	35823.589784108306	33852.25145944001	34538.289404290816	35053.654485728184	36875.13384817689	34079.1546106733	38371.013169176455	39723.76224658688	39174.54625826483	35255.07332516415	36509.86527674158	35823.0693383951
r_0108	11828.2631078192	10710.0110619288	9466.58716585394	8058.59377698885	6881.89422710697	9102.5107359508	2734.76354971605	2211.60489838765	2645.88564114393	2394.57887168361	1947.60416362054	2279.79623295135
r_0109	3862.13329648364	3416.29218834114	3515.7463219942	3405.86147053378	3312.1736358487	3291.07866002384	2734.76354971605	2211.60489838765	2645.88564114393	2394.57887168361	1947.60416362054	2279.79623295135
r_0111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
r_0112	98900.9412697449	90760.1452888032	88018.4602720721	23423.3592748071	21363.4201268228	25363.7608031049	53034.6735060036	50239.3176125055	53348.0463359419	21781.0035126593	23761.367915485	22906.3707191218
r_0113	98900.9412697449	90760.1452888032	88018.4602720721	23423.3592748071	21363.4201268228	25363.7608031049	53034.6735060036	50239.3176125055	53348.0463359419	21781.0035126593	23761.367915485	22906.3707191218
r_0114	98900.9412697449	90760.1452888032	88018.4602720721	23423.3592748071	21363.4201268228	25363.7608031049	53034.6735060036	50239.3176125055	53348.0463359419	21781.0035126593	23761.367915485	22906.3707191218
r_0115	8055.38885620954	8017.89487929114	7441.69529685728	7872.27974403509	7576.67206030489	7978.58515233925	7688.76759737968	6938.59740573393	7606.69939689031	6715.55886256021	6895.73288182256	7677.67535513229
r_0118	2569.31680782473	2631.49756332614	2705.98306621293	3291.20668102377	3180.40542610427	3196.34611863723	1682.63657789117	1846.89873212523	1861.52517609657	1917.81070171611	2072.00402077566	1836.50252098858
r_0120	4527.25714699636	4329.90137939308	4124.27808768885	4328.21830400265	4561.97514039438	4231.38684860208	3604.82847723609	3616.18265083535	3456.86467400964	3239.66119097284	3127.91000830831	3314.50601099518
r_0121	4527.25714699636	4329.90137939308	4124.27808768885	4328.21830400265	4561.97514039438	4231.38684860208	3604.82847723609	3616.18265083535	3456.86467400964	3239.66119097284	3127.91000830831	3314.50601099518
r_0122	4527.25714699636	4329.90137939308	4124.27808768885	4328.21830400265	4561.97514039438	4231.38684860208	3604.82847723609	3616.18265083535	3456.86467400964	3239.66119097284	3127.91000830831	3314.50601099518
r_0123	4527.25714699636	4329.90137939308	4124.27808768885	4328.21830400265	4561.97514039438	4231.38684860208	3604.82847723609	3616.18265083535	3456.86467400964	3239.66119097284	3127.91000830831	3314.50601099518
r_0124	4527.25714699636	4329.90137939308	4124.27808768885	4328.21830400265	4561.97514039438	4231.38684860208	3604.82847723609	3616.18265083535	3456.86467400964	3239.66119097284	3127.91000830831	3314.50601099518
r_0125	4527.25714699636	4329.90137939308	4124.27808768885	4328.21830400265	4561.97514039438	4231.38684860208	3604.82847723609	3616.18265083535	3456.86467400964	3239.66119097284	3127.91000830831	3314.50601099518
r_0126	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
r_0127	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
r_0128	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
r_0129	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
r_0130	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
r_0131	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
