Rxn	Par_wo_1	Par_wo_2	Par_wo_3	Par_Ac_1	Par_Ac_2	Par_Ac_3	ATS_wo_1	ATS_wo_2	ATS_wo_3	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
r_0001	5893.01651103618	6446.14067857145	6130.78823403335	7233.48877390793	6921.8239876356	6907.28875838692	5236.67932697907	5535.68878905859	5061.96431345611	6220.53605545432	6673.80353665783	6405.75514042073	0.814685236298838	0.891152371981755	0.847556196692784	1	0.956913628262403	0.954904192746154	0.723949326619322	0.765286151963972	0.699795696333314	0.85996346298242	0.922625823479681	0.885569237838188
r_0002	3069.35941405435	3470.41595558356	3346.44098177708	2575.63795006402	2717.22020397232	2481.75867681968	2824.83635058267	3027.81229107561	2838.42661502999	3024.90075405055	3180.65554774208	3088.02907824907	0.88443559888435	1	0.964276624072392	0.742169809909982	0.782966721784626	0.71511850699821	0.813976303341328	0.872463799679158	0.817892336641445	0.8716248405854	0.916505568338203	0.889815260698284
r_0004	8377.87314736723	8348.04985946986	8737.12301428992	4310.8153448806	4423.21922255744	4168.231821011	7515.32954464717	7405.12085411079	7220.73016352424	5221.90002376564	5255.64516508947	5391.43901982797	0.95888236135223	0.955468962244927	1	0.493390712003263	0.506255802433259	0.477071435779683	0.860160665284848	0.847546823136107	0.82644254312483	0.597668135749607	0.601530407262625	0.617072577667735
r_0005	19316.4251304746	19573.3191855464	17424.9056151452	21161.9982924179	18932.6959546433	23991.8932593209	12513.4117714583	10237.6442598193	10596.8518484849	14550.0196014856	12728.5933841118	13761.4253779045	0.805123002244524	0.815830538006505	0.726283058481664	0.882047867739509	0.789128884077871	1	0.521568332944997	0.426712646191103	0.441684686320785	0.606455665845916	0.530537263005149	0.573586470611616
r_0006	16328.6465638857	17105.2753992923	15791.8346763652	13874.2532341882	14136.1334711433	13841.4768803774	12223.0707218563	11824.9923793414	12751.1812705833	11322.1702345435	12080.7189280479	12256.5881280939	0.954597115961151	1	0.92321428961141	0.811109608604266	0.826419519192779	0.809193453906627	0.714579007734772	0.691306752057939	0.745453140796016	0.661911016937612	0.706256908821691	0.716538485466356
r_0007	300.409473608196	345.309635006598	374.406666651556	256.949572919741	340.401208506452	274.841323775978	217.516231880008	143.545676423651	150.838550970646	172.882151722449	148.284629728902	147.049003726146	0.80236144376076	0.922284953136165	1	0.686284716075509	0.909175073058324	0.734071661260671	0.580962496809494	0.383395086704593	0.402873571455459	0.46174966185456	0.396052322078186	0.392752097715712
r_0013	1420.46652057549	1497.06340192516	1499.56158478013	870.147956102709	891.431903801353	1035.04072996485	650.632253068395	694.360481305103	839.37217187195	565.893751290251	582.191331485957	569.949058237837	0.947254540922214	0.99833405784709	1	0.580268236352756	0.594461683233942	0.690228891210634	0.433881648924604	0.463042324071613	0.559745048413614	0.377372798179025	0.388241028174458	0.380077126556563
r_0014	494.283958173229	480.619053112632	514.68823426002	226.238468586704	214.622462841311	195.312770513142	303.75614760336	217.822218294029	204.075686607345	146.037097107162	118.428664011673	170.662712353702	0.96035604715906	0.933806178421059	1	0.439564096334886	0.416995082760885	0.379477822713294	0.59017503681637	0.423211963660287	0.396503500610908	0.283738945999267	0.230097865326066	0.331584638998146
r_0015	211.150428734195	192.680611382992	215.743376390948	360.343624174298	349.38540462539	362.556639874695	361.249424752261	317.135796749927	332.732097729367	410.192434521586	373.199571465357	447.587113531408	0.471752698750068	0.430487396884073	0.482014271342083	0.805080426313507	0.780597550874022	0.810024750297584	0.807104167727366	0.708545414204989	0.743390700201691	0.916452735390922	0.833803208767245	1
r_0016	4283.47437927597	4441.39633991245	4487.07524529694	1448.54042104157	1360.60659001259	1482.9736108423	1867.57328605346	1842.72589269431	1715.12305309564	956.757746488831	963.352493809242	845.800109023381	0.954625038607416	0.989819893162619	1	0.322825079111351	0.303227941505703	0.330498939681624	0.41621171564059	0.410674167906084	0.382236303011259	0.213225251235009	0.214694971923853	0.188496974707499
r_0017	1264.02324837698	1160.41356967735	1077.74942286779	1676.82629658381	1671.06047812258	1646.7088675599	2029.5126833562	1921.17527399561	1926.29702445455	2019.8219092542	2178.49029850044	2098.40001667603	0.580229000444513	0.532668688254485	0.494723076623135	0.769719423464062	0.767072719705409	0.7558945149737	0.931614285706579	0.881883786821565	0.884234841798705	0.92716589587043	1	0.963235878590077
r_0018	3150.94026151983	3415.20971299629	3376.43221347269	1825.26330086015	1805.82341990666	1922.71972888386	5283.63216998399	5226.06410328432	5073.49902617739	3494.15230872576	3391.63770547717	3487.3154241332	0.596358747192914	0.646375372683568	0.639036197987817	0.345456163892211	0.341776899263624	0.363901132218613	1	0.989104452231419	0.960229414719603	0.661316343816634	0.6419140463155	0.660022369449645
r_0019	3597.23548588983	3577.58101472353	3435.44721777694	2484.52834054268	2261.02268993288	2222.12134116748	2367.7647972489	2233.30366342843	2368.16525023915	2434.30955251423	2680.07052254988	2490.17290981503	1	0.994536228933748	0.955024276629232	0.690677146461012	0.628544530599053	0.617730295913003	0.658217902757956	0.620838883689592	0.658329225186476	0.67671676265366	0.745036162648363	0.692246287345586
r_0020	5357.46224179217	5547.68614234739	5682.85467677323	3957.63764505068	3902.135847659	3569.42859644377	2676.31205128134	2960.21229229471	2635.23821401658	1967.20560220823	2459.13637624239	2175.68124491167	0.942741376739583	0.976214676933708	1	0.696417182939096	0.686650648239815	0.62810485213226	0.470945009771211	0.520902338818128	0.46371733290792	0.346165037485215	0.432729062436401	0.382850058405336
r_0021	348.398207411422	355.051913110233	367.634453042872	298.921415508224	355.374868704683	306.418837571516	290.34104960195	287.091352847302	221.821398486245	257.712524306756	259.746901739889	276.924401177706	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0022	348.398207411422	355.051913110233	367.634453042872	298.921415508224	355.374868704683	306.418837571516	290.34104960195	287.091352847302	221.821398486245	257.712524306756	259.746901739889	276.924401177706	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0023	7152.24088603283	7459.33760134943	6985.05460781456	2601.23053700821	2436.71363625879	2941.38693317696	5050.78439753094	4787.08139515153	5424.8641213796	3030.2697649736	3258.28105860688	2973.18058628777	0.95883056489345	1	0.936417545513818	0.348721384662578	0.326666222456264	0.394322805907705	0.677108969651304	0.641756902688722	0.727258157667809	0.406238452650998	0.436805683391705	0.398585068163413
r_0024	5327.70922683417	5787.9956689037	5509.6795002083	3253.32965234636	3010.70394385765	3218.5673320489	3048.10191017756	3037.82710570983	3129.45628984394	2700.61249429788	2934.84143000357	3038.65496020963	0.920475676140803	1	0.951914931417335	0.562082254108281	0.5201634755936	0.556076320053385	0.526624773849373	0.524849581700745	0.540680482305317	0.466588547881447	0.507056604373627	0.524992611265236
r_0025	5327.70922683417	5787.9956689037	5509.6795002083	3253.32965234636	3010.70394385765	3218.5673320489	3048.10191017756	3037.82710570983	3129.45628984394	2700.61249429788	2934.84143000357	3038.65496020963	0.920475676140803	1	0.951914931417335	0.562082254108281	0.5201634755936	0.556076320053385	0.526624773849373	0.524849581700745	0.540680482305317	0.466588547881447	0.507056604373627	0.524992611265236
r_0026	5241.32950598836	5380.98493924075	5372.3003098607	5196.31885314982	5917.59051034089	5107.37047204126	4747.02824992758	5125.08138905605	4737.21778607224	4911.57119241292	5022.76863249509	4740.98868217801	0.885720209404356	0.90932025962891	0.907852664099129	0.878113962780855	1	0.863082780587169	0.80218937786118	0.866075707688806	0.80053153015472	0.829995110988169	0.848786110447806	0.801168765208274
r_0027	3974.42693358319	4337.47870680702	4168.78120568877	2827.46900559492	2750.16225640843	3057.17115042726	3535.83654465741	3581.13079961562	3555.35337493753	3013.08893001982	3114.97242316418	3134.18314511202	0.916298892106588	1	0.961107013423834	0.651869253250197	0.634046284098747	0.704826780043782	0.815182455906572	0.825624986699203	0.819682035408713	0.694663682219634	0.718152787303762	0.72258179393328
r_0028	61272.9750946352	61412.0737392769	59568.3909019887	28791.660312222	28329.1668510398	31391.5573254086	22182.8227666176	19808.4687785777	22905.2776076896	18736.7743192858	19695.9805836557	19171.1113543992	0.997734995153685	1	0.969978495676347	0.468827358516765	0.461296372620642	0.511162633241804	0.361212729288285	0.322550071549024	0.372976781486541	0.305099195946911	0.320718376442951	0.312171698285089
r_0029	5241.32950598836	5380.98493924075	5372.3003098607	5196.31885314982	5917.59051034089	5107.37047204126	4747.02824992758	5125.08138905605	4737.21778607224	4911.57119241292	5022.76863249509	4740.98868217801	0.885720209404356	0.90932025962891	0.907852664099129	0.878113962780855	1	0.863082780587169	0.80218937786118	0.866075707688806	0.80053153015472	0.829995110988169	0.848786110447806	0.801168765208274
r_0030	5241.32950598836	5380.98493924075	5372.3003098607	5196.31885314982	5917.59051034089	5107.37047204126	4747.02824992758	5125.08138905605	4737.21778607224	4911.57119241292	5022.76863249509	4740.98868217801	0.885720209404356	0.90932025962891	0.907852664099129	0.878113962780855	1	0.863082780587169	0.80218937786118	0.866075707688806	0.80053153015472	0.829995110988169	0.848786110447806	0.801168765208274
r_0032	263.938035917744	237.062100521771	310.554366912531	312.229560719207	284.499543766389	251.450572816321	271.176623885649	323.812339839399	303.451673129183	284.557578922043	261.73729945437	260.824145295281	0.81509566945055	0.732097178999869	0.959056616145501	0.964229963793422	0.878593891472734	0.776531780540028	0.837449937887309	1	0.937122017276073	0.878773116130086	0.808299336536043	0.805479326157372
r_0033	7484.32292395115	7330.52303531248	6629.9971229021	2599.18313005268	2865.95856194141	3029.10224927568	3543.50231494393	2893.44686139999	3351.27768833019	3135.50237906553	3283.1610300379	3387.49383766217	1	0.979450393816322	0.885851290794114	0.34728366967369	0.382928234265499	0.404726289880147	0.473456630739983	0.386601017994621	0.447772994615921	0.418942690063702	0.438671749388473	0.452611929239664
