Rxn,Par_wo_1,Par_wo_2,Par_wo_3,Par_Ac_1,Par_Ac_2,Par_Ac_3,ATS_wo_1,ATS_wo_2,ATS_wo_3,ATS_Ac_1,ATS_Ac_2,ATS_Ac_3,Par.Wo.mean,Par.Ac.mean,ATS.Wo.mean,ATS.Ac.mean,Par_Ac.vs.Par_wo.t.test,Par_Ac.vs.Par_wo.log.2,Par_Ac.vs.Par_wo_adj_p,ATS_Ac.vs.ATS_wo.t.test,ATS_Ac.vs.ATS_wo.log.2,ATS_Ac.vs.ATS_wo_adj_p,ATS_Ac.vs.Par_Ac.t.test,ATS_Ac.vs.Par_Ac.log.2,ATS_Ac.vs.Par_Ac_adj_p,ATS_wo.vs.Par_wo.t.test,ATS_wo.vs.Par_wo.log.2,ATS_wo.vs.Par_wo_adj_p
r_0001,5893.01651103618,6446.14067857145,6130.78823403335,7233.48877390793,6921.8239876356,6907.28875838692,5236.67932697907,5535.68878905859,5061.96431345611,6220.53605545432,6673.80353665783,6405.75514042073,6156.64847454699,7020.86717331015,5278.11080983126,6433.36491084429,0.014920622127245,0.189504036632674,0.030191402270514,0.00379260409870963,0.285551883754972,0.0159181781504903,0.0273534297462305,-0.126075711146273,0.045392277981162,0.014882013329766,-0.222123558268571,0.0249157332122943
r_0002,3069.35941405435,3470.41595558356,3346.44098177708,2575.63795006402,2717.22020397232,2481.75867681968,2824.83635058267,3027.81229107561,2838.42661502999,3024.90075405055,3180.65554774208,3088.02907824907,3295.40545047166,2591.53894361867,2897.02508556276,3097.86179334723,0.0121443590154976,-0.346646904675513,0.0260692187995191,0.0729485842436338,0.0967006047272796,0.111984374625242,0.00553054464371043,0.257463708219578,0.0133489973359854,0.0576566198750727,-0.185883801183215,0.0809069385588723
r_0004,8377.87314736723,8348.04985946986,8737.12301428992,4310.8153448806,4423.21922255744,4168.231821011,7515.32954464717,7405.12085411079,7220.73016352424,5221.90002376564,5255.64516508947,5391.43901982797,8487.68200704234,4300.75546281635,7380.39352076073,5289.66140289436,5.07513936681469E-05,-0.980780503123946,0.000885013067111955,0.000132904409354193,-0.480522365698217,0.00224203960127943,0.000691629008645132,0.29858527354193,0.00528772522865638,0.00295161519333252,-0.201672863883799,0.00762214106497849
r_0005,19316.4251304746,19573.3191855464,17424.9056151452,21161.9982924179,18932.6959546433,23991.8932593209,12513.4117714583,10237.6442598193,10596.8518484849,14550.0196014856,12728.5933841118,13761.4253779045,18771.5499770554,21362.1958354607,11115.9692932542,13680.012787834,0.212359483460364,0.186512171109098,0.25101440847714,0.0480651888045341,0.299435824473404,0.0796127780412347,0.0239263854577498,-0.64299037147742,0.0407168313930128,0.00145226542767836,-0.755914024841726,0.00514592681223017
r_0006,16328.6465638857,17105.2753992923,15791.8346763652,13874.2532341882,14136.1334711433,13841.4768803774,12223.0707218563,11824.9923793414,12751.1812705833,11322.1702345435,12080.7189280479,12256.5881280939,16408.5855465144,13950.6211952363,12266.4147905937,11886.4924302284,0.0185095842034932,-0.234121516947474,0.0349050725198317,0.388231968181153,-0.0453905869988001,0.460654445425955,0.0122778838812113,-0.231006309154696,0.0236264546523909,0.00143364121819504,-0.41973723910337,0.00512329173611361
r_0007,300.409473608196,345.309635006598,374.406666651556,256.949572919741,340.401208506452,274.841323775978,217.516231880008,143.545676423651,150.838550970646,172.882151722449,148.284629728902,147.049003726146,340.041925088783,290.730701734057,170.633486424768,156.071928392499,0.214231660798068,-0.226029201847076,0.252842233884868,0.608421938738167,-0.128689727186302,0.661254095883498,0.0244399685552198,-0.897472358152999,0.0413229783464769,0.00617445198017641,-0.994811832813772,0.0125874240015223
r_0013,1420.46652057549,1497.06340192516,1499.56158478013,870.147956102709,891.431903801353,1035.04072996485,650.632253068395,694.360481305103,839.37217187195,565.893751290251,582.191331485957,569.949058237837,1472.36383576026,932.206863289638,728.121635415149,572.678047004682,0.0028116287790695,-0.659412180014005,0.0105148141328093,0.111341479888393,-0.346455177740642,0.155537332841391,0.0193671997896778,-0.702925834264639,0.0349917276758789,0.00178555396140082,-1.015882836538,0.00585873096848641
r_0014,494.283958173229,480.619053112632,514.68823426002,226.238468586704,214.622462841311,195.312770513142,303.75614760336,217.822218294029,204.075686607345,146.037097107162,118.428664011673,170.662712353702,496.53041518196,212.057900647052,241.884684168245,145.042824490846,3.1069361214905E-05,-1.22742385889473,0.000760436423552888,0.0711759344573623,-0.737840497803364,0.109806212999827,0.0272788051009848,-0.547979309680389,0.045392277981162,0.0093393232435846,-1.03756267077176,0.0171737318412835
r_0015,211.150428734195,192.680611382992,215.743376390948,360.343624174298,349.38540462539,362.556639874695,361.249424752261,317.135796749927,332.732097729367,410.192434521586,373.199571465357,447.587113531408,206.524805502712,357.428556224794,337.039106410518,410.326373172784,0.000229040941044724,0.791339828151991,0.00259468277738257,0.0549249124912429,0.283855888473082,0.0886106696324418,0.128185603080664,0.199116983517221,0.172994831287992,0.0026735519043798,0.706600923196129,0.00721626531408252
r_0016,4283.47437927597,4441.39633991245,4487.07524529694,1448.54042104157,1360.60659001259,1482.9736108423,1867.57328605346,1842.72589269431,1715.12305309564,956.757746488831,963.352493809242,845.800109023381,4403.98198816179,1430.70687396549,1808.47407728114,921.970116440485,1.55611093229215E-05,-1.62208044829195,0.000760436423552888,0.000168540623777992,-0.971981023655923,0.00269664998044787,0.000652549615850456,-0.633936225292254,0.00519362566051235,8.93238241487851E-06,-1.28403564992828,0.000556295917827022
