median,mean,std,rxns
0,9.72947884447214e-14,9.72947884446934e-12,r_0001_EXP_1
0,0,0,r_0001_EXP_2
0,0,0,r_0001_EXP_3
0,0,0,r_0001_EXP_4
0,0,0,r_0002_EXP_1
0,0,0,r_0002_EXP_2
0,0,0,r_0004_EXP_1
0,0,0,r_0004_EXP_2
0,-9.72947884447214e-14,9.72947884446934e-12,r_0004_EXP_3
0,0,0,r_0004_EXP_4
0,0,0,r_0004_EXP_5
0,0,0,r_0004_EXP_6
0,0,0,r_0004_EXP_7
0.0051121785,0.00512355251443712,5.3188992014949e-05,r_0005
0,0.000254971821354134,0.00111384215876644,r_0006_EXP_1
0,0.000213243372376447,0.00102365514978951,r_0006_EXP_2
0.0051121785,0.00465533732070661,0.0014774651063392,r_0006_EXP_3
0.00641837625,0.00686788174381879,0.00548396243684987,r_0007
0,0,0,r_0013
5.308875e-05,5.32068664172882e-05,5.52354950014906e-07,r_0014
5.308875e-05,5.32068664172882e-05,5.52354950014738e-07,r_0015
0.008238945,0.00916471109908562,0.00742299002743272,r_0016
0,0,0,r_0017
0.0080748525,0.0473653542851462,1.17789185088576,r_0018
0,0.0390858593079891,1.1778935515522,r_0018_REV
0,0.000124489510697121,0.00230302361918302,r_0019
0,0,0,r_0020_EXP_1
0,0,0,r_0020_EXP_2
0,0,0,r_0021_EXP_1
0,0,0,r_0021_EXP_2
0,0,0,r_0022_EXP_1
0,0,0,r_0022_EXP_2
0,0,0,r_0023
0.0091280475,0.00986687908153771,0.0061376552046515,r_0023_REV
0.0091280475,0.00683970652510586,0.00520911758686078,r_0024
0,0.00311735043309531,0.00746002476207883,r_0025
0,0,0,r_0026
0.0080748525,0.0213080737556113,0.172111688310123,r_0027
0,0.00575022653826497,0.143990210245348,r_0027_REV
0,0,0,r_0028
0.0091280475,0.00986687908153771,0.0061376552046515,r_0029
0,0,0,r_0030
0.00966654975,0.0150335129297971,0.0499414532310679,r_0032
0,0.00138370853319986,0.0461051628021476,r_0033
0,0,0,r_0034
0,0,0,r_0035
0,0.00276627953191915,0.0621455613494288,r_0036
0,0,0,r_0037
0.0001061775,0.000106413732834576,1.10470990002981e-06,r_0038
0.018638602125,0.0194916559963058,0.0063073711599883,r_0039
0.018638602125,0.0194916559963058,0.0063073711599883,r_0040
0,0,0,r_0041
0,0.0037191856595215,0.00768563071139252,r_0042_EXP_1
0.018638602125,0.0157724703367829,0.00990188041858473,r_0042_EXP_2
0,0,0,r_0043
