rxns,rxnNames,median,mean,std,normalized_flux,Flux_variability
r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,9.72947884447214E-14,9.72947884446934E-12,0,#DIV/0!
r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,0,0,0,#DIV/0!
r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,0,-9.72947884447214E-14,9.72947884446934E-12,0,#DIV/0!
r_0005,"1,3-beta-glucan synthase",0.0051121785,0.00512355251443712,5.3188992014949E-05,0.00917311771038938,1.04043690991911
r_0006,"1,6-beta-glucan synthase",0.0051121785,0.00512355251443712,5.3188992014949E-05,0.00917311771038938,1.04043690991911
r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,0.00641837625,0.00686788174381879,0.00548396243684987,0.0115169141396017,85.4415855856046
r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",0,0,0,0,#DIV/0!
r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",0.00005308875,5.32068664172882E-05,5.52354950014906E-07,9.52606316167235E-05,1.04043690991953
r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",0.00005308875,5.32068664172882E-05,5.52354950014738E-07,9.52606316167235E-05,1.04043690991922
r_0016,2-aceto-2-hydroxybutanoate synthase,0.008238945,0.00916471109908562,0.00742299002743272,0.0147836802440337,90.0963658263615
r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,0,0,0,0,#DIV/0!
r_0018,2-aminoadipate transaminase,0.0080748525,0.0082794949771643,0.00346301156885302,0.0144892382917639,42.8863755573618
r_0019,2-dehydropantoate 2-reductase,0,0.000124489510697121,0.00230302361918302,0,#DIV/0!
r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0,0,0,0,#DIV/0!
r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",0,0,0,0,#DIV/0!
r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,0,0,0,0,#DIV/0!
r_0023,2-isopropylmalate hydratase,-0.0091280475,-0.00986687908153771,0.0061376552046515,-0.0163790552664633,-67.2395186884326
r_0024,2-isopropylmalate synthase,0.0091280475,0.00683970652510586,0.00520911758686078,0.0163790552664633,57.0671612616036
r_0025,2-isopropylmalate synthase,0,0.00311735043309531,0.00746002476207883,0,#DIV/0!
r_0026,2-keto-4-methylthiobutyrate transamination,0,0,0,0,#DIV/0!
r_0027,2-methylcitrate dehydratase,0.0080748525,0.0155578472173499,0.0753264289449638,0.0144892382917639,932.852073086955
r_0028,2-methylcitrate synthase,0,0,0,0,#DIV/0!
r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,0.0091280475,0.00986687908153771,0.0061376552046515,0.0163790552664633,67.2395186884326
r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,0,0,0,0,#DIV/0!
r_0032,"3',5'-bisphosphate nucleotidase",0.00966654975,0.0150335129297971,0.0499414532310679,0.0173453252287816,516.641971775585
r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",0,0.00138370853319986,0.0461051628021476,0,#DIV/0!
r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",0,0,0,0,#DIV/0!
r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",0,0,0,0,#DIV/0!
r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",0,0.00276627953191915,0.0621455613494288,0,#DIV/0!
r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",0,0,0,0,#DIV/0!
r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",0.0001061775,0.000106413732834576,1.10470990002981E-06,0.000190521263233447,1.04043690991953
r_0039,3-dehydroquinate dehydratase,0.018638602125,0.0194916559963058,0.0063073711599883,0.0334444681948681,33.8403659120348
r_0040,3-dehydroquinate synthase,0.018638602125,0.0194916559963058,0.0063073711599883,0.0334444681948681,33.8403659120348
r_0041,3-dehydrosphinganine reductase,0,0,0,0,#DIV/0!
