rxns,rxnNames,median,mean,std,normalized_flux,Flux_variability
r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,0,0,0,#DIV/0!
r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,1.77618347151476E-14,1.77618347151516E-12,0,#DIV/0!
r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,0,-1.77618347151476E-14,1.77618347151516E-12,0,#DIV/0!
r_0005,"1,3-beta-glucan synthase",0.00420945525,0.00421508528550724,2.6245367627715E-05,0.0310431803097345,0.62348608237883
r_0006,"1,6-beta-glucan synthase",0.00420945525,0.00421508528550724,2.6245367627715E-05,0.0310431803097345,0.62348608237883
r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,0.0053676675,0.00546015733030797,0.00112846537615889,0.0395845685840708,21.0233844804823
r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",0,0,0,0,#DIV/0!
r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",0.00004343625,4.34943448401291E-05,2.70818973457273E-07,0.000320326327433628,0.623486082378826
r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",0.00004343625,4.34943448401291E-05,2.70818973457273E-07,0.000320326327433628,0.623486082378826
r_0016,2-aceto-2-hydroxybutanoate synthase,0.00689056875,0.00707373830821074,0.00144415955425679,0.050815403761062,20.9584956866846
r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,0,0,0,0,#DIV/0!
r_0018,2-aminoadipate transaminase,0.00675324,0.00678753189844778,0.000565460032487341,0.0498026548672566,8.37316654653679
r_0019,2-dehydropantoate 2-reductase,0,1.81369483764391E-05,0.00040024931383186,0,#DIV/0!
r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0,0,0,0,#DIV/0!
r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",0,0,0,0,#DIV/0!
r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,0,0,0,0,#DIV/0!
r_0023,2-isopropylmalate hydratase,-0.00763381125,-0.00775237549125137,0.00121616754780543,-0.0562965431415929,-15.9313285065233
r_0024,2-isopropylmalate synthase,0,0.000119504306759934,0.000977412667031291,0,#DIV/0!
r_0025,2-isopropylmalate synthase,0.00763381125,0.00763919864071888,0.00155559577473965,0.0562965431415929,20.3777081171564
r_0026,2-keto-4-methylthiobutyrate transamination,0,0,0,0,#DIV/0!
r_0027,2-methylcitrate dehydratase,0.00675324,0.00915724175964065,0.0251574800986257,0.0498026548672566,372.524597061939
r_0028,2-methylcitrate synthase,0,0,0,0,#DIV/0!
r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,0.00763381125,0.00775237549125137,0.00121616754780543,0.0562965431415929,15.9313285065233
r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,0,0,0,0,#DIV/0!
r_0032,"3',5'-bisphosphate nucleotidase",0.008084539125,0.00856946496108211,0.00670710220758152,0.0596204950221239,82.9620848372296
r_0033,"3',5'-cyclic-nucleotide phosphodiesterase",0,0.000464725213622064,0.0124122271431917,0,#DIV/0!
r_0034,"3',5'-cyclic-nucleotide phosphodiesterase",0,0,0,0,#DIV/0!
r_0035,"3',5'-cyclic-nucleotide phosphodiesterase",0,0,0,0,#DIV/0!
r_0036,"3',5'-cyclic-nucleotide phosphodiesterase",0,0.000441363096908927,0.0116940379745585,0,#DIV/0!
r_0037,"3',5'-cyclic-nucleotide phosphodiesterase",0,0,0,0,#DIV/0!
r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",0.0000868725,8.69886896802582E-05,5.41637946914545E-07,0.000640652654867257,0.623486082378825
r_0039,3-dehydroquinate dehydratase,0.01558834875,0.0157615453502276,0.00123238850754229,0.114958324115044,7.90583099792587
r_0040,3-dehydroquinate synthase,0.01558834875,0.0157615453502276,0.00123238850754229,0.114958324115044,7.90583099792587
r_0041,3-dehydrosphinganine reductase,0,0,0,0,#DIV/0!
r_0042,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0.01558834875,0.0157615453502276,0.00123238850754229,0.114958324115044,7.90583099792587
r_0043,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase",0,0,0,0,#DIV/0!
r_0045,3-hydroxy-L-kynurenine hydrolase,0,0,0,0,#DIV/0!
r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),0,0.000649720576746949,0.00274331793734015,0,#DIV/0!
r_0058,"3-hydroxyanthranilate 3,4-dioxygenase",0,0,0,0,#DIV/0!
r_0060,3-isopropylmalate dehydratase,-0.00763381125,-0.00775237549125137,0.00121616754780543,-0.0562965431415929,-15.9313285065233
r_0061,3-isopropylmalate dehydrogenase,0.00763381125,0.00775237549125137,0.00121616754780543,0.0562965431415929,15.9313285065233
r_0062,3-methyl-2-oxobutanoate decarboxylase,0,0.000287181207100325,0.00220708117167104,0,#DIV/0!
r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,0,1.81369483764391E-05,0.00040024931383186,0,#DIV/0!
r_0064,3-methyl-2-oxopentanoate decarboxylase,0,0.000164303770265608,0.00140418344316609,0,#DIV/0!
r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,0.01558834875,0.0157615453502276,0.00123238850754229,0.114958324115044,7.90583099792587
r_0066,4-amino-4-deoxychorismate synthase,0,7.08277525700076E-05,0.000935507696020184,0,#DIV/0!
r_0067,4-aminobenzoate synthase,0,7.08277525700076E-05,0.000935507696020184,0,#DIV/0!
r_0068,4-aminobutyrate transaminase,0,0,0,0,#DIV/0!
r_0069,4-hydroxy-L-threonine synthase,0,0,0,0,#DIV/0!
r_0072,4-methyl-2-oxopentanoate decarboxylase,0,0.000104401534315174,0.00119489234873789,0,#DIV/0!
r_0073,4PP-IP5 depyrophosphorylation to IP6,0,-1.4210854715202E-18,1.00480892431771E-16,0,#DIV/0!
r_0075,5'-methylthioadenosine phosphorylase,0,0,0,0,#DIV/0!
r_0079,5'-phosphoribosylformyl glycinamidine synthetase,0.000489881925000157,0.000536864683278011,0.000669255752563402,0.00361269856194806,136.615726853606
r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)",0.00603695388102511,0.0066201613195813,0.00400566849914509,0.0445203088571173,66.3524780557857
r_0081,5-aminolevulinate synthase,0.000000351,3.5146945325365E-07,2.18843614914972E-09,2.58849557522124E-06,0.623486082378838
r_0085,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,0,0,0,0,#DIV/0!
r_0086,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,0,0,0,0,#DIV/0!
r_0088,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",0,0,0,0,#DIV/0!
r_0089,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",0,2.1316282072803E-18,1.58875829757658E-16,0,#DIV/0!
r_0090,6-phosphofructo-2-kinase,0,0.00154853519219934,0.0292250656445838,0,#DIV/0!
r_0091,6-phosphogluconolactonase,0,0,0,0,#DIV/0!
r_0092,6PP-IP5 depyrophosphorylation to IP6,0,-1.4210854715202E-18,1.42108547152033E-16,0,#DIV/0!
r_0095,acetaldehyde condensation,0,0,0,0,#DIV/0!
r_0096,acetohydroxy acid isomeroreductase,0.015087735,0.0155360830071518,0.00257452800344635,0.111266482300885,17.0637143576975
r_0097,acetolactate synthase,0.015087735,0.0155360830071518,0.00257452800344635,0.111266482300885,17.0637143576975
r_0099,acetyl-CoA ACP transacylase,0,0,0,0,#DIV/0!
r_0100,acetyl-CoA C-acyltransferase (palmitoyl-CoA),0,0.000124684913851168,0.00149547962782839,0,#DIV/0!
r_0101,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),0,0,0,0,#DIV/0!
r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),0,0.000649720576746949,0.00274331793734015,0,#DIV/0!
r_0103,acetyl-CoA C-acetyltransferase,0,7.5889288039045E-05,0.000782381548949768,0,#DIV/0!
r_0104,acetyl-CoA C-acetyltransferase,0.003091476375,0.0237658215522307,0.348961506661542,0.022798498340708,11287.8594021778
r_0105,acetyl-CoA C-acyltransferase (lauroyl-CoA),0,0.000649720576746949,0.00274331793734015,0,#DIV/0!
r_0106,acetyl-CoA C-acyltransferase (octanoyl-CoA),0,0.000644375862610639,0.00273976075541521,0,#DIV/0!
r_0107,acetyl-CoA C-acyltransferase (decanoyl-CoA),0,0.000649720576746949,0.00274331793734015,0,#DIV/0!
r_0108,acetyl-Coa carboxylase,0,0,0,0,#DIV/0!
r_0109,"acetyl-CoA carboxylase, reaction",0.197972426797064,0.204938020099636,0.021928914586887,1.4599736489459,11.0767519202892
r_0111,acetyl-CoA hydrolase,0,0.000217159647636841,0.0108563819280774,0,#DIV/0!
r_0112,acetyl-CoA synthetase,0.2316933171644,0.240355377964007,0.081140108023715,1.70865278144838,35.0204783706132
r_0113,acetyl-CoA synthetase,0,0.00204823842178126,0.0318991539322039,0,#DIV/0!
r_0114,acetyl-CoA synthetase nuclear,0,0,0,0,#DIV/0!
r_0115,acetylglutamate kinase,0.00742672125,0.0108285275801107,0.00395987115357589,0.0547693307522124,53.319237659228
r_0118,acteylornithine transaminase,0.00742672125,0.0108285275801107,0.00395987115357589,0.0547693307522124,53.319237659228
r_0120,acyl-CoA oxidase (decanoyl-CoA),0,0.000644375862610639,0.00273976075541521,0,#DIV/0!
r_0121,acyl-CoA oxidase (dodecanoyl-CoA),0,0.000649720576746949,0.00274331793734015,0,#DIV/0!
r_0122,acyl-CoA oxidase (hexacosanoyl-CoA),0,0,0,0,#DIV/0!
r_0123,acyl-CoA oxidase (hexadecanoyl-CoA),0,0.000649720576746949,0.00274331793734015,0,#DIV/0!
