rxns,rxnNames,median,mean,std,normalized_flux,Flux variability
r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,0,0,0,#DIV/0!
r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,0,0,0,0,#DIV/0!
r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,0,0,0,0,#DIV/0!
r_0005,"1,3-beta-glucan synthase",0.005015439,0.00502464486961487,4.43981164346893E-05,0.0102502329858982,0.885228918838197
r_0006,"1,6-beta-glucan synthase",0.005015439,0.00502464486961487,4.43981164346893E-05,0.0102502329858982,0.885228918838197
r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,0.00596685375,0.00614720616202301,0.00208084459463085,0.0121946735131821,34.8733969662127
r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",0,0,0,0,#DIV/0!
r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase",0.00005308875,5.31861947322615E-05,4.6995696764972E-07,0.000108499386879215,0.88522891883821
r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",0.00005308875,5.31861947322615E-05,4.6995696764972E-07,0.000108499386879215,0.88522891883821
r_0016,2-aceto-2-hydroxybutanoate synthase,0.007659795,0.00799811118949019,0.00259158592980402,0.015654598405886,33.8336199572446
r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,0,0,0,0,#DIV/0!
r_0018,2-aminoadipate transaminase,0.00750696375,0.00755981902397188,0.000922070397825606,0.0153422516860822,12.2828673286934
r_0019,2-dehydropantoate 2-reductase,0,4.72198797421973E-05,0.00085418702166693,0,#DIV/0!
r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0,0,0,0,#DIV/0!
r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",0,0,0,0,#DIV/0!
r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,0,0,0,0,#DIV/0!
r_0023,2-isopropylmalate hydratase,-0.00848615625,-0.00874357401220077,0.00232946509360591,-0.0173434625996321,-27.4501791503769
r_0024,2-isopropylmalate synthase,0.00848615625,0.00822848795702126,0.00307071780944123,0.0173434625996321,36.1850255755217
r_0025,2-isopropylmalate synthase,0,0.000529115823585185,0.00223825940602857,0,#DIV/0!
r_0026,2-keto-4-methylthiobutyrate transamination,0,0,0,0,#DIV/0!
