median,mean,std,rxns
0,0,0,r_0001_EXP_1
0,0,0,r_0001_EXP_2
0,0,0,r_0001_EXP_3
0,0,0,r_0001_EXP_4
0,0,0,r_0002_EXP_1
0,0,0,r_0002_EXP_2
0,0,0,r_0004_EXP_1
0,0,0,r_0004_EXP_2
0,0,0,r_0004_EXP_3
0,0,0,r_0004_EXP_4
0,0,0,r_0004_EXP_5
0,0,0,r_0004_EXP_6
0,0,0,r_0004_EXP_7
0.005015439,0.00502464486961487,4.43981164346893e-05,r_0005
0,0.000253069603673144,0.0010985712838339,r_0006_EXP_1
0,0.000197012755753797,0.000975459360689004,r_0006_EXP_2
0.005015439,0.00457456251018814,0.00143582333825267,r_0006_EXP_3
0.00596685375,0.00614720616202301,0.00208084459463085,r_0007
0,0,0,r_0013
5.308875e-05,5.31861947322615e-05,4.6995696764972e-07,r_0014
5.308875e-05,5.31861947322615e-05,4.6995696764972e-07,r_0015
0.007659795,0.00799811118949019,0.00259158592980402,r_0016
0,0,0,r_0017
0.00750696375,0.0446659632821784,1.02854630738623,r_0018
0,0.0371061442582046,1.02854780109003,r_0018_REV
0,4.72198797421973e-05,0.00085418702166693,r_0019
0,0,0,r_0020_EXP_1
0,0,0,r_0020_EXP_2
0,0,0,r_0021_EXP_1
0,0,0,r_0021_EXP_2
0,0,0,r_0022_EXP_1
0,0,0,r_0022_EXP_2
0,0,0,r_0023
0.00848615625,0.00874357401220077,0.00232946509360591,r_0023_REV
0.00848615625,0.00822848795702126,0.00307071780944123,r_0024
0,0.000529115823585185,0.00223825940602857,r_0025
0,0,0,r_0026
0.00750696375,0.0148790947523824,0.126358369012367,r_0027
0,0.00429109110081955,0.110963991525389,r_0027_REV
0,0,0,r_0028
0.00848615625,0.00874357401220077,0.00232946509360591,r_0029
0,0,0,r_0030
0.008986960125,0.0103071848859368,0.0144346231243908,r_0032
0,0.000398500975864185,0.0150574511851024,r_0033
0,0,0,r_0034
0,0,0,r_0035
0,0.000940531495179994,0.0228659776407084,r_0036
0,0,0,r_0037
0.0001061775,0.000106372389464523,9.3991393529944e-07,r_0038
0.01732784625,0.0176293715578731,0.0021777393701994,r_0039
0.01732784625,0.0176293715578731,0.0021777393701994,r_0040
0,0,0,r_0041
0,0.00818202218246592,0.0091310172456202,r_0042_EXP_1
0.01732784625,0.00944734937540763,0.00871661507498545,r_0042_EXP_2
0,0,0,r_0043
0,0,0,r_0045
0,0.00113814566695501,0.00508963710925675,r_0057_EXP_1
0,0.000187664627538117,0.00212939836627886,r_0057_EXP_2
0,0,0,r_0058
0,0,0,r_0060
0.00848615625,0.00874357401220077,0.00232946509360591,r_0060_REV
0,0.00372175635821471,0.00486539554611676,r_0061_EXP_1
0.00848615625,0.00469295816170367,0.00437283455433694,r_0061_EXP_2
0,0.000328859492282146,0.00176162143269661,r_0061_EXP_3
0,0.000404472902253809,0.00345227550252283,r_0062
0,4.72198797421973e-05,0.00085418702166693,r_0063
0,0.000226854241902548,0.00215486102851195,r_0064
0.01732784625,0.0176293715578731,0.0021777393701994,r_0065
0,0.000143662343244948,0.00173900087187626,r_0066
0,0.000143662343244948,0.00173900087187626,r_0067
0,0,0,r_0068
0,0,0,r_0069
0,0.000228167379734443,0.00226341860088437,r_0072
0,0.0381528495449201,1.05755011801959,r_0073
0,0.0381528495449201,1.05755011801959,r_0073_REV
0,0,0,r_0075
0.000598744574998889,0.000673163089330166,0.00109159341681894,r_0079
0.00679479278122045,0.00400548905245484,0.00470848973762478,r_0080_EXP_1
0,0.00398913504749408,0.00788147252247899,r_0080_EXP_2
4.29e-07,4.29787419933233e-07,3.79763479887199e-09,r_0081
0,0,0,r_0085
0,0,0,r_0086
0,0.0321243558098353,0.968205426263319,r_0088
0,0.0321243558098353,0.968205426263319,r_0088_REV
0,0.0235153412972694,0.831101797218038,r_0089
0,0.0235153412972694,0.831101797218038,r_0089_REV
0,0.00113772769969635,0.0328254283375539,r_0090_EXP_1
0,0.00171063721440513,0.0402858157167519,r_0090_EXP_2
0,0,0,r_0091_EXP_1
0,0,0,r_0091_EXP_2
0,0.0469269155079034,1.17231295856178,r_0092
0,0.0469269155079034,1.17231295856178,r_0092_REV
0,0,0,r_0095
0.016771755,0.0175213879298276,0.00429045335246434,r_0096
0.016771755,0.0175213879298276,0.00429045335246434,r_0097
0,0,0,r_0099
0,0,0,r_0099_REV
0,0.000161173536350098,0.00228442694298976,r_0100_EXP_1
0,3.28576559329458e-05,0.0010403470512225,r_0100_EXP_2
0,2.84199867333715e-05,0.00087608801128678,r_0100_EXP_3
0,0,0,r_0101_EXP_1
0,0,0,r_0101_EXP_2
0,0,0,r_0101_EXP_3
0,0.000461034910200985,0.00312431870024193,r_0102_EXP_1
0,1.04529188856048e-05,0.000522567533666286,r_0102_EXP_2
0,0.000854322465406534,0.00455986865966817,r_0102_EXP_3
0.003778471125,0.00228506164529023,0.00321774997083564,r_0103_EXP_1
0,1.16071080618084e-05,0.000529084480087085,r_0103_EXP_2
0,0.00184333764474638,0.00248270524932007,r_0103_EXP_3
0,0.0152464663053739,0.265261325767234,r_0104_EXP_1
0,0.00340652745569567,0.102669466602353,r_0104_EXP_2
0,0.00188292179294836,0.0761810016384169,r_0104_EXP_3
0,0.000453522364142976,0.00309497584807828,r_0105_EXP_1
0,1.52257451142011e-05,0.000622707398450874,r_0105_EXP_2
0,0.000857062185235947,0.00456752295477602,r_0105_EXP_3
0,0.000451264266055071,0.00309752979976095,r_0106_EXP_1
0,1.82923431676308e-05,0.000691178117433791,r_0106_EXP_2
0,0.000843402178183401,0.00454632645563148,r_0106_EXP_3
0,0.000454523402653931,0.00309530140098517,r_0107_EXP_1
0,1.55501617366785e-05,0.000634783567437677,r_0107_EXP_2
0,0.000855736730102514,0.00456578759980226,r_0107_EXP_3
0,0,0,r_0108
0.241966299418634,0.257092470002995,0.0459732867400086,r_0109
0,0.000761122189331403,0.0198786346133666,r_0111
0.772986960125,0.776650600608817,0.074338472845275,r_0112
0,0.00466245248614138,0.0625503925125942,r_0113
0,0,0,r_0114
0.00825556875,0.0119304910225437,0.00474754791140113,r_0115
0.00825556875,0.0119304910225437,0.00474754791140113,r_0118
0,0.000162621639024645,0.00201794813179371,r_0120_EXP_1
0,0.00115033714838146,0.00512200391565751,r_0120_EXP_2
0,0.00120856226353481,0.00523634119596104,r_0121_EXP_1
0,0.000117248030958317,0.00169578404659445,r_0121_EXP_2
0,0,0,r_0122_EXP_1
